Massachusetts,マサチューセッツ州
Xbox,Xbox
UFC Fight Night: Henderson vs. Khabilov,UFC・Fight・Night:・Henderson・vs.・Khabilov
86th Academy Awards,第86回アカデミー賞
UFC 164,UFC・164
United States at the 2014 Winter Olympics,2014年ソチオリンピックのアメリカ合衆国選手団
Presidential Emergency Operations Center,大統領危機管理センター
1996–97 Chicago Bulls season,1996-97シーズンのシカゴ・ブルズ
UFC Fight Night: Machida vs. Muñoz,UFC・Fight・Night:・Machida・vs.・Munoz
Hollywood Land,ハリウッド・ランド
United States Federal Witness Protection Program,証人保護プログラム
Maker's Mark Mile Stakes,メーカーズマークマイルステークス
2013 National League Championship Series,2013年のナショナルリーグチャンピオンシップシリーズ
Shopkick,Shopkick
2015 NBA All-Star Game,2015年のNBAオールスターゲーム
Mad Decent,マッド・ディセント
Austin Film Critics Association Awards 2013,第9回オースティン映画批評家協会賞
San Diego Film Critics Society Awards 2013,第18回サンディエゴ映画批評家協会賞
UFC Fight Night: Shogun vs. Henderson 2,UFC・Fight・Night:・Shogun・vs.・Henderson・2
Molokai Ka Hula Piko,カフラピコ
UFC 174,UFC・174
Cross Creek Pictures,クロス・クリーク・ピクチャーズ
UFC Fight Night: Shogun vs. Sonnen,UFC・Fight・Night:・Shogun・vs.・Sonnen
FIDO Alliance,FIDO・Alliance
Merrie Monarch Festival,メリー・モナーク・フェスティバル
Saturn Award for Best Independent Film,サターンインディペンデント映画賞
Devil His Due,デヴィルヒズデュー
Hydrox,ハイドロックス
Not in Front of the Children,子供たちの前では止めなさい
Timken 1111,ティムケン1111
Cellular Dynamics International,セルラー・ダイナミクス・インターナショナル
High-level Political Forum on Sustainable Development,持続可能な開発目標に関するハイレベル政治フォーラム
Hummel Ultracruiser,ウルトラクルーザー・(航空機)
K (Eighth Avenue Local),ニューヨーク市地下鉄K系統
Moderna,モデルナ
NFL Play of the Year Award,NFL最優秀プレー賞
No Nay Never,ノーネイネヴァー
Palace Malice,パレスマリス
SS Arctic disaster,アークティック号沈没事故
The Negro Motorist Green Book,黒人ドライバーのためのグリーン・ブック
Schuette v. BAMN,シュッテ対アファーマティブ・アクション防護連合事件
2014 Major League Baseball draft,2014年のMLBドラフト
Murder of Kyle Dinkheller,カイル・ディンケラー殺害事件
Met Gala,メットガラ
Sisense,Sisense
Lockheed Martin SR-72,SR-72・(航空機)
2014 Major League Soccer season,2014年のメジャーリーグサッカー
UFC on Fox: Henderson vs. Thomson,UFC・on・FOX・10
List of Shinto shrines in the United States,アメリカ合衆国の神社一覧
Saint Andrew's Golf Club,セイントアンドリューズゴルフクラブ
Tulsa Drillers,タルサ・ドリラーズ
2014 World Judo Juniors Championships,2014年世界ジュニア柔道選手権大会
2014 Isla Vista killings,2014年アイラビスタ銃乱射事件
Amazon Locker,Amazonロッカー
AngelPad,AngelPad
GISHWHES,GISHWHES
Eisenhower Tree,アイゼンハワーの木
Needles (horse),ニードルズ
Statue of Mahatma Gandhi (San Francisco),マハトマ・ガンディー像・(サンフランシスコ)
J. W. Pepper %26 Son,J・W・ペッパー%26サン
2013 New York Film Critics Circle Awards,第79回ニューヨーク映画批評家協会賞
Cortana (virtual assistant),Cortana
New York Film Critics Online Awards 2013,第13回ニューヨーク映画批評家オンライン賞
"Windham County, Vermont",ウィンダム郡・(バーモント州)
UFC Fight Night: Cowboy vs. Miller,UFC・Fight・Night:・Cowboy・vs.・Miller
Inauguration of Millard Fillmore,1850年ミラード・フィルモア大統領就任式
International Champions Cup,インターナショナル・チャンピオンズ・カップ
UFC on Fox: Lawler vs. Brown,UFC・on・FOX・12
Carolina Mudcats,カロライナ・マドキャッツ
McGraw Hill Education,マグロウヒル・エデュケーション
Zoom Video Communications,Zoomビデオコミュニケーションズ
2015 FIVB Volleyball World Grand Prix,2015年FIVBバレーボール・ワールドグランプリ
UFC Fight Night: Rockhold vs. Bisping,UFC・Fight・Night:・Rockhold・vs.・Bisping
HuffPost,ハフポスト
Breakthrough Prize in Mathematics,数学ブレイクスルー賞
Army Staff Senior Warrant Officer,アメリカ陸軍参謀本部上級准尉
57th Annual Grammy Awards,第57回グラミー賞
Melodic Revolution Records,メロディック・レヴォリューション・レコード
SS Northwestern,ノースウェスタン・(船)
Killing of Michael Brown,マイケル・ブラウン射殺事件
The Rape of Europa (Titian),エウロペの略奪・(ティツィアーノ)
NASA GL-10 Greased Lightning,グリースト・ライトニング・(航空機)
UFC on Fox: Gustafsson vs. Johnson,UFC・on・FOX・14
21st Screen Actors Guild Awards,第21回全米映画俳優組合賞
30th Independent Spirit Awards,第30回インディペンデント・スピリット賞
Once Upon a Time (Disney parks),ワンス・アポン・ア・タイム・(ディズニーパーク)
35th Golden Raspberry Awards,第35回ゴールデンラズベリー賞
Online Film Critics Society Awards 2014,第18回オンライン映画批評家協会賞
AN/AYK-14,AN/AYK-14
UFC Fight Night: Bisping vs. Leites,UFC・Fight・Night:・Bisping・vs.・Leites
Interactive Brokers,インタラクティブ・ブローカーズ証券
UFC 185,UFC・185
UFC on Fox: Machida vs. Rockhold,UFC・on・FOX・15
Kohanaiki Beach Park,コハナイキ海浜公園
Alliance for Open Media,Alliance・for・Open・Media
UFC 191,UFC・191
YouBike,YouBike
Alphabet Inc.,Alphabet
Bellator MMA %26 Glory: Dynamite 1,Bellator・142
Re-Logic,Re-Logic
Roppongi Vice,ROPPONGI・VICE
2015 NBA draft,2015年のNBAドラフト
UFC Fight Night: Boetsch vs. Henderson,UFC・Fight・Night:・Boetsch・vs.・Henderson
Japanese Language Supplementary School of Houston,ヒューストン日本語補習校
Slender Man stabbing,スレンダーマン刺傷事件
2015 World Weightlifting Championships,2015年ウエイトリフティング世界選手権
Orlando Pride,オーランド・プライド
Associated Press NFL Assistant Coach of the Year Award,NFL最優秀アシスタントコーチ賞
Sundai Michigan International Academy,駿台ミシガン国際学院
YouTube Space,YouTube・Space
San Antonio FC,サンアントニオFC
Soldiers of Odin,オーディンの戦士たち
Tron Lightcycle Power Run,トロン・ライトサイクル・パワーラン
UFC Fight Night: dos Anjos vs. Alvarez,UFC・Fight・Night:・dos・Anjos・vs.・Alvarez
UFC 199,UFC・199
U.S. Army Special Operations Aviation Command,アメリカ陸軍特殊作戦航空コマンド
UFC Fight Night: Almeida vs. Garbrandt,UFC・Fight・Night:・Almeida・vs.・Garbrandt
Rethink Robotics,リシンク・ロボティクス
Trans-Colorado Airlines Flight 2286,トランス・コロラド航空2286便墜落事故
UFC 202,UFC・202
Vegas Golden Knights,ベガス・ゴールデンナイツ
2016 World Series,2016年のワールドシリーズ
Template:United States roster 2019 WBSC Premier12,Template:2019・WBSCプレミア12・アメリカ合衆国代表
Shawshank tree,ショーシャンクの木
32nd Independent Spirit Awards,第32回インディペンデント・スピリット賞
UFC 207,UFC・207
23rd Screen Actors Guild Awards,第23回全米映画俳優組合賞
Executive Order 13769,大統領令13769号
Men.com,Men.com
2022 United States elections,2022年アメリカ合衆国選挙
El Paso Streetcar,エルパソ・ストリートカー
Evangelicalism in the United States,アメリカ合衆国の福音派
2017 NFL season,2017年のNFL
Gab (social network),Gab・(SNS)
UFC 208,UFC・208
UFC Fight Night: Bermudez vs. The Korean Zombie,UFC・Fight・Night:・Bermudez・vs.・Korean・Zombie
UFC Fight Night: Swanson vs. Lobov,UFC・Fight・Night:・Swanson・vs.・Lobov
Pioneer Cabin Tree,パイオニア・キャビン・ツリー
Simons Foundation,サイモンズ財団
2017 NBA draft,2017年のNBAドラフト
2018 United States Senate election in Delaware,2018年アメリカ合衆国上院議会議員選挙・(デラウェア州)
2018 United States Senate election in Wyoming,2018年アメリカ合衆国上院議会議員選挙・(ワイオミング州)
2017 Billboard Music Awards,ビルボード・ミュージック・アワード2017
Deep Space Transport,深宇宙輸送機
SXSW Gaming Awards,SXSWゲーム賞
2017 World Series,2017年のワールドシリーズ
Universal Studios Lot,ユニバーサル・スタジオ・ロット
Taiwan Travel Act,台湾旅行法
2020 in the United States,2020年のアメリカ合衆国
Mayors National Climate Action Agenda,全米市長による気候行動指針
Mae Young Classic (2017),WWEメイ・ヤング・クラシック・(2017年)
Florencia 13,フロレンシア・13
"Shelburne, Indiana",シェルバーン・(インディアナ州モーガン郡)
What a Pleasure,ワットアプレジャー
List of submissions to the 90th Academy Awards for Best Foreign Language Film,第90回アカデミー賞外国語映画賞出品作一覧
Marvel Super Hero Island,マーベル・スーパー・ヒーロー・アイランド
UFC 220,UFC・220
ESPN%2B,ESPN%2B
UFC Fight Night: Werdum vs. Volkov,UFC・Fight・Night:・Werdum・vs.・Volkov
The Baker Street Irregulars,ベイカー・ストリート・イレギュラーズ
Las Vegas Aces,ラスベガス・エーシズ
Good Magic,グッドマジック
XFL (2020–2023),XFL
2028 Summer Paralympics,2028年ロサンゼルスパラリンピック
Antifa (United States),アンティファ・(米国)
2020 Democratic Party presidential primaries,2020年アメリカ合衆国大統領民主党予備選挙
2017 National League Championship Series,2017年のナショナルリーグチャンピオンシップシリーズ
2018–19 Chicago Bulls season,2018-19シーズンのシカゴ・ブルズ
Alliance of American Football,アライアンス・オブ・アメリカン・フットボール
UFC Fight Night: dos Santos vs. Ivanov,UFC・Fight・Night:・dos・Santos・vs.・Ivanov
Fangamer,Fangamer
Seattle Kraken,シアトル・クラーケン
KTA Super Stores,KTAスーパーストアズ
38th Golden Raspberry Awards,第38回ゴールデンラズベリー賞
Merion air disaster,メリオン空中衝突事故
UFC on Fox: Emmett vs. Stephens,UFC・on・FOX・28
2018 Skate America,2018年スケートアメリカ
34th Independent Spirit Awards,第34回インディペンデント・スピリット賞
2017 CS U.S. International Figure Skating Classic,2017年USインターナショナルクラシック
UFC 218,UFC・218
Hodinkee,Hodinkee
2018 CS U.S. International Figure Skating Classic,2018年USインターナショナルクラシック
Dwight station,ドワイト駅
Sony Music,ソニー・ミュージックエンタテインメント・(米国)
National Geographic Partners,ナショナル・ジオグラフィック・パートナーズ
Gotham Independent Film Awards 2018,第28回ゴッサム・インディペンデント映画賞
24th Critics' Choice Awards,第24回クリティクス・チョイス・アワード
Boring Test Tunnel,ボーリング・テスト・トンネル
2018 National Society of Film Critics Awards,第53回全米映画批評家協会賞
Kidnapping of Jayme Closs,ジェイミー・クロス誘拐事件
71st Primetime Emmy Awards,第71回プライムタイム・エミー賞
UFC 236,UFC・236
