"Мигунова, Елена Сергеевна",옐레나 미구노바
"Заворотнюк, Валентина Борисовна",발렌티나 자보로트뉴크
Евгения Константиновна Глушенко,예브게니야 글루셴코
Владимир Андреевич Константинов,블라디미르 콘스탄티노프
Сати Сетгалиевна Казанова,사티 카자노바
Алексей Кабанов,알렉세이 카바 노프
Василий Катанян,바실리 카타냔
"Касаткин, Леонид Леонидович",레오니트 카삿킨
"Карсаков, Дмитрий Борисович",드미트리 카르자코프
Анна Андреевна Зализняк,안나 잘리즈냐크
Зоя Александровна Кайдановская,조야 카다노브스카야
"Кашлинская, Алина Анатольевна",알리나 카실린스카야
Владимир Иванович Зайцев,블라디미르 자이섹프
Владимир Борисович Коренев,블라디미르 코레네프
"Кацаев, Адлан Зелимханович",아들란 카차예프
"Замятин, Алексей Петрович",알렉세이 자먀틴
Эдгард Вальтерович Запашный,예드가르트 자파시니
"Каюмов, Альмир Измайлович",알미르 카유모프
Отари Витальевич Квантришвили,오타리 크반트리슈빌리
Крис Кельми,크리스 켈 미
Захарий Князевич Калашов,자하르 칼라쇼프
"Захаров, Руслан Альбертович",루슬란 자하로프
"Корнуков, Анатолий Михайлович",아나톨리 코르누코프
Антон Владимирович Зацепин,안톤 잣세핀
Анатолий Сергеевич Куликов,아나톨리 쿨리코프
"Кивинов, Андрей Владимирович",안드레이 키비노프
Равшана Бахрамовна Куркова,랍샤나 쿠르코바
Дмитрий Сергеевич Куличков,드미트리 쿠리쵸브
Сергей Зверев,세르게이 슈베르브
"Здор, Анна Юрьевна",안나 조르도
"Королёв, Андрей Александрович",안드레이 코롤료프
Борис Вячеславович Корчевников,보리스 코르체브니코프
"Курцын, Роман Дмитриевич",로마 쿠르 친
Дмитрий Киселёв,드미트리 키셀료프
Дмитрий Константинович Киселёв,드미트리 키셀료프
"Коростышевская, Оксана Витальевна",옥사나 코로스티세프스카야
"Зеренков, Валерий Георгиевич",발레리 제렌코프
"Коротеев, Михаил Петрович",미하일 코로테예프
"Камчатнов, Александр Михайлович",알렉산드르 캄차트노프
"Куржанский, Александр Борисович",알렉산드르 쿠르잔스키
Игорь Анатольевич Зеленский,이고리 젤렌스키
"Кутепов, Илья Олегович",일리야 쿠테포프
Ксения Кутепова,크세니야 쿠테포바
Сергей Александрович Капков,세르게이 캅코프
Владимир Владимирович Кара-Мурза,블라디미르 카라무르자
Иван Константинович Каниди,이반 카니디
Александр Яковлевич Канторов,알렉산드르 칸토로프
Вера Камша,베라 캄샤
"Капуро, Марина Станиславовна",마리나 카푸로
"Коршунков, Пётр Валерьевич",표트르 코르슌코프
"Зиндер, Лев Рафаилович",레프 진데르
Станислав Михайлович Костюшкин,스타니슬라프 코스튜시킨
Владимир Михайлович Земляникин,블라디미르 제믈랴니킨
Валерий Александрович Кухарешин,발레리 쿠하레신
"Кэптукэ, Галина Ивановна",갈리나 바를라모바
Евгений Николаевич Лазарев,예브게니 라자레프
"Карамышева, Наталья Германовна",나탈리야 카라미셰바
Андрей Леонидович Костин,안드레이 코스틴
Ксения Олеговна Лаврова-Глинка,크세니야 라브로바-글린카
Юрий Сергеевич Лазарев,유리 라자레프
"Клюквин, Александр Владимирович",알렉산드르 클류크빈
Сергей Геннадьевич Карасёв,세르게이 카라쇼프
Виктор Косых,마렉 피에스트락
