Silbo gomero,シルボ
Organización Internacional de Comisiones de Valores,証券監督者国際機構
Pacharán,パチャラン
Batalla de Cissa,キッサの戦い
Catedral de Segovia,セゴビア大聖堂
Universidad Politécnica de Cataluña,カタルーニャ工科大学
Gaztelugache,ガステルガチェ
Gas Gas,ガスガス
Gran Premio de Aragón de Motociclismo,アラゴングランプリ
Blancos (Orense),オス・ブランコス
Valle de Egüés,バリェ・デ・エグエス/エグエシバル
Baltar (Orense),バルタール
Viana del Bollo,ビアナ・ド・ボーロ
La Mezquita,ア・メスキータ
Barbadanes,バルバダス
Sónar (festival),ソナー・(フェスティバル)
Club Voleibol Pòrtol (masculino),CVポルトル
Puentecesures,ポンテセスーレス
Beariz,ベアリス
Rodeiro,ロデイロ
Creciente (Pontevedra),クレセンテ
Boborás,ボボラス
La Vega (Orense),ア・ベイガ
Batalla de Simancas,シマンカスの戦い
Volta a Cataluña 2009,カタルーニャ一周2009
Amoeiro,アモエイロ
Villamarín (Orense),ビラマリン
Torre Cerredo,トーレ・セレード
Central nuclear de Lemóniz,レモニス原子力発電所
Concatedral de Logroño,ログローニョ大聖堂
Elecciones generales de España de 2000,2000年スペイン総選挙
Trasmoz,トラスモス
Valga,バルガ・(スペイン)
Cangas de Morrazo,カンガス
Lago de Sanabria,サナブリア湖
Parque nacional de las Islas Atlánticas de Galicia,ガリシア大西洋諸島国立公園
Chandreja de Queija,チャンドレーシャ・デ・ケイシャ
Balenciaga (empresa),バレンシアガ
Sotomayor,ソウトマイヨール
Tomiño,トミーニョ
Sevilla la Nueva,セビージャ・ラ・ヌエバ
Monasterio de las Huelgas (Burgos),サンタ・マリア・デ・ラス・ウエルガス王立修道院
Volta a Cataluña 2008,カタルーニャ一周2008
Catedral de Oviedo,オビエド大聖堂
Liga Nacional de Hockey Hielo,リーガ・ナシオナル・デ・ホッケイ・イエロ
Palacio Real de La Granja de San Ildefonso,ラ・グランハ宮殿
Plaza de Cibeles,シベーレス広場
Puentedeva,ポンテデーバ
Ciérvana,シエルベナ
Anexo:Gobernadores coloniales de Filipinas,スペイン領フィリピンの総督
Anexo:Pretendientes carlistas al trono español,カルリスタ王位請求者の一覧
Red Eléctrica de España,レッド・エレクトリカ・デ・エスパーニャ
Verea,ベレーア
Grupo ACS,ACS・(スペインの企業)
Sueca,スエカ
Ojos Negros,オホス・ネグロス
Sabiñánigo,サビニャニゴ
Mar Menor,マール・メノール
Plaza Mayor de Salamanca,マヨール広場・(サラマンカ)
Central nuclear José Cabrera,ホセ・カブレラ原子力発電所
Madrid de la Quinta del Buitre,キンタ・デル・ブイトレ
Rioja (vino),リオハ・ワイン
Unión Democrática de Cataluña,カタルーニャ民主連合
Villamiel de Toledo,ビジャミエル・デ・トレード
Moritz (cerveza),モリッツ
Campeonato Mundial de Ciclismo en Ruta de 1997,世界選手権自転車競技大会ロードレース1997
Guerra civil de Navarra,ナバーラ内戦
Sorteo Extraordinario de Navidad,ソルテオ・エクストラオルディナリオ・デ・ナビダ
Línea 9 (Metro de Barcelona),バルセロナ地下鉄9号線
Torneo de Valencia 2010,2010年バレンシア・オープン500
Línea 6 (Metro de Barcelona),バルセロナ地下鉄6号線
Salvatierra de Miño,サルバテーラ・デ・ミーニョ
Villarino de Conso,ビラリーニョ・デ・コンソ
Villardevós,ビラルデボス
Río (Orense),サン・ショアン・デ・リオ
Fútbol tiquitaca,ティキ・タカ
Centro Nacional de Supercomputación,バルセロナ・スーパーコンピューティング・センター
Islas Medas,マデス群島
Salceda de Caselas,サルセーダ・デ・カセーラス
Andoáin,アンドアイン
Campeonato Mundial de Ciclismo en Ruta de 1992,世界選手権自転車競技大会ロードレース1992
Junquera de Espadañedo,シュンケイラ・デ・エスパダネード
Batalla de Cartago Nova (209 a. C.),カルタゴ・ノウァの戦い・(紀元前209年)
Becerreá,ベセレアー
Mos,モス・(スペイン)
Baleira,バレイラ
Vuelo 602 de Iberia,イベリア航空602便墜落事故
Selección de voleibol de España,バレーボールスペイン男子代表
Puerto Lápice,プエルト・ラピセ
Quintela de Leirado,キンテーラ・デ・レイラード
Guitiriz,ギティリス
Salobre (Albacete),サロブレ
Cervantes (Lugo),セルバンテス・(スペイン)
Iznate,イスナーテ
Campeonato Mundial de Natación en Piscina Corta de 1993,1993年世界短水路選手権
Negueira de Muñiz,ネゲイラ・デ・ムニス
San Cristóbal de Cea,サン・クリストーボ・デ・セア
Pereiro de Aguiar,オ・ペレイロ・デ・アギアール
La Peroja,ア・ペローシャ
Medio Cudeyo,メディオ・クデージョ
Los Nogales (Lugo),アス・ノガイス
Castrelo de Miño,カストレーロ・デ・ミーニョ
Muras,ムーラス
Villalba (Lugo),ビラルバ
Coles,コーレス
Valle de Oro,オ・バラドウロ
Guntín,グンティン
Maside,マシーデ
Celanova,セラノーバ
Vegas del Condado,ベガス・デル・コンダード
Borrenes,ボレーネス
Barjas,バルハス
Vega de Espinareda,ベガ・デ・エスピナレーダ
Torre del Bierzo,トーレ・デル・ビエルソ
Cartelle,カルテージェ
Lovios,ロビオス
Premio Planeta,プラネータ賞
Entrimo,エントリーモ
Montederramo,モンテデラーモ
Laroco,ラロウコ
Batalla de Nájera,ナヘラの戦い
San Amaro (Orense),サン・アマーロ
Piedrabuena,ピエドラブエナ
Portas,ポルタス
Cuéllar,クエリャル
Ugena,ウヘーナ
Ribadumia,リバドゥミア
Porquera,ポルケイラ
Poyo,ポイオ
Puentecaldelas,ポンテ・カルデーラス
Cerdedo,セルデード
Arnoya,ア・アルノイア
Gomesende,ゴメセンデ
Zugarramurdi,スガラムルディ
Mesía,メシーア
Bóveda (Lugo),ボベダ
Laza,ラサ・(スペイン)
Cuntis,クンティス
Luciana,ルシアーナ
Fuencaliente (Ciudad Real),フエンカリエンテ
Villar de Santos,ビラール・デ・サントス
Cervera de los Montes,セルベーラ・デ・ロス・モンテス
Iberia Express,イベリア・エクスプレス
Zubieta (Guipúzcoa),スビエタ・(ギプスコア県)
Liga Española de Baloncesto Oro,LEBオロ
Sobrado (León),ソブラード・(レオン県)
Anexo:Aeropuertos de España,スペインの空港の一覧
Hispano Aviación HA-100 Triana,イスパノ・HA・100
Autoridad del Transporte Metropolitano,都市輸送公社・(バルセロナ)
Anexo:Partidos de la selección de fútbol de España,サッカースペイン代表の試合一覧
Club Deportivo Calahorra,CDカラオラ
Nissan Motor Ibérica,日産モトール・イベリカ
Elecciones al Parlamento Europeo de 1999,1999年欧州議会議員選挙
Valverde (Santa Cruz de Tenerife),バルベルデ・(スペイン)
Vega Sicilia,ベガ・シシリア
Campeonato Mundial de Ciclismo en Ruta de 1965,世界選手権自転車競技大会ロードレース1965
Anexo:Futbolistas de la selección de fútbol de España,サッカースペイン代表選手一覧
Anexo:Temporadas del Fútbol Club Barcelona,FCバルセロナの年度別成績一覧
Pico de las Nieves,ピコ・デ・ラス・ニエベス
Pedraforca,ペドラフォルカ
Palma Futsal,AEパルマ・フットサル
Salamanca (Madrid),サラマンカ・(マドリード)
Tetuán (Madrid),テトゥアン・(マドリード)
Era Galáctica del Real Madrid,銀河系軍団
Campeonato Mundial de Match Play,世界マッチプレー選手権
Oya (Pontevedra),オイア
Las Labores,ラス・ラボーレス
Surexpreso,南急行
Batalla naval de Santiago de Cuba,サンチャゴ・デ・キューバ海戦
Lobera (Orense),ロベイラ
La Lama,ア・ラマ
Beade,ベアーデ
Melón (Orense),メロン・(スペイン)
Bande,バンデ
Barro (Pontevedra),バーロ
Cortegada (Orense),コルテガーダ
Hontoba,オントーバ
Universidad de Cádiz,カディス大学
Universidad Rey Juan Carlos,フアン・カルロス王大学
Arganzuela,アルガンスエラ
Riós,リオス・(スペイン)
San Blas-Canillejas,サン・ブラス・(マドリード)
Comisiones Obreras,スペイン労働者委員会
Retiro (Madrid),レティーロ・(マドリード)
Open de España,オープン・デ・エスパーニャ
La puerta del Infierno (escultura),地獄の門
Puente Viejo (Ronda),ビエホ橋・(ロンダ)
Puente de Vallecas,プエンテ・デ・バリェカス
Universidad Politécnica de Valencia,バレンシア工科大学
Sociedad Deportiva Lemona,SDレモーナ
Puente Nuevo (Ronda),ヌエボ橋・(ロンダ)
Moncloa-Aravaca,モンクロア＝アラバカ
Islas Cíes,シエス諸島
Río Oria,オリア川
Pico de Orhi,オリ山
Monte Urgull,モンテ・ウルグル
Trofeo Colombino de fútbol,トロフェオ・コロンビーノ
División de Honor Juvenil de España,ディビシオン・デ・オノール・フベニール
ITP Aero,インダストリア・デ・ターボ・プロパルゾレス
Transportes Metropolitanos de Barcelona,バルセロナ交通局
Red Vives de Universidades,ビベス大学ネットワーク
Palacio de Deportes José María Martín Carpena,パラシオ・デ・デポルテス・ホセ・マリア・マルティン・カルペナ
Catedrales de España,スペインの大聖堂
Trofeo Miguel Muñoz,ミゲル・ムニョス賞
Palacio Euskalduna,エウスカルドゥナ国際会議場・コンサートホール
Plaza de toros Monumental de Pamplona,パンプローナ闘牛場
Universidad de Alicante,アリカンテ大学
Hospital de Tavera,タベーラ施療院
Central nuclear Santa María de Garoña,サンタ・マリア・デ・ガローニャ原子力発電所
Universidad Pontificia Comillas,ポンティフィシア・コミージャス大学
Batalla de Dertosa,デルトサの戦い
Real Jardín Botánico de Madrid,マドリード王立植物園
Chacolí,チャコリ
España napoleónica,ジョゼフ・ボナパルト治世下のスペイン
Real Club Deportivo de La Coruña Fabril,デポルティーボ・ファブリル
Red Bull X-Fighters,Red・Bull・X-Fighters
Fernando Buesa Arena,フェルナンド・ブエサ・アレナ
Línea 10 (Metro de Barcelona),バルセロナ地下鉄10号線
Central térmica de Andorra,テルエル火力発電所
Gastronomía de Cataluña,カタルーニャ料理
Volta a Cataluña 2005,カタルーニャ一周2005
Petronor,ペトロノール
Central nuclear de Trillo,トリリョ原子力発電所
Nacionalismo catalán,カタルーニャ・ナショナリズム
Central nuclear de Cofrentes,コフレンテス原子力発電所
Palo canario,フエゴ・デル・パーロ
Lucha canaria,ルチャ・カナリア
Challenge Ciclista a Mallorca,チャレンジ・シクリスタ・マヨルカ
Villarroya (La Rioja),ビジャロヤ
Abando,アバンド
Trofeo Alfredo Di Stéfano,トロフェオ・アルフレッド・ディ・ステファノ
Servicios Ferroviarios de Mallorca,マヨルカ鉄道
Palmas flamencas,パルマス・(音楽)
Clásica de San Sebastián 2011,クラシカ・サンセバスティアン2011
Ruta europea E901,E901号線
Universidad de las Islas Baleares,バレアレス諸島大学
Naviera Armas,ナビエラ・アルマス
Klasika Primavera,クラシカ・プリマベーラ
Museo de Bellas Artes de Valencia,バレンシア美術館
Rías Altas,リアス・アルタス
Universidad de Gerona,ジローナ大学
Partido Aragonés,アラゴン人党
Unión Deportiva San Sebastián de los Reyes,UDサン・セバスティアン・デ・ロス・レジェス
Getafe Club de Fútbol "B",ヘタフェCF・B
Domain hack,ドメインハック
Catedral de Santiago (Bilbao),ビルバオ大聖堂
Palacio de Congresos y Auditorio Kursaal,クルサール国際会議場・公会堂
Moraleja del Vino,モラレッハ・デル・ビーノ
Fútbol Club Barcelona "C",FCバルセロナC
Lubián,ルビアン
Gran Bilbao,コマルカ・デル・グラン・ビルバオ
Real Conservatorio Superior de Música de Madrid,マドリード音楽院
Clásica de San Sebastián 2008,クラシカ・サンセバスティアン2008
Puerto de Valencia,バレンシア港
Agrupación Deportiva Sala 10,ADサラ10
Selección de fútbol sub-20 de España,U-20サッカースペイン代表
Moratalaz,モラタラス
Partido Regionalista de Cantabria,カンタブリア地域主義党
Municipio (España),ムニシピオ
Palacio de la Magdalena,マグダレーナ宮殿
Club Deportivo Covadonga,CDコバドンガ
El Sardinero,サルディネーロ海岸
Heartbrand,ウォールズ・アイスクリーム
Plaza de San Jaime,サン・ジャウマ広場
Roca (empresa),ロカ
Tata Hispano,タタ・イスパノ
Puebla de Sanabria,プエブラ・デ・サナブリア
Campeonato Mundial de Ciclismo en Ruta de 1984,世界選手権自転車競技大会ロードレース1984
Virgen del pez,魚の聖母
Copa Intercontinental 2002,インターコンチネンタルカップ・(サッカー)2002
Jazzaldia,サン・セバスティアン国際ジャズ・フェスティバル
Estadio Municipal de Montilivi,エスタディ・モンティリビ
Pulpo a la gallega,ポルボ・ア・フェイラ
Unión Fenosa,ウニオン・フェノーサ
Pico Alcazaba,アルカサバ山
Tratado de San Lorenzo (1795),ピンクニー条約
Gimnástica Segoviana Club de Fútbol,ジムナスティカ・セゴビアナCF
Década Ominosa,忌むべき十年間
Cordilleras Costero-Catalanas,カタルーニャ海岸山脈
Africa Eco Race,アフリカ・エコレース
Selección de fútbol sub-23 de España,U-23サッカースペイン代表
Tratado de Aranjuez (1779),アランフエス条約・(1779年)
Conservatorio Superior de Música del Liceo,リセウ高等音楽院
Orquesta Sinfónica de RTVE,RTVE交響楽団
Club Voleibol Almería,CVアルメリア
Vuelta a la Comunidad Valenciana,ボルタ・ア・ラ・コムニタ・バレンシアナ
Bahía de Palma,パルマ湾
EPIC Racing,EPIC・レーシング
La Gioconda (taller de Leonardo da Vinci),モナ・リザ・(プラド美術館)
Copa del Rey juvenil,コパ・デル・レイ・フベニール
Club Deportivo Teruel,CDテルエル
Montes vascos,バスク山脈
PS20,プランタ・ソラール20
Capirote (penitente),カピロテ
Universiada de invierno de 2015,2015年冬季ユニバーシアード
Irizar,イリサール・(企業)
Ruta europea E801,E801号線
Gran Premio de Cataluña de Motociclismo de 2004,2004年のカタルーニャグランプリ
Copa del Sol,コパ・デル・ソル
