Dudon de Saint-Quentin,聖·昆汀杜多
Conan Ier de Bretagne,科南一世，布列塔尼公爵
André Cluytens,安德烈·克鲁伊滕斯
Yves Meyer,伊夫·梅耶爾
Émilie de Vialar,埃米尔·德维亚拉尔
Juliette Drouet,朱丽叶·德鲁埃
André Chassaigne,安德烈·沙赛涅
Lucile Desmoulins,露西爾·迪普莱西
Jean Guichet,尚·紀謝
Rachel,瑞秋
Louis Désiré Blanquart-Évrard,路易·德塞尔·巴兰夸特-伊沃拉德
Marjorie Noël,瑪喬麗·諾爾
Jean-Étienne Esquirol,吉恩·埃斯基羅爾
André Couder,安德烈·库代
Alice Sapritch,爱丽丝·萨卜特叙
Bernard Heuvelmans,贝尔纳·厄韦尔曼斯
Alexandre Lavalley,亚历山大·拉瓦利
Benjamin Baillaud,邦雅曼·巴约
Bernard Giraudeau,貝納·紀歐多
Pascal Engel,帕斯卡·恩格尔
André Hunebelle,安德烈·于纳贝尔
Jean-Christophe Péraud,让·克里斯托夫·佩罗
André Coyne,安德烈·柯因
Olivier Père,奥利维尔·佩尔
André Chorda,安德烈·乔达
Guillaume Ier de Bures,纪尧姆一世
Sofia Mestari,索菲婭·梅斯塔
Juliet Berto,朱丽叶·贝图
Françoise d'Orléans,弗朗索瓦 (奧爾良公主)
Almira Skripchenko,阿尔米拉·斯克里普琴科
Madeleine de Puisieux,瑪德琳·代·普利雪
Nina Companeez,尼娜·康萍茲
Stanislas Dehaene,斯坦尼斯·德阿納
Danielle Casanova,达妮埃尔·卡萨诺瓦
Dominique Lavanant,多米尼克·拉冯纳特
Nicole Le Douarin,尼科尔·玛莎·勒·杜阿兰
Gaëtane Thiney,加埃坦·蒂尼
Marie Darrieussecq,瑪麗·達里埃塞克
Emmanuelle Laborit,埃马努埃勒·拉博里
Józef Chłopicki,尤澤夫·霍皮茨基
Charles de Bourbon,查爾斯·德·波旁
Louis-Armand de Bourbon-Conti,路易-阿尔芒二世
André Marie,安德烈·馬里
Anne-Thérèse de Marguenat de Courcelles,蘭伯特侯爵夫人
Yannick Bellon,雅尼克·貝龍
Marcello Pagliero,马塞洛·巴格利埃罗
Marie-Thérèse Levasseur,戴萊斯·雷瓦索
Charles d'Albert,吕伊内公爵
Etel Adnan,伊黛·阿德南
Elisa Sednaoui,伊麗莎·瑟娜薇
Christa Théret,克丽斯塔·泰雷
Robert Lelièvre,罗伯特·列里弗尔
Albert Guyot,阿尔贝·居约
Eustache Deschamps,尤斯塔奇·德尚
Euzhan Palcy,尤桑·巴爾琪
Pierre de Maricourt,彼德勒斯·佩雷格林納斯
Léon Vaillant,萊昂·瓦蘭特
Philippe-Joseph-Benjamin Buchez,菲利普·比谢
Thierry Rey,蒂埃里·雷伊
Babacar Mbaye Gueye,巴巴卡·盖伊
Philippe de Milly,米利的腓力
André Devaux,安德烈·德沃
François-Marie de Broglie,弗朗索瓦-马利·德·布罗伊，第一代布罗伊公爵
Catherine Charlotte de Gramont,卡特琳·夏洛特·德·格拉蒙
Laurent Bonnart,劳伦特·伯纳特
Lisa Azuelos,丽萨·阿祖洛斯
Pauline Félicité de Mailly-Nesle,波利娜·费利西泰·德·马伊-内勒
Mevlüt Erdinç,梅弗盧特·埃爾丁
Marine Delterme,马里恩·德尔特梅
André Messager,安德烈·梅萨热
Alexandra Lamy,亚历山德拉·拉米
Maurice Denis,莫里斯·丹尼
Suzy Solidor,蘇茜·索利多爾
Julie-Marie Parmentier,茱莉-玛丽·帕芒提耶
Julia Channel,Julia Channel
Paul Lévy,保羅·皮埃爾·萊維
Noémie Lvovsky,諾艾米·勞佛斯基
Charles de Montalembert,夏尔·德·蒙塔朗贝尔
Matthieu Merle,马蒂厄·梅尔勒
Prince Jean d’Orléans,讓
Bouabdellah Tahri,布阿卜杜拉·塔希里
Isabelle Demongeot,伊莎贝拉·德蒙戈
Fernand Cormon,费尔南德 柯罗蒙
Isabel Marant,伊莎貝爾瑪蘭
Marcellin Boule,瑪瑟蘭·蒲勒
Rosemonde Gérard,罗丝蒙德·热拉尔
Audrey Fleurot,奧黛麗·弗魯羅
Félix Chemla Lamèch,费利克斯·尚拉·拉梅克
Charles Ier de Bourbon,查理·波旁
Pierre Bordage,皮尔·博代奇
Marianne Basler,玛丽安娜·巴斯莱
Louis Jules Trochu,路易·朱爾·特羅胥
Garance Clavel,嘉朗丝·克拉维尔
Benoît Tréluyer,伯努瓦·特雷吕耶
Claude Closky,克劳德·克洛斯基
André Dussollier,安祖·杜素利亞
José Anigo,何塞·阿尼哥
André Duroméa,安德烈·迪罗梅亚
Thierry Arbogast,泰瑞·阿爾波卡斯特
Radu Mihaileanu,拉杜·米哈伊列亚努
Alain Minc,阿兰·曼
Paul Poupard,保祿·普帕爾
Cédric Fauré,塞德里克·福雷
René Sergent,勒內·塞爾讓
William Abadie,威廉·阿巴迪
Francis Ryck,弗朗西斯·瑞克
Gaël Touya,加埃尔·图亚
André Gayot,安德烈·加約
Jean Guéhenno,让·吉昂鲁
Marama Vahirua,華希·路亞
André François-Poncet,安德烈·弗朗索瓦-龐賽
Léon Cogniet,萊昂·科涅
Véronique Claudel,韦罗妮克·克洛代尔
André Léo,安德烈·莱奥
Jean Djorkaeff,讓‧德約卡夫
Michel Winock,米歇尔·维诺克
Michel Berger,米歇爾·伯傑
Pierre Renoir,皮耶·雷諾瓦
Jean du Bellay,若望·杜倍雷
Dominique Venner,多米尼克·溫納
Valérie Bonneton,瓦莱丽·博莱同
Nadia Farès,娜迪亚·法雷斯
Jean Cristofol,让·克里斯托福尔
Louis Picamoles,路易斯·皮卡莫雷斯
Jean Rollin,吉恩·洛蘭
Léa Drucker,蕾雅·德吕盖
Catherine Mouchet,凯瑟琳·蒙切特
Philippe Jaroussky,菲利普·雅罗斯基
Eliaquim Mangala,伊利亞金·文加拉
Nicolas Mas,尼古拉斯·馬斯
Jacques-Joseph Champollion-Figeac,賈克-約瑟夫·商博良
Honoré Théodore Maxime Gazan,泰奥多尔·马克西姆·加赞
Hugues Duboscq,于格·迪博斯克
Suzanne Schiffman,蘇珊娜·希夫曼
Jacqueline Lamba,杰奎琳·兰巴
André Frénaud,安德烈·弗雷诺
Claire Guyot,克萊兒·蓋雅
Louis-Antoine Ranvier,路易斯-安托万·兰维尔
Laurent Pichon,洛朗·皮尚
Jean-René Lisnard,讓-雷內·里斯納德
François de Montmorency,弗朗索瓦 (蒙莫朗西公爵)
Alexandre-Théophile Vandermonde,亞歷山大-泰奧菲勒·范德蒙德
Guy Gilles,蓋伊·吉爾
Guillaume Ier d'Achaïe,纪尧姆一世
Jean Leray,让·勒雷
Jean-Claude Dreyfus,尚-克洛德·德雷福斯
Pierre Henry,皮耶·亨利
Michel Verne,迈克尔·凡尔纳
Jean-François Piège,让-弗朗索瓦·皮耶热
André Gill,安德烈·吉尔
Géraldine Gogly,杰拉丁·戈格利
Claude Lombard,克勞德·隆巴德
René II de Lorraine,勒內二世 (洛林)
Anthony Mounier,安東尼·毛尼爾
Sylvain Chomet,西拉維·休曼
Ambroise,安博羅斯
Romain Duris,羅曼·杜里斯
Nathalie Even-Lancien,纳塔莉·朗西安
André Gerin,安德烈·热兰
Jean Maximilien Lamarque,让·马克西米利安·拉马克
Françoise Bonnot,弗朗索瓦·博諾
Ferdinand-Philippe d'Orléans,斐迪南·菲利普
Auguste Ambroise Tardieu,答迪厄
Patricia Millardet,帕特里夏·米拉德
Julie Gavras,朱莉·加夫拉斯
Louise Monot,露易丝·莫诺特
René Étiemble,艾田蒲
André Godard,安德烈·戈達德
Quatremère de Quincy,伽特赫梅赫·德·甘西
Karim Wade,卡里姆·瓦德
Christophe Béchu,克里斯托夫·贝许
Cyrielle Clair,谢丽埃勒·克莱尔
Bouchard Ier de Marly,马尔利的布沙尔
François Michel Le Tellier de Louvois,盧福瓦侯爵
Pierre II de Bretagne,皮埃爾二世
André Grabar,安德烈·格拉巴尔
Wenceslas Lauret,文策斯拉·勞拉特
Ambroise Vollard,安伯斯·佛拉
Daniel Pauly,丹尼尔·保利
Hélène Langevin-Joliot,伊蓮娜·朗之萬-約里奧
Léo Taxil,尼歐·塔克希爾
Louis Laufray,路易·洛弗雷
Alain Madelin,阿兰·马德兰
Grégory Vignal,格雷戈里·维尼亚尔
André Gobert,安德烈·戈伯特
Thierry Champion,蒂埃里·尚皮永
Christopher Wreh,基斯杜化·禾亞
Édouard Riou,艾鐸·里歐
Jean-Baptiste-François Pitra,吉恩-巴蒂斯特-弗朗索瓦·皮特拉
Jacques Audiberti,雅克·奥迪贝蒂
Oscar Venceslas de Lubicz-Milosz,奧斯卡·米洛什
Louis Le Bègue Duportail,路易·莱贝格·迪波塔伊
Victor Duruy,維克多·杜慧
Charles François Paul Le Normant de Tournehem,夏尔·弗朗索瓦·保罗·勒诺尔芒·德图尔内姆
Georges Valois,喬治·瓦盧瓦
Fania Fénelon,法尼亚·费内隆
Arben Bajraktaraj,阿本・巴拉塔拉吉
Raoul Ruiz,劳尔·鲁伊斯
Marie-Laure Delie,玛丽-洛尔·德利
Henri Laborit,翁赫義·拉柏賀義
François de Bourbon-Vendôme,弗朗西斯一世 (旺多姆伯爵)
André Félibien,安德烈·費利比安
Jean Vanier,让·瓦尼埃
Claude Ménard,克洛德·梅纳尔
Jesús-Rafael Soto,赫苏斯·拉斐尔·索托
Gilbert de La Porrée,普瓦捷的吉尔波特
Benjamin Millepied,本杰明·米派德
Bertrand Cantat,贝特朗·冈达
Florence Delay,弗洛伦丝·德莱
Armand-Emmanuel du Plessis de Richelieu,阿尔芒-埃曼纽尔·迪普莱西
Frédéric François-Marsal,弗雷德里克·弗朗索瓦-马萨尔
Claude Mauriac,克洛德·莫里亚克
Anne de Laval,圖阿爾子爵夫人拉瓦爾的安妮
Louis Faidherbe,路易·费代尔布
Auguste Albert,奥古斯特·阿尔贝
Jean-Pierre Abelin,让-皮埃尔·阿伯兰
Jade Laroche,杰德·拉罗奇
Maurice Bouton,莫里斯·莫内-布东
André Guy,安德烈·吉
Jean Masson,让·马松
Daniel Defert,丹尼尔·德菲
Christian Ferras,克里斯蒂安·費拉斯
Charles Dadant,达旦
Archambaud IX de Bourbon,阿尔尚博九世
François Villiers,弗朗索瓦·維利耶
Joseph Achille Le Bel,列貝爾
François de Tournon,方濟各·迪·圖爾農
Corine Petit,科里娜·珀蒂
Benjamin Corgnet,邦雅曼·科尔涅
Gribouille,格丽布耶
Benny Lévy,貝尼·勒維
Paul Poiret,普瓦·波烈
Michel Dantin,米歇尔·当坦
Thierry Ascione,蒂埃里·阿西翁
Jules Méline,朱尔·梅利纳
Agénor de Gramont,格拉蒙公爵阿热诺尔
Frédéric Blanchy,弗雷德里克·布朗希
Jean de Labadie,拉巴底
François Le Clerc,弗朗索瓦·勒克莱尔
André F. Heller,安德烈·海勒
Georgette Leblanc,喬吉特·盧布朗
Julien Tiersot,朱利安·蒂爾索
Delphin Alard,讓-德爾芬·阿拉德
Ferdinand de Savoie,熱那亞公爵費迪南多
Charles Claude Flahaut de La Billarderie,夏尔-克洛德·弗拉奥·德拉比亚尔德里
Maximilien Sébastien Foy,马克西米利安·塞巴斯蒂安·富瓦
Satprem,萨特普雷姆
René Desfontaines,勒内·卢伊什·德方丹
Claire Lacombe,拉孔貝
André Labarrère,安德烈·拉巴雷尔
Fernand Bouisson,费尔南·布伊松
Jean Joseph Frédéric Albert Farre,讓-約瑟夫·法赫
Charles II de Bourbon,夏尔二世·德·波旁
Philippe Leleu,菲利普·勒勒
André Jousseaume,安德烈·茹索姆
Anne Caillon,安妮·卡隆
Charles Louis Gay,查理·路易·盖伊
François Mauriceau,弗朗索瓦·莫理士
Louis Jean-Marie Daubenton,路易·让-马里·多邦东
Antoinette de Lorraine,洛林的安托瓦内特
Auguste Bouché-Leclercq,奥古斯特·布谢-勒克莱尔
Antoine Karam,安托尼·卡拉姆
Guillaume III de Croÿ,科羅伊主教
Jane Dieulafoy,珍 迪拉菲
Elsa Zylberstein,艾尔莎·泽贝斯坦
Sylvia Serfaty,西尔维娅·瑟法蒂
Jean-Étienne-Marie Portalis,让-艾蒂安-马里·波塔利斯
Nicolas Ouédec,尼古拉斯·韦德克
Tristan Garcia,特里斯坦·加西亚
Charles Arnold Tournemire,夏尔·图内米尔
André Isoir,安德烈·依佐爾
Antoine Danchet,安托万·当谢
Frantz Granvorka,法蘭茲·格蘭沃卡
Georges Izambard,乔治·伊藏巴尔
Antoine Caron,安托万·卡龙
Carle Vernet,卡尔·韦尔内
Louis Hennepin,路易·亨内平
Gwenaëlle Aubry,葛奈兒·奧布里
Pierre Fourier,皮埃尔·富里耶
Louis Viardot,路易·维亚多
Saïdou Bokoum,萨伊杜·博库姆
Marie de Bourbon,瑪麗·德·波旁
Jean-Baptiste Charles Bélanger,让-巴蒂斯特·夏尔·约瑟夫·贝朗热
Charlotte de Bourbon,夏洛特.德.波旁
Gilbert Duprez,G.-L. 迪普雷
Arsène d'Arsonval,阿尔塞纳·达松瓦尔
Marie-Anne Chazel,玛丽-安妮·查泽尔
Manuela Montebrun,曼努埃拉·蒙特布兰
Claude Perron,克洛德·佩隆
Fanny Biascamano,范妮·比亞斯卡曼諾
Antoine-François Momoro,安托万-弗朗索瓦·莫莫罗
René Chocat,勒内·肖卡
Thibaut Pinot,蒂博·皮诺
Félix Bracquemond,布拉克蒙
Serge Reggiani,塞吉·雷加尼
Yvonne Choquet-Bruhat,伊冯娜·肖凯-布吕阿
Charles-Julien Lioult de Chênedollé,夏尔-朱利安·利乌·德·谢纳多莱
Charles Ier Gonzague,卡洛一世·貢扎加
Diane Kurys,黛安娜·克里斯
Albert Sarraut,阿尔贝·萨罗
Amdy Faye,阿姆迪·法耶
Jacques Songo'o,松戈奥
Marie Bigot,玛丽·比戈
Madeleine Colani,玛德琳·柯拉尼
Jacques-Alain Miller,雅克-阿兰·米勒
Augustin de Saint-Aubin,奥古斯丁·德·圣-奥班
Antoine Dénériaz,安托万·德内里亚
Antoine Fabre d'Olivet,安東尼·法柏瑞·歐勒維
Pascale Paradis,帕斯卡莱·帕拉迪斯
Hubert Robert,于贝尔·罗贝尔
Dani,达尼
Jacques Brugnon,雅克·布容
Marie Versini,玛丽·韦尔西尼
François Pallu,陸方濟
Antoine-François Marmontel,安托萬·弗朗索瓦·馬蒙泰爾
Antoine Gaubil,宋君榮
André Lagache,安德烈·拉加什
Bertrand de Toulouse,伯特蘭
Gérard Grisey,热拉尔·格里塞
Jean-Luc Marion,讓-呂克·馬里翁
Armande Béjart,阿芒曼·貝雅爾
Louis Claude de Saulces de Freycinet,路易士·凡席奈特
Pierrette Fleutiaux,皮埃爾特·弗盧提奧
Marion Hänsel,玛丽安·昂塞尔
Jocelyn Angloma,安高馬
Joanni Perronet,若阿尼·佩罗内
Dany Carrel,达尼·卡雷尔
Jean de Brunhoff,尚·迪·布倫諾夫
André Le Troquer,安德烈·勒·特罗克尔
Yves Jégo,伊夫·热戈
Antoine Bussy,安托萬·比西
Antoine Drouot,安托万·德鲁奥
François Péron,弗朗索瓦·佩龙
Claude Chevalley,克勞德·謝瓦萊
Nathalie Delon,娜塔莉·德龙
Marie de Lorraine,洛林的瑪麗
Josephine Chaplin,約瑟芬·卓別林
Olivier Roy,奥利维尔·罗伊
Roland Dumas,罗兰·迪马
Philogène Auguste Joseph Duponchel,菲洛金·奧古斯特·約瑟夫·杜邦歇爾
Antoine Clamaran,安托万·克拉玛兰
Jean de Foix,讓·德富瓦 (納博訥子爵)
Trần Nữ Yên Khê,陳女燕溪
Gail Sherriff,蓋兒·先弗理奧
Philippe Troussier,菲利普·特鲁西埃
Jean-Claude Malgoire,尚-克劳德·马尔古瓦
Titof,蒂托夫
Jean Wagner,让·瓦格纳
Denis Decrès,德尼·德克雷斯
François Leclerc du Tremblay,弗朗索瓦·勒克莱尔·德·特朗布莱
Jules Simon,朱尔·西蒙
Antoine Duhamel,安托万·迪阿梅尔
Antoine Duléry,安端‧杜萊西
Auguste Dupin,C·奧古斯特·杜邦
Lætitia Masson,拉堤雅·瑪松
Emmanuel Guibert,艾曼紐·吉拜
Pierre-Marie Carré,伯多祿-瑪利亞·卡瑞
Frédéric Guesdon,弗雷德里克·盖东
Émile Fisseux,埃米尔·菲瑟
Joachim Barrande,约阿希姆·巴兰德
Alain Caveglia,阿蘭·卡維里亞
André Lefèbvre,安德烈·勒菲弗爾
Antoine Germain Labarraque,安托万·热尔曼·拉巴拉克
Albano Olivetti,阿爾巴諾·奧利維蒂
Françoise Grossetête,弗朗索瓦茲·格羅塞特
Louis Madelin,路易·馬德林
Henri Tolain,亨利·托莱因
Rudy Gestede,鲁迪·格斯特德
Antoine Godeau,安托万·戈多
Louis Buffet,路易·比费
William Henry Waddington,威廉·沃丁顿
Jean Philippe,讓·菲利普
Joël Giraud,若埃尔·吉罗
Sylvain Cambreling,西尔万·康布雷兰
Pascale Petit,帕斯卡尔·普缇
André Lerond,安德烈·勒洪
Jacques Mesrine,雅克·梅斯里纳
Thierry Lhermitte,蒂埃里·莱尔米特
Hamilton Sabot,漢密爾頓·薩伯
Jean Carmet,让·卡尔梅
Antoine Marfan,安東尼·馬凡
Charles Mellin,查爾斯·梅林
Maurice Bénichou,莫里斯·本尼丘
Jean Favier,讓·法維耶
Frédéric Encel,弗雷德里克·恩塞尔
Antoine Joseph Santerre,安托萬·約瑟夫·桑泰爾
Antoine Kombouaré,安東尼·孔鮑爾
Jean Béraud,让·贝罗
Antoine de Monaco,安托萬一世 (摩納哥)
Hélène Fillières,埃莱娜·菲利埃
Arsène Lupin,亚森·罗宾
Jacques Sernas,贾可·塞纳斯
Lionel Plumenail,利昂内尔·普吕默纳伊
Catalina Denis,卡塔利娜·丹尼斯
Sara Martins,萨拉·马丁斯
Gérard Christophe Michel Duroc,热罗·迪罗克
Olivier Assayas,奥利维耶·阿萨亚斯
Céline Sciamma,瑟琳·席安玛
Lola Naymark,罗拉·奈马克
Jean-Pierre Kahane,讓-皮埃爾·卡汗
Émile Baudot,埃米尔‧博多
Hervé Morin,埃尔韦·莫兰
Henri Thomas,亨利·湯瑪斯
Marie-Noëlle Lienemann,瑪麗-諾埃勒·利納曼
Philibert Ier de Savoie,菲利貝托一世
Luka Karabatic,盧卡·卡拉巴蒂奇
Marceline Loridan-Ivens,玛索琳娜·罗尔丹·伊文思
Claude Frollo,克勞德·孚羅洛法官
Eugène Carrière,歐仁·卡里埃
Isabelle de France,法蘭西的伊莎貝爾
Antoine Louis,安托万·路易
Vincent Chalvon-Demersay,文森特·沙尔翁-丁蒙赛
Étienne Lécroart,埃蒂安·勒克劳特
Henri Deslandres,亨利-亚历山大·德朗德尔
Catherine Leterrier,凯瑟琳·莱泰里尔
Bernard Laidebeur,伯納德·萊德伯
Louis Ramond de Carbonnières,路易斯·雷蒙德·德·卡尔博尼埃
Charles-Edmond Perrin,夏尔-埃德蒙·佩兰
Anne-Catherine de Ligniville Helvétius,愛爾維修夫人
Antoine Sfeir,安托万·斯费尔
Brigitte Aubert,歐貝赫
Rebecca Lord,丽贝卡·罗德
Paul Hazard,保罗·阿扎尔
Marcel Vertès,馬塞爾‧韋特斯
Anouk Grinberg,阿努克·格林伯格
Jérémy Berthod,謝列美·貝科特
François Le Lionnais,弗朗索瓦·勒·利奥奈
Antoine Richard,安托万·理查尔
Jacques Foccart,賈克·佛卡爾
Jean-François Heidenreich,讓·弗朗索瓦·海登萊希
Blanche Delacroix,卡罗琳·拉克鲁瓦
Hélène de Fougerolles,伊莲娜·德·芙吉霍尔
Alfred Lacroix,阿尔弗雷德·拉克鲁瓦
Jaouad Zaïri,扎伊里
Edmond Jabès,埃德蒙·雅貝斯
Michel Leiris,米歇尔-勒西斯
Anne Alvaro,安妮·阿爾瓦羅
Numa Denis Fustel de Coulanges,努马-丹尼斯·甫斯特尔·德·库朗日
Henri Béraud,亨利·贝罗
Marcel Peyrouton,马塞尔·佩鲁东
Jean-Louis Raduit de Souches,讓-路易·拉杜·德·蘇什
Isidore Geoffroy Saint-Hilaire,伊西多尔·喬弗華·圣希莱尔
Mélanie Bernier,梅兰妮·贝尔内尔
Jacques Foix,雅克·福克斯
Victor Segalen,谢阁兰
Nicolas de Largillière,尼古拉·德拉吉利耶
Serge Roques,塞尔热·罗克
Germain de Paris,巴黎的日耳曼
Antoine d'Orléans,安托萬·菲利浦 (蒙特龐謝伯爵)
Fanny Cottençon,芬尼·科腾肯
Claude Cheysson,克洛德·谢松
André Maschinot,安德烈·马斯基诺特
Carlo Filangieri,卡洛·菲朗吉里
Jacques Amyot,雅克·阿米欧
Jean-Baptiste Macquet,让-巴蒂斯特·马凯
Gilles Veissière,吉爾斯·維賽耶爾
Antoine d'Orléans,安托万王子，蒙特庞谢公爵
Alexandre Tansman,亚历山大·汤斯曼
Roland Topor,罗兰·托普
Chester Himes,卻斯特·海姆斯
Antoine Bruny d'Entrecasteaux,安托瓦內·布呂尼·德·昂特勒卡斯托
Luc Chatel,吕克·沙泰尔
Vercors,尚·布魯勒
Antoine de Pas de Feuquières,弗基耶尔侯爵安东尼·德·巴
Antoine de Montchrestien,安托万·德·蒙克雷蒂安
Antoine de Pluvinel,安托万·德·普鲁维内尔
Antoine Rigaudeau,里告多
Jean-Baptiste Isabey,让-巴蒂斯特·伊萨贝
Michel Dubost,彌額爾·迪博斯特
Robert-François Damiens,罗贝尔-弗朗索瓦·达米安
Jacques Ignace Hittorff,雅克·希托夫
Félicien Marceau,費利西安·馬索
Bernard-Nicolas Aubertin,伯爾納鐸-尼各老·奧伯爾坦
Eddy Marnay,埃迪·玛奈
Claire de Duras,克萊爾·德·杜拉斯
Henri Rochefort,亨利·罗什福尔
François Certain de Canrobert,弗朗索瓦-塞尔坦·康罗贝尔
Jean-Léonard-Marie Poiseuille,讓·路易·馬利·普瓦澤伊
Antoine de Paule,安托万·德·保勒
Simone Évrard,西蒙娜·埃夫拉尔
André Navarra,安德列·納瓦拉
Roger Vailland,罗歇·瓦扬
Chrétien Guillaume de Lamoignon de Malesherbes,纪尧姆-克雷蒂安·德·拉穆瓦尼翁·德·马勒泽布
Booba,布巴（歌手）
Irina Ionesco,伊里娜·尤涅斯科
Victoire de Donnissan de La Rochejaquelein,维克图瓦·德·多尼桑·德拉罗什雅克兰
Claude Faraldo,克劳德·法拉尔多
Tony Gallopin,托尼·加洛潘
Piotr Świerczewski,彼得·斯维尔切夫斯基
Mohammed Dib,穆罕默德·迪卜
Christophe Barratier,克里斯·巴哈帝
Lizzie Brocheré,麗茲
Patrick Dewaere,帕特里克·德韦尔
André Michaux,歐德利·咪素
Ian Mahinmi,伊恩‧馬辛米
Jean-Claude Carrière,尚-哥羅特·加利爾
Michel Camdessus,米歇尔·康德苏
Pierre-René Lemas,皮埃尔-勒内·勒马
Maxime Rodinson,馬克西姆·婁丁遜
Gérard Hausser,热拉尔·奥塞
Caroline Proust,卡洛琳·普鲁斯特
Pierre le Vénérable,可敬者彼得
Henri Wallon,亨利-亚历山大·瓦隆
Thibaud III de Blois,蒂博三世
Florence Cassez,弗洛伦斯·卡塞斯
Louis Henri Loison,路易·亨利·卢瓦宗
Hubert Damisch,休伯特·達米施
Isaac Jogues,聖依撒格·饒覺
Fabrice Abriel,尼安
Jean-Henry d'Anglebert,J.-H. 当格勒贝尔
