日本の元号,日本年號
浜離宮恩賜庭園,滨离宫恩赐庭园
長谷寺・(鎌倉市),長谷寺·(鎌倉市)
与謝郡,與謝郡
北区・(神戸市),北區·(神戶市)
垂水区,垂水區
富士見村・(群馬県),富士見村
長田区,長田區
内閣官房長官,内阁官房长官
船井郡,船井郡
2008年の日本シリーズ,2008年日本大賽
兵庫区,兵庫區
中央区・(札幌市),中央區·(札幌市)
多可町,多可町
天白区,天白區
猪名川町,豬名川町
世羅郡,世羅郡
門跡,門跡
白泉社,白泉社
守山区,守山區
昭和区,昭和区
南区・(名古屋市),南區·(名古屋市)
名東区,名東區
播磨町,播磨町
上信越高原国立公園,上信越高原國立公園
さいたま市駒場スタジアム,埼玉市浦和駒場體育場
横浜市立大学,橫濱市立大學
アーティゾン美術館,普利司通美術館
大和ハウス工業,大和房屋工業
伊奈町,伊奈町
西伯郡,西伯郡
延暦寺,延曆寺
彩京,彩京
毛利氏,毛利氏
東京工科大学,东京工科大学
泉区・(横浜市),泉區·(橫濱市)
茨城町,茨城町
富山藩,富山藩
日本海・(列車),日本海號列車
極楽寺・(鳴門市),極樂寺·(鳴門市)
観心寺,觀心寺
竜王町,龍王町
サテライト・(アニメ制作会社),SATELIGHT
小浜藩,小濱藩
ひかりレールスター,光號鐵路之星
住友ファーマ,住友制药
巡音ルカ,巡音流歌
御幣島駅,御币岛站
甲南大学,甲南大學
このライトノベルがすごい!,這本輕小說真厲害！
北陸新幹線,北陸新幹線
山崎駅・(京都府),山崎站·(京都府)
小川原湖,小川原湖
白川町,白川町
能勢町,能勢町
長野原町,長野原町
緑区・(横浜市),綠區·(橫濱市)
青葉区・(横浜市),青葉區·(橫濱市)
坂田駅,坂田車站·(滋賀縣)
長浜駅,長濱車站
加島駅,加島站
大治・(日本),大治·(日本)
島本駅,島本站
田村駅,田村車站·(滋賀縣)
向日町駅,向日町站
吉野山,吉野山
榛原郡,榛原郡
恭仁京,恭仁京
利根町,利根町
那須郡,那須郡
嬬恋村,嬬戀村
境町,境町
水前寺成趣園,水前寺成趣園
円成寺・(奈良市),圓成寺
南禅寺,南禪寺·(京都市)
バドミントン日本代表,日本國家羽毛球隊
サクセス・(ゲーム会社),Success
チョーヤ梅酒,蝶矢梅酒
霊山寺・(奈良市),靈山寺·(奈良市)
室生寺,室生寺
方円社,方圓社
功山寺,功山寺
名古屋市市政資料館,名古屋市市政資料館
真正極楽寺,真正極樂寺
三島郡・(新潟県),三島郡·(新潟縣)
加美郡,加美郡
山県郡,山縣郡
大河原町,大河原町
神石郡,神石郡
飽海郡,飽海郡
泉崎村,泉崎村
西村山郡,西村山郡
三内丸山遺跡,三內丸山遺跡
名鉄名古屋駅,名鐵名古屋站
名古屋臨海高速鉄道あおなみ線,青波線
豊和工業,丰和工业
富山城,富山城
小野市,小野市
寂光院,寂光院
七支刀,七支刀
時代祭,時代祭
上越新幹線,上越新幹線
近畿大学,近畿大学
総合車両製作所,綜合車輛製作所
浄土真宗,淨土真宗
大正大学,大正大學
西南学院大学,西南學院大學
寺社奉行,寺社奉行
大和駅・(神奈川県),大和站·(神奈川縣)
京急逗子線,逗子線
東洋文庫,东洋文库
東加茂郡,東加茂郡
湘南台駅,湘南台站
亀戸駅,龜戶站
南京町・(神戸市),南京町
内浦湾,內浦灣
吉田郡山城,吉田郡山城
Elements・Garden,Elements·Garden
墨俣城,墨俣城
大洲城,大洲城
関西学院大学,關西學院大學
弁天台場,辯天台場
せたな町,瀨棚町
高松藩,高松藩
アクアプラス,AQUAPLUS
代々木八幡駅,代代木八幡站
宝塚大劇場,寶塚大劇場
堀川・(名古屋市),堀川·(名古屋市)
石山寺,石山寺
屋代島,周防大島
壬生寺,壬生寺
妻籠宿,妻籠宿
鹿島建設,鹿島建設
木津川口の戦い・(1614年),木津川口之戰·(1614年)
はさみ将棋,夾將棋
新幹線E3系電車,新幹線E3系電力動車組
霊山寺・(鳴門市),靈山寺·(鳴門市)
不知火・(妖怪),不知火
アリスJAPAN,Alice·Japan
トワイライトエクスプレス,黃昏特快號列車
長良川国際会議場,長良川國際會議場
洲埼灯台,洲埼灯塔
菩提寺,菩提寺·(日本)
ドグマ・(アダルトビデオ),Dogma
ソープランド,泡泡浴·(性服務)
田村郡,田村郡
函館空港,函館機場
南秋田郡,南秋田郡
出羽三山,出羽三山
岩瀬郡,岩瀨郡
笠松町,笠松町
恵比寿・(渋谷区),惠比壽·(東京都)
函南町,函南町
甘楽町,甘樂町
長柄町,長柄町
上牧町,上牧町
美浜町・(和歌山県),美濱町·(和歌山縣)
岩舟町,岩舟町
神戸町,神戶町
芳賀町,芳賀町
鏡野町,鏡野町
芦屋駅・(JR西日本),芦屋站·(JR西日本)
新湊市,新湊市
早島町,早島町
矢掛町,矢掛町
和気郡,和氣郡
ミッドランドスクエア,中部地方廣場大廈
八千代町,八千代町
金剛峯寺,金剛峯寺
西区・(横浜市),西區·(橫濱市)
豊田郡,豐田郡
笠置町,笠置町
東吾妻町,東吾妻町
伊具郡,伊具郡
北蒲原郡,北蒲原郡
東村山郡,東村山郡
石川郡・(石川県),石川郡·(石川縣)
東置賜郡,東置賜郡
西置賜郡,西置賜郡
犬山城,犬山城
佐原市,佐原市
天川村,天川村
三宅町,三宅町
久御山町,久御山町
長生郡,長生郡
塩谷町,鹽谷町
1979・FIFAワールドユース選手権,1979年國際足協世界青年錦標賽
文化放送,文化放送
サミー,飒美
南座,南座
国際会館駅,國際會館站
同志社大学,同志社大學
長野新幹線,長野新幹線
2035年9月2日の日食,2035年9月2日日食
京急大師線,大師線·(京濱急行電鐵)
亀山城・(丹波国),龜山城·(丹波國)
様似郡,樣似郡
渡嘉敷島,渡嘉敷島
美里町・(埼玉県),美里町·(埼玉縣)
秋葉原通り魔事件,秋葉原殺人事件
宝飯郡,寶飯郡
日本化学会,日本化学会
一般国道,一般國道
祇園,祇園
鳩山町,鳩山町
緑区・(千葉市),綠區·(千葉市)
西白河郡,西白河郡
八束郡,八束郡
大山隠岐国立公園,大山隱岐國立公園
大沼郡,大沼郡
相馬郡,相馬郡·(福島縣)
伊達郡,伊達郡
南会津郡,南會津郡
河沼郡,河沼郡
三好郡,三好郡
香川郡,香川郡
四万十町,四萬十町
板野郡,板野郡
日本三名園,日本三名園
木田郡,木田郡
綾川町,綾川町
和賀郡,和賀郡
天童藩,天童藩
国鉄C62形蒸気機関車,日本國鐵C62型蒸汽機車
白石城,白石城
五稜郭駅,五稜郭站
米沢藩,米澤藩
道後温泉,道後溫泉
中宮寺,中宮寺
中国自動車道,中國自動車道
中部電力,中部電力
美浜町・(愛知県),美濱町·(愛知縣)
長堀橋駅,長堀橋站
立花駅,立花車站·(兵庫縣)
本荘藩,本莊藩
須磨駅,須磨站
信越本線,信越本線
動物園前駅,动物园前站
はるか・(列車),遙號列車
円町駅,圓町車站
西宮駅・(JR西日本),西宫站·(JR西日本)
阪神なんば線,阪神難波線
新田金山城,新田金山城
中央公論文芸賞,中央公论文艺奖
中央・総武緩行線,中央·總武緩行線
鎌倉七口,鎌倉七口
新潟県中越地震,新潟縣中越地震
中央高地,中央高地
大同大学,大同大學·(日本)
中央大学,中央大學·(日本)
中央自動車道,中央自動車道
合同庁舎,合同廳舍
入善町,入善町
板倉町,板倉町
御浜町,御濱町
阿見町,阿見町
紀北町,紀北町
福岡県立大学,福岡縣立大學
2011年民主党代表選挙,2011年民主黨代表選舉
大阪平野,大阪平原
検地,檢地
浄瑠璃寺,淨瑠璃寺
湘南町屋駅,湘南町屋車站
四国山地,四國山地
那賀郡・(和歌山県),那賀郡·(和歌山縣)
中山平温泉駅,中山平溫泉車站
大阪城ホール,大阪城展演廳
マッグガーデン,Mag·Garden
鳴子御殿湯駅,鳴子御殿湯車站
東田川郡,東田川郡
大和田駅・(大阪府),大和田站·(大阪府)
ニトロプラス,Nitro%2B
名西郡,名西郡
1998年長野オリンピックの日本選手団,1998年冬季奥林匹克运动会日本代表团
南津軽郡,南津輕郡
北津軽郡,北津輕郡
海部郡・(徳島県),海部郡·(德島縣)
東白川郡,東白川郡
山本郡,山本郡
涌谷町,涌谷町
三戸郡,三戶郡
棚倉町,棚倉町
石川郡,石川郡
下閉伊郡,下閉伊郡
安達郡,安達郡
最上郡,最上郡
鋸南町,鋸南町
西津軽郡,西津輕郡
ポケモン・(企業),寶可夢公司
奈義町,奈義町
美咲町,美咲町
三井郡,三井郡
南知多町,南知多町
池田町・(岐阜県),池田町·(岐阜縣)
玉村町,玉村町
一宮町,一宮町
和束町,和束町
南伊豆町,南伊豆町
印南町,印南町
吉野町,吉野町
南山城村,南山城村
川西町・(奈良県),川西町·(奈良縣)
安堵町,安堵町
市川町,市川町
浜北区,濱北區
カラー・(映像制作会社),Khara
片品村,片品村
大鹿村,大鹿村
白川村,白川村
山中湖,山中湖
川辺町,川邊町
下北山村,下北山村
北方町,北方町
榛東村,榛東村
芝山町,芝山町
佐久穂町,佐久穗町
度会町,度會町
ナゴヤドーム,名古屋巨蛋
今金町,今金町
日本橋区,日本橋區
さっぽろ雪まつり,札幌雪祭
長久手市,長久手市
御杖村,御杖村
讃岐国,讚岐國
マツダ・737C,馬自達737C
ゴディバ,歌帝梵巧克力
葛西臨海公園,葛西臨海公園
MAZDA・Zoom-Zoom・スタジアム広島,馬自達Zoom-Zoom廣島球場
駿府城,駿府城
国道6号,國道6號·(日本)
壱岐空港,壹岐機場
富士山の噴火史,富士山噴發史
西馬込駅,西馬込站
阪神工業地帯,阪神工業地帶
蓮根駅,蓮根站
御成門駅,御成門站
月山富田城,月山富田城
湘南深沢駅,湘南深澤車站
富良野線,富良野線
新発田城,新發田城
ミニストップ,Ministop
内幸町駅,內幸町站
高島平駅,高島平站
千石駅,千石站
新函館北斗駅,新函館北斗車站
手稲駅,手稻車站
みずほ・(列車),瑞穗號列車
ヤマダデンキ,山田電機
目白山下駅,目白山下車站
石山本願寺,石山本願寺
西鎌倉駅,西鎌倉車站
アクトシティ浜松,Act·City濱松
伊豆国分寺,伊豆國分寺
富士見町駅・(神奈川県),富士見町車站·(神奈川縣)
日本の鉄道,日本鐵路運輸
JR貨物EF200形電気機関車,JR貨物EF200型電力機車
長崎原爆資料館,长崎原爆资料馆
西彼杵郡,西彼杵郡
国鉄ED62形電気機関車,日本國鐵ED62型電力機車
日野町・(鳥取県),日野町·(鳥取縣)
八頭町,八頭町
和気町,和氣町
久米南町,久米南町
若桜町,若櫻町
北松浦郡,北松浦郡
美郷町・(島根県),美鄉町·(島根縣)
湯梨浜町,湯梨濱町
川本町,川本町
日高村,日高村
南部町・(鳥取県),南部町·(鳥取縣)
大宮市,大宮市
加古郡,加古郡
多可郡,多可郡
伊予松山藩,松山藩·(伊予國)
筑肥線,筑肥線
赤穂郡,赤穗郡
揖保郡,揖保郡
与野市,與野市
黒磯市,黑磯市
北埼玉郡,北埼玉郡
知名町,知名町
第21回参議院議員通常選挙,第21屆日本參議院議員通常選舉
鎌倉駅,鎌倉車站
医薬品医療機器総合機構,医药品医疗机器综合机构
大崎町,大崎町
蒲生郡,蒲生郡
加世田市,加世田市
南那珂郡,南那珂郡
嘉穂郡,嘉穗郡
輪之内町,輪之內町
岩手大学,岩手大學
大島支庁・(鹿児島県),大島支廳·(鹿兒島縣)
阿蘇くじゅう国立公園,阿蘇九重國立公園
津南町,津南町
中洲川端駅,中洲川端車站
新高島平駅,新高島平站
八丈小島,八丈小島
白山駅・(東京都),白山站·(東京都)
高松塚古墳,高松塚古墳
西巣鴨駅,西巢鴨站
志村坂上駅,志村坂上站
西高島平駅,西高島平站
天神駅,天神車站
姪浜駅,姪濱車站
板橋区役所前駅,板橋區役所前站
本蓮沼駅,本蓮沼站
猿楽,猿樂
上市町,上市町
厚真町,厚真町
揖斐郡,揖斐郡
聖籠町,聖籠町
乙部町,乙部町
陸奥国分寺,陸奧國分寺
東武東上本線,東上本線
南森町駅,南森町站
新板橋駅,新板橋站
日本橋駅・(大阪府),日本橋車站·(大阪府)
至聖廟,至聖廟
蝦夷地,蝦夷地
西台駅,西台站
山王パークタワー,山王公园塔
日明貿易,明日貿易
請西藩,請西藩
福島町,福島町
八雲町,八雲町
厚沢部町,厚澤部町
函館短期大学,函馆短期大学
環境大臣,環境大臣
芝山鉄道,芝山铁道
象印マホービン,象印
讃岐国分寺,讚岐國分寺
クローバースタジオ,四叶草工作室
桐紋,桐紋
さくら・(新幹線),櫻號列車
クライマックス・(ゲーム会社),Climax·Entertainment
タロとジロ,太郎與次郎
日本の査証政策,日本簽證政策
湧別川,湧別川
チョロQ,绍罗Q
八ヶ岳中信高原国定公園,八岳中信高原國定公園
上道駅・(鳥取県),上道站·(鸟取县)
粟生駅,粟生車站
愛甲石田駅,爱甲石田站
サンシャイン栄,SUNSHINE·SAKAE
安田町,安田町
宗谷総合振興局,宗谷綜合振興局
トミカ,Tomica
高知大学,高知大學
九州新幹線・(整備新幹線),九州新幹線·(整備新幹線)
治暦,治曆
小川町,小川町
新庄村,新庄村·(日本)
藤沢町,藤澤町
西粟倉村,西粟倉村
江府町,江府町
三朝町,三朝町
智頭町,智頭町
七宗町,七宗町
昭和村・(群馬県),昭和村·(群馬縣)
東山区,東山區·(日本)
河津町,河津町
富加町,富加町
久留米駅,久留米站
南蛮貿易,南蠻貿易
雄勝郡,雄勝郡
南山大学,南山大學
綾歌郡,綾歌郡
瀬戸内町,瀨戶內町
阿久比町,阿久比町
高山村・(群馬県),高山村·(群馬縣)
五箇山,五箇山
西桂町,西桂町
河合町,河合町
志村三丁目駅,志村三丁目站
第22回参議院議員通常選挙,第22屆日本參議院議員通常選舉
福岡市地下鉄七隈線,七隈線
第23回世界スカウトジャンボリー,第23次世界童軍大露營
富士見町,富士見町
揖斐川,揖斐川
北谷町,北谷町
富士川町,富士川町
御代田町,御代田町
葛尾村,葛尾村
東津軽郡,東津輕郡
諸塚村,諸塚村
佐用郡,佐用郡
南区・(堺市),南區·(堺市)
川辺郡,川邊郡
鬼怒川,鬼怒川
神崎郡,神崎郡
青海駅・(東京都),青海站·(东京都)
六合村・(群馬県),六合村
東区・(堺市),東區·(堺市)
赤坂駅・(東京都),赤坂站·(東京都)
堺区,堺區
秋川市,秋川市
アニメイト,安利美特
船堀駅,船堀站
谷町六丁目駅,谷町六丁目站
さくら夙川駅,樱花夙川站
麻生区,麻生區
2009年の日本シリーズ,2009年日本大賽
所沢航空発祥記念館,所泽航空发祥纪念馆
浦和レッドダイヤモンズ・レディース,浦和紅鑽女子隊
越後長岡藩,長岡藩·(越後國)
谷町九丁目駅,谷町九丁目站
八月十八日の政変,八月十八日政变
小田急ロマンスカー,浪漫特快
高市郡,高市郡
南都焼討,南都燒討
SBIホールディングス,思佰益
赤坂駅・(福岡県),赤坂站·(福冈县)
共同テレビジョン,共同電視
勝浦郡,勝浦郡
長洲町,長洲町
日本万国博覧会,1970年世界博覽會
ラグビー日本代表,日本國家橄欖球隊
