Campinas,カンピーナス
Internacional Futebol Clube,インテルナシオナルFBC
energia no Brasil,ブラジルのエネルギー政策
Estádio Bento de Abreu Sampaio Vidal,エスタジオ・ベント・デ・アブレウ・サンパイオ・ヴィダル
Estádio Boca do Lobo,エスタジオ・ボカ・ド・ロボ
Estádio Bento da Silva Freitas,エスタジオ・ベント・メンデス・ジ・フレイタス
Estádio Municipal Castor Cifuentes,エスタジオ・ムニシパウ・カストル・シフエンテス
Estádio Francisco Stédile,エスタジオ・フランシスコ・ステージレ
Estádio Aniceto Moscoso,エスタジオ・アニセト・モスコソ
Estádio Cornélio de Barros,エスタジオ・コルネリオ・ジ・バロス
Estádio Edgar Borges Montenegro,エスタジオ・エドガル・ボルジェス・モンテネグロ
Estádio Municipal Décio Vitta,エスタジオ・ムニシパル・デシオ・ヴィッタ
Estádio Engenheiro Alencar Araripe,エスタジオ・エンジェニェイロ・アレンカル・アラリペ
Estádio Figueira de Melo,エスタジオ・ロナウド・ルイス・ナザリオ・ジ・リマ
Estádio Godofredo Cruz,エスタジオ・ゴドフレード・クルス
Estádio Giulite Coutinho,エスタジオ・ジュリッチ・コウチーニョ
Estádio Doutor Adhemar de Barros,エスタジオ・ドトール・アデマール・デ・バロス
Estádio Ismael Benigno,エスタジオ・イスマエウ・ベニグノ
Região geoeconômica Nordeste do Brasil,北東部 (社会地理的区分)
Rádio-Observatório Espacial do Nordeste,東北宇宙電波天文台
Nova União,ノヴァウニオン
Novo Horizonte Futebol Clube,ノヴォ・オリゾンテFC
Aeródromo Novo Progresso,ノーヴォ・プログレッソ空港
Formação Itapecuru,イタペクル層
Rádio Observatório Pierre Kauffman,イタペチンガ電波天文台
Comando Militar do Oeste,西部軍
Comando Militar do Nordeste,北東軍
Comando Militar do Sul,南部軍
Comando Militar do Planalto,プラナルト軍
Jaboticabal Atlético,ジャボチカバウ・アトレチコ
Jacareí Atlético Clube,ジャカレイーAC
ténis nos Jogos Olímpicos de Verão de 2016,2016年リオデジャネイロオリンピックのテニス競技
natureza do Brasil,ブラジルの自然環境
Aeroporto de Erechim,エレシム空港
Arte do Brasil,ブラジルの芸術
Eleição presidencial brasileira de 1950,1950年ブラジル大統領選挙
Eleição presidencial brasileira de 1994,1994年ブラジル総選挙
Encouraçado Barroso,バローゾ (装甲艦)
Corveta Encouraçada Brasil,ブラジル (装甲艦)
Encouraçado Rio de Janeiro,リオ・デ・ジャネイロ (装甲艦)
Tamandaré,タマンダーレ (装甲艦)
história do Império do Brasil,ブラジル帝国の歴史
Horizonte Futebol Clube,オリゾンテFC
Hospital das Clínicas da Faculdade de Medicina da Universidade de São Paulo,サン・パウロ大学臨床病院
Estádio Colosso do Tapajós,エスタジオ・ムニシパル・ジャデル・フォンテネーレ・バルバーリョ
Estádio Doutor Jayme Cintra,エスタジオ・ドトール・ジャイメ・シントラ
Estádio Alberto Oliveira,エスタジオ・アウベルト・オリヴェイラ
Estádio José de Melo,エスタジオ・ジョゼ・デ・メロ
Estádio Luís Pereira,エスタジオ・ルイス・ペレイラ
Estádio Proletário Guilherme da Silveira,エスタジオ・プロレタリウ・ギリェルミ・ダ・シウヴェイラ
Estádio 14 de Dezembro,エスタジオ・カトルズィ・ジ・デゼンブロ
Estádio Mauro Sampaio,エスタジオ・マウロ・サンパイオ
Estádio Municipal Professor Dario Rodrigues Leite,エスタジオ・ムニシパル・プロフェッソル・ダリオ・ロドリゲス・レイテ
Centro Olímpico de BMX,セントロ・オリンピコ・ジ・BMX
Centro Olímpico de Hóquei,セントロ・オリンピコ・ジ・ホッケイ
Regime Militar no Brasil em 1964,ブラジル・クーデター (1964年)
International Brazilian Jiu-Jitsu Federation,国際ブラジリアン柔術連盟
Interporto Futebol Clube,インテルポルトFC
Aeroporto Ipiranga,イピランガ空港
relações entre Brasil e Nigéria,ブラジルとナイジェリアの関係
relações entre Brasil e Palestina,ブラジルとパレスチナの関係
Universidade do Estado do Pará,パラー州立大学
Brasil nos Jogos Paralímpicos de Verão de 2000,2000年シドニーパラリンピックのブラジル選手団
Brasil nos Jogos Pan-Americanos de 2003,2003年パンアメリカン競技大会のブラジル選手団
Brasil nos Jogos Paraolímpicos de Verão de 2004,2004年アテネパラリンピックのブラジル選手団
Brasil nos Jogos Pan-Americanos de 2007,2007年パンアメリカン競技大会のブラジル選手団
Brasil no Campeonato Mundial de Atletismo de 2009,2009年世界陸上競技選手権大会ブラジル選手団
Brasil nos Jogos Parapan-Americanos de 2011,2011年パラパンアメリカン競技大会のブラジル選手団
Brasil no Campeonato Mundial de Atletismo de 2011,2011年世界陸上競技選手権大会ブラジル選手団
Problemas econômicos do Brasil,ブラジルにおけるコスト
Esporte Clube Água Santa,ECアグア・サンタ
Ginásio Nilson Nelson,ニルソン・ネルソン体育館
Esporte Clube Primavera,ECプリマヴェーラ
Esporte Clube São João da Barra,ECサンジョアン・ダ・バーラ
Esporte Clube São Luiz,ECサン・ルイス
Esporte Clube Taubaté,ECタウバテー
Esporte Clube Tupy,ECトゥピ
Esporte Clube União Suzano,ECウニオン・スザノ
Esporte Clube Viana,エスポルテ・クラブ・ビアナ
Esporte Clube XV de Novembro (Caraguatatuba),ECキンゼ・デ・ノヴェンブロ (カラグアタトゥバ)
posse do presidente do Brasil,ブラジル連邦共和国大統領就任式
programa espacial brasileiro,ブラジルの宇宙開発
S Humaytá,ウマイタ
Formação Irati,イラティ層
Paraná Soccer Technical Center,パラナ・サッカー・テクニカル・センター
Campeonato Brasileiro de Futebol de 1987,1987 カンピオナート・ブラジレイロ・イエローモジュール
Operário Atlético Clube,オペラリオAC
Operário Esporte Clube,オペラリオEC
Oratório Recreativo Clube,オラトーリオRC
Aeroporto de Oriximiná,オリシミナ空港
Aeroporto Regional de Eirunepé,エイルネペ空港
RIO Linhas Aéreas,リオ・リンハス・アエレアス
Festival Internacional da Linguagem Eletrônica,国際学生対抗バーチャルリアリティコンテスト
Comando Militar do Sudeste,南東軍
Serviços Aéreos Cruzeiro do Sul,クルゼイロ航空
Plano Collor,コロールプラン
Rio Jandiatuba,ジャンジャトゥバ川
Rio Ituí,Ituí川
Ivinhema Futebol Clube,イヴィニェーマFC
Jabaquara Atlético Clube,ジャバクアラ・アトレチコ・クラブ
Esporte Clube Guarani,ECグアラニ
Esporte Clube Mamoré,ECマモレ
Esporte Clube Osasco,エスポルテ・クルーベ・オザスコ
Esporte Clube Paraguaçuense,ECパラグアスエンセ
Esporte Clube Rio Verde,ECリオ・ヴェルデ
Rio Itaquai,イタカイ川
Itautec,イタウテック
Esporte Clube Avenida,ACアヴェニダ
Esporte Clube Comercial (Paraná),ECコメルシアウ (パラナ州)
Esporte Clube Corinthians,ECコリンチャンス
Esporte Clube Espigão,エスピゴン
Esporte Clube Igrejinha,ECイグレジーニャ
Esporte Clube Itaúna,ECイタウーナ
Esporte Clube Jacuipense,ECジャクイペンセ
Estádio Santa Cruz,エスタジオ・サンタクルス
Estádio Rei Pelé,エスタジオ・レイ・ペレ
Estádio Érton Coelho de Queiroz,エスタジオ・エルトン・コエーリョ・ジ・ケイロス
Estádio Zequinha Roriz,エスタジオ・ゼキーニャ・ロリス
Estádio do Trabalhador,エスタジオ・ムニシパル・ジ・レゼンデ
Roma Esporte Apucarana,ローマ・エスポルチ・アプカラナ
Aeroporto de Palmas,パルマス
Palmeira Futebol Clube da Una,パウメイラFCダ・ウナ
Palmeiras Nordeste Futebol Ltda.,パルメイラス・ノルデステ・フチボウ
Palácio do Grão-Pará,グラン＝パラ宮殿
Aeroporto de Paranaguá,パラナグア空港
Aeroporto de Paranavaí,パラナバイ空港
Voo Varig 967,ヴァリグ・ブラジル航空機遭難事故
Estádio Municipal Radialista Mario Helênio,エスタジオ・ムニシパウ・ラジアリスタ・マリオ・エレニオ
Centro de Integração Comunitário Walter Ribeiro,セントロ・デ・インテグラッソン・コムニターリオ・バウテル・リベイロ
Estádio Nabi Abi Chedid,エスタジオ・ナビ・アビ・シェジド
Estádio Municipal Doutor Novelli Júnior,エスタジオ・ムニシパル・ドトール・ノヴェリ・ジュニオール
Estádio Olímpico Colosso da Lagoa,エスタジオ・オリンピコ・コロッソ・ダ・ラゴア
Estádio Onésio Brasileiro Alvarenga,エスタジオ・オネージオ・ブラジレイロ・アウヴァレンガ
Estádio Olímpico Pedro Ludovico,エスタジオ・オリンピコ・ペドロ・ルドヴィコ・テイシェイラ
Estádio Olímpico Regional Arnaldo Busatto,エスタジオ・オリンピコ・ヘギオナウ・アルナウド・ブサット
Estádio Romário de Souza Faria,エスタジオ・ロマーリオ・ジ・ソウザ・ファリア
Estádio Conde Rodolfo Crespi,エスタジオ・コンデ・ロドウフォ・クレスピ
drible de Pelé,ペレのプレイ
Penha,ペーニャ
Monitor Encouraçado Alagoas,アラゴアス (モニター)
Monitor Encouraçado Ceará,セアラ (モニター)
Monitor Encouraçado Pará,パラ (モニター)
Monitor Encouraçado Piauí,ピアウイ (モニター)
Monitor Encouraçado Rio Grande,リオ・グランデ (モニター)
Monitor Encouraçado Santa Catarina,サンタ・カタリナ (モニター)
Nobreza do Império do Brasil,ブラジルの貴族制度
Rosa e Azul,ピンクと青、カーン・ダンヴェール家のアリスとエリザベート
Jardim Paulista,ジャルジーム・パウリスタ
Espírito Santo Futebol Clube,エスピリトサントFC
Estanciano Esporte Clube,エスタンシアーノEC
Estrada de Ferro Oeste de Minas,オエステ・デ・ミナス鉄道
Estrada de Ferro Santos-Jundiaí,Estrada de Ferro Santos-Jundiaí（EFSJ）
Estádio Municipal Anacleto Campanella,エスタジオ・ムニシパル・アナクレト・カンパネーラ
Estádio Barão de Serra Negra,エスタジオ・バロン・デ・セラ・ネグラ
Grand Prix de Futsal de 2005,2005 グランプリ・デ・フットサル
Campeonato Brasileiro de Futebol de 2006 - Série C,2006 カンピオナート・ブラジリエンセ・セリエC
Recopa Sul-Americana de 2006,レコパ・スダメリカーナ2006
Cerimônia de abertura dos Jogos Pan-Americanos de 2007,2007年パンアメリカン競技大会の開会式
Centro Olímpico de Mountain Bike,セントロ・ジ・マウンテンバイク
Centro Olímpico de Tênis,セントロ・オリンピコ・ジ・テニス
Estádio de Canoagem Slalom,エスタジオ・ジ・カノアージェン・スラローム
Arena Carioca 1,アレーナ・カリオカ1
Olé Brasil Futebol Clube,オレ・ブラジルFC
Recopa Sul-Americana de 2007,レコパ・スダメリカーナ2007
2007 no Brasil,2007年のブラジル
Grand Prix de Futsal de 2008,2008 グランプリ・デ・フットサル
Campeonato Brasileiro de Futebol Feminino,カンピオナート・ブラジレイロ・ジ・フチボウ・フェミニーノ
Campeonato Gaúcho de Futebol - Segunda Divisão,セリエA2
Campeonato Pernambucano de Futebol - Série A2,カンピオナート・ペルナンブカーノ(下位リーグ)
Campeonato Sergipano de Futebol - Série A2,カンピオナート・セルジパーノ (下位リーグ)
Rio Fagundes,ファグンデス川
Linha 17 do Metrô de São Paulo,サンパウロ地下鉄17号線
Linha 15 do Metrô de São Paulo,サンパウロ地下鉄15号線
Aeroporto de Fonte Boa,フォンテ・ボア空港
Formiga Esporte Clube,フォルミーガEC
Rio Formoso,フォルモソ川
Exame Nacional do Ensino Médio,全国高等学校試験
Morte e funeral de Pedro II do Brasil,ペドロ2世の追放と死去
Fabril Esporte Clube,ファブリウEC
Campeonato Brasileiro de Futebol de 2011 - Série D,2011 カンピオナート・ブラジレイロ・セリエD
Universidade Federal de São Carlos,サン・カルロス連邦大学
Universidade Federal de Uberlândia,ウベルランジア連邦大学
Governo Federal do Brasil,ブラジル連邦政府
Federação Catarinense de Futebol,サンタカタリーナサッカー連盟
Federação Pernambucana de Futebol,ペルナンブーコ州サッカー連盟
JF 1,JUNGLE FIGHT 1
Junior Team Futebol,ジュニオール・テアン・フチボウ
Aeroporto de Juruena,ジュルエナ空港
Estação Ecológica de Jutaí-Solimões,ジュタイー・ソリモエンス生態系保護区
Juventus Atlético Clube,ジュベントスAC
Aeroporto de Pato Branco,パト・ブランコ空港
Aeroporto de Patos de Minas,パトス・デ・ミナス
Parque Nacional Pau Brasil,パウ・ブラジル国立公園
Paula Ramos Esporte Clube,パウラ・ハモス
Fundação Armando Álvares Penteado,アルマンド・アルヴァレス・ペンテド財団
Fundação de Amparo à Pesquisa do Estado de São Paulo,サンパウロ州研究支援財団
Club de Regatas Vasco da Gama,CRヴァスコ・ダ・ガマ
Parnahyba Sport Club,パルナイーバSC
Parque Lage,ラージェ公園
Batalhão de Operações Especiais de Fuzileiros Navais,海兵隊特殊作戦大隊
Chamada e resposta,コールアンドレスポンス
Conselho da República,ブラジル内閣
Flamengo Esporte Clube (Varginha),フラメンゴEC
Flamengo Esporte Clube de Arcoverde,フラメンゴECデ・アルコヴェルデ
Aterro do Flamengo,フレメンゴ・パーク
Federação de Futebol do Piauí,ピアウイ州サッカー連盟
Fernandópolis Futebol Clube,フェルナンドポリスFC
Ferroviário Atlético Clube,フィロビアーリオ
Aeroporto de Cachoeiro de Itapemirim,カショエイロ・デ・イタペミリン空港
Cadastro de Pessoas Físicas,納税者番号
Juventus Futebol Clube,ジュベントスFC
Aeroporto de Juína,ジュイナ空港
Forte de Copacabana,コパカバーナ要塞
Fortaleza de São João,サン・ジョアン砦
Grande Prémio do Brasil de 2013,2013年ブラジルグランプリ
Grand Prix de Futsal de 2009,2009 グランプリ・デ・フットサル
Universidade Federal de Alagoas,アラゴアス連邦大学
Universidade Federal do Amazonas,アマゾナス連邦大学
Universidade Federal do Maranhão,マラニョン連邦大学
Universidade Federal de Mato Grosso do Sul,南マット・グロッソ連邦大学
