Diego Velázquez,ディエゴ・ベラスケス
Pascual Donat,パスクアル・ドナト
Fran Escribá,フラン・エスクリバ
Joan Gaspart,ジョアン・ガスパール
Almudena Cid,アルムデナ・シド
Alberto Fabra,アルベルト・ファブラ
Imanol Arias,イマノル・アリアス
Fran Rico,フラン・リコ
Emiliano García-Page,エミリアーノ・ガルシア＝パヘ
Emilio Sánchez Perrier,エミリオ・サンチェス・ペリエ
Elías Querejeta,エリアス・ケレヘタ
Sergio Boris,セルヒオ・ボリス
David Rochela,ダビド・ロチェラ
Guillermo Fernández Vara,ギジェルモ・フェルナンデス・ベラ
Carlos Suriñach,カルロス・スリナッチ
Asensio Julià,アセンシオ・フリア
Ernesto Pérez Lobo,エルネスト・ペレス
Carmen Martínez-Bordiú,カルメン・マルティネス＝ボルディウ・(第2代フランコ女公爵)
David Vidal,ダビド・ビダル
Iñigo Pérez,イニゴ・ペレス
Oier Sanjurjo,オイエル・サンフルホ
Francisco Portillo Soler,フランシスコ・ポルティージョ
Juan Carlos Moreno Rodríguez,ファン・カルロス・モレーノ・ロドリゲス
Cecilio Lastra,セシリオ・ラストラ
Rafael de Sobremonte,ラファエル・デ・ソブレモンテ
Enrique Urbizu,エンリケ・ウルビス
César Sempere,セサル・センペレ
Manuel Granero,マヌエル・グラネロ
Paco López,パコ・ロペス
Almudena Muñoz,アルムデナ・ムニョス
Raimundo Madrazo,ライムンド・デ・マドラーソ
Gonzalo Arconada,ゴンサロ・アルコナーダ
Joaquín García-Morato,ホアキン・ガルシア＝モラト
Tomás de Mercado,トマス・デ・メルカード
Momo (futbolista),ヘロニモ・フィゲロア
Ataúlfo Argenta,アタウルフォ・アルヘンタ
Sígfrid Gracia,シーグフリード・ガルシア
Alonso Lobo,アロンソ・ロボ
Imanol Uribe,イマノル・ウリベ
Martín Sessé y Lacasta,マルティン・セセー
José Mariano Mociño,ホセ・モシーニョ
José Díaz Ramos,ホセ・ディアス・ラモス
Montxo Armendáriz,モンチョ・アルメンダリス
Lydia Valentín,リディア・バレンティン
Luis Jiménez Aranda,ルイス・ヒメネス・アランダ
Pedro Bigas,ペドロ・ビガス
Serafín Avendaño,セラフィン・アベンダーニョ
Sergio Aragoneses,セルヒオ・アラゴネセス
Xavier Ribas,シャビエル・リバス
Cristóbal Martínez-Bordiú,クリストバル・マルティネス＝ボルディウ・(第10代ビリャベルデ侯爵)
Álvaro Benito,アルバロ・ベニート
Darío Villalba,ダリオ・ビジャルバ
David Timor,ダビド・ティモール
Ana Blanco,アナ・ブランコ
Diego Collado,ディエゴ・コリャード
Fernando Obradors,フェルナンド・オブラドルス
Francisco José Puertas Soto,フランシスコ・プエルタス
José Alberto Cañas Ruiz-Herrera,ホセ・アルベルト・カニャス・ルイス＝エレーラ
Óscar Casas,オスカル・カサス
Jesús Bal y Gay,ヘスース・バル・イ・ガイ
Miguel Boyer,ミゲル・ボジェール
Ángela Pumariega,アンヘラ・プマリエガ
Támara Echegoyen,タマラ・エチェゴジェン
Aitor Fernández Abarisketa,アイトール・フェルナンデス
Adolfo Guiard,アドルフォ・ギアール
Francesc Tosquelles Llauradó,フランソワ・トスケル
José Coronado,ホセ・コロナド
Manuel Torres Pastor,マヌエル・トーレス
Manuel Pereira Senabre,マヌエル・ペレイラ
Luis de la Fuente Castillo,ルイス・デ・ラ・フエンテ
Luis de Madrazo,ルイス・デ・マドラーソ
Luis Marín Sabater,ルイス・マリン・サバテル
Margarita Salas,マルガリータ・サラス
Sofía Toro,ソフィア・トロ
Francisco de Madina,フランシスコ・デ・マディナ
Marcos Vales,マルコス・バレス
Luis Otero (futbolista),ルイス・オテロ
Josep Maria Mestres Quadreny,ジュゼプ・メストレス・クアドレニ
Domingo Ibáñez de Erquicia,ドミンゴ・エルキシア
Juan Cobo,フアン・コボ
Claudio Barragán,クラウディオ・バラガン
Joxe Azurmendi,ホセ・アスルメンディ
Rosa Morena,ロサ・モレナ
Marta Xargay,マルタ・シャルガイ
Aymeric Laporte,アイメリク・ラポルテ
Xabier Arzalluz,シャビエル・アルサリュス
Armando Álvarez,アルマンド・アルバレス
Vicente Moreno Peris,ビセンテ・モレノ
Salva Ruiz,サルバ・ルイス
Maximiliano Olivera,マクシミリアーノ・オリベーラ
María Teresa de Borbón y Vallabriga,マリア・テレサ・デ・ボルボーン・イ・バリャブリガ
Sergio Álvarez Conde,セルヒオ・アルバレス・コンデ
Juan Carlos Real,フアン・カルロス・レアル
Marta Bach Pascual,マルタ・バック
Pedro de Felipe,ペドロ・デ・フェリペ
Jorge Manuel Theotocópuli,ホルヘ・マヌエル・テオトコプリ
José Bordalás,ホセ・ボルダラス
Iván Amaya,イバン・アマジャ
Joan Lerma,ジョアン・レルマ
Diana Balmori,ディアナ・バルモリ
Miguel Jones,ミゲル・ホネス
Luis Miguel Ramis,ルイス・ミゲル・ラミス
Miriam Giovanelli,ミリアム・ジョヴァネッリ
Resurrección María de Azkue,レスレクシオン・マリア・デ・アスクエ
Tato Abadía,アグスティン・アバディーア
Ricardo Álvarez Puig,リカルド・アルバレス・プイグ
Yoel Rodríguez,ジョエル・ロドリゲス
Alfredo Santaelena,アルフレド・サンタエレナ
Toni Muñoz,トニ・ムニョス
Marina Alabau,マリーナ・アラバウ
Manuel Ballester Boix,マヌエル・バリェステル
María Francisca de Sales Portocarrero (duquesa de Alba),マリア・フランシスカ・デ・サレス・ポルトカレッロ
Dolores González Catarain,ドローレス・ゴンサーレス・カタライン
Jaime Rosales,ハイメ・ロサレス
Moi Gómez,モイセス・ゴメス・ボルドナド
Paco Sedano,パコ・セダーノ
Pablo Berger,パブロ・ベルヘル
Jesús Carballo Martínez,ヘスス・カルバーリョ
Pedro Zerolo,ペドロ・セロロ
David López Silva,ダビド・ロペス
Patxi Ferreira,パチ・フェレイラ
Paco Clos,パコ・クロス
José Legrá,ホセ・レグラ
Pol Amat,ポル・アマト
Horacio Capel,オラシオ・カペル
Koldo Zuazo,コルド・スアソ
Yolanda Soler,ヨランダ・ソレル
Vicente Romero Redondo,ヴィセンテ・ロメロ・レドンド
Alberto Garzón,アルベルト・ガルソン
Sandra Azón,サンドラ・アソン
Natalia Vía-Dufresne,ナタリア・ビア・ドゥフレスネ
Albert Dalmau,アルベルト・ダルマウ
Pedro Carlos de Borbón,ペドロ・カルロス・デ・ボルボーン
Adrián San Miguel,アドリアン・サン・ミゲル・カスティージョ
José Jiménez Aranda,ホセ・ヒメネス・アランダ
Juan Brull,ジョアン・ブリュル
Juan Andrés Ricci,フアン・アンドレス・リシ
Oriol Rosell,オリオル・ロセル
Josep Lluís Albiñana,ジョゼップ・リュイス・アルビニャナ
Yolanda Barcina,ジョランダ・バルシーナ
Rafael Trujillo Villar,ラファエル・トルヒーリョ
Javier Manquillo,ハビエル・マンキージョ・ガイタン
Iván Fandiño,イバン・ファンディーニョ
José Luis Violeta,ホセ・ルイス・ビオレタ
Gorka Brit,ゴルカ・ブリト
Juanjo Expósito,フアン・ホセ・エスポシト・ルイス
Jesús García Sanjuán,ヘスス・ガルシア・サンフアン
Álvaro Giménez Candela,アルバロ・ヒメネス
Fernando Roig Alfonso,フェルナンド・ロッチ
Gabriel Moya,ガブリエル・モジャ
Alejandro Campano,アレハンドロ・カンパーノ
Oli (futbolista),オリベイロ・ヘスス・アルバレス・ゴンサレス
César Palacios,セサル・パラシオス
Jesús Galván Carrillo,ヘスス・ガルバン
Javier Gutiérrez (actor),ハビエル・グティエレス
Zouhair Feddal,ズハイル・フェダル
Gregorio Ferro,グレゴリオ・フェロ
Javier Botet,ハビエル・ボテット
Jonny Otto,ホニー・カストロ・オット
Íñigo de la Serna,イニゴ・デ・ラ・セルナ
Nicolás Ormaechea,オリシェ
Domingo Gómez-Acedo,ドミンゴ・アセド
Mariano Arrate,マリアーノ・アラテ
Ignacio Agirrezabala,イグナシオ・アギレサバラ
Isaac Viñales,イサック・ビニャーレス
Juanpi,フアン・パブロ・アニョル
Manuela Vellés,マヌエラ・ベイェス
Óscar Plano,オスカル・プラーノ
Agustín Guisasola,アグスティン・ギサソラ
Alberto Fernández Fernández,アルベルト・フェルナンデス・フェルナンデス
Carlos García Cantarero,カルロス・ガルシア・カンタレロ
José Álvarez de las Asturias Bohorques y Goyeneche,ホセ・アルバレス・デ・ボオルケス
Omar Fraile,オマール・フライレ
Julio García Fernández de los Ríos,フリオ・ガルシア・フェルナンデス
José Navarro Morenés,ホセ・ナバーロ・モレネス
Anni Espar,アンナ・エスパル
Oscar Martínez,オスカル・マルティネス
Orlando Ortega,オルランド・オルテガ
Laura Ester,ラウラ・エステル
Patricia Aranda,パトリシア・アランダ
Julián Ruete,フリアン・ルエテ
María del Carmen García,マイカ・ガルシア・ゴドイ
Josep Bartolí,ジュゼップ・バルトリ
Paco León,パコ・レオン
Pablo Insua,パブロ・インスア
Kitín Muñoz,キティン・ムニョス
Antonio Mateu Lahoz,アントニオ・マテウ・ラオス
Antonio López Sierra,アントニオ・ロペス・シエラ
Juan Antonio Ribera,フアン・アントニオ・リベーラ
Yuri Berchiche,ユーリ・ベルチチェ
Pedro de Camprobín,ペドロ・デ・カンプロビン
José Luis Capón,ホセ・ルイス・カポン
Carlos Fitz-James Stuart y Portocarrero,カルロス・マリア・フィツ＝ハメス・ストゥアルト・イ・パラフォクス
Joselu Moreno,ホセ・ルイス・モレノ・バローソ
Jairo Samperio,ハイロ・サンペリオ
Augusto Lima,アウグスト・リマ
Adrián Díaz,アドリア・ディアス
Pedro de Borbón-Dos Sicilias y Orleans,ペドロ・デ・ボルボン＝ドス・シシリアス
Daniel Monzón,ダニエル・モンソン
Juan Araujo,フアン・アラウホ
Juan Rafael Fuentes Hernández,フアン・ラファエル・フエンテス
Juan José Estella,フアン・ホセ・エステージャ
David Doblas,デイビッド・ドブラス
Bernardo López Piquer,ベルナルド・ロペス・ピケール
Javier Ybarra Bergé,ハビエル・イバーラ
Josep Maria Nogués,ホセ・マリア・ノゲス
Carmen Montón,カルメン・モントン
Alejandro Martínez Sánchez,アレックス・マルティネス
Jesús Martínez Jayo,ヘスス・マルティネス・ハジョ
Juanito Rodríguez,フアニート・ロドリゲス
Manolo Alfaro,マノロ・アルファロ
Jota Peleteiro,ホセ・イグナシオ・ペレテイロ・ラマージョ
Raúl García Carnero,ラウール・ガルシア・カルネロ
Fernando Serena,フェルナンド・セレーナ
Juanmi García,フアンミ・ガルシア
Ricard Canals,リカルド・カナルス
Víctor Rodríguez Romero,ビクトル・ロドリゲス
Carlos González Peña (futbolista),カルロス・ゴンサレス・ペーニャ
Agustín Muñoz y Borbón,アグスティン・マリア・ムニョス
Celedonio Romero,セレドニオ・ロメロ
Javier Raya,ハビエル・ラジャ
Carmen Franco y Polo,カルメン・フランコ・(初代フランコ女公爵)
Mariano Barroso,マリアーノ・バロッソ
José Domínguez Bécquer,ホセ・ドミンゲス・ベッケル
José Demetrio Rodríguez,ホセ・デメトリオ・ロドリゲス
Eneko Atxa,エネコ・アチャ・アスルメンディ
Fátima Gálvez,ファティマ・ガルベス
Sotero Aranguren,ソテロ・アラングレン
Sara Hurtado,サラ・ウルタド
Francisco Sandaza,フランシスコ・サンダサ
Iñigo Ruiz de Galarreta,イニゴ・ルイス・デ・ガラレタ
Fernando Remacha,フェルナンド・レマーチャ
Fernando Buesa,フェルナンド・ブエサ
Amat Escalante,アマト・エスカランテ
Esteban Terradas,エステバン・テラダス・イ・イリャ
Yolanda Díaz,ヨランダ・ディアス
Mariano Juaristi Mendizábal,マリアーノ・フアリスティ・メンディサバル
Javi Ros,ハビエル・ロス
Aurelio Arteta,アウレリオ・アルテタ
Joseba Elósegui,ヨセバ・エロセギ
Alberto Fernández Muñoz,アルベルト・フェルナンデス・(射撃選手)
Alberto Machimbarrena,アルベルト・マチンバレーナ
Aitor García,アイトール・ガルシア
Julio Prieto,フリオ・プリエト
Paquito García,パキート・ガルシア
José Luis Ballester,ホセ・ルイス・バリェステル・(セーリング)
Juan Quero,フアン・ケロ
Ángel Jesús Mejías,アンヘル・ヘスス・メヒアス
Sebastián Herrera Barnuevo,セバスチャン・デ・エレーラ・バルヌエボ
Alberto García Cabrera,アルベルト・ガルシア・カブレラ
Jesús Berrocal,ヘスス・ベロカル
Mariano de la Paz Graells,マリアーノ・デ・ラ・パス・グラエルス
Brandon Thomas Llamas,ブランドン・トーマス
Antonio Cobas,アントニオ・コバス
Abdón Prats Bastidas,アブドン・プラツ
Adrián Gual,アドリアー・グアル
Jennifer Pareja,イェニフェル・パレハ
Jerónimo de Ayanz y Beaumont,ヘロニモ・デ・アヤンツ
Rafael Ximeno y Planes,ラファエル・ヒメノ・プラネス
Fernando Niño Bejarano,フェルナンド・ニーニョ・ベハラーノ
Fernando León Boissier,フェルナンド・レオン・ボワシエ
Juan Villar Vázquez,フアン・ビジャール
Biel Ribas,ビエル・リバス
Bruno Herrero,ブルーノ・エレーロ
Manu Barreiro,マヌ・バレイロ
Carles Gil,カルレス・ヒル
Alejandro Goicoechea,アレハンドロ・ゴイコエチェア
Álex Pérez Navarro,アレハンドロ・ペレス・ナバーロ
Alejo Vera,アレホ・ベラ
Francisco Rodríguez Vílchez,フランシスコ・ハビエル・ロドリゲス・ビルチェス
Alberto Moreno,アルベルト・モレノ・ペレス
Alberto Perea,アルベルト・ペレア
Alexia Putellas,アレクシア・プテジャス
Alexandre de Riquer,アレクサンドラ・ダ・リケー
Rubi (entrenador),ルビ・(サッカー選手)
Juan Carlos Pérez Rojo,フアン・カルロス・ロホ
Sergio Mora Sánchez,セルヒオ・モラ・サンチェス
Carli de Murga,カルリ・デ・ムルガ
Alfonso García de Vinuesa,アルフォンソ・デ・ヴィヌエサ
Alfonso Falero,アルフォンソ・ファレロ
Carlos Domínguez Domínguez,カルロス・ドミンゲス・ドミンゲス
