Григорий Яковлевич Перельман,グリゴリー・ペレルマン
"Татаринов, Александр Аркадьевич",アレクサンドル・タタリノフ
"Евтухович, Валерий Евгеньевич",ワレリー・エフトゥホヴィッチ
Анна Евгеньевна Бегунова,アンナ・ベグノワ
"Година, Елена Михайловна",エレーナ・ゴーディナ
Зиновий Моисеевич Высоковский,ジノヴィー・ヴィソコフスキー
Владимир Абрамович Этуш,ヴラジーミル・エトゥシュ
Лев Александрович Аннинский,レフ・アニンスキー
"Анодина, Татьяна Григорьевна",タチアナ・アノディナ
"Блок, Владимир Михайлович",ウラディーミル・ブロク
Блондинка КсЮ,ブロンディンカ・クス
Зайнаб Абдулловна Биишева,ザイナブ・ビーシェワ
Татьяна Бестаева,テチャーナ・ベスターイェヴァ
"Бирюков, Дмитрий Вадимович",ディミトリー・ビリュコフ
Дмитрий Сергеевич Бирюков,ディミトリー・ビリュコフ
"Бирюков, Игорь Григорьевич",イーゴリ・ビリュコフ
"Бирюков, Игорь Андреевич",イーゴリ・ビリュコフ
"Бирюков, Павел Николаевич",パーヴェル・ビリュコフ
"Бирюков, Серафим Кириллович",セラフィム・ビリュコフ
Сергей Евгеньевич Бирюков,セルゲイ・ビリュコフ
"Бирюков, Станислав Андреевич",スタニスラフ・ビリュコフ
Андрей Батт,アンドルー・バット
"Бирюков, Борис Николаевич",ボリス・ビリュコフ
"Бирюков, Виктор Ефимович",ヴィクトル・ビリュコフ
Виктор Степанович Бирюков,ヴィクトル・ビリュコフ
"Бирюков, Виталий Васильевич",ヴィタリー・ビリュコフ
Владимир Афанасьевич Бирюков,ヴラジーミル・ビリュコフ
"Бирюков, Владлен Егорович",ヴラドレン・ビリュコフ
"Бирюков, Геннадий Ефремович",ゲンナージー・ビリュコフ
Наталья Анненко,ナタリア・アンネンコ
Александр Евгеньевич Павленко,アレクサンドル・パヴレンコ
Вадим Валентинович Евсеев,ヴァディム・エフセエフ
Алексей Борисович Ерёменко,アレクセイ・エレメンコ・シニア
"Королёв, Ярослав Игоревич",ヤロスラフ・コロレフ
"Логашов, Арсений Максимович",アルセニー・ロガショフ
Сабир Ахмедьянович Вагапов,サビル・ヴァガポフ
"Воронцов, Алексей Алексеевич",アレクセイ・ヴォロンツォフ
"Вронский, Сергей Аркадьевич",セルゲイ・ウロンスキー
Алексей Андреевич Гравицкий,アレクセイ・グラヴィツキー
Андрей Петрович Градов,アンドレイ・グラドフ
"Грач, Леонид Иванович",レオニード・フラチ
Леонид Владленович Вайсфельд,レオニード・ヴァイスフェルド
Ваканохо Тосинори,若ノ鵬寿則
Галина Боб,ガリーナ・ボブ
"Бирюкова, Елена Валерьевна",エレーナ・ビリュコワ
Эвелина Висвалдисовна Блёданс,エベリナ・ブロダンズ
Владимир Александрович Грамматиков,ウラディミール・グラマチェコフ
Анатолий Иванович Антонов,アナトリ―・アントノフ
"Щуплецов, Сергей Борисович",セルゲイ・シュプレツォフ
Анна Александровна Бурмистрова,アンナ・ミレニナ
Аслан Авгазарович Бютукаев,アスラン・ブツカイェフ
"Грачёв, Валентин Григорьевич",ヴァレンティン・グラチョフ
"Вавилов, Андрей Петрович",アンドレイ・ヴァヴィーロフ
Дмитрий Анатольевич Быковский,ドミトリー・ビコフスキー・ロマショフ
Николай Тимофеевич Антошкин,ニコライ・アントシュキン
"Бекетов, Михаил Васильевич",ミハイル・ベケトフ
"Воротников, Валерий Павлович",ヴァレリー・パヴロヴィッチ・ヴォロトニコフ
"Грешилов, Михаил Васильевич",ミハイル・グレシーロフ
"Грачёва, Надежда Александровна",ナデジダ・グラチョーワ
Михаил Гребенщиков,ミハイル・グレベンシュチコフ
Никита Владимирович Высоцкий,ニキータ・ヴィソツキー
"Выходцева, Евгения Дмитриевна",エフゲニア・ヴィホドツェワ
