Polska,波蘭
Grodzisk Mazowiecki,馬佐夫舍地區格羅濟斯克車站
Legia Nadwiślańska,維斯瓦軍團
Kuryłówka,庫雷武弗卡
World Games 2017,2017年世界運動會
Ekoregion zachodnioeuropejskich lasów mieszanych,西歐闊葉林
Kraków Płaszów,克拉科夫普瓦舒夫車站
Serokomla,赛罗科姆拉
Kościół św. Aleksandra w Warszawie,聖亞歷山大教堂
Synagoga Tempel w Krakowie,圣殿会堂
City Interactive,城市
Kampinos,坎皮诺斯
Jednostka Wojskowa Komandosów (JW 4101),第一特戰突擊旅
7 Królewski Regiment Pancerny,第7皇家坦克团
Skarbimierz,斯卡比米日
10 Brygada Kawalerii Pancernej,第十装甲骑兵旅
Akademia Leona Koźmińskiego w Warszawie,科兹敏斯基大学
Ambasada Francji w Polsce,法国驻波兰大使馆
Ambasada Kanady w Polsce,加拿大驻波兰大使馆
1 Pułk Szwoleżerów-Lansjerów Gwardii Cesarskiej,帝國衛隊波蘭槍騎兵
Aleje Ujazdowskie w Warszawie,烏亞茲多夫大道
Park Praski im. Żołnierzy 1 Armii Wojska Polskiego w Warszawie,普拉加公园
Stronnictwo Konserwatywno-Ludowe,保守人民党
Anin,阿宁
Grabowiec,格拉博维耶茨（扎莫希奇县）
Szebnie,舍布涅
Święta Katarzyna,圣卡塔日娜
FX,FX波蘭
Plac Teatralny w Warszawie,劇院廣場 (華沙)
Synagoga Izaaka Jakubowicza w Krakowie,以撒会堂
"Kościół św. Floriana, Warszawska 1 w Krakowie",圣弗洛里亚诺教堂
"Sobór św. Jana Chrzciciela, Plac Tadeusza Czackiego 2 w Przemyślu",聖若翰洗者主教座堂
Dąbrowa Wielka,大棟布羅瓦湖
Podgórze,波德古热区
Wola Gułowska,沃拉-古沃夫斯卡
Grand Prix Lwowa,利沃夫大奖赛
Konurbacja górnośląska,卡托維治集合城市區
Bieńkowce,邊基夫齊
Gdynia Wzgórze Św. Maksymiliana,格丁尼亞聖馬克西米利亞納山車站
Kościół Jezusowy w Cieszynie,耶穌教堂
Bronocice,布罗诺奇采
Wyrwa (dopływ Wiaru),維爾瓦河
Sarnaki,萨尔纳基
Van Pur,梵布爾
Małopolska Wschodnia,小波兰东部地区
Jeleniewo,耶莱涅沃
Sacin,萨钦
Warszawa Służewiec,華沙斯盧武維茨車站
Orle,奥尔莱
Palmiry,帕尔米里
Pomnik Mikołaja Kopernika w Warszawie,哥白尼纪念碑 (华沙)
Baumkuchen,年輪蛋糕
Areszt Śledczy Warszawa-Mokotów,莫科托夫監獄
złoty wiek Polski,波蘭黃金時代
Tyniec,泰涅克
Bitwa w rejonie Góry św. Anny,安娜堡战役
Referendum 1987,1987年波兰政治经济改革公投
Rejon Umocniony Hel,赫爾設防區
Bocień,波岑
Łosośna Wielka,大沃索什纳
Park Ujazdowski,烏亞茲多夫公園
Tramwaje w Elblągu,埃爾布隆格電車
Związek Producentów Audio-Video,波蘭音像製造商協會
historia Wrocławia,弗罗茨瓦夫历史
bazylika katedralna Narodzenia Najświętszej Maryi Panny w Sandomierzu,桑多梅日圣母圣诞圣殿主教座堂
Cerkiew św. Michała Archanioła w Warszawie,天使長米迦勒教堂
Cerkiew św. Jana Klimaka w Warszawie,聖約翰·克利馬科斯東正教堂
Bitwa pod Goźlicami,格日里策战役
Dasze,達沙村
Muzeum Fryderyka Chopina w Warszawie,蕭邦博物館
Wełna (rzeka),韋烏納河
Radom Air Show,兩架莫拉凡Z-526F
Ławica,拉威卡
Spółdzielczy Dom Handlowy „Feniks”,巴拉什兄弟百货公司
Kobiór,科比乌尔
Centralny Komitet Żydów Polskich,波兰犹太人中央委员会
Biała,比亚瓦河
bitwa pod Komarowem,卡莫罗战役
Czarni Radom,拉多姆黑人军事体育俱乐部
Grody Czerwieńskie,切尔文诸城
Brony,布羅尼 (羅茲省)
Osiedle Stare Miasto,扎莫希奇古城
Rada Państwa,國務委員會
Gdynia Orłowo,格丁尼亞奧沃沃車站
Południk Warszawski,華沙子午線
katedra św. Mikołaja w Elblągu,聖尼古拉斯主教座堂
Szkło (dopływ Sanu),什克洛河
Warszawa Gołąbki,华沙戈沃布基
pałac w Nieborowie,涅博魯夫宮
Stadion Ludowy,盧多威體育場
Dzień Podziemnego Państwa Polskiego,波兰地下国日
Generalny Inspektorat Sił Zbrojnych,武裝部隊總督
Grzymała,格日马瓦文章
Grupa Wawelberg,瓦维尔贝格小组
Podkowa Leśna Główna,波德科瓦萊希納火车总站
Leśna Prawa,普拉瓦亞普拉瓦河
Szlamica,什利亞米察河
Twierdza Przemyśl,普熱梅希爾要塞
Narodowy Spis Powszechny Ludności i Mieszkań 2002,2002年波蘭人口普查
BBTS Bielsko-Biała (piłka siatkowa),別爾斯科比亞瓦
Białka,比亞烏卡河 (杜納耶茨河支流)
Stal Ostrów Wielkopolski,大波蘭地區奧斯特魯夫鋼鐵
Chyżne,黑日内
Makoszka,马科什卡
Dzierzbia,傑日比亞河
Kościół św. Jacka w Warszawie,聖海耶辛教堂
Obszar metropolitalny Katowice-Ostrawa,上西利西亞都會區
Marycha,馬雷哈河
Spędy,斯彭德
Bitwa o Kołobrzeg,科堡战役
Białka,比亚夫卡
Zaremba,薩倫巴家族
Krzewica,卡茲爾威卡
Politechnika Morska w Szczecinie,什切青海事大学
Mistrzostwa Świata w Podnoszeniu Ciężarów 1969,1969年世界举重锦标赛
Głupianka,格乌皮安卡
Mazańcowice,马藏州
Kościół Wniebowzięcia Najświętszej Maryi Panny i św. Józefa Oblubieńca w Warszawie,加爾默羅會教堂
Mistrzostwa Świata w Podnoszeniu Ciężarów 1959,1959年世界举重锦标赛
Kościół św. Marcina w Warszawie,聖馬丁教堂
Zamek w Rzeszowie,熱舒夫城堡
Kedyw,救国军牵制局
Rząd Tymczasowy Rzeczypospolitej Polskiej,波蘭共和國臨時政府
Świątynia Sybilli w Puławach,西比拉庙宇
Stronnictwo Ludowe,人民党
Granatnik RWGŁ-3,RWGŁ-3槍榴彈發射器
Narodowe Muzeum Morskie w Gdańsku,格但斯克國家海事博物館
Akademia Muzyczna im. Grażyny i Kiejstuta Bacewiczów w Łodzi,罗兹音乐学院
Mistrzostwa Europy w Podnoszeniu Ciężarów 1995,1995年歐洲舉重錦標賽
Mistrzostwa Świata w Podnoszeniu Ciężarów Kobiet 1996,1996年世界举重锦标赛
1 Warszawska Brygada Pancerna im. Bohaterów Westerplatte,第1裝甲旅
I Brygada Legionów Polskich,波兰军团第1旅
1 Dywizja Grenadierów,第一掷弹兵师
Mały Staw,小斯塔夫湖
zamek Bobolice,博博利采城堡
Open'er Festival,露天音樂節
Synagoga Stara w Krakowie,舊猶太會堂
Baltic Pipe,波羅的海天然氣管道
Bank Emisyjny w Polsce,波兰发行银行
Stronnictwo Chłopskie,波兰农民党
Bank Millennium,千禧银行
Trolejbusy w Warszawie,華沙無軌電車
CTL Logistics,CTL物流
Turniej Juniorów UEFA 1978,1978年歐洲U-18足球錦標賽
Bargłów Kościelny,巴格武夫-科希切尔内
Tajna Armia Polska,波兰秘密军
Biała Fabryka Geyera,白工廠
Kościół św. Mateusza w Łodzi,聖馬太教堂
Pałac Izraela Poznańskiego,以色列波茲南斯基宮
Trolejbusy w Tychach,蒂黑無軌電車
Święto Narodowe Trzeciego Maja,五三宪法日
wybuch gazu w Rotundzie PKO w Warszawie,1979年華沙氣爆
Dąbrowa Mała,小棟布羅瓦湖
Jezioro Lidzbarskie,利茲巴克湖
22 Baza Lotnictwa Taktycznego,22空軍基地
linia M2,華沙地鐵2號線
MKP Pogoń Siedlce,謝德爾采足球俱樂部
Banówka,巴努夫卡河
Mariampol,馬里亞姆皮利
Synagoga Poppera w Krakowie,沃爾夫·波佩猶太會堂
Memoriał Huberta Jerzego Wagnera,Hubert Jerzy Wagner紀念賽
Trefl Gdańsk,特里弗格但斯克
Barkweda,巴克韦达
sztuka barokowa w Polsce,波蘭的巴洛克風格
Reprezentacja Polski U-16 w piłce nożnej,波兰16岁以下国家足球队
Reprezentacja Polski U-18 w piłce nożnej,波蘭18歲以下國家足球隊
Mistrzostwa Europy U-18 w Koszykówce Mężczyzn 2011,2011年FIBA18岁以下欧洲杯
System opieki zdrowotnej w Polsce,波蘭的醫療衛生
Synagoga Kupa w Krakowie,庫帕猶太會堂
Marszałek Senatu Rzeczypospolitej Polskiej,波兰参议院议长
Zamek Królewski w Łęczycy,文奇察城堡
Filharmonia im. Karola Szymanowskiego w Krakowie,克拉科夫愛樂大廳
Towarzystwo Naukowe Krakowskie,克拉科夫科学会
Powstanie krakowskie 1923,1923年克拉科夫暴乱
Park Szczytnicki,斯特尼基公園
Błyskawica,闪电电台
Teatr im. Juliusza Słowackiego w Krakowie,尤利烏什·斯沃瓦茨基劇院
Teatr Polski im. Arnolda Szyfmana w Warszawie,华沙波兰剧院
Reprezentacja Polski U-20 w piłce nożnej,波兰20岁以下国家足球队
Ministerstwo Spraw Wewnętrznych i Administracji,波蘭內務行政部
Ministerstwo Zdrowia,波蘭衛生部
Sobolew,索伯列夫
Gmach Kancelarii Prezesa Rady Ministrów,波蘭總理府
aborcja w Polsce,禁止堕胎
Wojsko Polskie na Wschodzie,波兰东方军团
Strzegomka,斯切戈姆卡河
powiat namysłowski,納梅斯武夫縣
Ogród Botaniczny Uniwersytetu Wrocławskiego,弗罗茨瓦夫大学植物园
Ministerstwo Kultury i Dziedzictwa Narodowego,波兰文化与遗产部
Ministerstwo Edukacji Narodowej,波兰教育部
wieś w Polsce,波兰村庄
Muzeum Marii Skłodowskiej-Curie w Warszawie,居里夫人博物館
Zespół kościelny bazyliki Najświętszej Marii Panny i św. Bartłomieja w Piekarach Śląskich,圣玛丽及圣巴托洛缪大教堂
Obrona Grudziądza,格魯瓊茲戰役
Powiśle,维斯瓦河畔区
Klikawa,克利卡瓦河
Mszanka (Ukraina),姆沙涅齊河
wina polskie,波兰葡萄酒
Jezioro Figurowe,阿爾吉湖
WTS Wrocław,弗罗茨瓦夫体育俱乐部
chleb żytni,裸麥麵包
Jezioro Czorsztyńskie,喬爾什滕湖
Ministerstwo Rozwoju Regionalnego,波蘭區域發展部長
Uniwersytet Medyczny w Białymstoku,比亚韦斯托克医科大学
Uniwersytet Jana Kochanowskiego w Kielcach,扬·科哈罗夫斯基大学
Uniwersytet Ekonomiczny w Poznaniu,波兹南经济与商业大学
Ministerstwo Finansów,波蘭財政部
Ministerstwo Sprawiedliwości,波兰司法部
Popowo,波波沃
Bazylika Najświętszego Serca Pana Jezusa w Krakowie,耶稣圣心圣殿 (克拉科夫)
Narew,纳雷夫
Usnarka,烏斯納爾卡河
Ogończyk,奥贡奇克纹章
Bitwa pod Mokrą,莫科拉战役
Bitwa pod Osuchami,奥苏西战役
Bitwa na Porytowym Wzgórzu,波日托维山战役
Obrona Przemyśla 1939,普熱梅希爾戰役 (1939年)
Szarża pod Borujskiem,舒恩菲爾德戰役
Bitwa pod Studziankami,斯图齐安济战役
Wierzno Wielkie,大维日诺
Bliżyn,布里津
Czeremcha,切雷姆哈
Aleksandrów,亚历山德鲁夫（克拉什尼克县）
Polska Partia Socjalno-Demokratyczna Galicji i Śląska Cieszyńskiego,波蘭加利西亞社會民主黨
Mennica Polska,波蘭造幣廠
Brygada im. Jarosława Dąbrowskiego,国际纵队第十三旅
Mała Konstytucja z 1947 roku,1947年小宪法
Bazylika konkatedralna św. Jakuba w Olsztynie,奥尔什丁圣雅各伯宗徒圣殿共主教座堂
Łutownia,武托夫尼亞河
Odła,奧德拉河 (斯維斯洛奇河支流)
Port Gdynia,格丁尼亞港
Anielin,阿涅林
Huta Stalowa Wola,斯塔洛瓦沃拉钢铁公司
Port Szczecin,什切青港
szkoła doktorska,博士学校
Akademia Sztuk Teatralnych im. Stanisława Wyspiańskiego w Krakowie,克拉科夫索尔斯基高等国立戏剧学院
Centrum Myśli Polityczno-Prawnej im. Alexisa de Tocqueville'a,亚历克西斯·德·托克维尔政治和法律思想中心
Bitwa graniczna,边境战役
Rata,拉塔河
Ministerstwo Rolnictwa i Rozwoju Wsi,波蘭農業部
system prawny w Polsce,波蘭法律
Bełk,贝尔克
Śródmieście,希鲁德梅希切区 (格但斯克)
Jezioro Paprocańskie,帕普羅坎尼湖
Białoławka,比亞沃瓦夫卡河
Wyżyna Śląska,西利西亞高地
Kara śmierci w Polsce,波蘭死刑制度
Nowy Żmigród,新日米格鲁德
Kościół św. Augustyna we Wrocławiu,圣奥斯定堂 (弗罗茨瓦夫)
Kościół św. Idziego,圣艾智德堂 (弗罗茨瓦夫)
Kościół św. Henryka we Wrocławiu,圣皇亨利堂
Antyradio,反抗電台獎
Gdańsk Politechnika,格但斯克理工大學車站
lista stacji metra w Warszawie,華沙地鐵車站列表
Skierniewice,斯凱爾涅維采車站
Internetowa encyklopedia PWN,新世界百科全书
Lotnicze Pogotowie Ratunkowe,波蘭空中救護服務隊
Sołokija,索洛基亞河
Getto w Sosnowcu - Środuli,索斯诺维耶茨隔都
Sochaczew,索哈契夫車站
2 Armia Wojska Polskiego,波兰第2军团
4 Armia Sił Powietrznych i Obrony Przeciwlotniczej,第4航空防空集团军
Bank Handlowy w Warszawie,漢德洛威銀行
The Farm 51,51农场
Wojsko Polskie Królestwa Kongresowego,波兰会议王国军队
Okręg wyborczy nr 24 do Sejmu RP,比亚韦斯托克县選區
Zamek w Chęcinach,亨齊內城堡
Muzeum Armii Krajowej w Krakowie,克拉科夫波兰家乡军博物馆
Stupnica,斯圖普尼察河
Akademia Sztuk Pięknych w Gdańsku,格但斯克美術學院
Kaplica bł. Bronisławy w Krakowie,真福布朗尼斯拉瓦小堂
Muranów,穆拉努夫
Okręg wyborczy nr 12 do Sejmu RP,赫扎努夫 (議會選區)
Strwiąż,斯特里維戈爾河
Bystrzyca Łomnicka,貝斯奇察沃姆尼察河
Reda,雷達河
Płutnica,普武特尼察河
Okalica,奧卡利察河
Kościół Najświętszego Zbawiciela,至聖救世主教堂
Kościół Najświętszej Maryi Panny z Lourdes w Krakowie,露德圣母教堂 (克拉科夫)
Kościół Nawiedzenia Najświętszej Maryi Panny w Krakowie (Na Piasku),圣母往见圣殿
Bzury,布祖里
11 bit studios,11 bit studios
Bziniczka,布濟尼奇卡河
Bierówka,别鲁夫卡
Bójki,布伊基
Kopalnia soli Bochnia,博赫尼亞鹽礦
Chwiszczej,赫維什切伊河
Czarnowo,恰尔诺沃
Bogołomia,波哥沃米亞
Bogucice,博古西採
Mord w Czarnym Lesie,黑森林大屠杀
Bolemka (rzeka),博萊姆卡河
Bolszewka,博爾謝夫卡河
Błotnica (rzeka),布沃特尼察河
Cieszynka (rzeka),切申卡河
Cieszyny,切日尼
Czerniaków,切尔尼亚库夫
Straż Graniczna,波蘭邊防衛隊
Cisie,基谢
Czerwona (rzeka),切爾沃納河
Kościół Wniebowzięcia Najświętszej Maryi Panny w Krakowie (Na Bielanach),嘉玛道理会隐修院 (克拉科夫)
Borkowo Wielkie,波尔科沃
Obóz Wielkiej Polski,大波蘭陣營
straż miejska,城市卫队
Płaska,普瓦斯卡
kategorie dworców kolejowych w Polsce,波蘭鐵路車站分級
Bazylika archikatedralna Wniebowzięcia Najświętszej Maryi Panny i św. Jana Chrzciciela w Przemyślu,圣母升天圣若翰洗者圣殿总主教座堂
Kolegiata w Tumie,聖瑪麗和聖亞歷克烏斯學院教堂
Collegium Civitas w Warszawie,華沙人文大學
Krajowa Rada Ministrów,国内部长理事会
Bródno,布罗德诺
cmentarz Bródnowski w Warszawie,布羅德諾公墓
Komunistyczna Partia Polski (Mijal),波兰共产党 (米哈尔)
Związek Szlachty Polskiej,波兰贵族协会
Sala Kongresowa,会议大厅
Centrum Badania Opinii Społecznej,公众意见研究中心
Plac Konstytucji,宪法广场
Pomorze Gdańskie,東波美拉尼亞公爵
Komitet Centralny Polskiej Zjednoczonej Partii Robotniczej,波蘭統一工人黨中央委員會
Centralne Towarzystwo Gospodarcze dla Wielkiego Księstwa Poznańskiego,波兹南大公国中央经济学会
Cybina,齊比納河
Borów,波罗
Boże,波森布
Desno,戴斯瑙
stosunki polsko-chińskie,波中關係
Muzeum Krakowa,克拉科夫歷史博物館
Budzisko,布濟斯科
Karwowo,卡爾沃沃湖
Bromberg-Ost,比得哥什 (納粹集中營)
Jezioro Łańskie,萬斯克湖
Prawo jazdy w Polsce,波蘭駕駛執照
Zimowy Olimpijski Festiwal Młodzieży Europy 2009,2009年歐洲青少年冬季奧林匹克運動會
Lubaczówka,柳巴奇夫卡河
Lotnisko Koszalin-Zegrze Pomorskie,科沙林機場
Salonik Chopinów w Warszawie,肖邦客廳
Chorab,霍拉普
Bukowa (dopływ Sanu),布科瓦河 (桑河支流)
Naziemna telewizja cyfrowa w Polsce,波蘭數碼地面電視
Orzysz,奧日什湖
Bielsko-Biała Główna,别尔斯科-比亚瓦火车总站
Chraponianka,赫拉波尼安卡河
Dobrucowa,多布鲁科瓦
Chrześcijańska Demokracja III Rzeczypospolitej Polskiej,波兰第三共和国基督教民主党
MZKS Chrobry Głogów,格沃古夫英勇足球俱乐部
Dulkowszczyzna,杜科夫什齐兹纳
Grunwald (dzielnica Poznania 1954-1990),格伦沃尔德（波兰）
Grudno,格鲁德诺
Grudzianka (rzeka),格魯濟安卡河
stosunki polsko-gruzińskie,格魯吉亞－波蘭關係
Przełom Dunajca,杜納耶茨河峽谷
Dębosznica,登博什尼察河
Gręziniec,格倫濟涅茨河
Gryżyński Potok,格雷任卡河
Dymer,德梅尔
Długa (rzeka),德武加河
Grzymisław,古斯美斯拉華
Gnilec (rzeka),格尼萊茨河
Zamek w Gniewie,格涅夫城堡
Dziurków,久尔库夫
Dzierzążnica,傑爾宗日尼察河
wybory w Polsce,波兰选举
Dzierżązna,捷尔若孜那
Dzierżęcinka,傑日任欽卡河
Państwowe Ratownictwo Medyczne,波兰的医疗急救服务
Gulczanka,古爾錢卡河
Główne,格武夫内
Pracodawcy Rzeczypospolitej Polskiej,波蘭僱主協會
Arena Jaskółka Tarnów,Jaskółka Arena
Grądy,格兰德
Pyrzany,皮扎讷
Szablon:Polskie miasto infobox,Template:Infobox polska
Inglot,英格洛化妆品
Zamek biskupów warmińskich w Lidzbarku Warmińskim,瓦爾米亞利茲巴克城堡
Polskie Stronnictwo Ludowe (1945–1949),波蘭人民黨
Nowinka,诺温卡
Solidarność Walcząca,戰鬥團結工聯
Janczewko,杨切夫科
Goralenvolk,格拉尔裔
Dąbrowica,东布罗维察
Gowienica,戈維尼察河
Gowienica Miedwiańska,梅德維戈維尼察河
styl zakopiański,扎科帕内建筑风格
Kościół Zwiastowania Najświętszej Maryi Panny w Zamościu,法蘭西斯會教堂
Obóz pracy w Budzyniu,布津集中營
Olszewo,奥勒舍沃
Wielka Synagoga w Tykocinie,蒂科欽猶太會堂
Mózga,亞卡奇河
Trakiszki,特拉基什基
Grabinianka,格拉比尼安卡河
Gardominka,加爾多明卡河
Gwiździny,格维日兹尼
Stronnictwo hetmańskie,盖特曼党
Sobolewo,索波里波
Gwiazdy,格維亞茲達湖
Korzeniówka,克热尼乌夫卡
Gdański Uniwersytet Medyczny,格但斯克医科大学
Most Gdański,格但斯克橋
Hinduizm w Polsce,波兰印度教
Stara Synagoga w Jedwabnem,耶德瓦布内犹太教堂
Górki,古尔基
5 Wileńska Brygada AK,家乡军第5维尔诺旅
Hrebenne,赫雷本内
Hrebenne-Osada,赫雷本内-奥萨达
Dom Rodzinny Ojca Świętego Jana Pawła II w Wadowicach,在瓦多維采的沃伊蒂瓦家
Jedlanka,耶德兰卡
Hoczewka,霍切夫卡河
Łopuchowo,沃普霍沃
Huta Stara,胡塔斯塔拉
IS-3 ABC,初级-1型滑翔机
ISU Junior Grand Prix w Gdańsku,JGP波蘭站
I Korpus Polski,波兰第1军
stosunki polsko-indyjskie,印度－波蘭關係
AZS UWM Olsztyn,AZS奧爾什丁
Instytut Lotnictwa,航空學院
Międzyzakładowy Komitet Strajkowy,企業間罷工委員會
stosunki polsko-włoskie,意大利－波蘭關係
Jeżyce (dzielnica Poznania 1954-1990),耶齐采
Korpus Bezpieczeństwa Wewnętrznego,内部安全部队
Sokołda,索科烏達河
Pietkowo,皮耶特科沃
Proporzec Prezydenta Rzeczypospolitej Polskiej,波兰共和国总统旗
Zamek Tenczyn,滕津城堡
Mistrzostwa Świata w Podnoszeniu Ciężarów 2013,2013年世界舉重錦標賽
Mulawicze,穆拉维切
Polski Czerwony Krzyż,波兰红十字会
Kiekrz (Poznań),凯克日
Okręg wyborczy nr 33 do Sejmu RP,凯尔采
Związek Gmin Wyznaniowych Żydowskich w Rzeczypospolitej Polskiej,波兰犹太教团联盟
Kisielina,基謝利納河
Kadzidłowo,卡兹德沃沃
Jankowo,扬科沃
Kajetanowice,卡耶塔诺维采
Kacanka,卡坎卡河
Kalisty,卡利斯蒂
Kije,畿也
Kleparz,克莱帕日
Sobolewo,索波里波
Kamienica,卡梅尼察河
Jasionka,亚西翁卡
Jarka (rzeka),亞爾卡河
Kamionek,卡米歐尼克
Kokna,科克納河
Kokoszki,科科斯基
Kolejówka,科萊尤夫卡河
Kowalewice,科瓦勒维采
Koziegłówki,科齐格沃基
Pałac w Kozłówce,科茲羅夫宮
Komarówka,科马洛夫卡
Kołoząb,科沃宗布
Okręg wyborczy nr 10 do Parlamentu Europejskiego w Polsce,小波蘭與聖十字 (歐洲議會選區)
Leszkowice,卢布林
Lotnisko Kraków-Rakowice-Czyżyny,克拉科夫-拉科維採-奇濟尼機場
Ministerstwo Spraw Wewnętrznych (od 2011),波兰内政部
Biblioteka Krasińskich w Warszawie,克拉辛斯基图书馆
Plac Krasińskich w Warszawie,克拉尼斯基廣場
Główny Zarząd Informacji,波兰陆军信息总局
Ministerstwo Administracji i Cyfryzacji,行政和數字化部
Ambasadorowie Chin w Polsce,中国驻波兰大使列表
Białowieski Park Narodowy,比亞沃維耶扎國家公園
Ulica Miodowa w Warszawie,蜂蜜街
Zimnica,濟姆尼察河
Zespół Szkół Specjalnych nr 5 w Pabianicach,波蘭特殊教育大學
Most Marii Skłodowskiej-Curie w Warszawie,瑪麗亞·斯克沃多夫斯卡-居裡橋
