François Hollande,フランソワ・オランド
Jules Perrot,ジュール・ペロー
Augustin de Robespierre,オーギュスタン・ロベスピエール
Jean Tristan de France,ジャン・トリスタン・(ヴァロワ伯)
Charles-Louis Hanon,シャルル＝ルイ・アノン
Georges Lacombe (peintre),ジョルジュ・ラコンブ
Marie-Thérèse Reboul,マリー＝テレーズ・ルブール
Nicolas Chopin,ニコラ・ショパン
Philippe-Emmanuel de Lorraine,フィリップ・エマニュエル・ド・ロレーヌ
Claude-Louis de Saint-Germain,クロード＝ルイ・(サン＝ジェルマン伯爵)
Pierre-Paul Grassé,ピエール＝ポール・グラーセ
Tony Gallopin,トニ・ガロパン
Catherine Lacoste,カトリーヌ・ラコスト
Fabrice Abriel,ファブリス・アブリエル
Victor Levasseur (géographe),ヴィクトル・ジュール・ルバスール
Frédéric II de Lorraine,フリードリヒ2世・(上ロートリンゲン公)
Eugène Burnouf,ウジェーヌ・ビュルヌフ
Mathieu Ier de Lorraine,マチュー1世・(ロレーヌ公)
Claude Vignon,クロード・ヴィニョン
Jean Roger-Ducasse,ジャン・ロジェ＝デュカス
Paul Durand-Ruel,ポール・デュラン＝リュエル
Louis Vicat,ルイ・ヴィカー
Nicolas-François de Lorraine,ニコラ2世・(ロレーヌ公)
Louis Napoléon,ルイ・ナポレオン・(ナポレオン公)
François Fejtő,フランソワ・フェイト
Claude Alexandre de Bonneval,クロード・アレクサンドル・ド・ボンヌヴァル
Marc Riboud,マルク・リブー
Joseph-Nicolas Robert-Fleury,ジョゼフ＝ニコラ・ロベール＝フルーリー
Marc Minkowski,マルク・ミンコフスキ
Damien Le Tallec,ダミアン・ル・タレク
Nando de Colo,ナンド・デ・コロ
Alain Roche,アラン・ロシュ
Charles Eugène de Croÿ,シャルル・ウジェーヌ・ド・クロイ
Philippe de Saxe-Cobourg-Gotha,フィリップ・フォン・ザクセン＝コーブルク・ウント・ゴータ
Charles Louis Auguste Fouquet de Belle-Isle,シャルル・ルイ・オーギュスト・フーケ・ド・ベル＝イル
Jean Malouel,ジャン・マルエル
Modibo Diakité,モディボ・ディアキテ
Joseph Darnand,ジョゼフ・ダルナン
Jean-Baptiste Régis,ジャン・バティスト・レジス
Ratramne de Corbie,コルビーのラトラムヌス
Jérémie Janot,ジェレミー・ジャノ
François Omam-Biyik,フランソワ・オマン＝ビイク
Stéphane Dalmat,ステファヌ・ダルマ
Jean-Baptiste Krumpholtz,ヤン・クシチテル・クルンプホルツ
Louis-François-Armand de Vignerot du Plessis de Richelieu,ルイ・フランソワ・アルマン・ド・ヴィニュロー・デュ・プレシ
François Chatriot,フランソワ・シャトリオ
François Baroin,フランソワ・バロワン
Louis Claude Cadet de Gassicourt,ルイ・クロード・カデ・ド・ガシクール
Élisabeth de Savoie-Carignan,マリーア・エリザベッタ・ディ・サヴォイア＝カリニャーノ
Louis-Auguste de Bourbon (1700-1755),ルイ・オーギュスト・ド・ブルボン・(1700-1755)
Christophe Rousset,クリストフ・ルセ
Antoine de Lorraine,アントワーヌ・(ロレーヌ公)
Delphin Enjolras,デルファン・アンジョルラス
Jean-Pierre Chevènement,ジャン＝ピエール・シュヴェーヌマン
Eran Zahavi,エラン・ザハヴィ
Serge Betsen,セルジュ・ベッツェン
Jean-Philippe Durand,ジャン＝フィリップ・デュラン
Sebastian (musicien),セバスチャン・(ミュージシャン)
André Planché,アンドリュー・プランシェ
Alexander Liberman,アレクサンダー・リーバーマン
Daniel Buren,ダニエル・ビュラン
Bertrand Bonello,ベルトラン・ボネロ
Mathias Ranégie,マティアス・ラネーギー
Garry Bocaly,ガリー・ボカリ
Pape Diakhaté,パプ・マリック・ディアカテ
Henri II de Lorraine,アンリ2世・(ロレーヌ公)
Audouin Dollfus,オドゥワン・ドルフュス
Corentin Louis Kervran,ルイ・ケルヴラン
Albert Wolff (musicien),アルベール・ヴォルフ
Jean Markale,ジャン・マルカル
Ash Crimson,アッシュ・クリムゾン
Simon de Dammartin,シモン・ド・ダンマルタン
Théophane Vénard,テオファン・ヴェナール
Nicolas de Lorraine,ニコラ1世・(ロレーヌ公)
Charles Huntziger,シャルル・アンツィジェール
Nicolas Lapierre,ニコラ・ラピエール
Raymond Duchamp-Villon,レイモン・デュシャン＝ヴィヨン
Nikola Petrović-Njegoš,ニコラ・ペトロヴィッチ
Mahaut de Châtillon,マオー・ド・シャティヨン
Oscar Cullmann,オスカー・クルマン
Georges Huisman,ジョルジュ・ユイスマン
Commissaire Maigret,ジュール・メグレ
François II de Nevers,フランソワ2世・(ヌヴェール公)
Fulgence Ouedraogo,フュルジャンス・ウエドゥラオゴ
Samuel Bouhours,サムエル・ブウール
Bernard Plantevelue,ベルナール2世・(オーヴェルニュ伯)
Bernard Loiseau,ベルナール・ロワゾー
Bernard Lavilliers,ベルナール・ラヴィリエ
Jean-Baptiste Oudry,ジャン＝バティスト・ウードリー
Amaury-Duval,ウージェーヌ＝エマニュエル・アモリー＝デュヴァル
Georges Burou,ジョルジュ・ビュルー
Philibert Commerson,フィリベール・コメルソン
Prosper Garnot,プロスペル・ガルノー
Louis Hayet,ルイ・アイエ
Philippe de Villiers,フィリップ・ド・ヴィリエ
Gabriel Auguste Daubrée,ガブリエル・オーギュスト・ドブレ
Frédéric Diefenthal,フレデリック・ディーファンタル
Marc-Antoine Mathieu,マルク＝アントワーヌ・マチュー
Georges Hébert,ジョルジュ・エベル
Fernand Courty,フェルナン・クーティ
Franck Signorino,フランク・シニョリーノ
Camel Meriem,キャメル・メリアン
Jean-Pierre Marielle,ジャン＝ピエール・マリエール
Nicolas Isouard,ニコラ・イズアール
Paul Passy,ポール・パシー
Leos Carax,レオス・カラックス
Sébastien Vaillant,セバスチャン・ヴァイヤン
Jean-Marc Ferreri,ジャン＝マルク・フェレリ
Bernard Stiegler,ベルナール・スティグレール
Bernard de Pardiac,ベルナール・ダルマニャック・(パルディアック伯)
Bernard Tissier de Mallerais,ベルナール・ティシエ・ド・マルレ
Christian Boltanski,クリスチャン・ボルタンスキー
Guy Moussi,ギー・ムッシー
Félix Duban,フェリックス・デュバン
Henri Chapu,アンリ・シャピュ
Romain Goupil,ロマン・グーピル
Michel Dalberto,ミシェル・ダルベルト
Pierre Leroux,ピエール・ルルー
Charles Bonaparte (1950),シャルル・ナポレオン
Robert Lynen,ロベール・リナン
Jules Jamin,ジュール・ジャマン
Raoul Ubac,ラウル・ユバック
Marcel Camus,マルセル・カミュ
Pierre Michelot,ピエール・ミシュロ
Youri Bandajevsky,ユーリ・バンダジェフスキー
David Hellebuyck,ダヴィド・エルビュイック
Robert Thomas,ロベール・トマ
Renan Luce,ルナン・リュース
Anne-Charlotte de Lorraine,アンヌ・シャルロット・ド・ロレーヌ・(1714-1773)
Jean d'Orléans (1399-1467),ジャン・ドルレアン・(アングレーム伯)
Arsène Darmesteter,アルセーヌ・ダルメステテール
Joseph Poniatowski,ユゼフ・ミハウ・ポニャトフスキ
Antonin Proust,アントナン・プルースト
Bernard Blier,ベルナール・ブリエ
François Gagnepain,フランソワ・ガニュパン
Yoann Maestri,ヨアン・マエストリ
Robert Antelme,ロベール・アンテルム
John Theophilus Desaguliers,ジョン・デサグリエ
Georges Balandier,ジョルジュ・バランディエ
Jean-François Raffaëlli,ジャン＝フランソワ・ラファエリ
François Levantal,フランソワ・レヴァンタル
Philippe Petit (funambule),フィリップ・プティ
Honoré V (prince de Monaco),オノレ5世・(モナコ公)
Gil de Ferran,ジル・ド・フェラン
Damien Monier,ダミアン・モニエ
Paul Veyne,ポール・ヴェーヌ
Jérémy Roy,ジェレミ・ロワイ
Michel-Louis Guérard des Lauriers,ミシェル＝ルイ・ゲラール・デ・ローリエ
Monsieur Mangetout,ミシェル・ロティート
Georges Franju,ジョルジュ・フランジュ
Lewis Trondheim,ルイス・トロンダイム
Tibor Harsányi,ハルシャーニ・ティボール
Jean-Antoine-Marie Idrac,ジャン＝アントワーヌ＝マリー・イドラック
Michel Deville,ミシェル・ドヴィル
Abdelkader Oueslati,アブデルカデル・オウェスラティ
Pierre Etchebaster,ピエール・エチュバステール
Léon-Paul Fargue,レオン＝ポール・ファルグ
Alexandre Trauner,アレクサンドル・トローネル
Charles de Rohan-Soubise,シャルル・ド・ロアン・(スービーズ公)
Louis Étienne Thouvenin,ルイ＝エティエンヌ・トーヴナン
Alexandre Guy Pingré,アレクサンドル・パングレ
Pierre Jean Georges Cabanis,ピエール・ジャン・ジョルジュ・カバニス
Yohann Diniz,ヨアン・ディニズ
Théophile Alexandre Steinlen,テオフィル・アレクサンドル・スタンラン
Olivier Jacque,オリビエ・ジャック
Luc Ferry,リュック・フェリー
Amadou-Mahtar M'Bow,アマドゥ・マハタール・ムボウ
François-Joseph Bosio,フランソワ・ジョゼフ・ボジオ
Laurent Sagart,ローラン・サガール
Jacques Ier de Châtillon,ジャック1世・ド・シャティヨン
Brahim Asloum,ブライム・アスロウム
Maurice Hamy,モーリス・アミー
Hubert Latham,ユベール・ラタム
François Cluzet,フランソワ・クリュゼ
François Gabriel de Bray,フランツ・ガブリエル・フォン・ブライ
Antoine Denis Chaudet,アントワーヌ＝ドニ・ショーデ
Jean-Baptiste Colbert de Seignelay,ジャン＝バティスト・コルベール・(セニュレー侯)
Georges Politzer,ジョルジュ・ポリツェル
Maurice de Gandillac,モーリス・パトロニエ・ド・ガンディヤック
Louis-Antoine Jullien,ルイ・ジュリアン
Henri Büsser,アンリ・ビュッセル
Charles-Simon Catel,シャルル・シモン・カテル
Charles Angélique François Huchet de La Bédoyère,シャルル・ド・ラベドワイエール
Allain Leprest,アラン・ルプレスト
Antoine Laurent Dantan,アントワーヌ・ローラン・ダンタン
Joseph Halévy,ジョゼフ・アレヴィ
Brigitte Engerer,ブリジット・エンゲラー
Luc Leblanc,リュク・ルブラン
Victor Dourlen,ヴィクトル・ドゥルラン
Auguste Herbin,オーギュスト・エルバン
Charles-Louis Havas,シャルル＝ルイ・アヴァス
Alain Lipietz,アラン・リピエッツ
Jean-François Deniau,ジャン＝フランソワ・ドニオー
François Laruelle,フランソワ・ラリュエル
Bryan Bouffier,ブリアン・ブフィエ
Lajos Tihanyi,ティハニ・ラヨシュ
Charles Blondin,シャルル・ブロンダン
Charles-Michel de L'Épée,シャルル・ミシェル・ド・レペー
Charles-Joseph Natoire,シャルル＝ジョゼフ・ナトワール
Lloyd Mondory,ロワイ・モンドリ
Victor Hémery,ヴィクトル・エメリ
Marcel Petiot,マルセル・プショー
Charles Errard,シャルル・エラール
Marcel Bitsch,マルセル・ビッチュ
Pierre Schoendoerffer,ピエール・シェンデルフェール
Ernest Boulanger (compositeur),エルネスト・ブーランジェ
Christophe Tinseau,クリストフ・タンソー
Thierry Mugler,ティエリー・ミュグレー
François Gény,フランソワ・ジェニー
Paul Jacoulet,ポール・ジャクレー
Billy Ketkeophomphone,ビリー・ケトケオポムポン
Jehan de Lescurel,ジャンノ・ド・レスキュレル
Jean-Marc Reiser,ジャン＝マルク・レゼール
Gilles Apap,ジル・アパップ
Vincent Laban,ヴァンサン・ラバン
Eugène Simon,ウジェーヌ・シモン
Gaspard Dughet,ガスパール・デュゲ
Henri II de La Trémoille,アンリ2世・ド・ラ・トレモイユ
Adil Hermach,アディル・エルマシュ
François Weyergans,フランソワ・ヴェイエルガンス
Francis de Laporte de Castelnau,フランソワ・ルイ・ドゥ・ラポルト
Georges Palante,ジョルジュ・パラント
Alphonse de Bourbon (1936-1989),アルフォンソ・デ・ボルボーン・(カディス公)
Daniel Gélin,ダニエル・ジェラン
Charles II de Lorraine,シャルル2世・(ロレーヌ公)
Simon II de Lorraine,シモン2世・(ロレーヌ公)
George Cœdès,ジョルジュ・セデス
Daniel Ceccaldi,ダニエル・チェカルディ
Pascal Dagnan-Bouveret,パスカル・ダニャン＝ブーベレ
Brahim Hemdani,ブライム・アムダニ
Georges Lefebvre (historien),ジョルジュ・ルフェーブル
Charles-François Lebrun,シャルル＝フランソワ・ルブラン
János Fürst,フュルスト・ヤーノシュ
Eduardo Serra,エドゥアルド・セラ
Jean-Marie Guyau,ジャン＝マリー・ギュイヨー
François Bouffier,フランソワ・ブッフィエ
Antoine Charles Louis de Lasalle,アントワーヌ・シャルル・ルイ・ド・ラサール
Jean-Pierre Gorin,ジャン＝ピエール・ゴラン
Auguste de Saint-Hilaire,オーギュスタン・サンティレール
Isidor Philipp,イシドール・フィリップ
Jean-François de Troy,ジャン＝フランソワ・ド・トロワ
Pierre-Édouard Frère,ピエール＝エドゥアール・フレール
Jean-Jules-Antoine Lecomte du Nouÿ,ジャン＝ジュール＝アントワーヌ・ルコント・デュ・ヌイ
Isidore Isou,イジドール・イズー
Othon Friesz,オトン・フリエス
Tristan Murail,トリスタン・ミュライユ
Adolphe Grisel,アルファーンス・グリセル
François de Bourbon (1519-1546),フランソワ・ド・ブルボン・(アンギャン伯)
Thiébaut Ier de Bar,ティボー1世・(バル伯)
Armand Salacrou,アルマン・サラクルー
Charles Thays,カルロス・タイス
Noël Hallé,ノエル・アレ
Pontus de Tyard,ポンチュス・ド・チヤール
Henri Estienne,アンリ・エティエンヌ
Xavier Montrouzier,グザヴィエ・モンルジェ
Grandville,J・J・グランヴィル
D'Artagnan,ダルタニャン
Claude Roy (écrivain),クロード・ロワ
Saphir Taïder,サフィル・タイデル
Bruno Ngotty,ブリュノ・ヌゴッティ
Wilson Oruma,ウィルソン・オルマ
Pierre et Gilles,ピエール・エ・ジル
Sebastian Roché (acteur),セバスチャン・ロッシェ
Antonio de La Gandara,アントニオ・デ・ラ・ガンダラ
Pierre Le Roy,ピエール・ル・ロワ
Aristide Aubert du Petit-Thouars,アリスティード・デュプティ＝トゥアール
Henri Ier de Bar,アンリ1世・(バル伯)
Ludovic-Napoléon Lepic,リュドヴィック＝ナポレオン・ルピック
René Bousquet,ルネ・ブスケ
Clovis Cornillac,クロヴィス・コルニアック
Jean-Paul Laurens,ジャン＝ポール・ローランス
Caran d'Ache,カラン・ダッシュ
Jean-Jacques Henner,ジャン＝ジャック・エンネル
Jacques Laffitte,ジャック・ラフィット・(政治家)
