Россия,俄罗斯
Тикшеозеро,季克紹澤羅湖
"Чулым (река, впадает в Малые Чаны)",丘雷姆河·(新西伯利亞州)
Ондозеро,翁多澤羅湖
Дон (автодорога),M4公路·(俄羅斯)
"Сокол (футбольный клуб, Саратов)",索科爾薩拉托夫足球會
Чесменская церковь,切斯马教堂
Мелодия (фирма),旋律唱片公司
Онда (река),翁達河
Тобольский кремль,托博爾斯克克里姆林
Октябрьское (Красногвардейский район),十月村·(克里米亞)
Башня Сююмбике,苏尤姆别卡塔
Дальневосточноевропейское время,欧洲极东时间
Ростсельмаш,罗斯托夫农业机械制造厂
Россотрудничество,独联体事务、海外侨民及国际人道合作署
Покорителям космоса,太空征服者紀念碑
"Киевская (станция метро, Филёвская линия)",基輔站·(菲利線)
Тумча,圖姆恰河
Императорский Тульский оружейный завод,圖拉兵工廠
Волгарь (футбольный клуб),禾加阿斯特拉罕足球會
Тысячелетие России,俄罗斯千年纪念碑
Виноградовский район (Архангельская область),維諾格拉多夫區
Деп,傑普河
Старокулаткинский район,舊庫拉特卡區
Кова (приток Ангары),科瓦河
Борисоглебский (Ярославская область),鲍里索格列布斯基·(雅罗斯拉夫尔州)
Сборная России по бадминтону,俄羅斯國家羽毛球隊
Разгром ихэтуаней в Южной Маньчжурии,沙俄入侵東北
Красноборский район,克拉斯諾博爾斯克區
Салхай,薩爾凱島
Хохский хребет,霍赫山脈
Котласский район,科特拉斯區
Гжать,格扎季河
Вулкан Смирнова,鲁鲁伊岳
Сула (приток Печоры),蘇拉河·(伯朝拉河支流)
Всесоюзная коммунистическая партия большевиков,全联盟共产党布尔什维克
Права ЛГБТ в России,俄羅斯LGBT權益
Сугой (река),蘇戈伊河
Матвеево-Курганский район,馬特韋耶夫庫爾干區
Кара (река),卡拉河·(俄羅斯)
Кандалакшский район,坎達拉克沙區
Верхнетуломский,上图洛姆斯基
Кильдинстрой,基利金斯特罗伊
Матта (река),馬塔河
Садовая улица (Санкт-Петербург),花園大街
"Восток (батальон, Чечня)",扎帕德和沃斯托克特別營
"Торпедо (футбольный клуб, Владимир)",弗拉基米爾魚雷足球會
Медаль Жукова,朱可夫獎章
Эволюция (башня),進化塔
"Октябрьская (станция метро, Калужско-Рижская линия)",十月站·(卡盧加-里加線)
"Ботанический сад (станция метро, Москва)",植物園站·(莫斯科地鐵)
"Ленинский проспект (станция метро, Москва)",列寧大道站·(莫斯科地鐵)
"Рижская (станция метро, Калужско-Рижская линия)",里加站·(卡卢加-里加线)
Зай (река),扎伊河
Алексеевский район (Татарстан),阿列克謝耶夫斯科耶區
Судогда (река),蘇多格達河
Сочи (река),索契河
Идлидля,伊德利德利亞島
Нотозеро (бассейн Туломы),諾托澤羅湖
Научно-исследовательский институт железнодорожного транспорта (Россия),全俄铁道运输科学研究院
Коса Двух Пилотов,二次飛行員沙嘴
Белая Гора (Якутия),白戈拉·(薩哈共和國)
Як Сервис,雅克服务航空
Витимское плоскогорье,維季姆高原
СПБ Биржа,聖彼得堡證券交易所
Волжская (станция метро),伏爾加站
"Ковжа (река, впадает в Белое озеро)",科夫扎河
Сборная России по футболу (до 21 года),俄羅斯21歲以下國家足球隊
Витим (Якутия),維季姆·(薩哈共和國)
Умба (посёлок городского типа),温巴·(俄罗斯)
Люберецкий район,柳別爾齊區
Волковская (станция метро),沃爾科沃站
Юрхямяярви,尤爾希米亞爾維湖
Мариинско-Посадский район,馬林斯基波薩德區
Кизилюртовский район,克孜勒尤爾特區
Катунский хребет,卡通山脈
Ельнинский район,葉利尼亞區
Марий Чодра,馬里森林國家公園
Оччугуй-Ботуобуя,奧丘圭-博圖奧布亞河
