"Достоевский, Фёдор Михайлович",フョードル・ドストエフスキー
"Кемурджиан, Александр Леонович",アレクサンドル・ケムルジャン
"Филиштинская, Ирина Николаевна",イリーナ・フィリシチンスカヤ
"Емельяненко, Александр Владимирович",エメリヤーエンコ・アレキサンダー
"Каневский, Виталий Евгеньевич",ヴィターリー・カネフスキー
"Андреасян, Сарик Гарникович",サリク・アンドレアシアン
"Грушко, Александр Викторович",アレクサンドル・グルシコ
"Аслаханов, Асламбек Ахмедович",アスランベク・アスラハノフ
"Юсупов, Артур Римович",アルトゥル・ユスポフ
"Леонович, Станислав Викторович",スタニスラフ・レオノビッチ
"Динерштейн, Александр Григорьевич",アレキサンダー・ディナーシュタイン
"Ефремов, Дмитрий Владиславович",ドミトリ・ヴラディスラヴォヴィチ・エフレモフ
"Фомин, Дмитрий Александрович",ドミトリー・フォーミン
"Латышев, Пётр Михайлович",ピョートル・ラティシェフ
"Квашнин, Анатолий Васильевич",アナトーリー・クワシュニン
"Гамзатханов, Магомедхан Аманулаевич",ヴォルク・ハン
"Титов, Константин Алексеевич",コンスタンチン・チトフ
"Оловников, Алексей Матвеевич",アレクセイ・オロヴニコフ
"Белый, Михаил Михайлович",ミハイル・ベールイ
"Шанцев, Валерий Павлинович",ヴァレリー・シャンツェフ
"Исхаков, Камиль Шамильевич",カミーリ・イスハコフ
"Шакура, Николай Иванович",ニコライ・シャクラ
"Белоусов, Андрей Рэмович",アンドレイ・ベロウソフ
"Белоногов, Александр Михайлович",アレクサンドル・ベロノゴフ
"Артяков, Владимир Владимирович",ウラジーミル・アルチャコフ
"Кузютина, Наталья Юрьевна",ナタリア・クジュティナ
"Столярова, Дарья Леонидовна",ダリア・イサエワ
"Макаров, Виталий Валерьевич",ビタリー・マカロフ
"Остриков, Андрей Александрович",アンドレイ・オストリコフ
"Илларионов, Андрей Николаевич",アンドレイ・イラリオノフ
"Вайно, Антон Эдуардович",アントン・ヴァイノ
"Иващенко, Елена Викторовна",エレナ・イワシェンコ
"Афанасьев, Евгений Владимирович",エフゲニー・アファナーシエフ
"Афанасьева, Елена Владимировна",エレーナ・アファナシェワ
"Берг, Юрий Александрович",ユーリー・ベルク
"Ивашутин, Пётр Иванович",ピョートル・イワシュチン
"Скрипаль, Сергей Викторович",セルゲイ・スクリパリ
"Беркут, Артур",アルトゥル・ベルクト
"Ковтун, Максим Павлович",マキシム・コフトゥン
"Асылмуратова, Алтынай Абдуахимовна",アルティナイ・アスィルムラートワ
"Евдокимов, Юрий Алексеевич",ユーリ・エヴドキモフ
"Ширко, Александр Петрович",アレクサンドル・シルコ
"Рузиматов, Фарух Садуллаевич",ファルフ・ルジマートフ
"Лычёва, Екатерина Александровна",カーチャ・リチョワ
"Смольников, Игорь Александрович",イーゴリ・スモルニコフ
"Барсуков, Михаил Иванович (генерал)",ミハイル・バルスコフ
"Сумин, Пётр Иванович",ピョートル・スーミン
"Маслов, Виктор Владимирович",ヴィクトル・マスロフ・(レーサー)
"Панин, Андрей Владимирович",アンドレイ・パニン
"Капранова, Ольга Сергеевна",オルガ・カプラノワ
"Батагов, Антон Александрович",アントン・バタゴフ
"Родионов, Игорь Николаевич",イーゴリ・ロジオノフ
"Онищенко, Геннадий Григорьевич",ゲンナジー・オニシチェンコ
"Попов, Алексей Владиславович",アレクセイ・ポポフ
"Козлов, Алексей Анатольевич",アレクセイ・コズロフ・(1986年生のサッカー選手)
"Лебедь, Алексей Иванович",アレクセイ・レベジ
"Сесина, Вера Валерьевна",ベラ・セシナ
"Аржанникова, Людмила Леонидовна",リュドミラ・アルハンニコワ
"Зарубина, Елена Михайловна",エレーナ・ザルビナ
"Николаев, Михаил Ефимович",ミハイル・ニコラエフ
"Штаркман, Наум Львович",ナウム・シュタルクマン
"Косоротов, Сергей Александрович",セルゲイ・コソロトフ
