François Hollande,弗朗索瓦·奥朗德
Bruno Dumont,布魯諾·杜蒙
Thierry Tusseau,泰亞利·圖索
Hugues Ier de Châtillon-Saint-Pol,于格一世·(沙蒂永)
François Fournier-Sarlovèze,弗朗索瓦·富尼耶-萨尔洛韦兹
Georges Blanc,喬治·布朗
Gilles Chabrier,吉勒·夏布里埃
François Caron (explorateur),弗朗索瓦·卡龙
Paul Dujardin,保罗·迪雅尔丹
Sébastien Faure,塞巴斯蒂安·富尔
Claude de Visdelou,刘应
Jean-Louis-Paul-François de Noailles,让·路易·保罗·弗朗索瓦·德·诺瓦耶
Jean-Louis Bianco,让-路易·比安科
Maurice Lafont,莫里斯·拉馮
Mickaël Gelabale,迈克尔·格拉贝尔
Pierre Fauchard,皮埃尔·费查
François de Bonne de Lesdiguières,弗朗索瓦·德·博纳·德·莱迪吉埃
Guy Bourdin,盖·伯丁
Camille Guérin,卡米尔·介兰
Daniel Marot,丹尼爾·馬羅特
Nicolas Vanier,尼古拉斯·维尼耶
Georges Wolinski,喬治·沃林斯基
Pauline Ducruet,保琳·杜克鲁特
Harriet Smithson,哈麗艾特·史密森
Charles Frédéric Louis d'Isembourg,卡尔·(伊森堡-比尔施泰因)
David Skrela,大衛·斯克雷拉
Michel Benoist,蒋友仁
Michel Croz,米歇尔·克罗
Paul Sauvage,保羅·索瓦奇
Marcel Hansenne,马塞尔·昂塞纳
François Heutte,弗朗索瓦·赫特
Joseph Ducreux,约瑟夫·迪克勒
Guy Ropartz,居伊·罗帕茨
Charles-Augustin Sainte-Beuve,夏尔-奥古斯丁·圣伯夫
Denis Lavant,德尼·拉旺
Samba Diakité,森巴·迪亞基迪
Marcel Landowski,马塞尔·兰多夫斯基
Alexandre Ledru-Rollin,亚历山大·奥古斯特·勒德律-洛兰
Félix Ravaisson,菲利克斯·拉维松-莫利安
Luc Oursel,卢克·乌塞尔
Pierre Restany,皮埃尔·雷斯塔尼
Louis de France (1775-1844),昂古萊姆公爵路易-安托萬
Jacques-Rémy Girerd,賈克·雷米·吉黑賀
Huang Yong Ping,黄永砯
Mehdi Abeid,迈赫迪·阿贝伊德
Demetre Chiparus,季米特里·奇帕若斯
James Couttet,雅姆·库泰
Xavier Beauvois,札維耶·波瓦
Jean-Étienne Championnet,让-艾蒂安·瓦希耶·尚皮奥内
Nicolas Chatelain,尼古拉·沙特兰
Vladimir Vladimirovitch Pozner,小弗拉基米尔·波兹涅尔
Nguyễn Văn Thinh,阮文清
Pierre-Max Dubois,皮埃尔·马克斯·杜布瓦
Eugène Boban,欧仁·博班
Godefroid II de Louvain,霍德弗里德二世·(魯汶)
Fabien Gilot,法比安·吉洛
Jean-Paul Bertrand-Demanes,吉恩-保羅·貝特朗-德馬內斯
Jules Barthélemy-Saint-Hilaire,朱尔·巴泰勒米-圣伊莱尔
Frédéric-Maurice de La Tour d'Auvergne (1605-1652),弗雷德里克·莫里斯·德·拉图尔多韦涅
Henri de Castries,亨利·德·卡斯特
Narcisse-Achille de Salvandy,纳尔西斯-阿希尔·德·萨尔万迪
Alexandre Lippmann,亚历山大·李普曼
Georges de La Falaise,乔治·德拉法莱兹
Yves Coppens,伊夫·科庞
Gadifer de La Salle,戈迪菲·德拉萨莱
Ivan Alexandrovitch Tcherepnine,齐以文
Charles Dantzig,夏尔·当齐格
Charles Dancla,夏爾·當克拉
Laurent Fressinet,洛朗·弗雷西内
Léon Duguit,莱昂·狄骥
Jules Verreaux,朱尔·韦罗
Gautier VI de Brienne,戈蒂埃六世·德布里耶纳
Charles Chamberland,夏尔·尚柏朗
Charles Bozon,夏尔·博宗
Victoire de France (1733-1799),维克图瓦·德·法蘭西
Alfred Vulpian,阿尔弗雷德·维尔皮安
Raël,雷爾
Henri Dutrochet,亨利·杜特罗歇
Albin Chalandon,阿尔班·夏朗东
Jean-François Domergue,尚-弗朗索瓦·多明格
Louis de Bourbon-Soissons,路易·德·波旁-蘇瓦松
Roger Ducret,罗歇·迪克雷
Tariq Abdul-Wahad,塔里克·阿卜杜勒-瓦哈德
Gérard Laumon,热拉尔·洛蒙
Louis Pierre Louvel,路易·皮埃尔·卢韦尔
Ronan Labar,罗南·拉巴尔
Charles Ier de Créquy,夏尔一世·德·布朗什福尔·德·克雷基
Charles Gondouin,夏尔·贡杜安
Diafra Sakho,戴亞法拿·沙高
Charles Joseph Minard,查爾斯·約瑟夫·米納德
Charles-Irénée Castel de Saint-Pierre,夏尔-伊雷内·卡斯特尔·德·圣皮埃尔
Jacques d'Armagnac,雅克·德·阿马尼亚克
Michel Rousseau (cyclisme),米歇尔·鲁索
Jacques Bouveresse,雅克·布弗莱斯
François Georges-Picot,斐格威
Albert Mayaud,阿尔贝·马约
Didier Sénac,迪迪埃·塞纳克
Didier Decoin,迪迪耶·德官
Didier Bouvet,迪迪埃·布韦
Charles Rostaing,夏尔·罗斯坦
Charles de Gontaut-Biron,夏尔·德·贡托-比龙
Charles de Gaulle (né en 1948),夏尔·戴高乐·(1948年)
Emmanuel Roblès,埃马纽埃尔·罗布莱斯
Yves Pouliquen,伊夫·普利康
Roger Beaufrand,罗歇·博弗朗
Alphonse Georges,阿方斯·乔治
Max Morinière,马克斯·莫里尼埃
Patrick Devedjian,帕特里克·德维让
George Psalmanazar,喬治·撒瑪納札
Charles Longuet,沙爾·龍格
Jean Lemaire de Belges,让·勒迈尔·德·贝尔热
Joseph Capgras,約瑟夫·卡普格拉
Charles-Émile Bouillevaux,夏尔·艾米尔·布意孚
Étienne Fourmont,傅爾蒙
Thomas Regnaudin,托馬斯·萊高汀
Stephen Pichon,斯蒂芬·毕盛
René Tirard,勒内·蒂拉尔
François de La Rocque,弗朗索瓦·德·拉·罗克
Guillaume II de Namur,威廉二世·(那慕爾)
René Mourlon,勒内·穆尔隆
Louis Hostin,路易·奥斯坦
Pierre Failliot,皮埃尔·法约
Norbert Hauata,諾伯特·夏華達
Emmanuel Desurvire,埃马纽埃尔·德叙维尔
Emmanuel Drake del Castillo,埃马纽埃尔·德拉克·德尔卡斯蒂洛
Joseph Vacher,约瑟夫·瓦谢
Emmanuel Hostache,埃马纽埃尔·奥斯塔什
Albert Deborgies,阿尔贝·德博尔吉
Michel Jazy,米歇尔·雅齐
Joseph Oesterlé,約瑟夫·奧斯特萊
Michel Crozier,米歇爾·克羅澤
Pierre Chambon,皮埃尔·尚邦
Georges Besse,乔治·贝斯
Olivier Megaton,奥利维尔·米加顿
Ferréol Cannard,费雷奥尔·卡纳尔
René Taton,勒内·他顿
Jérôme Thomas (boxe anglaise),热罗姆·托马
Jacques d'Albon de Saint-André,雅克·德伯恩·德·圣安德烈
Henri Lecomte (botaniste),保罗·亨利·勒孔特
Gilles Bernheim,吉勒·贝尔南
Jean Cabannes (physicien),让·卡巴纳
Alfred Foucher,阿勒弗莱德·福舍
Gustave Malécot,古斯塔夫·马莱科
Vincent Guérin,雲遜·古連
Henri Lauvaux,亨利·洛沃
Robert Siatka,羅伯特·西亞特卡
Jean-Pierre Amat,让-皮埃尔·阿马
Jean-Frédéric Oberlin,约翰·弗里德里希·欧柏林
Dominique Colonna,多米尼克·科洛納
Louis Marin (homme politique),路易·马林
Jean Boiteux,让·布瓦特
Pierre-Simon Fournier,皮埃尔-西蒙·富尼耶
Jean-Joseph Mounier,让-约瑟夫·穆尼耶
Albert Mathiez,阿尔贝·马蒂耶
Jean-François Larios,尚-弗朗索瓦·拉里歐斯
Robert III de Dreux,羅貝爾三世·(德勒)
Pierre Hermé,皮埃尔·埃尔梅
Alain Masudi,艾蘭·馬修迪
Henri de Laborde de Monpezat,亨里克亲王·(丹麦)
Isaach de Bankolé,伊薩赫·德·班克爾
Yvon Douis,伊冯·杜伊
Christian Millau,克里斯蒂安·米約
Gérald Mossé,巫斯義
Jules de Goncourt,朱爾·德·龔固爾
Louis Antoine Fauvelet de Bourrienne,路易·安托萬·福弗萊·德·布列納
Sholem Schwartzbard,肖勒姆·施瓦茨巴德
Richard de Saint-Victor,聖維克多的理查德
Christine de France,克莉絲汀·德·法蘭西
Enzo Lefort,恩佐·勒福尔
Pierre Naville,皮埃尔·纳维尔
Gilles Marguet,吉勒·马尔盖
Jean-Marie Dayot,讓-馬里·達約
Christophe André,克里斯多夫·安德烈
Henri Oreiller,亨利·奥雷耶
Jean Domat,让·多玛
Erwann Le Péchoux,埃尔万·勒佩舒
Dominique Dropsy,多米尼克·德羅普希
Gilbert Simondon,吉爾伯特·西蒙東
Alain Carpentier,阿兰·卡尔庞捷
Gilbert Chapron,吉尔贝·沙普龙
Maxime Guyon,紀仁安
Christophe Capelle,克里斯托夫·卡佩勒
Eugénie Blanchard,欧仁妮·布朗夏尔
César-Pierre Richelet,塞萨尔-皮埃尔·里什莱
Ryan Mendes,賴恩·文迪斯
Egutu Oliseh,艾古杜·奧利殊
Diego Buñuel,迭戈·布努埃尔
Lucien Clergue,呂西安·克雷爾格
Hiner Saleem,辛納·薩林姆
Christophe Kempé,克里斯托夫·肯佩
Dominique Baudis,多米尼克·博迪
Dominique Bijotat,多米尼克·比若塔
Dominique Baratelli,多米尼克·巴拉泰利
Dominique Bathenay,多米尼克·巴特納伊
Fernand Point,費爾南·普安
Qigang Chen,陈其钢
Yannick Stopyra,揚尼克·斯托皮拉
Jacques Gernet,谢和耐
Lucien Michard,吕西安·米沙尔
Robert II de Dreux,羅貝爾二世·(德勒)
Gaston Gallimard,加斯东·伽利玛
Golo (auteur),郭龍·(法國漫畫家)
Frédéric Michalak,弗雷德里克·米沙拉克
Henri Fabre (ingénieur),亨利·法布尔
Louis de Noailles,路易·德·诺瓦耶
Maurice Joly,毛里斯·若利
Stéphane Sednaoui,斯蒂芬·賽德納維
Jean-Claude Romand,让·克洛德·罗芒
Jean Cras,让·克哈斯
Jean-Philippe Rohr,让-菲利普·罗尔
Gérard Fenouil,热拉尔·弗努伊
Victor Sintès,維克多·辛特斯
François Remetter,弗朗索瓦·雷梅特
François de Vendôme,弗朗索瓦·德·旺多姆
Raymond Marcellin,雷蒙·马塞兰
Jean-Baptiste de Machault d'Arnouville,马肖·达努维尔
Jean Lugol,让·卢戈
Pathé,百代電影公司
Henri Ier de Montmorency,亨利一世·德·蒙莫朗西
Henri Padou (1898-1981),亨利·帕杜
Honoré Fragonard,奥诺雷·弗拉戈纳尔
Roger Marche,羅傑·馬奇
Kevin Staut,凯万·斯托
Henri Bosco,亨利·博斯科
Louis Dupré (peintre),路易·迪普雷
François-Urbain Domergue,弗朗索瓦-于尔班·多梅尔格
Malaury Martin,馬羅尼·馬田
Jean Rapp,讓·拉普
Jean-Denis Attiret,王致诚
Alfred Perot,阿尔弗雷德·佩罗
Jonathan Joubert,喬納森·尤伯特
Laurent Cassegrain,洛朗·卡塞格兰
Jules Brunet,儒勒·布呂奈
Henri Buisson (physicien),亨利·比松
Maurice Duplay,莫里斯·杜坡莱
Laurent Gaudé,羅蘭·高蝶
Pierre Bulliard,皮埃尔·比利亚尔
Henri-Gustave Delvigne,亨利-古斯塔夫·德尔维涅
Henri Gault,亨利·戈
Henri Doré,禄是遒
Henri-Pierre Roché,亨利-皮埃爾·羅謝
Henri-Paul Pellaprat,亨利-保羅·佩拉普拉
Louis Marie Antoine de Noailles,路易·马克·安托万·德·诺瓦耶
Jean-Baptiste Du Halde,杜赫德
Jean-François Kornetzky,让-弗朗索瓦·科内茨基
Madeon,麥狄恩
Philippe-Antoine Merlin de Douai,菲利普-安托万·梅兰·德·杜艾
Michel Raynaud,米歇尔·雷诺
Raymond Suvigny,雷蒙·叙维尼
Jean Jules Jusserand,让·朱尔斯·朱塞兰德
Alain Calmat,阿兰·卡尔马
Pascal Clément,帕斯卡尔·克莱芒
Fernand Canelle,费尔南·卡内勒
Pierre Durand (équitation),皮埃尔·迪朗
Lucien Conein,卢西恩·科奈恩
Raymond Kaelbel,雷蒙·卡貝爾
Philippe Strozzi,菲利浦·迪·皮埃羅·史特羅齊
Jocelyn Delecour,若瑟兰·德勒库尔
Jim Bilba,日姆·比尔巴
Hubert Bourdy,于贝尔·布尔迪
Marius (Les Misérables),馬留斯·彭梅西
Hubert Nyssen,于贝尔·尼森
Pierre Barthès,皮埃尔·巴尔泰斯
Roger François,罗歇·弗朗索瓦
Ernest Beaux,埃内斯特·博
Hubert Reeves,于贝尔·雷弗
Ernest Nègre,埃内斯特·内格尔
Jean Tiberi,讓·迪貝利
Alexis Palisson,亚历克西斯·帕利松
Pascal Papé,帕斯卡尔·帕佩
Maxime Mermoz,马克西姆·梅尔莫兹
Alphonse Poitevin,柏德范
Pierre Morel (réalisateur),皮耶·莫瑞爾
Jean Vuarnet,让·维亚尔内
Jean Weissenbach,让·魏森巴赫
Xavier Lesage,格扎维埃·勒萨热
Francis Garnier,安鄴
Jacques Secrétin,雅克·塞克雷坦
Francis Moreau,弗朗西斯·莫罗
Damien Chouly,達米安·舒利
Louis Vivin,路易斯·維凡
Gaston Ragueneau,加斯东·拉格诺
Jeanloup Sieff,让卢普·西夫
Pierre Rodocanachi,皮埃尔·罗多卡纳基
Bernard Baudoux,贝尔纳·博杜
René Coicaud,勒内·夸科
Claude Nigon,克洛德·尼贡
Guy de Luget,居伊·德吕热
Fernand Jourdant,费尔南·茹尔当
Zakarya Bergdich,貝迪治
Daniel Contet,达尼埃·孔泰
Christian Gaudin (handball),克里斯蒂安·戈丹
Nicolas Flamel (Harry Potter),尼樂·勒梅
Alain Giletti,阿兰·吉莱蒂
Roger Closset,罗歇·克洛塞
Robert Liottel,罗贝尔·利奥泰尔
Léonore Perrus,莱奥诺尔·佩吕
René Queyroux,勒内·凯鲁
Daniel Dagallier,达尼埃尔·达加利耶
Joseph Perotaux,约瑟夫·佩罗托
Henri Guérin (escrime),亨利·介朗
Paul Wormser,保罗·沃姆泽
Georges Casanova,乔治·卡萨诺瓦
Édouard Artigas,爱德华·阿蒂加
Franck Esposito,弗兰克·埃斯波西托
Paul Cambon,保羅·康邦
Charles Perrin (aviron),夏尔·佩兰
Louis Chaillot,路易·沙约
Morgan Schneiderlin,摩根·舒尼達連
François-Régis Clet,刘格來
Stanley Jackson (basket-ball),斯坦利·杰克逊
Louis Billot,路易·毕洛
Alain Corbin,阿兰·科尔班
Victor Hochepied,维克托·奥舍皮耶
André Six,安德烈·西克斯
Maurice Hochepied,莫里斯·奥舍皮耶
Joseph Diez Gergonne,約瑟夫·熱爾崗
Jules Clévenot,朱尔·克莱弗诺
Jean-Michel Lucenay,让-米歇尔·吕塞奈
Nicolas de Fer,尼古拉·德费尔
Jean-Marc Guillou,讓-馬克·吉尤
Gaëtan Gatian de Clérambault,加埃唐·加添·德·克雷宏波
Jean Cau (aviron),让·科
Jean-François Tournon,让-弗朗索瓦·图尔农
Jean Levavasseur,让·勒瓦瓦瑟尔
Patrick Groc,帕特里克·格罗克
Maurice Huet,莫里斯·于埃
Salif Sané,薩里夫·薩內
Paul Duchesnay,保罗·迪谢奈
Philippe Jeannol,菲利普·让诺尔
Yolande de Châtillon,沙蒂永的約蘭德
Sarah Daninthe,萨拉·达南特
André Vacheresse,安德烈·瓦舍雷斯
Yohan Mollo,約翰·莫洛
Michaël D'Almeida,米夏埃尔·德阿尔梅达
René Jarry-Desloges,勒内·雅里-德洛热
Monsieur Chouchani,乔查尼先生
Antoine Diot,安托万·迪奥
Joseph de Guignes,德金
Yan Pascal Tortelier,楊·帕斯卡·托特里耶
Joseph Wresinski,若瑟·赫忍斯基
Jacques-Charles Brunet,雅克·夏爾·布呂內
Jules Vuillemin,儒勒·维耶曼
Bérengère Schuh,贝朗热尔·舒
Daniel Soubeyran,达尼埃尔·苏贝朗
Erwin Kehlhoffner,埃尔温·克尔奥夫内
Jacques de Larosière,雅克·德·拉罗西埃
Jean Hervé,让·埃尔韦
Lucien Martinet,吕西安·马蒂内
Pénélope Leprévost,佩内洛普·勒普雷沃
Guillaume Ier de Nevers,威廉一世·(尼維爾)
Gary Stal,蓋瑞·斯塔爾
Jules Brévié,朱尔·布雷维耶
Jules Patenôtre,儒勒·巴德诺
Roger Ducos,罗歇·迪科
Pierre Étaix,皮埃尔·埃泰
William Ayache,威廉·阿亚什
Jéhan de Buhan,让·德比昂
Quentin Lafargue,昆廷·拉法尔格
Astrid Guyart,阿斯特丽·居亚尔
Michel Jouvet,米歇尔·朱维特
Jean-Pierre Mocky,让-皮埃尔·莫奇
Albert Thévenon,阿尔贝·泰弗农
Georges Gurvitch,乔治·古尔维奇
Olivier Charlier,奧利佛·沙利耶
Émile Billard,埃米尔·比亚尔
Louis de Bourbon (1974),路易斯·阿方索·德·波旁
Auguste Chevrolat,路易·亞歷山大·奧古斯特·謝夫羅拉特
Stéphan Caron,斯特凡·卡龙
Nicolas IV de Neufville de Villeroy,尼古拉·德·纳维尔
Louis Vauxcelles,路易·沃克塞爾
Jean-Marie Delavay,赖神甫
René Lasserre (chef cuisinier),勒內·拉塞爾·(廚師)
Noël Delberghe,诺埃尔·德尔贝格
Quasimodo (personnage),卡西莫多
Louise de France,路易絲·德·法蘭西
Lucien Guiguet,吕西安·吉盖
René Girard (football),勒內·吉拉爾·(足球員)
Waldemar Haffkine,沃尔德玛·哈夫金
Jacques Ochs,雅克·奥克斯
Albert Batteux,阿爾伯特·巴特
Thierry Breton,蒂埃里·布雷东
Janine Charrat,珍妮·沙拉
Jean-Louis Harel,让-路易·阿雷尔
Didier Faivre-Pierret,迪迪埃·费弗尔-皮埃雷
Hervé Boussard,埃尔韦·布萨尔
Rithy Panh,潘禮德
Jean-Baptiste Louis Gros,让-巴蒂斯特·路易·葛罗
Pierre Georget,皮埃尔·若尔热
Maurice Paléologue,毛里斯·巴列奥洛格
Jean Castaneda,尚·卡斯塔尼達
Jacques Camatte,雅克·卡马特
Thomas Mulcair,唐民凱
Cyril Théréau,西羅·費里奥
Jean-Gérard Bursztein,让·耶哈贺·比尔斯坦
Jean-Georges Lefranc de Pompignan,让-乔治·勒弗朗·德·蓬皮尼昂
Jean Guillaume Audinet-Serville,让·纪尧姆·奥迪内-塞维尔
Jean-Frédéric Phélypeaux de Maurepas,让-弗雷德里克·菲利波·(莫尔帕伯爵)
Jean Collas,让·科拉
Maurice Blitz,莫里斯·布利茨
Marc Yor,马克·约尔
Marcel Bernard,马塞尔·贝尔纳
Maxime Médard,马克西姆·梅达尔
Bernard Lahire,贝尔纳·拉伊尔
Robert Mouynet,羅伯特·穆內
Christophe Lemaire (jockey),李慕華
Jean-Louis Bonnard,彭纳
Georges Beuchat,乔治·伯沙
Joseph Olivier,约瑟夫·奥利维耶
Mirosław Rybaczewski,米罗斯瓦夫·雷巴切夫斯基
Teffi,苔菲
Paul Bontemps,保罗·邦当
Stéphane Bruey,斯特凡納·布魯伊
Serge Elisseeff,叶理绥
Marcel Rainaud,马塞尔·雷诺·(政治人物)
Marie-Laurence Jungfleisch,玛丽-劳伦斯·容格弗莱施
Louis Auguste Le Tonnelier de Breteuil,路易·奥古斯特·勒通内利耶·德·布勒特伊
Paul Fritsch,保罗·弗里奇
Armand Apell,阿尔芒·阿佩尔
Jean-Nicolas Pache,讓-尼古拉·帕什
William Servat,威廉·塞尔瓦
Christian Bauer (escrime),克里斯蒂安·鮑埃爾
Samuel Naumbourg,撒姆爾·諾姆堡
Antoine Simon (1736-1794),安托萬·西蒙
Mickaël Murcy,米歇尔·莫西
Théodose de Lagrené,拉萼尼
Henri Gance,亨利·冈斯
Paul Colas,保罗·科拉
Ernest Cadine,埃内斯特·卡迪纳
Sashina Vignes Waran,萨申纳·维尼斯·瓦汉
Jacques Thubé,雅克·蒂贝
Maurice Germot,莫里斯·热尔莫
Maurice Janin,莫里斯·雅南
André Derrien,安德烈·德里安
Jean Sylvain Bailly,让·西尔万·巴伊
Bienvenu Myriel,米里哀主教
Alphonse Favier,樊国梁
Jules Keignaert,朱尔·凯尼亚尔
Xavier Eluère,格扎维埃·埃吕埃尔
Layvin Kurzawa,利雲·古沙華
Jean Vaysse,让·韦斯
Jean Etcheberry,让·埃切贝里
Victor Dubuisson,維克托·杜比森
Alain Couriol,阿蘭·庫里奧爾
Jean-Marc Doussain,让-马克·杜桑
Jean de Brosse,让·德·布罗斯
Pascal Jolyot,帕斯卡尔·若利奥
Patrick Birocheau,帕特里克·比罗绍
Jean-Charles Cornay,若望-嘉祿·高爾內
Cédric Lécluse,塞德里克·雷克鲁斯
Clément Dupont,克莱芒·杜邦
Émile Bouchès,埃米尔·布谢斯
Étienne Piquiral,艾蒂安·皮基拉尔
Étienne Bonnes,艾蒂安·博纳
Albert Dupouy,阿尔贝·迪普伊
Louis Béguet,路易·贝盖
Henri Galau,亨利·加洛
Paulin Lemaire,保兰·勒迈尔
Victor Napoléon,維克多·拿破崙
Yaya Sanogo,亚亚·萨诺戈
Raymond Talleux,雷蒙·塔勒
François Borde,弗朗索瓦·博尔德
Robert Levasseur,罗贝尔·勒瓦瑟
Maurice Labeyrie,莫里斯·拉贝里
Édouard Bader,爱德华·巴德尔
Louis Gressier,路易·格雷西耶
Alphonse Castex,阿方斯·卡斯泰
Guillaume III de Nevers,威廉三世·(尼維爾)
William Meynard,威廉·梅纳尔
Émile Bertin (ingénieur),白劳易
Robert Desmettre,罗贝尔·德梅特
Paul Leroy (tir à l'arc),保罗·勒鲁瓦
Louise-Élisabeth de Bourbon-Condé,路易絲·伊麗莎白·德·波旁
Hervé Biausser,埃尔韦·比奥塞尔
Joffrey Lauvergne,若弗雷·洛韦尔涅
Aurélie Muller,奥雷莉·米勒
Guillaume II de Dampierre,威廉二世·(當皮埃爾)
Michel Hidalgo,米歇尔·伊达尔戈
Guillaume IV de Nevers,威廉四世·(尼維爾)
Geneviève de Fontenay,热纳维耶芙·德丰特奈
Ernest Constans,恭思当
Alan Seeger,阿蘭·西格
Louis-Auguste Cyparis,路易-奥古斯特·西尔巴里
Alexis Contin,亚历克西·孔坦
Naby Sarr,拿比·沙亞
Serge Baudo,塞尔日·博多
Jean Marie du Lau d'Allemans,让-马里·迪洛
Pierre Pigneau de Behaine,百多祿
Philippe Ermenault,菲利普·埃尔默诺
Armand Marc de Montmorin Saint-Hérem,阿尔芒·马克·(蒙莫兰伯爵)
Ernest Hébrard,歐內斯特·埃布拉德
Audrey Tcheuméo,奥德蕾·彻梅奥
Pierre Petiteau,皮埃尔·珀蒂托
Michel Robert (cavalier),米歇尔·罗贝尔
Perrine Le Buhanic,佩里妮·列布哈尼奇
Jérôme Jeannet,热罗姆·让内
Nicolas Lopez (escrime),尼古拉·洛佩
Eugène Vaulot,欧仁·沃洛
Henri Rivière (militaire),李威利
Albert Canet,阿尔贝·卡内
Alphonse de Polignac,阿尔方·德·波利尼亚克
Claude Dambury,克劳德·丹布里
Benjamin Lecomte,本傑明·勒肯特
Dimitri Bascou,迪米特里·巴斯库
Edmond Dantès,爱德蒙·唐泰斯
Guillaume Seignac,纪尧姆·塞尼亚克
Jonathan Tehau,莊拿芬·泰希奧
Teaonui Tehau,迪安尼·泰希奧
Teheivarii Ludivion,盧迪·維安
Julien Bonnaire,朱利安·博奈爾
Rénier de Bourbon-Siciles,兰尼埃里·(两西西里)
Mikaël Roche,米高·洛查
Louis de France (1707-1712),路易·德·法蘭西·(1707年—1712年)
