Joachim Heinrich Wilhelm Wagener,勒夫海因里希·威廉·瓦格納
Matthias Höfs,馬蒂亞斯·赫夫斯
August Schumann,奥古斯特·舒曼
Franz von Löher,弗朗茨·馮勒赫
Maren Ade,瑪菡·阿德
Helmut Hofer,赫尔穆特·霍弗
Karl Holl,卡尔·贺尔
Eduard Grüneisen,爱德华·格林奈森
Viviane Hagner,薇薇安·哈格納
Bodo Kirchhoff,博多·基尔希霍夫
Max Walter,马克斯·瓦尔特
Addy-Waku Menga,阿迪-瓦库·蒙加
Wolfgang Joop,沃爾夫岡·喬普
Hans-Georg Beck,汉斯·格雷尔格·贝克
Juliane Schenk,朱利安·申克
Walter Mehring,沃尔特·梅林
Dennis Lisk,传洋
Joachim-Ernst Berendt,約阿希姆-恩斯特·貝蘭特
Hans Georg Calmeyer,汉斯·乔治·卡尔迈耶
Lothar Mendes,洛萨·门德斯
Walther von Goethe,瓦尔特·冯·歌德
Christian Ulmen,克里斯蒂安·乌蒙
Adolf Busemann,阿道夫·布斯曼
Ben Becker,班·貝克
Hellmuth Karasek,海耳穆·卡拉賽克
Werner Nekes,维尔纳·内克斯
Ulf Hoelscher,乌尔夫·赫尔舍
Odisseas Vlachodimos,奥迪塞斯·弗拉霍迪莫斯
Carola Höhn,卡罗拉·霍恩
Georg Samuel Dörffel,格奥尔格·萨穆埃尔·德费尔
Karl-Heinz Narjes,卡尔-海因茨·纳尔热斯
Herbert Bauch,赫伯特·鲍赫
Hans Rose,汉斯·罗斯
Georg Wetzell,喬治·魏澤爾
Carl Friedrich Meerwein,卡尔·弗里德里希·梅尔温
Michael Kumpfmüller,米歇尔·库普夫米勒
Otto L. Bettmann,奧托·貝特曼
Peter Kloeppel,彼得·克罗珀尔
Peter Lustig,彼得·卢斯蒂格
Johann III.,韋爾勒的約翰三世
Jenny Gröllmann,珍妮·格勒尔曼
Renate Mayntz,雷纳特·梅因茨
Stefan Lorenz Sorgner,斯特凡·洛伦茨·索格纳
Frank Griebe,法蘭克·葛力比
Elisabeth von Braunschweig-Wolfenbüttel,不倫瑞克-沃爾芬比特爾的伊莉莎白
Johanna Sophie zu Hohenlohe-Langenburg,約翰娜·索菲
Regine Hildebrandt,雷金·希尔德布兰特
Dietrich Klagges,迪特里希·克拉格斯
Robert Radecke,罗伯特·拉德克
Wilhelm Karl Prinz von Preußen,普魯士公主多娜塔
Peter Wellnhofer,彼得·威林霍芬
Hubert Wolf,胡贝特·沃尔夫
Rainer Bock,莱纳·博克
Henry Hugo Pierson,海因里希·雨果·皮爾森
Katharina Ursula von Hohenzollern-Hechingen,卡塔里娜·烏爾蘇拉
August Euler,奥古斯特·欧勒
Bruno zu Ysenburg und Büdingen,布鲁诺 (伊森堡-比丁根)
Heinrich X. Reuß zu Lobenstein,亨利十世
Anna Magdalena von Pfalz-Birkenfeld-Bischweiler,安娜·瑪格達列娜
Michael Boder,米夏埃爾·波德
August von Rothmund,奧古斯特·馮·雷特蒙
Hermann zu Solms-Hohensolms-Lich,索爾姆斯-霍恩索爾姆斯-利希的赫爾曼
Claudia Blasberg,克劳迪娅·布拉斯贝格
Heinz Halm,海因茨·哈尔姆
Martin Mosebach,马丁·莫泽巴赫
Ferdinand Maria Innozenz von Bayern,斐迪南·馬利亞·英諾森
Philipp von der Pfalz,普法爾茨的菲利普·腓特烈
Siegfried in Bayern,巴伐利亞的西格弗里德
Wilhelm,威廉一世
Friedrich Carl zu Stolberg-Gedern,腓特烈·卡爾
Conrad Willgerodt,康拉德·威尔格罗德
Franz von Rintelen,弗朗兹·冯·林特伦
Werner Zeyer,沃納·澤耶爾
Ditte Kotzian,迪特·科齐安
Rudolf Schündler,魯道夫·辛德勒
Gustav Meyer,约翰·海因里希·古斯塔夫·迈尔
Dieter Hallervorden,迪特·哈勒沃登
Joachim Friedrich,约阿希姆·弗里德里希
Marco Kutscher,马尔科·库切尔
Ernst Forsthoff,恩斯特•福斯多夫
Walther Stennes,沃爾特·史坦尼斯
Heinrich Georg Stahmer,史塔玛
Manfred Krug,曼弗雷德·库克
Volker Bertelmann,豪施卡
Wolf Henzler,菲利普·恩
Adolf VI.,阿道夫六世 (貝格)
Engelbert III. von der Mark,恩格爾貝特三世
Ñāṇatiloka,尼亚那提洛卡
Andreas Rieke,安德烈亚斯·雷基
Mojib Latif,莫吉布·拉蒂夫
Julia da Silva-Bruhns,茱莉亚·达·席尔瓦-布鲁恩斯
Felix Schütz,费利克斯·许茨
Egon Adler,埃贡·阿德勒
Philipp zu Hohenlohe-Langenburg,霍亨洛赫-朗根堡亲王菲利普
Ruprecht Pipan,魯普雷希特·丕潘
Otto,奧托
Gottlob Heinrich von Tottleben,托特本伯爵
Johanna Elisabeth von Nassau-Hadamar,約翰娜·伊莉莎白
Ralf Brauksiepe,拉爾夫·布勞克西普
Kurt Kusenberg,柯尔特·库森贝格
Alexandre Imperatori,亚历山大·因佩拉托里
Engelbert I.,恩格爾貝特一世
Christian Wilhelm von Brandenburg,布蘭登堡的克里斯蒂安·威廉
Sandra Auffarth,桑德拉·奥法特
Markus Hantschk,马库斯·汉楚克
Sherko Fatah,舍尔克·法塔
Jennifer Braun,珍妮弗·布勞恩
Heinrich II.,亨利二世
Marco Schreyl,马科·施里尔
Gerhard Frey,格爾哈德·弗萊
Valentinus Otho,瓦倫蒂努斯·奧托
Karl Heun,卡爾·休恩
Carl Hahn junior,卡尔·哈恩
Gerhard Lehmbruch,格哈德·伦姆布奇
Eugen Gottlob Winkler,欧根·戈特洛布·温克勒
Gerhard Beil,格哈德·贝尔
Margarethe von Braunschweig-Lüneburg,不倫瑞克-呂訥堡的瑪格麗特
Lothar Müthel,洛塔尔·米特尔
Georg Christian Schemelli,G.C. 谢梅利
András Mechwart,安德拉斯·麦克沃特
Georg Ludwig Rudolf Maercker,格奥尔格·迈尔克尔
Franziska Drohsel,弗兰切斯卡·德罗泽尔
Johannes von Wallenrode,瓦倫羅德的約翰
Christoph,克里斯托夫
Peter Gojowczyk,彼得·高若尼茲克
Hans Falkenhagen,汉斯·法尔肯哈根
Rudolf Haag,鲁道夫·哈格
Eberhard Taubert,艾伯哈德·陶伯特
Adolf V.,阿道夫五世
Michael Balling,米夏埃尔·巴林
Michael Bach,迈克尔·巴赫
Alfred Kubel,阿爾弗雷德·庫貝爾
Hans Röttiger,漢斯·羅蒂格
Robert Döpel,罗伯特·多佩尔
Reinhart Ahlrichs,莱因哈特·阿尔利希斯
Fritz Künkel,弗里茨-昆克尔
Traugott Buhre,特拉戈特·布尔
Christian August Hausen der Jüngere,克里斯蒂安·奥古斯特·豪森
Aimo Heilmann,艾莫·海尔曼
Judy Winter,朱迪·温特
Bella Fromm,贝拉·弗洛姆
Hermann Axen,赫尔曼·阿克森
Rudolf III.,魯道夫三世 (哈赫貝格-索森貝格)
Gregor Wentzel,格雷戈尔·文策尔
Torsten Spanneberg,托尔斯滕·施潘内贝格
Mascha Müller,马史莎·缪勒
Anja Schüte,安哈·舒特
Hans Grauert,漢斯·格勞爾特
Max Deuring,馬克斯·多伊林
Tobias Hoesl,托比亚斯·霍斯尔
Johann Kies,约翰·基斯
Falk Harnack,福尔克·哈纳克
Daniel Müller-Schott,丹尼尔·米勒-肖特
Hadwig,海德薇希
Felix Linnemann,菲利克斯·林内曼
Luise Marie von der Pfalz,普法爾茨的路易絲·瑪麗
Pola Kinski,波拉·金斯基
Ernst Hellinger,恩斯特·黑林格
Ulla Hahn,乌拉·哈恩
Johann Leonhard Frisch,約翰·萊昂哈德·弗里施
Karl Zörgiebel,卡尔·策吉贝尔
Volker David Kirchner,福尔克尔·大卫·基希纳
Ferdinand Lessing,佛狄南·烈辛
David Scheller,大衛·施勒
Johann Gustav Hermes,约翰·古斯塔夫·爱马仕
Anna-Lena Friedsam,安娜-萊娜·弗里達薩姆
Ludwig Dürr,路德維希·杜爾
Norman Langen,诺曼·兰根
Maren Derlien,玛伦·德林
Elisabeth Flickenschildt,伊丽莎白·弗利肯希
Johann Bernhard,約翰·伯恩哈德
Gerhard Gustmann,格哈德·古斯特曼
Hans-Werner Meyer,汉斯·沃那·麦耶
Jo Bauer,喬·鮑爾
Hans Seidemann,漢斯·賽德曼
Ernst Heinrich von Dechen,恩斯特·海因里希·卡尔·冯·德兴
Felix Drahotta,费利克斯·德拉霍塔
Johannes Hommel,约翰·霍梅尔
Frederick Philip Grove,F.P. 格罗夫
Thomas Hettche,托马斯·赫特谢
Stefan Rahmstorf,斯蒂芬·拉姆斯托夫
Frank Henkel,弗兰克·亨克尔
Konrad Wirnhier,康拉德·维恩希尔
Mechthild von der Pfalz,普法爾茨的梅希蒂爾德
Günter Schubert,君特·舒伯特
Charlotte Wilhelmine von Sachsen-Coburg-Saalfeld,夏洛特·威廉明妮
Ellen Schwiers,艾倫·施威爾斯
Ewald Tilker,埃瓦尔德·蒂尔克
Hermann Joha,赫蒙尼·卓旱
Günter Gaus,君特·高斯
Heinrich Richard Baltzer,理查德·巴尔策
Erwin Otto Marx,埃尔文·奥托·马克斯
Alexander Szatmári,亞歷山德魯·薩特馬雷努
Ernst Pittschau,恩斯特·皮茨肖
Kurt Lichtenstein,庫特·利希滕斯坦
Ann-Kathrin Kramer,安-卡特琳·卡马
Lisa Maria Potthoff,丽萨·波特霍夫
Friedrich Wilhelm Levi,弗里德里希·威廉·莱维
Hans Wölpert,汉斯·韦尔珀特
Jürgen Osterhammel,尤根·奧斯特哈默
Michael Hilgers,米夏埃尔·希尔格斯
Friedrich von Bodelschwingh der Jüngere,弗里德里希·冯·博德施温
Inka Friedrich,英卡·芙德瑞
Magdalena Sibylla von Sachsen-Weißenfels,薩克森-魏森費爾斯的瑪格達列娜·希比拉
Martina Jäschke,马丁娜·耶施克
Hermann von Wied,韦德的赫尔曼
Stefan Blöcher,斯特凡·布勒歇尔
Ilse Heß,伊尔塞·普雷尔
Karl Aletter,卡尔·阿勒特
Falko Traber,法爾科·特拉伯
Nicolaus Schafhausen,尼古拉斯·夏夫豪森
Gernot Böhme,格尔诺特·伯梅
Karl Wirtz,卡爾·維爾茨
Sibylle von Bayern,巴伐利亞的希比爾
Ursula Buchfellner,乌苏拉·布菲尔娜
Harry Baer,哈里·贝尔
Klaus Kobusch,克劳斯·科布施
Nadja abd el Farrag,纳迪亚·阿卜杜·勒·弗拉加
Marion Kracht,玛丽恩·克拉赫特
Hans-Wolfgang Romberg,漢斯－沃夫岡·羅姆柏斯
Friedrich Tamms,弗里德里希·塔姆斯
Auguste Sophie von Pfalz-Sulzbach,奧古斯塔·索菲
Richard Wendler,理查德·温德勒
Eduard Erkes,何可思
Franz Kamphaus,方濟各·坎福斯
Karl-August Schumacher,卡爾-奧古斯都·舒馬赫
Hans Rothfels,漢斯·羅特費爾斯
Rudolf Oeser,鲁道夫·奥瑟
Ignaz Auer,伊格纳茨·奥艾尔
Otto VIII. von Wittelsbach,鄂圖八世
Margarethe Schreinemakers,玛格丽西·施赖内马克斯
Ludwig Brieger,路德維希·布里格
Pegah Ferydoni,佩嘉·费多尼
Philipp von Bayern,巴伐利亞的菲利普
Janine Kunze,珍妮·坤泽
Paul Wegener,保羅·威格納
Heinz Buschkowsky,海因茨·比施科斯基
Angelina Maccarone,安吉莉娜·马卡罗内
Peter Sodann,彼得·索丹
Marie-Luise Marjan,玛丽-露易丝•马里扬
Henrik Stehlik,亨里克·斯特赫利克
Peter Wackel,彼得·瓦克尔
Ernst Theodor Echtermeyer,埃恩斯特·特奧多爾·埃赫特米爾
Martin Bojowald,馬丁·玻久華德
Thomas Elsaesser,托马斯·埃尔塞瑟
Wolfgang Weingart,W. 魏因加特
Johann Samuel Friedrich von Böhmer,约翰·塞缪尔·弗里德里希·冯··貝納
Alex Seidel,艾利克斯·賽德爾
Bernhard I.,伯恩哈德一世
Gottfried Heinsius,戈特弗里德·海因修斯
Katharina Dorothea Finck von Finckenstein,卡塔琳娜·多萝西娅·芬克女伯爵
Karl-Heinz Dellwo,卡尔‑海因茨·德尔沃
Willi Fuggerer,维利·富格雷尔
Otto Kandler,奥托·坎德勒
Özay Fecht,欧扎·费什特
Walter Kuhn,瓦尔特·库恩
Josef Paul Kleihues,约瑟夫·保罗·克莱休斯
Hans Joachim Moser,漢斯·约阿希姆·莫瑟
Hans-Jürgen Veil,汉斯-于尔根·法伊尔
Adolf Gröber,阿道夫·格罗伯
Jakob Fugger der Ältere,老雅各布·富格爾
Georg Gustav,格奧爾格·古斯塔夫 (普法爾茨-費爾登茨)
Ruth Glass,卢斯·格拉斯
Marie Bäumer,玛丽·鲍伊默
Otto III.,奧托三世
Carl Hintze,卡尔·欣策
Johann Carl Freiesleben,约翰·卡尔·弗赖斯莱本
Isabel Abedi,伊莎贝尔·阿贝迪
Janin Ullmann,简琳·雷哈尔德
Monika Hansen,莫妮卡·汉森
Carl Alexander Herzog von Württemberg,卡爾·亞歷山大
Juliane Banse,朱莉安·班斯
Adolf IV.,阿道夫四世 (貝格)
Egon Günther,埃贡·君特
William Balck,威廉·巴尔克
Bülent Aris,比伦特·阿里斯
Thomas Südhof,托马斯·聚德霍夫
Henno Martin,亨诺·马丁
Klaus Wagner,克勞斯·華格納
Renate Riemeck,雷纳特·里梅克
Harald Welzer,哈洛特·維爾紮
Philipp von Kleve,克萊沃的菲利普
Kathrin Passig,凯瑟琳·帕西格
Wolfgang Gaede,沃爾夫岡·蓋德
Nikolai von Koslowski,尼古拉·冯·科斯洛夫斯基
Suzanna von Nathusius,蘇珊娜·馮·納特修斯
Herbert Binkert,赫伯特·宾克特
Thomas Karaoglan,托馬斯·卡拉格蘭
Bernhard Britting,伯恩哈德·布里廷
Christian Biegai,克里斯蒂安·比加伊
Rüdiger Wolfrum,吕迪格·沃尔夫鲁姆
Christian Günther III.,克里斯蒂安·金特三世
Wilhelm II.,威廉二世 (拿騷-迪倫堡)
Otto Ambros,奧托·安布羅斯
Bernhard VIII.,伯恩哈德八世
Thomas Schücke,托马斯·舒特
Karel Fajfr,卡雷尔·法伊夫
Rudolf Schulten,鲁道夫·舒尔滕
Franziska Christine von Pfalz-Sulzbach,法蘭西絲卡·克莉絲汀
Johann Böhm,波姆
Hartmut Esslinger,H. 艾斯林格
Johannes Grant,約翰尼斯·格蘭特
Jürgen Goslar,于尔根·戈斯拉尔
Hermann Adolf,赫爾曼·阿道夫 (利珀)
Gunther Tiersch,贡特尔·蒂尔施
Heinrich Lausberg,海因里希·劳斯贝格
Wolfgang Götze,沃尔夫冈·格策
Ralf D. Bode,拉爾夫·D·博德
Sepp Schauer,赛浦·肖尔
Wolfram Siebeck,沃爾夫拉姆·西貝克
Dietmar Rothermund,迪特馬·羅瑟蒙德
Erik Schumann,埃里克·舒曼
Paul Schneider-Esleben,保罗·施耐德-埃斯勒
Jutta Lampe,尤塔·兰普
Gustav von Bergmann,古斯塔夫·冯·贝格曼
Simon Brendle,西蒙·布伦德勒
Gerburg Jahnke,格堡·詹克
Matthias Baumann,马蒂亚斯·鲍曼
Frederik Wiedmann,弗雷德里克·威德曼
Peter Gruss,彼得‧格魯斯
Raúl Richter,劳尔·里克特
Tamara Milosevic,塔玛拉·米洛舍维奇
Alwin-Broder Albrecht,阿尔温-布罗德尔·阿尔布雷希特
Cindy Roleder,辛迪·罗德尔
Volker Fried,福尔克尔·弗里德
Heinrich Werner,赫因里希·维尔尼尔
Wilhelm Meyn,威廉·梅恩
Theodor Avé-Lallemant,希奧多·亞威-拉雷門
Bärbel Schäfer,巴贝尔·施弗
Therese von Braunschweig-Wolfenbüttel,不倫瑞克-沃爾芬比特爾的特蕾莎
Hans Kopfermann,漢斯·科普費爾曼
André Erkau,安德雷·艾尔考
Bernhard Knubel,伯恩哈德·克努贝尔
Caroline Peters,卡罗琳·彼得斯
Jutta Hoffmann,霍夫曼·尤塔
Diébédo Francis Kéré,迪页贝杜·弗朗西斯·凯雷
Hermann Kulke,赫爾曼‧庫爾克
Petra Schmidt-Schaller,佩特拉·施密特-夏勒
Gesine Cukrowski,格热娜·祖可若夫斯基
Stefanie Stappenbeck,斯蒂芬妮·斯塔彭贝克
Willy Zielke,威利·奥托·齐尔克
Hildegard Maria von Bayern,巴伐利亞的希爾德加德 (1881-1948)
Bernadette Heerwagen,伯娜德·黑尔沃根
Bogdan Musiał,博格丹·穆夏夫
Wolfgang Schuster,沃尔夫冈·舒斯特
Christiane Herzog,克里斯汀·赫尔佐克
Svenja Pages,斯文·帕吉斯
Brigitte Grothum,布里格特·格羅薩姆
Victoria Mayer,维多利亚·迈耶
Jean Pütz,吉恩·帕茨
Kerstin Thielemann,克丝廷·蒂勒曼
Reinhard Goerdeler,赖因哈德·格德勒
Nic Romm,尼克·罗姆
Bernd Martin,贝恩德·马丁
Christian Schreiber,克里斯蒂安·施赖伯
Martin Schaudt,马丁·绍特
Marita Breuer,玛丽塔·布劳耶
Barbara Hendricks,芭芭拉·亨德里克斯
Claus Biederstaedt,克劳斯·比德斯塔德
Werner Thärichen,维纳·萨里岑
Marta Fuchs,瑪爾塔·福克斯
Bruno Gesche,布鲁诺·盖舍
Detlev Peukert,迪特列夫·克特
William Berczy,威廉·柏茲
Franz Peter Wirth,弗朗茨·彼得·威茨
Roland Baar,罗兰·巴尔
Rainer Podlesch,赖纳·波德勒施
Adnan Maral,阿德南·马拉尔
Doris Schade,多丽丝·沙德
Sina-Valeska Jung,新浪-韦莱斯卡·荣格
Anna-Maria Zimmermann,安娜 - 玛丽亚·齐默尔曼
Wilhelm Kaidel,维利·凯德尔
Dieter Kosslick,迪特·科斯利克
Reinhold Tiling,赖因霍尔德·蒂林
Reiner Maurer,莱纳·毛雷尔
Sidonie von Krosigk,西多尼·凡·克罗斯克
Hans von Gersdorff,汉斯·冯·格斯多夫
Axel Scheffler,艾賽爾·薛弗勒
Gabrielle Scharnitzky,加布丽埃尔·沙尔尼茨基
Agnes Windeck,艾格尼丝‧温德克
Anna Angelina Wolfers,安娜·安吉丽娜·沃尔弗斯
Barbara Rütting,芭芭拉·鲁廷
Mareile Moeller,玛丽·贝蒂娜·莫勒
Karl John,卡爾·約翰 (演員)
Bernhard Ilg,伯恩哈德·伊尔格
Jürgen Schmidhuber,于尔根·施密德胡伯
Giulia Siegel,朱利亚·西格尔
Dietmar Bartsch,迪特马尔·巴尔驰
Helga Guitton,埃尔加·吉东
Stefan Arndt,史提芬·安特
Daniel J. Bernstein,丹尼爾·朱利阿斯·伯恩斯坦
Gerard Salton,杰拉德·索尔顿
Caroline von Humboldt,卡羅琳·馮·洪堡
Mark Waschke,马克·瓦斯奇科
Bernhard Brink,伯恩哈德·布林克
Maren Kroymann,莫丽·考依曼
Helena von Pfalz-Simmern,普法爾茨-錫門的海倫娜
Jochen Horst,乔根·霍斯特
Werner Zorn,维尔纳·措恩
Franz Christoph von Hutten zum Stolzenberg,方濟各·基多福·馮·胡騰
Nicole Heesters,妮可·黑斯特斯
Hito Steyerl,黑特·史德耶尔
Rudi Studer,鲁迪·斯塔德
Friedhelm Ptok,弗里德海姆·托克
Gerhard Weikum,格哈特·威肯
Hermann Föttinger,赫尔曼·费丁格
Susan Hoecke,蘇珊·胡克
August Exter,奥古斯特·艾克斯特
Heiner Bielefeldt,海納‧比勒費爾特
Karl zu Solms-Hohensolms-Lich,索爾姆斯-霍恩索爾姆斯-利希的卡爾
Elisabeth von Hessen,黑森的伊莉莎白
Claus Peter Schnorr,克劳斯·施诺
Max Ehmer,馬克斯·埃默
Friedrich Wührer,弗里德里希·伍爾
Dietmar Saupe,迪特马尔·绍柏
Hugo Jaeger,胡戈·耶格
Hans Meinhard von Schönberg,漢斯.邁恩哈德.馮.紹姆貝格
Kurt Schröder,库尔特·施罗德
Mareike Carrière,马瑞克·嘉莉
Fritz-Rudolf Güntsch,弗里茨-鲁道夫·君驰
Jonas Meffert,约纳斯·梅费尔特
Chris Kempers,克里斯·肯珀斯
Nikolai Müllerschön,尼古萊·馬勒舍
Hans-Peter Kriegel,漢斯-彼得·克里戈爾
Manfred Broy,曼弗雷德·布罗伊
Roger Fritz,罗杰·弗里茨
Martina Löw,玛蒂娜·勒夫
Helmut Noll,赫尔穆特·诺尔
Henrik Galeen,亨里克·盖林
Martin Wolfram,馬丁·沃爾弗拉姆
Andreas Hofer,安德烈亚斯·霍费尔
Hans-Paul Bürkner,汉斯-保罗·博克纳
Oskar Morgenstern,摩根斯頓
Wilhelm Hanle,威廉·汉勒
Gerhard Helbig,格哈德·埃尔比格
Heiner Lauterbach,海纳·劳特尔巴赫
Arthur Lutze,阿图尔·卢策
André Weßels,安德烈·韦塞尔斯
Uli M Schueppel,烏利·M·史貝爾
Matthias Hinze,马赛厄斯·欣泽
Corinna Schumacher,科琳娜·贝彻
Heidi Schmid,海迪·施密德
Wolf Kaiser,W·凱撒
Peter R. Adam,彼得·R·亞當
Dominic Raacke,多米尼克·萊奇
Karl Leo,K. 利奥
Ralf Aussem,拉尔夫·奥森
Elton,埃尔顿
Christian Gerhaher,克里斯蒂安·格哈赫尔
Matze Knop,马策·诺普
Marcus H. Rosenmüller,马库斯·H·罗斯马勒
Otto Hersing,奥托·赫辛
Wilhelm von Gayl,威廉·冯·盖尔
Alfred Gerdes,阿尔弗雷德·格德斯
Maximilian Emanuel von Württemberg-Winnental,馬克西米利安·埃曼努爾
Gisela Trowe,吉斯拉·特罗
Helmut Losch,赫尔穆特·洛施
Erk Sens-Gorius,埃尔克·森斯-戈留斯
Ute Wessel,乌特·基希艾斯-韦塞尔
Aniela Jaffé,阿妮拉·賈菲
Wim Thoelke,威姆·索埃尔克
Thomas Ernst,托馬斯·恩斯特
Andreas Rebers,安德烈亚斯·瑞伯斯
Jan Hendriks,贾恩·亨德里克斯
Josef Grünwald,若瑟·格林瓦爾德
Siegfried Schürenberg,西格弗雷德·斯楚瑞伯格
Gisela Oeri,電視卡
Karl Weissenberg,卡爾·魏森貝格
Margarete Bieber,瑪格麗特·比伯
Adolf Wach,阿道夫·瓦赫
Rudolf Ahlswede,魯道夫·F·奧爾斯韋德
Curth Flatow,科斯·弗拉托
Hubertus Bengsch,胡贝图斯·本施
Paul Wehrle,保祿·韋爾萊
Anton Losinger,安多尼·洛辛格爾
Ernst Meister,恩斯特·迈斯特
Cornelia Kempers,科妮莉亚·肯佩尔
Elisabeth von Heyking,伊丽莎白·冯·海靖
Paul Schlack,保罗·施拉克
Inga Busch,英嘉·布什
Jörg Jarnut,约格·贾纳特
Nazan Eckes,纳桑·埃克斯
Thomas Hermanns,托马斯·赫尔曼斯
Hubertus Strughold,胡波圖斯·斯特拉胡德
Oliver Petszokat,奥利弗·佩茨佐卡特
Rolf von Goth,罗尔夫·冯·哥特
Günter Reisch,昆特·賴斯
Tobias Nath,托比亚斯·纳特
Otto March,奧托·玛赫
Joachim Erwin,艾爾文
Dirk Adorf,德克·阿杜夫
Blerim Destani,布萊琳·達斯塔尼
Clytus Gottwald,克利图斯·戈特瓦尔德
Jochen Seitz,约亨·塞茨
Wolfgang Metzger,沃尔夫冈·梅茨格
Fanny Angelina Hesse,范妮·黑塞
Heinrich Keil,海因里希·凯尔
Georg Christian Unger,格奥尔格·克里斯蒂安·翁格
Barney Dreyfuss,巴恩尼·德雷夫斯
Hermann Vogel,赫爾曼·沃格爾
Hatun Sürücü,哈通·艾努尔·叙吕居
Bernhard Heisig,伯恩哈德·海西格
Georg Clemens Perthes,格奥尔格·佩尔特斯
Barbara Krause,芭芭拉·克劳泽
Enno Littmann,恩诺·利特曼
Henry Blanke,亨利·布蘭克
Roger Lewentz,罗杰·列温茨
Hans-Jürgen Pohmann,汉斯-尤尔根·波曼
Dietmar Woidke,迪特馬·沃伊德克
Heinz Czechowski,亨氏·切霍夫斯基
Jürgen Roth,於爾根·羅斯
Miroslav Nemec,米罗斯拉夫·奈麦克
Peter Sattmann,彼得·萨特曼
Abraham Esau,亞伯拉罕·以掃
Mirja Boes,米哈·伯斯
Rosalie Thomass,罗莎莉·托马斯
Achim Gercke,阿希姆·格尔克
Ulli Beier,烏利·貝爾
Werner Schulz,维尔纳·舒尔茨
Manuel Cortez,曼努尔·科特兹
Ekkehard I. von Scheyern,埃克哈特一世
Karl-Günther Heimsoth,卡尔-君特·海姆索特
Mido Hamada,米多·哈馬達
Klaus Abbelen,克勞斯·阿貝倫
Matthias Warnig,马蒂亚斯·沃尼格
Jasmin Gerat,雅斯明·格拉特
Béla Réthy,贝拉·雷西
Tom Mikulla,汤姆·米库拉
Lukas Hemleb,路卡斯‧漢柏
Thomas Schäfer,托马斯·沙费尔
Michael Dreher,迈克尔·德雷尔
