код игры Riot Pixels,Riot Pixels遊戲識別碼
Витязь,勇士冰宮
Президентские выборы в России (1996),1996年俄羅斯總統選舉
Авиакомпании Самара,薩馬拉航空
В тылу врага 2,決勝前線
Кирилло-Белозерский монастырь,基里洛-别洛焦尔斯基修道院
дом Ипатьева,伊帕切夫別墅
Тюменцевский район,秋緬采夫斯基區
Табунский район,塔本斯基區
Змеиногорский район,茲梅伊諾戈爾斯基區
Шипуновский район,希普诺夫斯基区
Тогульский район,托古利斯基區
Усть-Калманский район,烏斯季-卡爾曼斯基區
Залесовский район,扎列索夫斯基區
Суетский район,蘇耶特斯基區
Родинский район,羅金斯基區
Усть-Пристанский район,烏斯季-普里斯曼斯基區
Лукояновский район,盧科亞諾夫斯基區
Костромской район,科斯特羅姆斯科伊區
Лопатинский район,洛帕京斯基區
Каслинский район,卡斯林斯基區
Ковернинский район,科韋爾寧斯基區
Динамо,HC迪納摩莫斯科
Никольское,尼科利斯科耶 （堪察加邊疆區）
Немо,涅莫峰
Восточная Карелия,东卡累利阿
Московский международный кинофестиваль 1969,第六屆莫斯科國際電影節
Дальневосточная железная дорога,远东铁路局
Благовещенский собор,圣母领报大教堂
Европейский маршрут E105,欧洲E105公路
Московское перемирие,莫斯科停戰協定
Новосибирский государственный архитектурно-строительный университет,新西伯利亞國立建築與土木工程大學
Кедровая Падь,杉谷保护区
Военно-морская академия имени Н. Г. Кузнецова,库兹涅佐夫海军学院
Ишимский район,伊什姆斯基區
Трактор,拖拉机冰上竞技场
Патриарший дворец и церковь Двенадцати апостолов,十二使徒教堂
Тао-Русыр,陶羅西爾火山
Ледовый дворец,冰宮
Остров Ушакова,烏沙科夫島
Ленинск-Кузнецкий район,列寧斯基-庫茲涅茨基區
Козельский район,科澤利斯基區
Кораблинский район,科拉布林斯基區
Кантемировский район,坎捷米罗夫卡区
Крапивинский район,克拉皮溫斯基區
Дербеты,杜尔伯特部
Остров Уединения,烏耶季涅尼亞島
Чумыш,丘梅什河
Илекский район,伊列克斯基區
Чухломский район,丘赫洛姆斯基區
Чучковский район,丘奇科夫斯基區
Чунский район,春斯基区
Марьяновский район,馬里亞諾夫斯基區
Клетский район,克列茨卡亚区
Хвастовичский район,赫瓦斯托維奇斯基區
Чеховская,契訶夫站
Дмитровская,德米特羅夫站
Таганская,塔甘卡站
Динамо,迪納摩站
Восточный,东方航天发射场
мэр Москвы,莫斯科市长
Площадь Мужества,奮勇廣場站
Колосовский район,科洛索夫斯基區
Кумёнский район,庫苗恩斯基區
Лискинский район,利斯基区
Куйтунский район,奎屯区
Кизильский район,基濟利斯基區
Шудаяг,舒达亚格
Иртяш,伊爾佳亞什湖
Копорская крепость,科波列
герб Калининградской области,加里宁格勒州州徽
Хребет Ломоносова,羅蒙諾索夫海嶺
Айон,艾翁島
Омский государственный педагогический университет,鄂木斯克国立师范大学
Детский мир,儿童世界频道
Лесная,森林站
Чуйская степь,吹河戈壁草原
Спартак,科斯特羅馬斯巴達足球會
Ника,莫斯科尼卡足球俱樂部
Павелецкий вокзал,帕韋列茨站
Хунзахский район,昆澤科斯基區
Каменка,卡缅卡河
Майна,迈纳_(哈卡斯共和国)
Утроя,烏特羅亞河
Городской округ Ногликский,諾格利克斯基區
Чёрный квадрат,黑方塊
Даурский заповедник,达乌尔斯基自然保护区
Витязь,波多利斯克勇士足球會
Мантуровский район,曼圖羅夫斯基區
Краснокутский район,克拉斯諾庫特斯基區
Камешкирский район,卡梅什基爾斯基區
Кусинский район,庫辛斯基區
Малосердобинский район,馬洛謝爾多賓斯基區
Ноябрьск,诺亚布尔斯克机场
Владимирский собор,圣弗拉基米尔主教座堂
М-5 «Урал»,M5公路
Княгининский район,克尼亞吉寧斯基區
Мордовский район,莫爾多夫斯基區
Куркинский район,庫爾金斯基區
Мамско-Чуйский район,马马-丘亚区
Иркутский район,伊尔库茨克区
Киквидзенский район,基克维泽区
АэроБратск,布拉茨克航空
Большой остров,阿巴该图洲渚
Игорь Александрович Путин,伊戈尔·普京
Нехаевский район,涅哈耶夫斯卡亚区
Нижнедевицкий район,下杰维茨克区
Остров Грили,格里利島
Винер-Нойштадт,維也納新城島
Клепиковский район,克列皮科夫斯基區
Кожевниковский район,科熱夫尼科夫斯基區
Киренский район,基廉斯克区
Лысковский район,雷斯科夫斯基區
Лебедянский район,列別江斯基區
Хворостянский район,赫沃羅斯強斯基區
Калачёвский район,卡拉奇区
Харовский район,哈罗夫斯克区
Кольчугинский район,科利丘吉诺区
Карталинский район,卡爾塔林斯基區
ВИМ-Авиа,VIM航空
Бабаевский район,巴巴耶沃区
Колпинский район,科爾平斯基區
Палеонтологический музей им. Ю. А. Орлова,莫斯科古生物博物馆
Поцелуев мост,接吻桥
Тюй,秋伊河
Танама,塔納馬河
государственная награда Российской Федерации,俄羅斯授勳及嘉獎制度
Дубна,杜布納河
Тихоокеанский флот ВМФ России,太平洋舰队
Цветной бульвар,七彩林蔭路站
Тимирязевская,季米里亞澤夫站
Сафоново,萨福诺沃_(摩尔曼斯克州)
Владыкино,弗拉德金諾站
Боровицкая,博羅維茨基站
Новониколаевский район,新尼古拉耶夫斯基区
Нерехтский район,涅列赫特斯基區
Новоорский район,新奧爾斯基區
Никифоровский район,尼基福羅夫斯基區
Нижнеилимский район,尼日涅利姆縣
Сибирь (концертно-спортивный комплекс),西比爾冰球館
Матуа,松轮岛
МСК+3,鄂木斯克时间
Челябинск,車里雅賓斯克機場
Богашёво,柏加謝沃機場
Горелый,戈列雷火山
Урал,烏拉爾
Войвож,沃伊沃日
Александринский театр,亚历山大林斯基剧院
Ярега,亚列加
Синдор,辛多尔
Нижний Одес,下奥杰斯
Тальменский район,塔爾緬斯基區
Поспелихинский район,波斯佩利欣斯基區
Третьяковский район,特列季亞科夫斯基區
Международный инвестиционный банк,国际投资银行
