Россия,ロシア
Мишари,ミシャル・タタール人
Большой Пелис,ボリショイ・ペリス島
Череповецкий трамвай,チェレポヴェツ市電
Тимирязевская (станция монорельса),チミリャーゼフスカヤ駅・(モスクワモノレール)
Волжский трамвай,ヴォルシスキー市電
Тверской трамвай,トヴェリ市電
Шведская церковь Святой Екатерины,福音ルーテル聖カタリナ教会
Вулкан Менделеева,羅臼山
6-я общевойсковая армия,第6諸兵科連合軍・(ロシア陸軍)
Финская церковь Святой Марии (Санкт-Петербург),福音ルーテル聖マリア教会
Острова Комсомольской Правды,コムソモリスカヤ・プラウダ諸島
Крымский мост,クリミア大橋
Доктор юридических наук,Doctor・of・Juridical・Science
Глава Республики Башкортостан,バシコルトスタンの首長
Сусунайский хребет,鈴谷山脈
Ижевский трамвай,イジェフスク市電
Буссе (озеро),遠淵湖
"Украина (гостиница, Москва)",ホテル・ウクライナ
Краснодар (стадион),スタディオンFKクラスノダール
Юкагир (село),ユカギール・(村)
Российско-грузинская граница,ジョージア＝ロシア国境
Министерство энергетики Российской Федерации,ロシアエネルギー省
Государственный фонд кинофильмов Российской Федерации,ゴスフィルモフォンド
Т-15 (реактор),T-15・(原子炉)
Ка-137,Ka-137・(航空機)
85-й меридиан восточной долготы,東経85度線
155-й меридиан восточной долготы,東経155度線
115-й меридиан восточной долготы,東経115度線
165-й меридиан восточной долготы,東経165度線
