François Hollande,프랑수아 올랑드
Poppy Corby-Tuech,포피 코비투치
Rayan Aït-Nouri,라얀 아이트누리
Yacine Adli,야신 아들리
Clara Luciani,클라라 루치아니
Marie-Thérèse de Bourbon-Parme,마리아 테레사 데 보르본파르마
Maxence Caqueret,막상스 카케레
Melvin Bard,멜뱅 바르
Elisha Owusu,엘리샤 오우수
Mohamed Bayo,모하메드 바요
Lou Jean,루 장
Illan Meslier,일란 멜리에
Youssouf Fofana (football),유수프 포파나
Jean-Clair Todibo,장클레르 토디보
Ophélie Bau,오펠리 보
Ousmane Kanté,우스만 캉테
Teddy Teuma,테디 퇴마
Pierre Agostini,피에르 아고스티니
Benoît Badiashile,브누아 바디아실
Armand Laurienté,아르망 로리엔테
William Saliba,윌리암 살리바
Boulaye Dia,불라예 디아
Khéphren Thuram,케프렌 튀람
Bilal Hassani,빌랄 하사니
Randal Kolo Muani,랑달 콜로 무아니
Bafodé Diakité,바포데 디아키테
Mohamed Simakan,모하메드 시마칸
Michel Adopo,미셸 은다리 아도포
Michael Olise,마이클 올리스
Virginie Viard,버지니 비아르
Maxence Lacroix,막상스 라크루아
Emma Mackey,에마 매키
Eduardo Camavinga,에두아르도 카마빙가
Kenza Fortas,켄자 포르타스
Nadia Tereszkiewicz,나디아 테레슈키에비치
Mounia Meddour,무니아 메두르
Sacha Boey,사샤 보이
Léon Marchand,레옹 마르샹
Maxime Pauty,막심 포티
Rayan Cherki,라얀 셰르키
Hamza Rafia,함자 라피아
Lolo Zouaï,롤로 주아이
Manu Koné,콰디오 코네
Enzo Le Fée,엔조 르 페
Wesley Fofana (football),웨슬리 포파나
Luàna Bajrami,루아나 바지라미
Tanguy Kouassi,탕기 니안주
Sarah-Léonie Cysique,사라레오니 시지크
Lilian Brassier,릴리앙 브라시에
Yves Tanguy (peintre),이브 탕기
Gédéon Kalulu,제데옹 칼룰루
Amine Adli,아민 아들리
"Djibril Sidibé (football, 1992)",지브릴 시디베
Céleste Brunnquell,셀레스트 브룬켈
Victor Wembanyama,빅토르 웸바냐마
Georginio Rutter,조르지뇨 뤼터
Brandon Soppy,브란돈 소피
Timothée Pembélé,티모테 펨벨레
Loïc Badé,로이크 바데
Malo Gusto,말로 귀스토
Stéphane Bancel,스테판 방셀
Pauline Chalamet,폴린 샬라메
Althéa Laurin,알테아 로랭
Barbara Pravi,바르바라 프라비
Lionel Mpasi,리오넬 음파시
Devis Epassy,드비 에파시
Lucas Chevalier,뤼카 슈발리에
Alexis Manenti,알렉시 마낭티
Kalala Omotunde,장 필리프 오모툰드
Hannibal Mejbri,한니발 메지브리
Adrien Truffert,아드리앵 트뤼페르
Pierre Kalulu,피에르 칼룰루
Morgan Guilavogui,모르강 길라보기
Hugo Ekitike,위고 에키티케
Lucas Bravo,뤼카 브라보
Bradley Barcola,브래들리 바르콜라
Marcel Pinte,마르셀 핀테
Anthony Oyono,앙토니 오요노
Elye Wahi,엘리예 와히
Castello Lukeba,카스텔로 뤼케바
Andy Diouf,앙디 디우프
Iliman Ndiaye,일리만 은디아예
Lesley Ugochukwu,레슬리 우고추쿠
Yahia Fofana,야히아 포파나
Mamady Bangré,마마디 방그레
Quentin Merlin,쿠엔탕 메를랑
Luka Mkheidze,뤼카 므케이제
Christopher Wooh,크리스토페르 우
Arouna Sangante,아루나 상강테
Lisa Barbelin,리사 바르블랭
Romain Cannone,로맹 카논
Agathe Rousselle,아가트 루셀
Habib Diarra,하비브 디아라
Mathys Tel,마티스 텔
Azzedine Ounahi,아제딘 우나히
Bradley Locko,브래들리 로코
Frank Magri,프랑크 마그리
El Chadaille Bitshiabu,엘 사데유 비취아뷔
Warren Zaïre-Emery,워렌 자이르에머리
Ethan Mbappé,에탕 음바페
Leny Yoro,레니 요로
Désiré Doué,데지레 두에
Farès Chaïbi,파레스 샤이비
