код автора на ФантЛабе,ファントラブ 作者ID
Дорохово (аэродром),ベジェツク・ドロホヴォ空軍基地
Дорохово,ドロホヴォ駅
Дорожаево,ドロジャエヴォ (トヴェリ州)
Дарасун,ダラスン
Железные дороги Якутии,ヤクート鉄道
Данилов,ダニーロフ駅
Жилинда,ジリンダ
Западно-Сибирский нефтегазоносный бассейн,西シベリア石油盆地
Драматический театр Северного флота,北方艦艇演劇場
Жонкиер,ジョンキェル岬
Жорж (премия),ロシア国家映画賞
Елизаветинская,エリザヴェチンスカヤ (クラスノダール地方)
Жигулёвский заповедник,ジグリ自然保護区
Елохово,エロホヴォ
Екатерино-Никольское,エカテリノ・ニコリスコエ
Заочный народный университет искусств (Москва),通信制人民芸術大学
Западный скоростной диаметр,西高速直径道路
Достопримечательности Тверской области,トヴェリ地方の観光スポット
Екарта,エカルタ
Екатеринбургский музей изобразительных искусств,エカテリンブルク美術館|エカテリンブルク美術館
Единый реестр запрещённых сайтов,禁止サイトの統合登録
Знаменское-Садки,ズナーメンス・サドキ
Золотой граммофон,ゴールデン・グラモフォン賞
Екатеринбургское суворовское военное училище,エカテリンブルグ・スヴォーロフ陸軍幼年学校
Жукотин,ジュケタウ
Жулебино,ジュレビノ駅
Ербогачён (аэропорт),エルボガチェン空港
Ейский высший военный авиационный институт,エイスク軍事航空研究所
Забайкальский национальный парк,ザバイカリスキー国立公園
Изумрудные копи Урала,ウラルのエメラルド鉱山
Изменчивое,能仁湖
Ельцовка,エリツォフカ
Ельцовка,エリツォフカ川
Ельцовка,エリツォフカ川
Ельцовский сельсовет,エリツォフスキー村評議会
Измайлово (гостиничный комплекс),イズマイロヴォ・ホテル
