Massachusetts,매사추세츠주
"Hampden County, Massachusetts",햄던군 (매사추세츠주)
"Providence County, Rhode Island",프로비던스군
Gateway Arch National Park,게이트웨이아치 국립공원
"Golden Valley County, North Dakota",골든밸리군 (노스다코타주)
Nexus One,넥서스 원
Dartmouth College,다트머스 대학교
"New Bedford, Massachusetts",뉴베드퍼드
"Coös County, New Hampshire",코어스군 (뉴햄프셔주)
"Cochise County, Arizona",코치스군
"Northampton, Massachusetts",노샘프턴 (매사추세츠)
WrestleMania XXVIII,레슬매니아 XXVIII
Continental Army,대륙육군
"Malden, Massachusetts",몰든 (매사추세츠주)
"Bay Minette, Alabama",베이미네트
"Lincoln, Alabama",링컨 (앨라배마주)
"Russellville, Arkansas",러셀빌 (아칸소주)
"Revere, Massachusetts",리비어 (매사추세츠주)
"Rockingham County, New Hampshire",로킹엄군 (뉴햄프셔주)
"Merrimack County, New Hampshire",메리맥군
"Scott County, Arkansas",스콧군 (아칸소주)
"Globe, Arizona",글로브 (애리조나주)
"Stuttgart, Arkansas",스텃가트 (아칸소주)
"Lincoln County, Arkansas",링컨군 (아칸소주)
"Monroe County, Arkansas",먼로군 (아칸소주)
"Newton County, Arkansas",뉴턴군 (아칸소주)
"Madison County, Arkansas",매디슨군 (아칸소주)
"Searcy County, Arkansas",서시군
"Mobile, Alabama",모빌 (앨라배마주)
Collapse of the World Trade Center,세계 무역 센터의 붕괴
Rubin Museum of Art,루빈 박물관
"Seneca County, New York",세네카군 (뉴욕주)
"Astoria, Queens",애스토리아 (퀸스)
"Shiawassee County, Michigan",시아와시군
Verrazzano-Narrows Bridge,베라자노 내로스 교
CBS,CBS (미국의 방송사)
Massachusetts General Hospital,매사추세츠 종합병원
United States Declaration of Independence,미국 독립선언
Pulitzer Prize,퓰리처상
"Essex County, New Jersey",에식스군 (뉴저지주)
Harvard Kennedy School,하버드 케네디 스쿨
University of Pennsylvania,펜실베이니아 대학교
"Fall River, Massachusetts",폴리버
"Tampa, Florida",탬파
Alcatraz Island,앨커트래즈섬
Viva Engage,야머
"Allegan County, Michigan",앨러간군
"Colorado Springs, Colorado",콜로라도스프링스
"Sedona, Arizona",세도나
"Valdez, Alaska",밸디즈 (알래스카주)
"Clanton, Alabama",클랜턴
"Oneonta, Alabama",오네온타 (앨라배마주)
"Oxford, Alabama",옥스퍼드 (앨라배마주)
"Appleton, Wisconsin",애플턴 (위스콘신주)
Baltimore/Washington International Airport,볼티모어 워싱턴 서굿 마셜 국제공항
"Ionia County, Michigan",이오니아군
Yukon River,유콘강
"Texarkana, Arkansas",텍사캐나 (아칸소주)
"Wetumpka, Alabama",위텀카
"Gresham, Oregon",그레셤 (오리건주)
Mount Rushmore,러시모어산
"Arlington County, Virginia",알링턴군
Saturn Awards,새턴상
"Anniston, Alabama",애니스턴 (앨라배마주)
"Arkadelphia, Arkansas",아카델피아
"Bel Air, Los Angeles",벨에어 (로스앤젤레스)
"Jefferson County, Ohio",제퍼슨군 (오하이오주)
Dunder Mifflin,던더 미플린
"Santa Cruz County, California",샌타크루즈군 (캘리포니아주)
"Angelina County, Texas",앤젤리나군
"Ventura County, California",벤투라군
"Fairfield, Alabama",페어필드 (앨라배마주)
"Opp, Alabama",옵
"Fremont County, Colorado",프레몬트군 (콜로라도주)
"Tama County, Iowa",타마군
"Burnet County, Texas",버넷군 (텍사스주)
"Casa Grande, Arizona",캐사그랜디
"Hot Springs, Arkansas",핫스프링스 (아칸소주)
"Unalakleet, Alaska",어널래클릿
George Washington Bridge,조지 워싱턴 교
US Open (tennis),US 오픈 (테니스)
"Beaver County, Utah",비버군 (유타주)
"Limestone County, Texas",라임스톤군 (텍사스주)
"Loving County, Texas",러빙군
"Hope, Arkansas",호프 (아칸소주)
Python Software Foundation,파이썬 소프트웨어 재단
"Boone County, Illinois",분군 (일리노이주)
"Box Elder County, Utah",박스엘더군
42nd Street Shuttle,42번가 셔틀
"Huerfano County, Colorado",휴에파노군
St. Lawrence River,세인트로렌스강
"Ector County, Texas",엑터군
"Jackson County, Texas",잭슨군 (텍사스주)
"Hanover, New Hampshire",해노버 (뉴햄프셔주)
Howland Island,하울랜드섬
Interstate 15,주간고속도로 제15호선
Interstate 17,주간고속도로 제17호선
Interstate 75,주간고속도로 제75호선
Take-Two Interactive,테이크투 인터랙티브
"Taliaferro County, Georgia",탈리아페로군
"Abingdon, Virginia",애빙던 (버지니아주)
"New Brunswick, New Jersey",뉴브런즈윅 (뉴저지주)
San Francisco Chronicle,샌프란시스코 크로니클
"Benton County, Mississippi",벤턴군 (미시시피주)
"Llano County, Texas",래노군
2K (company),2K (기업)
"Contra Costa County, California",컨트라코스타군
Interstate 89,주간고속도로 제89호선
Interstate 96,주간고속도로 제96호선
Battle of Midway,미드웨이 해전
"Montague, California",몬터규 (캘리포니아주)
"Blount County, Alabama",블런트군 (앨라배마주)
"Brown County, Minnesota",브라운군 (미네소타주)
"Callahan County, Texas",캘러핸군
"Crockett County, Texas",크로켓군 (텍사스주)
Alexander Archipelago,알렉산더 제도
Long Valley Caldera,롱 밸리 칼데라
"North Las Vegas, Nevada",노스라스베이거스
Academy Award for Best Documentary Feature Film,아카데미 장편 다큐멘터리상
"Bullock County, Alabama",블록군
"Bonham, Texas",보냄 (텍사스주)
National Museum of Natural History,국립 자연사 박물관 (워싱턴 D.C.)
Disney Channel,디즈니 채널
University of Notre Dame,노터데임 대학교
"Cass County, Texas",캐스군 (텍사스주)
"Hill County, Texas",힐군 (텍사스주)
McDonnell Douglas F-4 Phantom II,맥도널 더글러스 F-4 팬텀
"Nacogdoches County, Texas",나코그도치스군
"Lubbock County, Texas",러벅군
"Scurry County, Texas",스커리군
"Choctaw County, Alabama",촉토군 (앨라배마주)
"King County, Texas",킹군 (텍사스주)
Catholic University of America,미국 가톨릭 대학교
Fourteenth Amendment to the United States Constitution,미국 수정 헌법 제14조
Metropolitan Opera House (Lincoln Center),메트로폴리탄 오페라 극장
National Geographic (American TV channel),내셔널 지오그래픽 (미국의 텔레비전 채널)
"Rio Arriba County, New Mexico",리오아리바군
"Allamakee County, Iowa",알루무키군
"Ben Hill County, Georgia",벤힐군
"Reagan County, Texas",레이건군
"Chambers County, Alabama",챔버스군 (앨라배마주)
"Clarke County, Alabama",클라크군 (앨라배마주)
Los Angeles Times,로스앤젤레스 타임스
"Missoula, Montana",미줄라
Black and Yellow,Black and Yellow
Cleveland Cavaliers,클리블랜드 캐벌리어스
Pruitt–Igoe,프루이트 아이고
Sundance Film Festival,선댄스 영화제
Battle of the Atlantic,대서양 전투 (제2차 세계 대전)
"Greene County, Virginia",그린군 (버지니아주)
"Appanoose County, Iowa",아파누스군
"Greer County, Oklahoma",그리어군 (오클라호마주)
"Calhoun County, Iowa",캘훈군 (아이오와주)
"Cass County, Minnesota",캐스군 (미네소타주)
"Grand Rapids, Michigan",그랜드래피즈
Nickelodeon Kids' Choice Awards,니켈로디언 키즈 초이스 어워드
American Revolution,미국 독립 혁명
Empire Builder,엠파이어 빌더
Space Shuttle Enterprise,엔터프라이즈 우주왕복선
Delta Air Lines,델타 항공
New Jersey Devils,뉴저지 데블스
"Fannin County, Texas",패닌군 (텍사스주)
"Fayette County, Illinois",페이엣군 (일리노이주)
"McCulloch County, Texas",매컬럭군
"Runnels County, Texas",러널스군
Chicago Bears,시카고 베어스
Minnesota Wild,미네소타 와일드
"Madison County, Texas",매디슨군 (텍사스주)
"Williamson County, Texas",윌리엄슨군 (텍사스주)
"Collingsworth County, Texas",콜링스워스군
"Hunt County, Texas",헌트군
Blogger (service),블로거 (서비스)
"Wayne County, Michigan",웨인군 (미시간주)
"San Patricio County, Texas",샌파트리시오군
"Kidder County, North Dakota",키더군
Monsanto,몬산토
Avaya,어바이어
Instagram,인스타그램
"Hemphill County, Texas",헴필군
"Titus County, Texas",티투스군
Borland,볼랜드
"Gage County, Nebraska",게이지군 (네브래스카주)
GameStop,게임스탑
"Hackensack, New Jersey",해컨색 (뉴저지주)
United States at the 1924 Winter Olympics,1924년 동계 올림픽 미국 선수단
"Washtenaw County, Michigan",워시트노군
"Clinton County, Ohio",클린턴군 (오하이오주)
PA-RISC,PA-RISC
"Polk County, Texas",포크군 (텍사스주)
Boston Red Sox,보스턴 레드삭스
"Rapid City, South Dakota",래피드시티
Continental Airlines,콘티넨털 항공
San Francisco Bay Area,샌프란시스코 베이 에어리어
Washington Commanders,워싱턴 커맨더스
13th Golden Raspberry Awards,제13회 골든 래즈베리상
Purple Heart,퍼플 하트 훈장
"Topanga, California",토팡가
United States at the 1976 Winter Olympics,1976년 동계 올림픽 미국 선수단
"Presidio County, Texas",프레시디오군
"Dutchess County, New York",더치스군
"Butte County, California",뷰트군 (캘리포니아주)
Vimeo,비메오
"Casper, Wyoming",캐스퍼 (와이오밍주)
Zomba Group,좀바 레이블 그룹
United Artists,유나이티드 아티스츠
"Vancouver, Washington",밴쿠버 (워싱턴주)
Lincoln Motor Company,링컨 (자동차)
Viacom (2005–2019),바이어컴 (2005–2019)
Dodger Stadium,다저 스타디움
LIGO,레이저 간섭계 중력파 관측소
"Santa Clara, California",샌타클래라 (캘리포니아주)
"Jasper County, Georgia",재스퍼군 (조지아주)
3Com,쓰리콤
Cinemax,시네맥스
Samoan Islands,사모아 제도
United States men's national soccer team,미국 축구 국가대표팀
Bell Labs,벨 연구소
Berkshire Hathaway,버크셔 해서웨이
Dallas Mavericks,댈러스 매버릭스
N (New York City Subway service),뉴욕 지하철 N선
New York Mercantile Exchange,뉴욕상업거래소
Glacier Bay National Park and Preserve,글레이셔만 국립공원
"Liberty County, Florida",리버티군 (플로리다주)
International Harvester,인터내셔널 하베스터
Slipknot (band),슬립낫
Electronic Arts,일렉트로닉 아츠
American Museum of Natural History,미국 자연사 박물관
United States Department of Energy,미국 에너지부
National Collegiate Athletic Association,전미 대학 체육 협회
"Scranton, Pennsylvania",스크랜턴 (펜실베이니아주)
"Chickasaw County, Mississippi",치카소군 (미시시피주)
"Woodford County, Illinois",우드퍼드군 (일리노이주)
Adak Island,에이댁섬
Nvidia,엔비디아
Welcome to Fabulous Las Vegas sign,웰컴 투 패뷸러스 라스베이거스
Bristol Myers Squibb,브리스톨 마이어스 스퀴브
Nitro Records,니트로 레코드
Screen Actors Guild Awards,미국 배우 조합상
Vibe (magazine),바이브 (잡지)
Louisiana IceGators (SPHL),루이지애나 아이스게이터스 (SPHL)
Twenty-seventh Amendment to the United States Constitution,미국 수정 헌법 제27조
Short track speed skating at the 2002 Winter Olympics,2002년 동계 올림픽 쇼트트랙
Michigan State University,미시간 주립 대학교
Academy Award for Best Film Editing,아카데미 편집상
"Seminole County, Florida",세미놀군 (플로리다주)
"Coffee County, Georgia",커피군 (조지아주)
"Young County, Texas",영군 (텍사스주)
"Jefferson County, Iowa",제퍼슨군 (아이오와주)
University of Iowa,아이오와 대학교
CORONA (satellite),코로나 (위성)
"Janesville, Wisconsin",제인즈빌 (위스콘신주)
"Jefferson County, Oregon",제퍼슨군 (오리건주)
United States at the 1968 Winter Olympics,1968년 동계 올림픽 미국 선수단
"Escambia County, Florida",에스캄비아군 (플로리다주)
"Yakima County, Washington",얘키모군
"Chattanooga, Tennessee",채터누가
Ultimate Fighting Championship,얼티밋 파이팅 챔피언십
Assateague Island,애서티그섬
Chicago Pile-1,시카고 파일 1
Seattle Post-Intelligencer,시애틀 포스트인텔리젠서
AMR Corporation,AMR 코퍼레이션
2(X)IST,2(x)ist
31st Golden Raspberry Awards,제31회 골든 래즈베리상
"University of California, Santa Barbara",캘리포니아 대학교 샌타바버라
"Cupertino, California",쿠퍼티노
Chukchi Sea,축치해
Whiskas,위스카스
Eighth Army (United States),제8군 (미국)
Badlands National Park,배들랜즈 국립공원
"Mineral County, Colorado",미네랄군 (콜로라도주)
"Summit County, Colorado",서밋군 (콜로라도주)
"Hancock County, Illinois",핸콕군 (일리노이주)
Humble Bundle,험블 번들
"Kingfisher County, Oklahoma",킹피셔군
82nd Academy Awards,제82회 아카데미상
Texas Instruments,텍사스 인스트루먼트
Axis of evil,악의 축
"Stafford County, Virginia",스태퍼드군 (버지니아주)
"Sussex County, Virginia",서식스군 (버지니아주)
Silicon Valley,실리콘 밸리
2013 CONCACAF Gold Cup,2013년 CONCACAF 골드컵
"Chaska, Minnesota",채스카 (미네소타주)
"Germantown, Philadelphia",저먼타운 (필라델피아)
Harvard Business Review,하버드 비즈니스 리뷰
"Lincoln County, Colorado",링컨군 (콜로라도주)
American Samoa national football team,아메리칸사모아 축구 국가대표팀
"Adair County, Oklahoma",아데어군 (오클라호마주)
"Adams County, Pennsylvania",애덤스군 (펜실베이니아주)
Jefferson/USC station,제퍼슨/USC역
Tampa Bay Lightning,탬파베이 라이트닝
"Ziebach County, South Dakota",치바흐군
Association of Community Organizations for Reform Now,ACORN
"Florence, Colorado",플로렌스 (콜로라도주)
