España,スペイン
línea 10 del Metro de Barcelona,バルセロナ地下鉄10号線
Central térmica de Andorra,テルエル火力発電所
Colmenarejo,コルメナレホ
Kyocera Document Solutions,京セラドキュメントソリューションズ
Real Federación Española de Balonmano,王立スペインハンドボール連盟
Orden de las Damas Nobles de la Reina María Luisa,マリア・ルイーザ勲章
Arroyomolinos,アロヨモリノス
Anglesola,アングラゾーラ
Transportes Metropolitanos de Barcelona,バルセロナ交通局
Villanueva de Alcolea,ビラノバ・ダルコレア
Real Sociedad Hockey Hielo,レアル・ソシエダHH
Abando,アバンド
Organización Nacional de Ciegos de España,スペイン視覚障害者協会
Cuerda Larga,クエドラ・ラルガ
Muchamiel,ムチャメル
Puentecaldelas,ポンテ・カルデーラス
Cuntis,クンティス
La Geria,ラ・ゲリア
Jardín de Cactus de Lanzarote,ランサローテサボテン園
Peñalén,ペニャレン
Villaviciosa de Odón,ビジャビシオーサ・デ・オドン
Chacolí,チャコリ
batalla del Salado,サラードの戦い
Parque natural Sierra de Hornachuelos,オルナチュエーロス山脈自然公園
Real Jardín Botánico de Madrid,マドリード王立植物園
Moraleja del Vino,モラレッハ・デル・ビーノ
Pedreguer,ペドラゲール
El Payo,エル・パヨ
San Clemente,サン・クレメンテ (スペイン)
Parques Reunidos,パルケス・レユニドス
Los Yébenes,ロス・イェベネス
Lubián,ルビアン
Turdetania,トゥルデタニア
Fuencaliente,フエンカリエンテ
Cervera de los Montes,セルベーラ・デ・ロス・モンテス
Corona real de España,スペイン王冠
Belmonte de Gracián,ベルモンテ・デ・グラシアン
Cercedilla,セルセディリャ
Harinera de Cervera,サルベラ農業組合製粉所
La Frontera,フロンテラ
Loeches,ロエチェス
Villanueva de San Mancio,ビジャヌエバ・デ・サン・マンシオ
Almodóvar del Campo,アルモドーバル・デル・カンポ
Campeonato Mundial de Ajedrez 1987,世界チェス選手権1987
Autovía de Castilla,カスティーリャ自動車道（スペイン）
Luciana,ルシアーナ
TVG,ガリシア・テレビ
Constitución española de 1869,スペイン1869年憲法
Meliá Hotels International,メリア・ホテルズ・インターナショナル
Museo Naval de Madrid,マドリード海事博物館
Estación de Fabra i Puig/San Andrés Arenal,ファブラ・イ・プーチ駅
Gran Hotel Bali,グラン・ホテル・バリ
Vuelta a León,レオン一周
Serveis Ferroviaris de Mallorca,マヨルカ鉄道
Real Club de Polo,レアル・クルブ・デ・ポロ・デ・バルセロナ
Universidad de las Islas Baleares,バレアレス諸島大学
Hoyos,オヨス
Nacionalidad española,スペイン国籍法
Challenge Ciclista a Mallorca,チャレンジ・ブエルタ・ア・マリョルカ
Cedillo,セディージョ
Valle del Lozoya,ロソヤ谷
Vuelta a Lérida,ボルタ・ア・リェイダ
Sinagoga del Tránsito,トランシト教会
Ciordia,シオルディア
Genevilla,ヘネビーリャ
Fuentes de Año,フエンテス・デ・アニョ
Logrosán,ログロサン
Ley Maura,マウラ法
Almenar,アルメナラ
Trofeo Alfredo Di Stéfano,トロフェオ・アルフレッド・ディ・ステファノ
Peña Montañesa,モンタニェーサ山
San Miguel de Lillo,サン・ミゲル・デ・リーリョ教会
Clásica San Sebastián 2011,クラシカ・サンセバスティアン2011
Naviera Armas,ナビエラ・アルマス
Rías Altas,リアス・アルタス
Tibi,ティビ
Valtierra,バルティエーラ
Benalup-Casas Viejas,ベナルプ＝カサス・ビエハス
Monreal,モンレアル＝エロ
Rus,ルス
Argamasilla de Alba,アルガマシーリャ・デ・アルバ
Regulares,正規軍
España en los Juegos Paralímpicos de Pekín 2008,2008年北京パラリンピックのスペイン選手団
Estupa de la Iluminación,ベナルマデナ・ストゥーパ
España en los Juegos Olímpicos de la Juventud de Innsbruck 2012,2012年インスブルックユースオリンピックのスペイン選手団
ruta europea E901,E901号線
Alía,アリーア
Cañamero,カニャメロ
Petrel,ペトレル
Villafranca,ビリャフランカ (ナバーラ州)
Puebla de Sanabria,プエブラ・デ・サナブリア
Carrascalejo,カラスカレホ
SAD Majadahonda,SADマハダオンダ
Yacimiento fenicio de Sa Caleta,サ・カレタ遺跡
Anna,アンナ (バレンシア州)
Liga Española de Baloncesto,LEBオロ
Aitona,アイトナ
Alfarrás,アルファラス
Ezcároz,エスカロス/エスカロセ
Pacto de San Sebastián,サン・セバスティアン協定
Puigvert de Lérida,プッチバール・ダ・リェイダ
Gabilondo y Cía.,リャマ・ガビロンド
línea 3 del Metro de Madrid,マドリード地下鉄3号線
línea 1 del Metro de Madrid,マドリード地下鉄1号線
línea 4 del Metro de Madrid,マドリード地下鉄4号線
línea 2 del Metro de Madrid,マドリード地下鉄2号線
línea 7 del Metro de Madrid,マドリード地下鉄7号線
Albaladejo,アルバラデホ
Embajador de los Estados Unidos en España,在スペインアメリカ合衆国大使
aeropuertos de España,スペインの空港の一覧
Villanueva de Cameros,ビジャヌエバ・デ・カメロス
Villanueva del Pardillo,ビジャヌエバ・デル・パルディーリョ
Almaraz,アルマラス
Campeonato Europeo de Atletismo en Pista Cubierta de 1977,1977年ヨーロッパ室内陸上競技選手権大会
Campeonato Europeo de Atletismo en Pista Cubierta de 1986,1986年ヨーロッパ室内陸上競技選手権大会
Universidad de Gerona,ジローナ大学
El Molar,エル・モラル (マドリード)
Gimileo,ヒミレオ
Puigvert de Agramunt,プッチベルド・ダグラムント
Club Deportivo Calahorra,CDカラオラ
Público,プブリコ
Añorga,アニョルガ
Pinoso,ピノーソ
Ciempozuelos,シエンポスエロス
Ollauri,オリャウリ
Yanci,イガンツィ
Palacio de Cibeles,シベレ宮殿
Eurorregión Galicia-Norte de Portugal,ガリシア＝北ポルトガル・ユーロリージョン
Eurorregión Pirineos Mediterráneo,ピレネー・地中海ユーロリージョン
Sociedad Española de Ornitología,スペイン鳥類学会
Sire,サイア・レコード
Tierras del Ebro,テール・ド・レブル
Vergel,エル・ベルゲル
Batalla de Santa Cruz de Tenerife,サンタ・クルス・デ・テネリフェの海戦
Ribera del Ondara,リベラ・ドンダーラ
Campeonato Europeo de Natación de 1970,1970年ヨーロッパ水泳選手権
Anexo:Temporadas del Fútbol Club Barcelona,FCバルセロナの年度別成績一覧
Cenia,セニア川
Inquisición en Nueva España,メキシコ異端審問
Villalba de Rioja,ビリャルバ・デ・リオハ
Autoritat del Transport Metropolità,都市輸送公社
Anexo:Partidos de la selección de fútbol de España,サッカースペイン代表の試合一覧
Autopista AP-37,AP-37高速道路（スペイン）
La Romana,ラ・ロマーナ (アリカンテ州)
Yebes,イェベス
Valverde,バルベルデ
Tranvía de Murcia,ムルシア・トラム
Vega Sicilia,ベガ・シシリア
Alcubillas,アルクビージャス
Hontanar,オンタナール
San Martín de Valdeiglesias,サン・マルティン・デ・バルデイグレシアス
Navas de Estena,ナバス・デ・エステナ
Campeonato Mundial de Ciclismo en Pista de 1992,世界選手権自転車競技大会トラックレース1992
Titulcia,ティトゥルシア
Institución Catalana de Historia Natural,カタルーニャ自然史研究所
Las Ventas de San Julián,ラス・ベンタス・デ・サン・フリアン
Fuentespreadas,フエンテスプレアダス
Villanueva del Campo,ビジャヌエバ・デル・カンポ
Bélgida,ベルギダ
elecciones al Parlamento europeo de 1999,1999年欧州議会議員選挙
Almenara,アルメナーラ
elecciones generales de España de 1993,1993年スペイン議会総選挙
Bueu,ブエウ
Baños de Molgas,バーニョス・デ・モルガス
Estartit,レスタルティット
Lottusse,ロトゥーセ
Luarca,ルアルカ
Estación de Monumental,モヌメンタール駅
línea R2,セルカニアスバルセロナR2線
Pico de las Nieves,ピコ・デ・ラス・ニエベス
Urdax,ウルダスビ/ウルダックス
Briñas,ブリニャス
Santesteban,ドネステベ/サンテステバン
Quesada,ケサーダ
Almedina,アルメディーナ
elecciones generales de España de 1996,1996年スペイン議会総選挙
Fuentespina,フエンテスピーナ
desastre de Aznalcóllar,ドニャーナ災害
Era Galáctica del Real Madrid,銀河系軍団
Campeonato Mundial de Match Play,世界マッチプレー選手権
La Horra,ラ・オラ
Anexo:Futbolistas de la selección de fútbol de España,サッカースペイン代表選手一覧
Pedraforca,ペドラフォルカ
puente de Isabel II,イサベル2世橋
Parada del Sil,パラーダ・デ・シル
Olmillos de Castro,オルミージョス・デ・カストロ
Oroz-Betelu,オロス＝ベテル/オロツ・ベテル
Urdiáin,ウルディアイン
Úcar,ウカル
Valle de Ollo,オリョ
Lomo embuchado,ロモ・エンブチャード
Baralla,バラージャ
Olujas,レス・オルーゲス
Alfoz,アルフォス
La Llosa,ラ・リョサ
Campeonato Europeo de Judo de 1998,1998年欧州柔道選手権
Conferencia Internacional de Madrid de 1880,マドリード条約
motín de Esquilache,エスキラーチェ暴動
Mahou,マオウ
Gaínza,ガインツァ
Orendáin,オレンダイン
Cerralbo,セラルボ
Morga,モルガ (スペイン)
Villaescusa,ビジャエスクサ
Reina,レイナ
Cuzcurrita de Río Tirón,カズクリータ・デ・リオ・ティロン
Alfahuir,アルファウイル
Jorquera,ホルケーラ
Luquin,ルキン
Legaria,レガリア (スペイン)
Uztárroz,ウスタロス/ウスタロセ
Urnieta,ウルニエタ
Lizarza,リサルツァ
Placencia de las Armas,ソラルセ＝プラセンシア・デ・ラス・アルマス
Monasterio de Santa María de El Paular,サンタ・マリア・デ・エル・パウラル修道院
Broto,ブロート
Bota,ボタ
Escoriaza,エスコリアツァ
Usúrbil,ウスルビル
Urroz de Santesteban,ウロッツ
Orbara,オルバラ
Riaño,リアーニョ
Estación de El Prat de Llobregat,アル・プラ・ダ・リュブラガート駅
Iglesia Palmariana,パルマ・カトリック教会
Surexpreso,南急行
Alondras Club de Fútbol,アロンドラスCF
Las Pedroñeras,ラス・ペドニェーラス
Oco,オコ
Lesaca,レサカ
Orísoain,オリソアイン
Oláibar,オライバル
Galar,センデア・デ・ガラール
Garínoain,ガリノアイン
Vidaurreta,ビダウレタ
Grajera,グラヘラ
AlbaStar,アルバスター
Patrimonio Nacional,国家遺産局
Museo de Historia de Cataluña,カタルーニャ歴史博物館
Pueyo,プエージョ
Sorlada,ソルラーダ
Tirapu,ティラプ
Guirguillano,ギルギリャーノ
Araquil,アラキル
Garralda,ガラルダ
"Parque Natural de las Sierras de Segura, Cazorla y las Villas",カソルラ山地
San Esteban de la Sierra,サン・エステバン・デ・ラ・シエラ
Ilion Animation Studios,イリオン・アニメーション・スタジオズ
Leache,レアーチェ
Unzué,ウンスエ/ウンツエ
Alborache,アルボラチェ
Bañares,バニャーレス
Fuentesoto,フエンテソト
Nazar,ナサル
Cihuri,シウリ
Barreiros,バレイロス
Las Nieves,アス・ネベス
Real Escuela Andaluza del Arte Ecuestre,王立アンダルシア馬術学校
LTE International Airways,LTEインターナショナル航空
Parque natural de Sierra de Aracena y Picos de Aroche,アラセーナ山地
Aerolíneas de Baleares,カンタムエア
Ribera Alta,リベラ・アルタ/エリベラゴイティア
Parque natural de la Sierra de Grazalema,グラサレーマ山地
Bacáicoa,バカイク
Vía de la Plata,ビア・デ・ラ・プラタ
Priorato,プリオラート
SEAT Marbella,セアト・マルベーリャ
Cupra Racing,クプラ
La Puebla de Arganzón,ラ・プエブラ・デ・アルガンソン
Salinas de Pisuerga,サリナス・デ・ピスエルガ
La Coma i la Pedra,ラ・コーマ・イ・ラ・ペドラ
Open de España,オープン・デ・エスパーニャ
Omélls de Nagaya,アルス・ウメイス・ダ・ナ・ガイア
Productores de Música de España,プロムシカエ
École pour l'informatique et les nouvelles technologies,パリ・デジタルイノベーション大学院
Bargota,バルゴタ
Olius,ウリウス
Maldá,マルダー (スペイン)
Cuevas del Becerro,クエバス・デル・ベセロ
Alaejos,アラエッホス
Cehegín,セエヒン
Camargo,カマルゴ (スペイン)
Alcalá de Chivert,アルカラ・デ・シヴェルト
La Viñuela,ビニュエラ
Salares,サラレス
Neda,ネダ
Allo,アーリョ
Preixana,プラシャーナ
Beinza-Labayen,ベインツァ＝ラバイエン
Belianes,バリアーネス
Artazu,アルタス
Prádena,プラデナ
El Raval,エル・ラバル
línea 9 del Metro de Madrid,マドリード地下鉄9号線
línea 10 del Metro de Madrid,マドリード地下鉄10号線
Orbaizeta,オルバイセタ
Olóriz,オロリス/オロリツ
Biurrun-Olcoz,ビウルン＝オルコス
Barbarin,バルバリン
Azagra,アサグラ
Larraona,ララオナ
Huarte-Araquil,ウアルテ＝アラキル
Morentin,モレンティン
Iturmendi,イトゥルメンディ
Torreblanca,トーレブランカ
Arive,アリベ
Chamberí,チャンベリ
Centro,セントロ
Vegacervera,ベガセルベラ
Alsasua,アルツァス/アルサスア
Allín,アリン
Bigastro,ビカストロ
Berrioplano,ベリオプラーノ/ベリオベイティ
Villanueva del Rebollar,ビジャヌエバ・デル・レボリャール
Benlloch,ベンリョック
Alcora,ラルコラ
Teo,テオ
Moncófar,モンコファ
Iza,イサ＝イツァ
Guimerá,ギマラー
San Adrián del Valle,サン・アドリアン・デル・バジェ
Aranaz,アランツァ
Ciudad Lineal,シウダー・リネアル
Añorbe,アニョルベ
Pedrosa de la Vega,ペドロサ・デ・ラ・ベガ
Santacara,サンタカーラ
Olejua,オレフア
Lanz,ランツ
Vilagrasa,ビラグラサ
Metauten,メタウテン
Piedramillera,ピエドラミリェラ
Urroz-Villa,ウロス＝ビリャ
Ribaforada,リバフォラーダ
Ergoyena,エルゴイエナ
Moya,モヤ
Abáigar,アバイガル
Aguilar de Codés,アギラール・デ・コデス
Arguedas,アルゲダス
Almedíjar,アルメディハル
Liédena,リエデナ
Urraúl Alto,ウラウル
Mombuey,モンブエイ
El Carche,エル・カルチェ
Lana,ラーナ (スペイン)
Larraga,ララガ
Larráun,ララウン
Erasun,エラツン
Lazagurría,ラサグリーア
Ituren,イトゥレン
Imoz,イモッツ
Palacio Vistalegre,パラシオ・ビスタ・アレグレ
Almeida de Sayago,アルメイダ・デ・サジャーゴ
Fuentesaúco,フエンテスサウコ
