José Luis Panizo,ホセ・ルイス・パニーソ
José Ramón García Antón,ホセ・ラモン・ガルシア・アントン
Alejandro José Hernández Hernández,アレハンドロ・エルナンデス・エルナンデス
Salbatore Mitxelena,サルバトレ・ミチェレナ
Juanito Rodríguez,フアニート・ロドリゲス
Manolo Alfaro,マノロ・アルファロ
Bilintx,ビリンチュ
Esther González Rodríguez,エスター・ゴンザレス
Alfonso Dastis,アルフォンソ・ダスティス
Víctor de los Ríos,ビクトル・デ・ロス・リオス
Alexander Callens,アレハンデル・カジェンス
Alexander Vallejo Minguez,アレックス・バジェホ
Carmen Montón,カルメン・モントン
Mikel Buesa,ミケル・ブエサ
Gabriel Cara González,ガブリエル・カラ・ゴンサーレス
José María Jimeno Jurío,ホセ・マリア・ヒメノ・フリオ
Antonio Drove,アントニオ・ドローブ
Tomás Domínguez Arévalo,トマス・ドミンゲス・アレバロ
Alfonso Albacete,アルフォンソ・アルバセーテ
Alfonso Fernández Mañueco,アルフォンソ・フェルナンデス・マニュエコ
Rafael Marquina,ラファエル・マルキーナ
Victoria Camps,ビクトリア・カンプス
Manuel Larramendi,マヌエル・ララメンディ
Jordi Portabella,ヨルディ・ポルタベラ
Joan Francesc Ferrer Sicilia,ルビ (サッカー選手)
Giorgi Bagration,ギオルギ・バグラティオニ
Vicente Alejandro Guillamón,ビセンテ・アレハンドロ・ギリャモン
Ginés de Mafra,ジネス・デ・マフラ
Francesc de Carreras,フランセスク・デ・カレーラス
Juan Carlos Pérez Rojo,フアン・カルロス・ロホ
Ignacio Vergara,イグナシオ・ベルガラ
Antonio Gamero,アントニオ・ガメロ
Alfonso Martínez Garrido,アルフォンソ・マルティネス・ガリード
Faustino Miranda,ファウスティノ・ミランダ
Aritz Laskurain,アリツ・ラスクライン
Alfonso Olaso,アルフォンソ・オラソ
Juan Pascual Azorín Soriano,フアン・パスクアル・アソリン・ソリアーノ
Enrique Santiago,エンリケ・サンティアゴ
Alfonso Vallés,アルフォンソ・バリェス
Manuel Risco,マヌエル・リスコ
Ramón Folch,ラモン・フォルチ・ギレン
Alfonso de Salas,アルフォンソ・デ・サラス
Mikel Goñi,ミケル・ゴニ
Eugeni Valderrama Domènech,エウヘニ・バルデラマ
Eugenia Martínez de Irujo,エウヘニア・マルティネス・デ・イルホ
Manuel Ruiz de Lopera,マヌエル・ルイス・デ・ロペーラ
Antonio Herrero Losada,アントニオ・イエーロ・ロサーダ
Iñaki Esnaola,イニャキ・エスナオラ
Antonio Illanes,アントニオ・イリャネス
Eulogio Aranguren,エウロヒオ・アラングレン
Juan Astigarrabía,フアン・アスティガラビア
Rafael Ramos Morales,ラファエル・ラモス・モラレス
Francina Armengol,フランシーナ・アルメンゴル
José María Requena,ホセ・マリーア・レケーナ
Guillem Balagué,ギジェム・バラゲ
Guillermo Fesser,ギジェルモ・フェセル
Gualberto García,グアルベルト・ガルシア・ペレス
Alicia Rubio,アリシア・ルビオ
Gonzalo Caicedo,ゴンサロ・ベルドゥ
Guillermo de Torre,ギジェルモ・デ・トーレ
Gustavo Bacarisas,グスタボ・バカリサス
Joaquim Maria Puyal,ジュアキン・マリーア・プジャル
Antonio López Martínez,アントニオ・ロペス・マルティネス
Alfredo Megido,アルフレド・メギド
Miguel Echegaray,ミゲル・エチェガライ・イ・エイサギーレ
Soledad Ortega Spottorno,ソレダッド・オルテガ・スポトルノ
Joaquín Vayreda,ジュアキン・バイレダ
Ricard Canals,リカルド・カナルス
Joan-Josep Tharrats,ジュアン＝ジュゼップ・タラッツ
Gómez III Suárez de Figueroa y Córdoba,ゴメス・スアレス・デ・フィゲロア・イ・コルドバ
Eusebio Zuloaga,エウセビオ・スロアガ
Eva Arguiñano,エバ・アルギニャーノ
Joaquín Espalter,ホアキン・エスパルター
Juan Manuel Cotelo,ホアン＝マヌエル・コテロ
Juan Oliveira,フアン・オリベイラ
Alicia Bogo,アリシア・ボゴ
Eva Sisó,エバ・シソ
Eva Yerbabuena,エバ・ジェルバブエナ
Evaristo Fernández Blanco,エバリスト・フェルナンデス・ブランコ
Ricard Lamote de Grignon,リカルド・ラモーテ・デ・グリニョン
José Torras y Bages,ジュゼップ・トラス・イ・バジェス
Vinyet Panyella,ビニェット・パニェーヤ
"Leoncio Alonso González de Gregorio, XXII duque de Medina Sidonia",レオンシオ・アロンソ・ゴンサレス・デ・グレゴリオ
Sabino Fernández Campo,サビーノ・フェルナンデス・カンポ
Felipe Varela,フェリペ・バレーラ
Josep Pons,ジョセプ・ポンス
Fadrique Álvarez de Toledo y Mendoza,ファドリケ・アルバレス・デ・トレド・イ・メンドーサ
Fernando Aramburu,フェルナンド・アランブル
Vicente Boix,ビセンテ・ボイシュ
Esteban Terradas Illa,エステバン・テラダス・イ・イリャ
Fermín Jáudenes,フェルミン・ハウデネス
Anna Pagans,アンナ・パガンズ
Fernando de Toledo,フェルナンド・デ・トレド
Rosa Leveroni,ローサ・レベローニ
Pau Faner,パウ・ファネール
Fernando Villalón,フェルナンド・ビリャロン
Fernando Villaamil,フェルナンド・ビジャミル
Jordi Bosch,ジョルディ・ボッシュ
Àlex Rigola,アレクス・リゴラ
Fernando Andreu Merelles,フェルナンド・アンドレウ
Fernando Higueras,フェルナンド・イゲラス
Fernando Recio,フェルナンド・ラーショ
Fernando Manuel de Bustamante Bustillo y Rueda,フェルナンド・マヌエル・デ・ブスタマンテ・ブスティーリョ・イ・ルエダ
Fernando Ramírez de Haro y Aguirre,第10代ビリャヌエバ・デル・ドゥエロ侯爵フェルナンド・ラミーレス・デ・アロ
Fernando Ramírez de Haro y Valdés,フェルナンド・ラミーレス・デ・アロ
Lorenzo Silva,ロレンソ・シルバ
Amelia de lápiz,アメリア・デ・ラ・トーレ
Berta Betanzos,ベルタ・ベタンソス
Fidel Chaves,フィデル・チャベス
Fidel Villarroel,フィデル・ビジャロエル
Amós de Escalante,アモス・デ・エスカランテ
Simona Škrabec,シモーナ・シュクラベッチ
Sebastián Malvar y Pinto,セバスティアン・マルバル・イ・ピント
Antonio Pica,アントニオ・ピカ
Julio Rodríguez Villanueva,ジュリオ・ロドリゲス・ヴィジャヌエヴァ
Amparo Larrañaga,アンパロ・ララニャガ
Amparo Moraleda Martínez,アンパロ・モラレダ・マルティネス
Juan Correa de Vivar,フアン・コレーア
Mònica Terribas,モニカ・テリバス
Cristóbal Colón de la Cerda,クリストバル・コロン・デ・ラ・セルダ
Ana Risueño,アナ・リスエーニョ
Pedro Maestre Herrero,ペドロ・マエストレ・エレーロ
José Romeu y Parras,ホセ・ロメウ・イ・パラス
Antonio Romero,アントニオ・ロメロ (歌手)
Amparo Rubiales,アンパロ・ルビアネス
Ana Fernández,アナ・フェルナンデス (女優)
Ximo Cerdà,シモ・セルダ
Jordi Tarrés Páramo,ジョルディ
Zulema Fuentes-Pila,スレマ・フエンテス＝ピラ
Brandon Thomas,ブランドン・トーマス
Ana Gómez de Silva y de Mendoza,アナ・ゴメス・デ・シルバ・イ・デ・メンドーサ
Antonio Santos Mercero,アントニオ・サントス・メルセロ
Jennifer Pareja,イェニフェル・パレハ
Idoia Mendia Cueva,イドイア・メンディア
Ruth Vega Fernandez,ルース・ベガ・フェルナンデス
Rafaela Aparicio,ラファエラ・アパリシオ
Ana del Rey,アナ・デル・レイ
Antonio Serrano (músico),アントニオ・セラーノ
Ana Rujas,アナ・ルハス
Luisa Carvajal y Mendoza,ルイサ・カルバハル・イ・メンドーサ
Alfonso Aparicio,アルフォンソ・アパリシオ
Ana Santos Aramburo,アナ・サントス・アラムブロ
Fernando de Borbón-Dos Sicilias y Borbón,フェルナンド・デ・ボルボン＝ドス・シシリアス・イ・ボルボン
Blas Sanchis,ブラス・サンチス
Carlos Caballero Pérez,カルロス・キャバレロ・ペレス
Borja Granero Niñerola,ボルハ・グラネロ
Borja López Menéndez,ボルハ・ロペス
Brígido Duque,ブリヒド・ドゥケ
Diego de Alvarado,ディエゴ・デ・アルバラード
Andrés Barba,アンドレス・バルバ
Carla Campra,カーラ・カンプラ
Carla Hidalgo,カーラ・ヒダルゴ
Antonio Vega de Seoane Echeverría,アントニオ・ベガ・デ・セオアネ・エケベリア
Miquel Gil,ミケル・ヒル
Canuto Berea Rodríguez,カヌート・ベレア・ロドリゲス
Juanra Bonet,フアンラ・ボネット
Don Antonio de Arévalo y Esteban,アントニオ・デ・アレバロ
Antonio de Azcona Imberto,アントニオ・デ・アスコナ・インベルト
Antonio Álvarez de Toledo y Pérez de Guzmán,アントニオ・アルバレス・デ・トレド・オソリオ
Antonio Álvarez de Toledo y Enríquez de Ribera,アントニオ・アルバレス・デ・トレド
Antonio Álvarez de Toledo y Fernández de Velasco,アントニオ・アルバレス・デ・トレド
Antonio Álvarez de Toledo y Guzmán,アントニオ・アルバレス・デ・トレド
Andrés Cabrera,アンドレス・カブレーラ
Carlos Agostí,カルロス・アゴスティ
Carlos Jesús García-Berlanga Manrique,カルロス・ベルランガ
Antonio de Lezama,アントニオ・デ・レサマ
Carlos Ezquerra,カルロス・エスケラ
Carlos Martínez de Irujo y Fitz-James Stuart,カルロス・フィツ＝ハメス・ストゥアルト・イ・マルティネス・デ・イルホ
Antonio de Córdova,アントニオ・デ・コルドバ
Carlos Jiménez Díaz,カルロス・ヒメネス・ディアス
Carlos López Huesca,カルリートス
Carles Gil,カルレス・ヒル
Carlos Castel,カルロス・カステル
Carlos Pérez García,カルロス・ペレス・ガルシア
Antonio de la Torre y Miranda,アントニオ・デ・ラ・トーレ・イ・ミランダ
Carlos Castro Caputo,カルロス・カストロ・カプート
Vicente Mundina Balaguer,ビセンテ・ムンディーナ・バラゲール
Carli de Murga,カルリ・デ・ムルガ
Carlos Domínguez Domínguez,カルロス・ドミンゲス・ドミンゲス
Carlos Boyero,カルロス・ボジェーロ
Arcadio Arteaga,アルカディオ・アルテアガ
Carlos Morales Quintana,カルロス・モラーレス・クインタラ
Manuel Bartolomé Cossío,マヌエル・バルトロメ・コシーオ
Aridane Hernández,アリダネ・エルナンデス
Ariday Cabrera Suárez,アリダイ・カブレラ
Arturo Arribas,アルトゥーロ・アリバス
Manuel Joaquín Álvarez de Toledo,マヌエル・ホアキン・アルバレス・デ・トレド
Catalina Lercaro,カタリーナライルケアリー
Carolina Bang,カロリーナ・バング
Carolina Rodríguez,カロリナ・ロドリゲス (新体操)
Armando del Río,アーマンド・デル・リオ
Diego López Bueno,ディエゴ・ロペス・ブエノ
David Álvarez Vázquez,ダビド・ポラコ
Christina Ochoa,クリスティーナ・オチョア
Chema Rodríguez,チェマ・ロドリゲス
Arturo García-Tizón,アルトゥーロ・ガルシーア＝ティソン
Carlos Fuentes,カルロス・フエンテス (俳優)
Arturo Avello Díez del Corral,アルトゥロ・アベージョ・ディエス・デル・コーラル
Chunchuna Villafañe,チュンチュナ・ビラファーニェ
Diego Méndez,ディエゴ・メンデス
Karla Sofía Gascón,カルロス・ガスコン
Juan Alaminos y Vivar,フアン・アラミノス・イ・ビバル
Augusto Miranda y Godoy,アウグスト・ミランダ・イ・ゴドイ
Claudia Zornoza,クラウディア・ゾルノザ
Claudio Martínez Mehner,クラウディオ・マルティネス＝メーナー
Claudio S. Grafulla,クラウディオ・グラフーラ
Gonzalo Bringas Vega,ゴンサロ・ブリンガス・ベガ
Arturo Juan Rodríguez Pérez-Reverte,アルトゥーロ・ロドリゲス
Arturo López,アルトゥーロ・ロペス
Carlos Fernández Casado,カルロス・フェルナンデス・カサド
Asunción Valdés,アスンシオン・バルデス
Eusebio Lázaro,エウセビオ・ラザロ
Agustín Conde Bajén,アグスティン・コンデ
Bieito Rubido,ビエイト・ルビド
Carlos Muñiz,カルロス・ムニス
Enrique Arce,エンリケ・アルセ
Clara Lago,クララ・ラゴ
Claudia Moro,クラウディア・モロ
Aurora Carbonell,オーロラ・カルボネル
María José García-Pelayo Jurado,マリア・ホセ・ガルシア=ペラヨ・ウラド
Eulalio Ferrer,エウラリオ・フェレール
Eva Llorach,エバ・リョラッチ
Consuelo Rubio,コンスエロ・ルビオ
Dionís Bennássar,ディオニス・ベナサル
Esteban Cabal,エステバン・カバル
Aurora Sánchez,アウロラ・サンチェス
Luis Gómez-Acebo,ルイス・ゴメス＝アセーボ・イ・ドゥーケ・デ・エストラーダ
Dionisio Pérez Gutiérrez,ディオニシオ・ペレス・グティエレス
Carlos Vermut,カルロス・ベルムト
Domingo Buesa Conde,ドミンゴ・ブエサ・コンデ
Julián Lago,フリアン・ラーゴ
Domingo Hergueta y Martín,ドミンゴ・エルゲータ
Francisco de Paula Bucarelli,フランシスコ・デ・パウラ・ブカレリ
Carlos Ysbert,カルロス・イスバート
Carlos Sánchez del Río,カルロス・サンチェス・デル・リオ
Carlos Tena,カルロス・テナ
Carlos Sánchez Aguiar,カルロス・サンチェス・アギアル
Docha Riobóo,ドチャ・リオボー
Bartolomé Román,バルトロメ・ロマン
Francisco Álvarez de Toledo y Silva,フランシスコ・アルバレス・デ・トレド
José Pozo,ホセ・ポゾ
Domingo de Acassuso,ドミンゴ・デ・アカスソ
Domingo de Petrés,ドミンゴ・デ・ペトレス
Federico Celada,フェデリコ・セラーダ
Carme Pigem,カルマ・ピジェム・バルセロ
Fadrique de Vargas y Manrique de Valencia,ファドリキ・デ・バルガス
María Teresa Álvarez de Toledo y Haro,マリア・テレサ・アルバレス・デ・トレド・イ・アロ
Fadrique Vicente de Toledo Osorio,ファドリケ・ビセンテ・デ・トレド・オソリオ
Fahmi Alqhai,ファミ・アルカイ
Bartolomé González y Serrano,バルトロメー・ゴンザレス・イ・セラーノ
Bartolomé Hurtado,バルトロメー・ウルタード
Francisco de Tembleque,フランシスコ・デ・テンブレケ
Dióscoro Puebla,ディオスコロ・プエブラ
Manuel Suárez y Suárez,マニュアル・スワレス
