ana de la reguera,アナ・デ・ラ・レゲラ,ana・de・ra・regera
beatriz gutiérrez müller,ベアトリス・グティエレス・ミュラー,beatorisu・gutieresu・myurā
carlos licona,カルロス・リコナ,karurosu・rikona
luis ramon garrido,ルイス・ラモン・ガリード,ruisu・ramon・garīdo
ramón conchas,ラモン・コンチャス,ramon・konchasu
rebeca méndez jiménez,レベカ・メンデス・ヒメネス,rebeka・mendesu・himenesu
raúl mendoza,ラウール・メンドーザ,raūru・mendōza
leonardo ortizgris,レオナルド・オーティズグリス,reonarudo・ōtizugurisu
bruno figueroa fischer,ブルーノ・フィゲロア・フィッシャー,burūno・figeroa・fisshā
ricardo gallardo cardona,リカルド・ガヤルド・カルドナ,rikarudo・gayarudo・karudona
agustín rayo,アグスティン・ラヨ,agusutin・rayo
norma lucía piña hernández,ノルマ・ルシア・ピニャ・エルナンデス,noruma・rushia・pinya・erunandesu
carissa véliz,カリッサ・ヴェリツ,karissa・vuェritsu
jimena gállego,ヒメナ・ガジェゴ,himena・gajego
carlos felipe de habsburgo,カルロス・フェリペ・デ・アブスブルゴ,karurosu・feripe・de・abusuburugo
luis cresencio sandoval,ルイス・クレセンシオ・サンドヴァル,ruisu・kuresenshio・sandovaru
david ochoa,ダビド・オチョア,dabido・ochoa
luis villalobos,ルイス・ヴィラロボス,ruisu・virarobosu
martha érika alonso,マルタ・エリカ・アロンソ,maruta・erika・aronso
marcelino islas hernández,マルセリーノ・イスラス・ヘルナンデス,maruserīno・isurasu・herunandesu
andrés almeida,アンドレス・アルメイダ,andoresu・arumeida
francisco zamora padilla,フランシスコ・ザモラ・パディラ,furanshisuko・zamora・padira
humberto carrillo,ウンベルト・カリージョ,unberuto・karījo
mauricio kuri gonzález,マウリシオ・クリ・ゴンサレス,maurishio・kuri・gonsaresu
felipe esparza,フェリペ・エスパルザ,feripe・esuparuza
candelario pérez alvarado,カンデラリオ・ペレス・アルバラード,kanderario・peresu・arubarādo
diego lópez,ディエゴ・ロペス,diego・ropesu
isaac ezban,アイザック・エスバン,aizakku・esuban
edson partida,エドソン・パルティダ,edoson・parutida
fátima molina,ファティマ・モリーナ,fatima・morīna
nicolasa ortiz monasterio,ニコラサ・オルティス・モナステリオ,nikorasa・orutisu・monasuterio
hoze meléndez,ホーズ・メレンデス,hōzu・merendesu
jonathan gonzález,ホナタン・ゴンサレス,honatan・gonsaresu
horacio garcia rojas,ホラシオ・ガルシア・ロハス,horashio・garushia・rohasu
fernando álvarez rebeil,フェルナンド・アルバレス・リベイル,ferunando・arubaresu・ribeiru
juan pablo de santiago,ファン・パブロ・デ・サンティアゴ,fan・paburo・de・santiago
giselle kuri,ジゼル・クリ,jizeru・kuri
dario yazbek bernal,ダリオ・ヤズベック・ベルナル,dario・yazubekku・berunaru
gabriela cartol,ガブリエラ・カートル,gaburiera・kātoru
ayumi macías,アユミ・マシアス,ayumi・mashiasu
regina pavón,レジーナ・パボン,rejīna・pabon
carla adell,カルラ・アデル,karura・aderu
julio chavezmontes,フリオ・チャベスモンテス,furio・chabesumontesu
álvaro curiel,アルバロ・クリエル,arubaro・kurieru
sebastián ferrat,セバスティアン・フェラット,sebasutian・feratto
emiliano rocha minter,エミリアーノ・ロッチャ・ミンター,emiriāno・rotcha・mintā
gerardo naranjo,ジェラルド・ナランホ,jerarudo・naranho
juan pablo castañeda,フアン・パブロ・カスタネダ,fuan・paburo・kasutaneda
miriana moro,ミリアナ・モロ,miriana・moro
ricardo esquerra,リカルド・エスケラ,rikarudo・esukera
martha claudia moreno,マーサ・クラウディア・モレノ,māsa・kuraudia・moreno
lila avilés,リラ・アヴィルス,rira・avirusu
jimena lópez,ヒメナ・ロペス,himena・ropesu
lex ortega,レックス・オルテガ,rekkusu・orutega
juanpa zurita,フアンパ・ズリタ,fuanpa・zurita
jordi cortizo,ジョルディ・コルティソ,jorudi・korutiso
andrea meza,アンドレア・メサ,andorea・mesa
raul inglis,ラウル・イングリス,rauru・ingurisu
tuco salamanca,トゥコ・サラマンカ,tuko・saramanka
roberto carmona,ロベルト・カルモナ,roberuto・karumona
marina del pilar ávila olmeda,マリーナ・デル・ピラール・アビラ・オルメダ,marīna・deru・pirāru・abira・orumeda
jessica vilchis,ジェシカ・ヴィルチス,jeshika・viruchisu
érick valencia salazar,エリック・バレンシア・サラザール,erikku・barenshia・sarazāru
marco polo constandse,マルコ・ポロ・コンスタンズ,maruko・poro・konsutanzu
humberto busto,ハンブルト・ブスト,hanburuto・busuto
christian lanz,クリスチャン・ランツ,kurisuchan・rantsu
veronica falcón,ベロニカ・ファルコン,beronika・farukon
américo villarreal anaya,アメリコ・ビジャレアル・アナヤ,ameriko・bijarearu・anaya
josé alejandro garcía muñoz,ホセ・アレハンドロ・ガルシア・ムニョス,hose・arehandoro・garushia・munyosu
gustavo egelhaaf,グスタボ・エゲルハーフ,gusutabo・egeruhāfu
cristina rodlo,クリスティーナ・ロッド,kurisutīna・roddo
gabriel santoyo,ガブリエル・サントヨ,gaburieru・santoyo
mauricio isaac,モーリシオ・アイザック,mōrishio・aizakku
bruno coronel,ブルーノ・コロネル,burūno・koroneru
julio rodríguez,フリオ・ロドリゲス,furio・rodorigesu
bandido,バンディード,bandīdo
rocío beltrán medina,ロシオ・ベルトラン・メディーナ,roshio・berutoran・medīna
gonzalo alfonso lópez beltrán,ゴンサロ・アルフォンソ・ロペス・ベルトラン,gonsaro・arufonso・ropesu・berutoran
luis alberto guerrero reyes,ルイス・アルベルト・ゲレーロ・レジェス,ruisu・aruberuto・gerēro・rejesu
andrea arruti,アンドレア・アルティ,andorea・aruti
josé rafael ojeda durán,ホセ・ラファエル・オヘダ・デュラン,hose・rafaeru・oheda・dyuran
jonathan gómez,ジョナサン・ゴメス,jonasan・gomesu
andrés manuel lópez beltrán,アンドレス・マヌエル・ロペス・ベルトラン,andoresu・manueru・ropesu・berutoran
mauro calderón,マウロ・カルデロン,mauro・karuderon
josé balleza,ホセ・バジェサ,hose・bajesa
valentina benaglio,ワレンチナ・ベナグリオ,warenchina・benagurio
gabriela cámara,ガブリエラ・カマラ,gaburiera・kamara
víctor ugarte,ビクトル・ウガルテ,bikutoru・ugarute
roberta lajous,ロベルタ・ラジュー,roberuta・rajū
eliana sua,エリアナ・スア,eriana・sua
sabrina flores,サブリナ・フローレス,saburina・furōresu
mauricio barrientos,マウリシオ・バリエントス,maurishio・barientosu
raul torres,ラウル・トーレス,rauru・tōresu
lupita infante torrentera,ルピタ・インファンテ・トレンテラ,rupita・infante・torentera
jimena sánchez,ヒメナ・サンチェス,himena・sanchesu
irwin daayán,アーウィン・ダーヤン,āwin・dāyan
javier hidalgo ponce,ハビエル・イダルゴ・ポンセ,habieru・idarugo・ponse
dr karonte,ドクトル・カロンテ,dokutoru・karonte
carlos ignacio gonzález magallón,カルロス・イグナシオ・ゴンサレス・マガジョン,karurosu・igunashio・gonsaresu・magajon
giovanna reynaud,ジョヴァンナ・レイノー,jovanna・reinō
yamileth mercado,ヤミレス・メルカド,yamiresu・merukado
la bala,ラ・バーラ,ra・bāra
yolanda segura,ヨランダ・セグラ,yoranda・segura
rodrigo murray,ロドリゴ・ムライ,rodorigo・murai
teódula alemán cleto,テオデュラ・アレマン・クレト,teodyura・areman・kureto
bayardo de murguia,バヤルド・デ・ムルギア,bayarudo・de・murugia
tatiana flores,タチアナ・フローレス,tachiana・furōresu
alejandro kirk,アレハンドロ・カーク,arehandoro・kāku
erik lira,エリク・リラ,eriku・rira
rafael rojas,ラファエル・ロハス,rafaeru・rohasu
jhory celaya,ジョリー・セラヤ,jorī・seraya
josué maychi,ホスエ・マイチ,hosue・maichi
bryan gonzález,ブライアン・ゴンサレス,buraian・gonsaresu
evelyn salgado pineda,エベリン・サルガド・ピネダ,eberin・sarugado・pineda
michelle couttolenc,ミッチェル・コートレンツ,mitcheru・kōtorentsu
ariel miramontes,アリエル・ミラモンテス,arieru・miramontesu
ana isabel treviño morales,アナ・イザベル・トレビーニョ・モラレス,ana・izaberu・torebīnyo・moraresu
andrés bocanegra,アンドレ・ボカネグラ,andore・bokanegura
alejandra delint,アレハンドラ・デリント,arehandora・derinto
ariel galvan,アリエル・ガルバン,arieru・garuban
ricardo diaz mendoza,リカルド・ディアス・メンドーサ,rikarudo・diasu・mendōsa
yoshio,ヨシオ,yoshio
mara lezama espinosa,マーラ・レサマ・エスピノサ,māra・resama・esupinosa
carlo ayhllón,カルロ・アイロン,karuro・airon
emali guadalupe guzmán coronel,エマリ・グアダルーペ・グズマン・コロネル,emari・guadarūpe・guzuman・koroneru
alejandro terrones,アレハンドロ・テローネス,arehandoro・terōnesu
diego calva,ディエゴ・カルバ,diego・karuba
manny barreda,マニー・バレダ,manī・bareda
leydy pech,レイディ・ペチ,reidi・pechi
griselda guadalupe guzmán lópez,グリセルダ・グアダルーペ・グスマン・ロペス,guriseruda・guadarūpe・gusuman・ropesu
alosian vivancos,アロシアン・ビバンコス,aroshian・bibankosu
francisco de la reguera,フランシスコ・デ・ラ・レゲラ,furanshisuko・de・ra・regera
stefanía aradillas,ステファニア・アラディージャス,sutefania・aradījasu
carlos manuel merino campos,カルロス・マヌエル・メリノ・カンポス,karurosu・manueru・merino・kanposu
andrés olivas,アンドレス・オリバス,andoresu・oribasu
santa fe klan,サンタ・フェ・クラン,santa・fe・kuran
ramón rodríguez arangoiti,ラモン・ロドリゲス・アランゴイティ,ramon・rodorigesu・arangoiti
sierra hyland,シエラ・ハイランド,shiera・hairando
rey gallegos,レイ・ガイエゴス,rei・gaiegosu
edsa ramírez,エドサ・ラミレス,edosa・ramiresu
fabiola ramirez,ファビオラ・ラミレス,fabiora・ramiresu
luis leonardo suárez,ルイス・レオナルド・スアレス,ruisu・reonarudo・suaresu
silvana flores,シルヴァナ・フローレス,shiruvana・furōresu
raúl carballeda,ラウル・カルバレダ,rauru・karubareda
rafael villagómez,ラファエル・ヴィラゴメス,rafaeru・viragomesu
erando gonzález,エランド・ゴンサレス,erando・gonsaresu
quackity,クワキティ,kuwakiti
sadoc vazkez,サドック・バスケス,sadokku・basukesu
jonathan kubben quiñonez,ジョナサン・クッベン・キニョネス,jonasan・kubben・kinyonesu
el pinche mara,エル・ピンチェ・マラ,eru・pinche・mara
eme malafe,エメ・マラフェ,eme・marafe
ricardo bours castelo,リカルド・ブールス・カステロ,rikarudo・būrusu・kasutero
isaac del toro,イサーク・デル・トロ,isāku・deru・toro
giselle montes,ジゼル・モンテス,jizeru・montesu
sebastián álvarez,セバスチャン・アルバレス,sebasuchan・arubaresu
alejandro de hoyos parera,アレハンドロ・デ・ホヨス・パレラ,arehandoro・de・hoyosu・parera
dali jr gonzález,ダリ・ジュニア・ゴンザレス,dari・junia・gonzaresu
luis curiel,ルイス・クリエル,ruisu・kurieru
jacobo wong,ハコボ・ウォン,hakobo・won
sole bovelli,ソール・ボヴェッリ,sōru・bovuェrri
javier lópez díaz,ハビエル・ロペス・ディアス,habieru・ropesu・diasu
victoria del rosal,ヴィクトリア・デル・ロサル,vikutoria・deru・rosaru
grecia monroc,グレシア・モンロック,gureshia・monrokku
jesús alejandro venegas vergara,ヘスス・アレハンドロ・ベネガス・ベルガラ,hesusu・arehandoro・benegasu・berugara
fernando rafael delgado,フェルナンド・ラファエル・デルガド,ferunando・rafaeru・derugado
henry jimenez kerbox,ヘンリー・ヒメネス・カーボックス,henrī・himenesu・kābokkusu
federico gutiérrez,フェデリーコ・グティエレス,federīko・gutieresu
joshua okamoto,ヨシュア・オカモト,yoshua・okamoto
regina tiscareño,レジーナ・ティスカレニョ,rejīna・tisukarenyo
david caro levy,デビッド・カロ・レヴィ,debiddo・karo・revi
peso pluma,ペソ・プルマ,peso・puruma
martin suter,マルティン・ズーター,marutin・zūtā
rocío dúrcal,ロシオ・ドゥルカル,roshio・durukaru
ramón de algeciras,ラモン・デ・アルヘシラス,ramon・de・aruheshirasu
jorge de bragationmukhraneli,ホルヘ・デ・バグラチオン,horuhe・de・bagurachion
carlos leal,カルロス・レアル,karurosu・rearu
nicolás federmann,ニコラウス・フェーダーマン,nikorausu・fēdāman
millán,ヒジリエミリアヌス,hijiriemirianusu
arianna savall,アリアンナ・サヴァール,arianna・savāru
sergio rodríguez,セルヒオ・ロドリゲス,seruhio・rodorigesu
maría ostiz,マリア・オスティス,maria・osutisu
jorge guillén,ホルヘ・ギリェン,horuhe・giriェn
duque de rivas,ドゥケ・デ・リバス,duke・de・ribasu
josep tarradellas,ジュゼップ・タラデーリャス,juzeppu・taradēryasu
roque joaquín de alcubierre,ロケ・ホアキン・デ・アルクビエレ,roke・hoakin・de・arukubiere
daniel carvajal,ダニエル・カルバハル,danieru・karubaharu
bernard hopkins,バーナード・ホプキンズ,bānādo・hopukinzu
pilar miró,ピラール・ミロー,pirāru・mirō
felipe de utre,フィリップ・フォン・フッテン,firippu・fon・futten
hugo obermaier,ヒューゴ・オーベルマイアー,hyūgo・ōberumaiā
ramón de campoamor,ラモン・デ・カンポアモール,ramon・de・kanpoamōru
genaro pérez villaamil,ヘナロ・ペレス・ビジャミル,henaro・peresu・bijamiru
manuel valls,マニュエル・ヴァルス,manyueru・varusu
josé carrillo de albornoz,モンテマールオオヤケホセ・カリージョ・デ・アルボルノス,montemāruooyakehose・karījo・de・aruborunosu
