hebe camargo,ヘーペ・カマルゴ,hēpe・kamarugo
wanderson carvalho de oliveira,ヴァンデルソン・カルヴァーリョ・ジ・オリヴェイラ,vanderuson・karuvāryo・ji・orivuェira
cássia mônica sakuragui,カッシア・モニカ・サクラギ,kasshia・monika・sakuragi
dhiego lima,ディエゴ・リマ,diego・rima
victor mattos cardozo,ヴィクトル・マトス・カルドゾ,vikutoru・matosu・karudozo
alex ribeiro,アレックス・リベイロ,arekkusu・ribeiro
igor vinícius,イゴール・ヴィニシウス,igōru・vinishiusu
mateus vital,マテウス・ヴィタル,mateusu・vitaru
moacir júnior,モアシール・ジュニオール,moashīru・juniōru
joão carlos da silva bento,ジョアン・カルロス・ダ・シウヴァ・ベント,joan・karurosu・da・shiuva・bento
derick silva,デリック・シウバ,derikku・shiuba
ricardo de souza,リカルド・デ・ソウザ,rikarudo・de・souza
rogério micale,ロジェリオ・ミカーレ,rojerio・mikāre
thiago ferreira lopes,チアゴ・フェレイラ・ロペス,chiago・fereira・ropesu
gabi nunes,ガビ・ヌネス,gabi・nunesu
ana paula minerato,アナ・ポーラ・ミネラート,ana・pōra・minerāto
thaís bianca,タイス・ビアンカ,taisu・bianka
andré fufuca,アンドレー・フフカ,andorē・fufuka
joesley batista,ジョーズリー・バティスタ,jōzurī・batisuta
thomas kuc,トーマス・クック,tōmasu・kukku
vitória cristina rosa,ヴィトーリア・クリスチナ・ローザ,vitōria・kurisuchina・rōza
leandro henrique do nascimento,レアンドロ・エンヒキ・ド・ナシメント,reandoro・enhiki・do・nashimento
danilo das neves pinheiro,ダニーロ・ダス・ネヴェス・ピニェイロ,danīro・dasu・nevuェsu・piniェiro
charles marcelo da silva,シャルレス・マルセロ・ダ・シウヴァ,sharuresu・marusero・da・shiuva
erivelto emiliano da silva,エリヴェウト・エミリアーノ・ダ・シウヴァ,erivuェuto・emiriāno・da・shiuva
flavia de lima,フラヴィア・デ・リマ,furavia・de・rima
allan rodrigues de souza,アラン・ロドリゲス・デ・ソウザ,aran・rodorigesu・de・souza
núbia soares,ヌビア・ソアレス,nubia・soaresu
dominic vinicius,ドミニク・ヴィニシウス,dominiku・vinishiusu
rosicley pereira da silva,ホシクレイ・ペレイラ・ダ・シウヴァ,hoshikurei・pereira・da・shiuva
demétrio mércio xavier,デメトリオ・メルシオ・ザビエル,demetorio・merushio・zabieru
josé ricardo mannarino,ジョゼ・リカルド・マナリーノ,joze・rikarudo・manarīno
adilson josé pinto,アジウソン・ジョゼ・ピント,ajiuson・joze・pinto
alexandre de moraes,アレクサンドル・デ・モラエス,arekusandoru・de・moraesu
pedro henrique ribeiro gonçalves,ペドロ・エンリケ・リベイロ・ゴンサウベス,pedoro・enrike・ribeiro・gonsaubesu
hiran gonçalves,イラン・コンサルベス,iran・konsarubesu
carlos takeshi,カルロス・タケシ,karurosu・takeshi
yoandry leal,イオアンディ・レアル,ioandi・rearu
tânia ishii,タニア・イシイ,tania・ishii
zé do carmo,ジョゼ・ド・カルモ,joze・do・karumo
luiz felipe do nascimento dos santos,ルイス・フェリペ・ド・ナシメント・ドス・サントス,ruisu・feripe・do・nashimento・dosu・santosu
bo bichette,ボー・ビシェット,bō・bishetto
bruna griphao,ブルーナ・グリファオ,burūna・gurifao
pâmela rosa,パメラ・ローザ,pamera・rōza
maurício galiotte,マウリシオ・ガリオッチ,maurishio・gariotchi
rafael dumas ribeiro,ラファエル・デュマス・ヒベイロ,rafaeru・dyumasu・hibeiro
jean carlos de souza irmer,ジェアン・カルロス・ジ・ソウザ・イルメル,jean・karurosu・ji・souza・irumeru
pablo diogo lopes de lima,パブロ・ジオゴ・ロペス・デ・リマ,paburo・jiogo・ropesu・de・rima
colleen furgeson,コリーン・ファージソン,korīn・fājison
bruna takahashi,タカハシ・ブルーナ,takahashi・burūna
gina valentina,ジーナ・ヴァレンティナ,jīna・varentina
willian formiga,ウィリアン・フォルミーガ,wirian・forumīga
leonardo da silva rocha,レオナルド・ダ・シルバ・ロシャ,reonarudo・da・shiruba・rosha
ruan teixeira silva,フアン・テイシェイラ・シルヴァ,fuan・teisheira・shiruva
luiz eduardo da silva dos santos,ルイス・エドゥアルド・ダ・シルバ・ドス・サントス,ruisu・eduarudo・da・shiruba・dosu・santosu
arthur oliveira,アルトゥール・オリヴェイラ,arutūru・orivuェira
alexandre di estefano marcena rodrigues,アレシャンドレ・ディ・エステファーノ・マルセナ・ロドリゲス,areshandore・di・esutefāno・marusena・rodorigesu
luiz felipe ramos marchi,ルイス・フェリペ・ラモス・マルチ,ruisu・feripe・ramosu・maruchi
josias teófilo,ジョジアス・テオフィロ,jojiasu・teofiro
rafael henzel,ラファエル・ヘンゼル,rafaeru・henzeru
mariana d'andrea,マリアナ・ダンドレア,mariana・dandorea
joão henrique caldas,ジョアン・エンリケ・カルダス,joan・enrike・karudasu
gabriel dos santos magalhães,ガブリエウ・ドス・サントス・マガリャンイス,gaburieu・dosu・santosu・magaryanisu
paulo azi,パウロ・アジ,pauro・aji
paulo otávio,パウロ・オタヴィオ,pauro・otavio
lúcia teixeira,ルシア・テイシェイラ,rushia・teisheira
jandrei chitolina carniel,ジャンドレイ・シトリーナ・カルニエウ,jandorei・shitorīna・karunieu
felipe meligeni alves,フェリペ・メリジェニ・アウヴェス,feripe・merijeni・auvuェsu
ayrton lucas dantas de medeiros,アイルトン・ルーカス・ダンタス・ジ・メデイロス,airuton・rūkasu・dantasu・ji・medeirosu
leonardo kalil abdala,レオナルド・カリウ・アブダラ,reonarudo・kariu・abudara
lucas morelatto,ルーカス・モレラト,rūkasu・morerato
gianetti bonfim,ジアネッチ・ボンフィム,jianetchi・bonfimu
filipe matzembacher,フィリペ・マッツェンバシェル,firipe・mattsenbasheru
álida grubba,アリーダ・グルッバ,arīda・gurubba
joão menezes,ジョアン・メネゼス,joan・menezesu
érick jacquin,エリック・ジャカン,erikku・jakan
mundano,ムンダーノ,mundāno
moisés wolschik,モイゼス・ヴォルシック,moizesu・vuォrushikku
felipe garcia gonçalves,フェリペ・ガルシア・ゴンサウヴェス,feripe・garushia・gonsauvuェsu
kiros stanlley soares ferraz,キロス・スタンレイ・ソアレス・フェハス,kirosu・sutanrei・soaresu・fehasu
raissa santana,ライッサ・サンタナ,raissa・santana
josé ivaldo almeida silva,ジョゼ・イヴァウド・アウメイダ・シウヴァ,joze・ivaudo・aumeida・shiuva
marcos bezerra abbott galvão,マルコス・ベゼーハ・アボッチ・ガウヴォン,marukosu・bezēha・abotchi・gauvuォn
diego jara rodrigues,ジエゴ・ジャラ・ロドリゲス,jiego・jara・rodorigesu
rafael matos,ラファエル・マトス,rafaeru・matosu
ilan goldfajn,イラン・ゴールドファイン,iran・gōrudofain
douglas augusto soares gomes,ドウグラス・アウグスト・ソアレス・ゴメス,dougurasu・augusuto・soaresu・gomesu
bruno viana willemen da silva,ブルーノ・ヴィアナ・ヴィレメン・ダ・シウヴァ,burūno・viana・viremen・da・shiuva
marcelo alessandro gomes da silva,マルセロ・アレサンドロ・ゴメス・ダ・シルバ,marusero・aresandoro・gomesu・da・shiruba
jefferson pereira,ジェファーソン・ペレイラ,jefāson・pereira
raquel lyra,ラケル・ライラ,rakeru・raira
maiara barreto,マイアラ・バレト,maiara・bareto
caíque luiz santos da purificação,カイケ・ルイス・サントス・ダ・プリフィカソン,kaike・ruisu・santosu・da・purifikason
tatiana merlino,タチアナ・メルリーノ,tachiana・merurīno
eduardo yudy santos,エドゥアルド・ユウジ・サントス,eduarudo・yuuji・santosu
artur victor guimarães,アルトゥール・ヴィクトル・ギマリャンイス,arutūru・vikutoru・gimaryanisu
josé marengo,ジョゼ・マレンゴ,joze・marengo
willian popp,ウィリアン・ポッピ,wirian・poppi
filipe duarte,フィリッペ・ドゥアルテ,firippe・duarute
thiago brito,チアゴ・ブリト,chiago・burito
santiago dellape,サンティアーゴ・デラペ,santiāgo・derape
cristian alex da silva santos,クリスチャン・アレックス・ダ・シウヴァ・サントス,kurisuchan・arekkusu・da・shiuva・santosu
manu buffara,マヌ・ブッファラ,manu・buffara
rodrigo pacheco,ロドリゴ・パチェコ,rodorigo・pacheko
helena duailibe,ヘレナ・デュイリブ,herena・dyuiribu
wanderson santos pereira,ヴァンデルソン・サントス・ペレイラ,vanderuson・santosu・pereira
andrey ramos do nascimento,アンドレイ・ハモス・ド・ナシメント,andorei・hamosu・do・nashimento
lucas tolentino coelho de lima,ルーカス・トレンティーノ・コエーリョ・ジ・リマ,rūkasu・torentīno・koēryo・ji・rima
rui spohr,ルイ・スポール,rui・supōru
lucas fernandes,ルーカス・フェルナンデス,rūkasu・ferunandesu
emerson raymundo santos,エメルソン・ハイムンド・サントス,emeruson・haimundo・santosu
ezequiel teixeira,エセキエル・テイゼイラ,esekieru・teizeira
dalbert henrique,ダウベルト・エンリケ,dauberuto・enrike
paulo vitor fernandes pereira,パウロ・ヴィトール・フェルナンデス・ペレイラ,pauro・vitōru・ferunandesu・pereira
talisson glock,タリソン・グロック,tarison・gurokku
césar halum,セーサル・アルム,sēsaru・arumu
emerson aparecido leite de souza junior,エメルソン・アパレシド・レイテ・デ・ソウザ・ジュニオール,emeruson・apareshido・reite・de・souza・juniōru
sebastião araújo de oliveira,セバスチアン・アラウージョ・ジ・オリヴェイラ,sebasuchian・araūjo・ji・orivuェira
nei severiano dias,ネイ・セヴェリアーノ・ジアス,nei・sevuェriāno・jiasu
edílson guimarães baroni,エジウソン・ギマランイス・バローニ,ejiuson・gimaranisu・barōni
carlos manato,カリオス・マナト,kariosu・manato
martha batalha,マルタ・バターリャ,maruta・batārya
georgemy gonçalves,ジョルジェミー・ゴンサウヴェス,jorujemī・gonsauvuェsu
alana maldonado,アラナ・マルドナド,arana・marudonado
whindersson nunes,ウィンデルソン・ヌネス,winderuson・nunesu
pablo sanábio,パブロ・サナビオ,paburo・sanabio
elton junior melo ataíde,エウトン・ジュニオール・メロ・アタイジ,euton・juniōru・mero・ataiji
josé artur de lima júnior,ジョゼ・アルトゥール・デ・リマ・ジュニオール,joze・arutūru・de・rima・juniōru
celina leão,セリーナ・レオン,serīna・reon
ronielson da silva barbosa,ホニエルソン・ダ・シルバ・バルボサ,honieruson・da・shiruba・barubosa
guilherme samaia,ギリェルメ・サマイア,giriェrume・samaia
alex apolinário,アレックス・アポリナリオ,arekkusu・aporinario
matheus lisboa,マテウス・リスボア,mateusu・risuboa
rafaelson bezerra fernandes,ラファエルソン・ベゼラ・フェルナンデス,rafaeruson・bezera・ferunandesu
alan empereur,アラン・エンペレウル,aran・enpereuru
pablo renan dos santos,パブロ・ヘナン・ドス・サントス,paburo・henan・dosu・santosu
everson lins ferreira,エヴェルソン・リンス・フェレイラ,evuェruson・rinsu・fereira
paulo conrado do carmo sardin,パウロ・コンハード・ド・カルモ・サルジン,pauro・konhādo・do・karumo・sarujin
raphael dias belloli,ハファエウ・ジアス・ベローリ,hafaeu・jiasu・berōri
felipe bardi,フェリペ・バルジ,feripe・baruji
guilherme parede,ギリェルメ・パレジ,giriェrume・pareji
ailton cesar junior alves da silva,アイウトン・セザール・ジュニオール・アルベス・ダ・シルバ,aiuton・sezāru・juniōru・arubesu・da・shiruba
mailson francisco de farías,マイウソン・フランシスコ・デ・ファリアス,maiuson・furanshisuko・de・fariasu
diego cristiano evaristo,ディエゴ・クリスティアーノ・エヴァリスト,diego・kurisutiāno・evarisuto
rodrigo luiz angelotti,ロドリゴ・ルイス・アンジェロッティ,rodorigo・ruisu・anjerotti
alok,アロック,arokku
adaílton ladeira,アダイウトン・ラデイラ,adaiuton・radeira
felipe castanhari,フェリペ・カスタナーリ,feripe・kasutanāri
matheus cunha,マテウス・クーニャ,mateusu・kūnya
nicolas sessler,ニコラス・セスレル,nikorasu・sesureru
marcio antonio de souza júnior,マルシオ・アントニオ・デ・ソウザ・ジュニオール,marushio・antonio・de・souza・juniōru
fábio mitidieri,ファビオ・ミティディエリ,fabio・mitidieri
ivan conti,イヴァン・コンチ,ivan・konchi
jhonatan de jesus,ジョナタン・デ・ジェスス,jonatan・de・jesusu
francis barros,フランシス・バロス,furanshisu・barosu
monalysa alcântara,モナリザ・アルカンタラ,monariza・arukantara
alan lima cariús,アラン・リマ・カリウス,aran・rima・kariusu
bruno lamas,ブルーノ・ラマ,burūno・rama
guilherme mantuan,ギリェルメ・マントゥアン,giriェrume・mantuan
paulo artaxo,パウロ・アルタショ,pauro・arutasho
césar menotti,セーザル・メノッチ,sēzaru・menotchi
fabiano,ファビアーノ,fabiāno
eduardo gabriel aquino cossa,エドゥアルド・ガブリエウ・アキノ・コッサ,eduarudo・gaburieu・akino・kossa
jojo maronttinni,ジョジョ・マロンティーニ,jojo・marontīni
henrique zaga,エンリケ・ザガ,enrike・zaga
paulo henrique sampaio filho,パウロ・エンヒキ・サンパイオ・フィーリョ,pauro・enhiki・sanpaio・fīryo
gleison bremer silva nascimento,グレイソン・ブレーメル・シウヴァ・ナシメント,gureison・burēmeru・shiuva・nashimento
valdiram,ヴァルディラム,varudiramu
arthur henrique ramos de oliveira melo,アルトゥール・エンヒキ・ハモス・ジ・オリヴェイラ・メロ,arutūru・enhiki・hamosu・ji・orivuェira・mero
alerrandro barra mansa realino de souza,アレランドロ・バラ・マンサ・ヘアリーノ・ジ・ソウザ,arerandoro・bara・mansa・hearīno・ji・souza
