кирилл,基里尔,jī lǐ ěr
александр лебедев,亚历山大·列别杰夫,yà lì shān dà · liè bié jié fū
виталий дуркин,维塔利·杜尔金,wéi tǎ lì · dù ěr jīn
александр каун,萨沙·考恩,sà shā · kǎo ēn
юлия чичерина,尤利娅·奇切里纳,yóu lì yà · qí qiè lǐ nà
вячеслав буцаев,维亚切斯拉夫·布沙耶夫,wéi yà qiè sī lā fū · bù shā yē fū
григорий баренблатт,格里戈里·巴伦布拉特,gé lǐ gē lǐ · bā lún bù lā tè
константин кобец,康斯坦丁·科别茨,kāng sī tǎn dīng · kē bié cí
егор вадимович бероев,伊戈尔·弗拉基米罗维奇·别罗耶夫,yī gē ěr · fú lā jī mǐ luó wéi qí · bié luó yē fū
владимир мартынов,弗拉基米尔·马丁诺夫,fú lā jī mǐ ěr · mǎ dīng nuò fū
станислав маркелов,斯坦尼斯拉夫·马科洛夫,sī tǎn ní sī lā fū · mǎ kē luò fū
ольга голованова,奥尔佳·阿尔汉格尔斯卡亚,ào ěr jiā · ā ěr hàn gé ěr sī kǎ yà
марина деникина,玛利亚·邓尼金娜,mǎ lì yà · dèng ní jīn nà
юлия снигирь,尤利娅·斯尼吉尔,yóu lì yà · sī ní jí ěr
анатолий вассерман,阿纳托利·瓦瑟曼,ā nà tuō lì · wǎ sè màn
махмут ахметович гареев,马赫穆特·艾哈迈托维奇·加列耶夫,mǎ hè mù tè · ài hā mài tuō wéi qí · jiā liè yē fū
александр невзоров,亚历山大·涅夫佐罗夫,yà lì shān dà · niè fū zuǒ luó fū
андрей пионтковский,安德烈·皮翁特科夫斯基,ān dé liè · pí wēng tè kē fū sī jī
игорь иванов,伊戈尔·伊万诺夫,yī gē ěr · yī wàn nuò fū
никита богословский,尼基塔·博戈斯洛夫斯基,ní jī tǎ · bó gē sī luò fū sī jī
тамара миансарова,塔玛拉·米安萨罗娃,tǎ mǎ lā · mǐ ān sà luó wá
владимир школьник,弗拉基米尔·什科尔尼克,fú lā jī mǐ ěr · shén kē ěr ní kè
вера звонарёва,薇拉·兹沃纳列娃,wēi lā · zī wò nà liè wá
сергей караулов,谢尔盖·卡劳洛夫,xiè ěr gài · kǎ láo luò fū
владимир фортов,弗拉基米尔·福尔托夫,fú lā jī mǐ ěr · fú ěr tuō fū
владимир чекасин,弗拉基米拉斯·切卡西纳斯,fú lā jī mǐ lā sī · qiè kǎ xī nà sī
евгений иванович чазов,叶夫根尼·伊万诺维奇·恰佐夫,yè fū gēn ní · yī wàn nuò wéi qí · qià zuǒ fū
иван лапиков,伊万·拉皮科夫,yī wàn · lā pí kē fū
берл лазар,贝雷尔·拉扎尔,bèi léi ěr · lā zhā ěr
владимир сергеевич груздев,弗拉基米尔·谢尔盖耶维奇·格鲁兹杰夫,fú lā jī mǐ ěr · xiè ěr gài yē wéi qí · gé lǔ zī jié fū
александр эфрос,亚历山大·埃夫罗斯,yà lì shān dà · āi fū luó sī
александр логинов,亚历山大·洛吉诺夫,yà lì shān dà · luò jí nuò fū
александр холево,亚历山大·霍尔沃,yà lì shān dà · huò ěr wò
алексей смертин,阿列克谢·斯梅尔金,ā liè kè xiè · sī méi ěr jīn
алексей немов,阿列克谢·涅莫夫,ā liè kè xiè · niè mò fū
анатолий бугорский,阿纳托利·布戈尔斯基,ā nà tuō lì · bù gē ěr sī jī
кирилл серебренников,基里尔·谢列布连尼科夫,jī lǐ ěr · xiè liè bù lián ní kē fū
игорь николаев,伊戈尔·尼古拉耶夫,yī gē ěr · ní gǔ lā yē fū
михаил васильевич зимянин,米哈伊尔·瓦西里耶维奇·齐米亚宁,mǐ hā yī ěr · wǎ xī lǐ yē wéi qí · qí mǐ yà níng
николай носков,尼古拉·诺斯科夫,ní gǔ lā · nuò sī kē fū
чилингаров николаевич,阿尔图尔·奇林加罗夫,ā ěr tú ěr · qí lín jiā luó fū
александр маркунцев,亚历山大·马坤特索夫,yà lì shān dà · mǎ kūn tè suǒ fū
александр меркурьев,亚历山大·麦克尔耶夫,yà lì shān dà · mài kè ěr yē fū
владимир пасечник,弗拉基米尔·帕谢奇尼克,fú lā jī mǐ ěr · pà xiè qí ní kè
михаил александрович ульянов,米哈伊尔·亚历山德罗维奇·乌里扬诺夫,mǐ hā yī ěr · yà lì shān dé luó wéi qí · wū lǐ yáng nuò fū
геворк вартанян,格沃尔克·瓦尔塔尼扬,gé wò ěr kè · wǎ ěr tǎ ní yáng
ролан быков,罗兰·贝科夫,luó lán · bèi kē fū
евгений петров,叶甫根尼·彼得罗夫,yè fǔ gēn ní · bǐ dé luó fū
алексей алипов,阿列克谢·阿利波夫,ā liè kè xiè · ā lì bō fū
александр николаевич ткачёв,亚历山大·尼古拉耶维奇·特卡乔夫,yà lì shān dà · ní gǔ lā yē wéi qí · tè kǎ qiáo fū
оксана почепа,奥克萨娜·波奇帕,ào kè sà nà · bō qí pà
роман копин,罗曼·科平,luó màn · kē píng
альбина джанабаева,奥宾娜·桑娜贝瓦,ào bīn nà · sāng nà bèi wǎ
анатолий хрулёв,阿纳托利·赫鲁廖夫,ā nà tuō lì · hè lǔ liào fū
никита джигурда,尼基塔·吉古尔达,ní jī tǎ · jí gǔ ěr dá
екатерина андреева,叶卡捷琳娜·安德烈耶娃,yè kǎ jié lín nà · ān dé liè yē wá
виталий бутиков,维塔利·布提科夫,wéi tǎ lì · bù tí kē fū
николай фоменко,尼古拉·弗门科,ní gǔ lā · fú mén kē
эмиль лотяну,埃米尔·洛泰纳,āi mǐ ěr · luò tài nà
александр баландин,大卫·贝里亚夫斯奇,dà wèi · bèi lǐ yà fū sī qí
роланд добрушин,罗兰·多布鲁申,luó lán · duō bù lǔ shēn
павел дацюк,帕维尔·达祖克,pà wéi ěr · dá zǔ kè
иннокентий михайлович смоктуновский,因诺肯季·米哈伊洛维奇·斯莫克图诺夫斯基,yīn nuò kěn jì · mǐ hā yī luò wéi qí · sī mò kè tú nuò fū sī jī
юрий шатунов,尤里·沙图诺夫,yóu lǐ · shā tú nuò fū
алимжан турсунович тохтахунов,阿里木江·吐尔逊诺维奇·托合塔洪诺夫,ā lǐ mù jiāng · tǔ ěr xùn nuò wéi qí · tuō hé tǎ hóng nuò fū
георгий данелия,格奥尔基·达涅利亚,gé ào ěr jī · dá niè lì yà
андрей макин,安德烈·马金尼,ān dé liè · mǎ jīn ní
александр цекало,亚历山大·茨卡洛,yà lì shān dà · cí kǎ luò
иосиф кобзон,约瑟芬·卡布松,yuē sè fēn · kǎ bù sōng
валентин янин,瓦连京·亚宁,wǎ lián jīng · yà níng
алексей станиславович елисеев,阿列克谢·斯坦尼斯拉沃维奇·叶利谢耶夫,ā liè kè xiè · sī tǎn ní sī lā wò wéi qí · yè lì xiè yē fū
владимир захаров,弗拉基米尔·扎哈罗夫,fú lā jī mǐ ěr · zhā hā luó fū
владимир,肯塔列努,kěn tǎ liè nǔ
пётр чернышёв,彼得·车尔尼雪夫,bǐ dé · chē ěr ní xuě fū
николай левичев,尼克拉·列维切夫,ní kè lā · liè wéi qiè fū
олег соколов,奥列格·索科洛夫,ào liè gé · suǒ kē luò fū
владимир сальдо,弗拉基米尔·萨尔多,fú lā jī mǐ ěr · sà ěr duō
александр мисуркин,亚历山大·米苏尔金,yà lì shān dà · mǐ sū ěr jīn
александр гацкан,亚历山德鲁·加茨坎,yà lì shān dé lǔ · jiā cí kǎn
сергей юрьевич юрский,谢尔盖·尤里耶维奇·优勒斯基,xiè ěr gài · yóu lǐ yē wéi qí · yōu lè sī jī
алексей китаев,阿列克谢·基塔耶夫,ā liè kè xiè · jī tǎ yē fū
лев власенко,列夫·弗拉先科,liè fū · fú lā xiān kē
ансар максутович аюпов,安萨尔·马克苏托维奇·阿尤波夫,ān sà ěr · mǎ kè sū tuō wéi qí · ā yóu bō fū
юрий усачёв,尤里·乌萨乔夫,yóu lǐ · wū sà qiáo fū
олег иванович бетин,奥列格·伊万诺维奇·贝京,ào liè gé · yī wàn nuò wéi qí · bèi jīng
иван скобрев,伊万·斯科布列夫,yī wàn · sī kē bù liè fū
эльдар рязанов,埃尔达尔·梁赞诺夫,āi ěr dá ěr · liáng zàn nuò fū
николай лебедев,尼古拉·列别杰夫,ní gǔ lā · liè bié jié fū
сергей лазарев,赛奇·拉查列夫,sài qí · lā chá liè fū
алексей старобинский,阿列克谢·斯塔罗宾斯基,ā liè kè xiè · sī tǎ luó bīn sī jī
вадим красносельский,瓦迪姆·克拉斯诺谢利斯基,wǎ dí mǔ · kè lā sī nuò xiè lì sī jī
катя лель,卡佳·列丽,kǎ jiā · liè lì
сергей владимирович антуфьев,谢尔盖·弗拉基米罗维奇·安图菲耶夫,xiè ěr gài · fú lā jī mǐ luó wéi qí · ān tú fēi yē fū
нонна гришаева,诺娜·格里沙耶娃,nuò nà · gé lǐ shā yē wá
митя фомин,米蒂亚·福明,mǐ dì yà · fú míng
сергей юран,沙治·约兰,shā zhì · yuē lán
александр генрихович бородюк,亚历山大·根里霍维奇·波罗久克,yà lì shān dà · gēn lǐ huò wéi qí · bō luó jiǔ kè
леон петросян,莱昂·彼得罗相,lái áng · bǐ dé luó xiāng
владимир иванович королёв,弗拉基米尔·伊万诺维奇·科罗廖夫,fú lā jī mǐ ěr · yī wàn nuò wéi qí · kē luó liào fū
михаил вартанов,米哈伊尔·瓦尔坦诺夫,mǐ hā yī ěr · wǎ ěr tǎn nuò fū
асаф абдрахманов,阿萨夫·阿布德拉赫曼诺夫,ā sà fū · ā bù dé lā hè màn nuò fū
сергей ястржембский,谢尔盖·亚斯特列任布斯基,xiè ěr gài · yà sī tè liè rèn bù sī jī
александр сергеевич дзасохов,亚历山大·谢尔盖耶维奇·扎索霍夫,yà lì shān dà · xiè ěr gài yē wéi qí · zhā suǒ huò fū
валерий кипелов,瓦列里·基佩洛夫,wǎ liè lǐ · jī pèi luò fū
владислав алексеевич ачалов,弗拉基斯拉夫·阿列克谢那维奇·阿恰洛夫,fú lā jī sī lā fū · ā liè kè xiè nà wéi qí · ā qià luò fū
вячеслав дусмухаметов,维亚切斯拉夫·达斯慕克姆多芬,wéi yà qiè sī lā fū · dá sī mù kè mǔ duō fēn
ольга седакова,奥尔加·塞达科娃,ào ěr jiā · sāi dá kē wá
оскар рабин,奥斯卡·拉宾,ào sī kǎ · lā bīn
виктор антонович садовничий,维克多·安东诺维其·萨多夫尼基,wéi kè duō · ān dōng nuò wéi qí · sà duō fū ní jī
владимир александрович крючков,弗拉基米尔·亚历山德罗维奇·克留奇科夫,fú lā jī mǐ ěr · yà lì shān dé luó wéi qí · kè liú qí kē fū
олег степко,奥列格·史戴普可,ào liè gé · shǐ dài pǔ kě
олеся новикова,奥列西娅·诺维科娃,ào liè xī yà · nuò wéi kē wá
алексей герман,阿尔克谢·盖尔曼,ā ěr kè xiè · gài ěr màn
михаил николаевич задорнов,米哈伊尔·尼古拉耶维奇·扎多诺夫,mǐ hā yī ěr · ní gǔ lā yē wéi qí · zhā duō nuò fū
дмитрий певцов,德米特里·佩夫佐夫,dé mǐ tè lǐ · pèi fū zuǒ fū
евгений фейнберг,叶夫根尼·法因贝格,yè fū gēn ní · fǎ yīn bèi gé
владимир антюфеев,弗拉基米尔·安秋费耶夫,fú lā jī mǐ ěr · ān qiū fèi yē fū
араз агаларов,阿拉斯·阿加拉罗夫,ā lā sī · ā jiā lā luó fū
олег шатов,奥里格·沙托夫,ào lǐ gé · shā tuō fū
виктор савиных,维克托·萨维内赫,wéi kè tuō · sà wéi nèi hè
вера васильевна горностаева,韦拉·瓦西利耶夫娜·戈尔诺斯塔耶娃,wéi lā · wǎ xī lì yē fū nà · gē ěr nuò sī tǎ yē wá
евгений ясин,叶夫根尼·亚辛,yè fū gēn ní · yà xīn
максим вылегжанин,马克西姆·维列格扎宁,mǎ kè xī mǔ · wéi liè gé zhā níng
юрий соломин,尤里·索洛明,yóu lǐ · suǒ luò míng
альберт филозов,阿尔伯特·菲洛佐夫,ā ěr bǎi tè · fēi luò zuǒ fū
екатерина редникова,叶卡婕琳娜·列德尼科娃,yè kǎ jié lín nà · liè dé ní kē wá
александр галибин,亚历山大·加利宾,yà lì shān dà · jiā lì bīn
юрий николаевич григорович,尤里·尼古拉耶维奇·格里戈罗维奇,yóu lǐ · ní gǔ lā yē wéi qí · gé lǐ gē luó wéi qí
лев валерьянович лещенко,列夫·瓦列里扬诺维奇·列先科,liè fū · wǎ liè lǐ yáng nuò wéi qí · liè xiān kē
иван милован,若望·米洛万,ruò wàng · mǐ luò wàn
ольга вилухина,奥尔加·维路克希娜,ào ěr jiā · wéi lù kè xī nà
елена бережная,伊莲娜·别烈日娜亚,yī lián nà · bié liè rì nà yà
георгий александрович юматов,格奥尔吉·亚历山德罗维奇·尤玛托夫,gé ào ěr jí · yà lì shān dé luó wéi qí · yóu mǎ tuō fū
юрий кнорозов,尤里·克诺罗索夫,yóu lǐ · kè nuò luó suǒ fū
семён петрович бабаевский,谢苗·彼得罗维奇·巴巴耶夫斯基,xiè miáo · bǐ dé luó wéi qí · bā bā yē fū sī jī
аман тулеев,阿曼·图列耶夫,ā màn · tú liè yē fū
владимир семёнов,弗拉基米尔·谢苗诺夫,fú lā jī mǐ ěr · xiè miáo nuò fū
полина кузнецова,宝琳娜·库兹涅佐娃,bǎo lín nà · kù zī niè zuǒ wá
анастасия карпова,阿纳斯塔西娅·卡尔波娃,ā nà sī tǎ xī yà · kǎ ěr bō wá
евгений чичваркин,叶夫根尼·奇奇瓦尔金,yè fū gēn ní · qí qí wǎ ěr jīn
дмитрий тарасов,德米特里·塔拉索夫,dé mǐ tè lǐ · tǎ lā suǒ fū
анна азарова,安娜·阿扎洛娃,ān nà · ā zhā luò wá
александр бродский,亚历山大·布罗德斯基,yà lì shān dà · bù luó dé sī jī
