マツモトユキヒロ,松本行弘,sōng běn háng hóng,matsumotoyukihiro
ゼンニホンスイソウガクレンメイ,全日本吹奏乐联盟,quán rì běn chuī zòu yuè lián méng,zennihonsuisougakurenmei
サッポロコクサイハーフマラソン,札幌国际半程马拉松,zhá huǎng guó jì bàn chéng mǎ lā sōng,sapporokokusaihāfumarason
ハウステンボス,豪斯登堡号列车,háo sī dēng bǎo hào liè chē,hausutenbosu
スバルテクニカインターナショナル,速霸陆技术国际,sù bà lù jì shù guó jì,subarutekunikaintānashonaru
ニッポンゴールドディスクタイショウ,日本金唱片大奖,rì běn jīn chàng piàn dà jiǎng,nippongōrudodisukutaishou
アステラスセイヤク,安斯泰来制药,ān sī tài lái zhì yào,asuterasuseiyaku
ナイカク,日本内阁,rì běn nèi gé,naikaku
ブンカクンショウ,文化勋章,wén huà xūn zhāng,bunkakunshou
オオミナトセン,大凑线,dà còu xiàn,oominatosen
キンテツシギセン,信贵线,xìn guì xiàn,kintetsushigisen
ユガワラマチ,汤河原町,tāng hé yuán tǐng,yugawaramachi
カコガワセン,加古川线,jiā gǔ chuān xiàn,kakogawasen
ワーナーミュージックジャパン,日本华纳音乐,rì běn huá nà yīn yuè,wānāmyūjikkujapan
トオルワ,享和,xiǎng hé,tooruwa
タルマエヤマ,樽前山,zūn qián shān,tarumaeyama
ソウケンイン,总见院,zǒng jiàn yuàn,soukenin
ツヤマハン,津山藩,jīn shān fān,tsuyamahan
オバマセン,小滨线,xiǎo bīn xiàn,obamasen
ニッポンリョウリ,日本料理,rì běn liào lǐ,nipponryouri
ポントマチ,先斗町,xiān dòu tǐng,pontomachi
コウヤサン,高野山,gāo yě shān,kouyasan
トウケイジ,东庆寺,dōng qìng sì,toukeiji
ヘイセイ,平成,píng chéng,heisei
トウホウ,东宝,dōng bǎo,touhou
チュウオウシンカンセン,中央新干线,zhōng yāng xīn gàn xiàn,chuuoushinkansen
ヤキュウニッポンダイヒョウ,日本棒球代表队,rì běn bàng qiú dài biǎo duì,yakyuunippondaihyou
チョウシュウハン,长州藩,cháng zhōu fān,choushuuhan
マチ,町,tǐng,machi
ジョウシンエツジドウシャドウ,上信越自动车道,shàng xìn yuè zì dòng chē dào,joushinetsujidoushadou
トキワジドウシャドウ,常磐自动车道,cháng pán zì dòng chē dào,tokiwajidoushadou
コウドケイザイセイチョウ,日本战后经济奇迹,rì běn zhàn hòu jīng jì qí jì,koudokeizaiseichou
ミトホーリーホック,水户蜀葵,shuǐ hù shǔ kuí,mitohōrīhokku
カンエツジドウシャドウ,关越自动车道,guān yuè zì dòng chē dào,kanetsujidoushadou
マツモトハン,松本藩,sōng běn fān,matsumotohan
アキタジドウシャドウ,秋田自动车道,qiū tián zì dòng chē dào,akitajidoushadou
カマクラジダイ,镰仓时代,lián cāng shí dài,kamakurajidai
ミナミウワグン,南宇和郡,nán yǔ hé jùn,minamiuwagun
ワカス,若洲,ruò zhōu,wakasu
ウシクダイブツ,牛久大佛,niú jiǔ dà fó,ushikudaibutsu
エイキュウ,永久,yǒng jiǔ,eikyuu
ニシノシママチ,西之岛町,xī zhī dǎo tǐng,nishinoshimamachi
イケブクロ,池袋,chí dài,ikebukuro
アテラザワセン,左泽线,zuǒ zé xiàn,aterazawasen
フタバサウルス,双叶龙,shuāng yè lóng,futabasaurusu
ドウトンボリ,道顿堀,dào dùn kū,doutonbori
カワミナミマチ,川南町,chuān nán tǐng,kawaminamimachi
ブンゲイショウ,文艺赏,wén yì shǎng,bungeishou
ズイセンジ,瑞泉寺,ruì quán sì,zuisenji
キョウトアニメーション,京都动画,jīng dōu dòng huà,kyoutoanimēshon
ボウエイショウ,防卫省,fáng wèi shěng,boueishou
コクリツノウガクドウ,国立能乐堂,guó lì néng lè táng,kokuritsunougakudou
ヨコハマベイブリッジ,横滨海湾大桥,héng bīn hǎi wān dà qiáo,yokohamabeiburijji
トウキョウトトウショブ,东京都岛屿部,dōng jīng dōu dǎo yǔ bù,toukyoutotoushobu
センニュウジ,泉涌寺,quán yǒng sì,sennyuuji
ツハン,津藩,jīn fān,tsuhan
ニッポンノウリンキカク,日本农林规格,rì běn nóng lín guī gé,nipponnourinkikaku
ユウカク,游廓,yóu kuò,yuukaku
ナカノジョウマチ,中之条町,zhōng zhī tiáo tǐng,nakanojoumachi
チョウトオル,长享,cháng xiǎng,choutooru
センダイハン,仙台藩,xiān tái fān,sendaihan
アコウハン,赤穗藩,chì suì fān,akouhan
ヒメジハン,姬路藩,jī lù fān,himejihan
ヒコネハン,彦根藩,yàn gēn fān,hikonehan
ニッポンレコードタイショウ,日本唱片大奖,rì běn chàng piàn dà jiǎng,nipponrekōdotaishou
イコマグン,生驹郡,shēng jū jùn,ikomagun
ブラウブリッツアキタ,秋田蓝闪电,qiū tián lán shǎn diàn,burauburittsuakita
ラクテングループ,乐天,lè tiān,rakutengurūpu
カルマイマチ,轻米町,qīng mǐ tǐng,karumaimachi
ナイカクホウセイキョク,内阁法制局,nèi gé fǎ zhì jú,naikakuhouseikyoku
ナカグン,那珂郡,nà kē jùn,nakagun
サッポロテレビトウ,札幌电视塔,zhá huǎng diàn shì tǎ,sapporoterebitou
コッカアンゼンホショウカイギ,国家安全保障会议,guó jiā ān quán bǎo zhàng huì yì,kokkaanzenhoshoukaigi
ルモエホンセン,留萌本线,liú méng běn xiàn,rumoehonsen
キョウキュウホンセン,京急本线,jīng jí běn xiàn,kyoukyuuhonsen
ケイセイホンセン,京成本线,jīng chéng běn xiàn,keiseihonsen
コクホウ,日本国宝,rì běn guó bǎo,kokuhou
チュウカドンブリ,中华丼,zhōng huá jǐng,chuukadonburi
オホーツクプレート,鄂霍次克板块,è huò cì kè bǎn kuài,ohōtsukupurēto
センゲンヤマ,浅间山,qiǎn jiān shān,sengenyama
サイゼリヤ,萨莉亚,sà lì yà,saizeriya
ヤスクニジンジャ,靖国神社,jìng guó shén shè,yasukunijinja
ヨシジマデイリグチ,吉岛出入口,jí dǎo chū rù kǒu,yoshijimadeiriguchi
シモノセキセンソウ,下关战争,xià guān zhàn zhēng,shimonosekisensou
リクジョウジエイタイ,陆上自卫队,lù shàng zì wèi duì,rikujoujieitai
ウジナデイリグチ,宇品出入口,yǔ pǐn chū rù kǒu,ujinadeiriguchi
トウショウダイジ,唐招提寺,táng zhāo tí sì,toushoudaiji
ヒガシニッポン,东日本,dōng rì běn,higashinippon
ミズホマチ,瑞穗町,ruì suì tǐng,mizuhomachi
セトオオハシ,濑户大桥,lài hù dà qiáo,setooohashi
ダイブツジロウショウ,大佛次郎奖,dà fó cì láng jiǎng,daibutsujiroushou
サッポロシトケイダイ,札幌市钟楼,zhá huǎng shì zhōng lóu,sapporoshitokeidai
セトナイカイコクリツコウエン,濑户内海国立公园,lài hù nèi hǎi guó lì gōng yuán,setonaikaikokuritsukouen
カチウラマチ,胜浦町,shèng pǔ tǐng,kachiuramachi
ホッカイドウニッポンハムファイターズ,北海道日本火腿斗士,běi hǎi dào rì běn huǒ tuǐ dòu shì,hokkaidounipponhamufaitāzu
カンダサルガクマチ,神田猿乐町,shén tián yuán lè tǐng,kandasarugakumachi
モウツジ,毛越寺,máo yuè sì,moutsuji
カターレトヤマ,富山胜利,fù shān shèng lì,katāretoyama
トウキョウフィルメックス,东京新作家主义影展,dōng jīng xīn zuò jiā zhǔ yì yǐng zhǎn,toukyoufirumekkusu
ギャラクシーエアラインズ,银河航空,yín hé háng kōng,gyarakushīearainzu
リュウキュウシンコウ,庆长琉球之役,qìng cháng liú qiú zhī yì,ryuukyuushinkou
オダキュウタマセン,多摩线,duō mó xiàn,odakyuutamasen
ニュウガワカミジンジャ,丹生川上神社,dān shēng chuān shàng shén shè,nyuugawakamijinja
ハンキュウミノオセン,箕面线,jī miàn xiàn,hankyuuminoosen
ナイカクフトクメイタントウダイジン,内阁府特命担当大臣,nèi gé fǔ tè mìng dān dāng dà chén,naikakufutokumeitantoudaijin
ヤマトジンジャ,大和神社,dà hé shén shè,yamatojinja
シズジンジャ,倭文神社,wō wén shén shè,shizujinja
オオサカシコウツウキョク,大阪市交通局,dà bǎn shì jiāo tōng jú,oosakashikoutsuukyoku
マイヅルセン,舞鹤线,wǔ hè xiàn,maidzurusen
タツタタイシャ,龙田大社,lóng tián dà shè,tatsutataisha
ミネセン,美祢线,měi mí xiàn,minesen
サカイセン,境线,jìng xiàn,sakaisen
ブンラク,文乐,wén lè,bunraku
ソウヤホンセン,宗谷本线,zōng gǔ běn xiàn,souyahonsen
サッポロシエイチカテツトウホウセン,东丰线,dōng fēng xiàn,sapporoshieichikatetsutouhousen
サッポロシエイチカテツトウザイセン,东西线,dōng xī xiàn,sapporoshieichikatetsutouzaisen
トデンアラカワセン,荒川线,huāng chuān xiàn,todenarakawasen
ハカタミナミセン,博多南线,bó duō nán xiàn,hakataminamisen
アイミナミマチ,爱南町,ài nán tǐng,aiminamimachi
ニシニホン,西日本,xī rì běn,nishinihon
オダキュウエノシマセン,江之岛线,jiāng zhī dǎo xiàn,odakyuuenoshimasen
コクラハン,小仓藩,xiǎo cāng fān,kokurahan
シュゴ,守护,shǒu hù,shugo
ハンシンデンキテツドウ,阪神电气铁道,bǎn shén diàn qì tiě dào,hanshindenkitetsudou
マツダイラシ,松平氏,sōng píng shì,matsudairashi
ミナミツルグン,南都留郡,nán dōu liú jùn,minamitsurugun
ヒロシマハン,广岛藩,guǎng dǎo fān,hiroshimahan
ヒロシマトウヨウカープ,广岛东洋鲤鱼,guǎng dǎo dōng yáng lǐ yú,hiroshimatouyoukāpu
トエイチカテツ,都营地铁,dōu yíng dì tiě,toeichikatetsu
ガントクセン,岩德线,yán dé xiàn,gantokusen
ハナワセン,花轮线,huā lún xiàn,hanawasen
ゾウジョウジ,增上寺,zēng shàng sì,zoujouji
ジャパンレールパス,日本铁路周游券,rì běn tiě lù zhōu yóu quàn,japanrērupasu
サクマダム,佐久间水坝,zuǒ jiǔ jiān shuǐ bà,sakumadamu
ニホンバシ,日本桥,rì běn qiáo,nihonbashi
タイヨウユウデン,太阳诱电,tài yáng yòu diàn,taiyouyuuden
イイヤマセン,饭山线,fàn shān xiàn,iiyamasen
イワイズミセン,岩泉线,yán quán xiàn,iwaizumisen
ギオンマツリ,祇园祭,qí yuán jì,gionmatsuri
アシダナイカク,芦田内阁,lú tián nèi gé,ashidanaikaku
サケウメグミ,酒梅组,jiǔ méi zǔ,sakeumegumi
モトゼンコウジ,元善光寺,yuán shàn guāng sì,motozenkouji
キタサクグン,北佐久郡,běi zuǒ jiǔ jùn,kitasakugun
アサヒホウソウグループホールディングス,朝日放送集团控股,cháo rì fàng sòng jí tuán kòng gǔ,asahihousougurūpuhōrudingusu
コフン,古坟,gǔ fén,kofun
セイブユウラクチョウセン,西武有乐町线,xī wǔ yǒu lè tǐng xiàn,seibuyuurakuchousen
トウキョウモーターショー,东京车展,dōng jīng chē zhǎn,toukyoumōtāshō
トウキョウダイガクダイガクインリガクケイケンキュウカフゾクショクブツエン,东京大学大学院理学系研究科附属植物园,dōng jīng dà xué dà xué yuàn lǐ xué xì yán jiū kē fù shǔ zhí wù yuán,toukyoudaigakudaigakuinrigakukeikenkyuukafuzokushokubutsuen
イズミキョウカブンガクショウ,泉镜花文学奖,quán jìng huā wén xué jiǎng,izumikyoukabungakushou
ヨコハマチュウカガイ,横滨中华街,héng bīn zhōng huá jiē,yokohamachuukagai
イブリソウゴウシンコウキョク,胆振综合振兴局,dǎn zhèn zōng hé zhèn xīng jú,iburisougoushinkoukyoku
クシロソウゴウシンコウキョク,钏路综合振兴局,chuàn lù zōng hé zhèn xīng jú,kushirosougoushinkoukyoku
ミワマチ,美和町,měi hé tǐng,miwamachi
ニホンタバコサンギョウ,日本烟草产业,rì běn yān cǎo chǎn yè,nihontabakosangyou
ジモクジマチ,甚目寺町,shèn mù sì tǐng,jimokujimachi
ヒヤマシンコウキョク,桧山振兴局,guì shān zhèn xīng jú,hiyamashinkoukyoku
レキシテキカナヅカイ,历史假名遣,lì shǐ jiǎ míng qiǎn,rekishitekikanadzukai
ソンノウジョウイ,尊王攘夷,zūn wáng rǎng yí,sonnoujoui
ロッテリア,乐天利,lè tiān lì,rotteria
ナゴヤグランパスエイト,名古屋鲸鱼,míng gǔ wū jīng yú,nagoyaguranpasueito
ケンジュツ,日本剑术,rì běn jiàn shù,kenjutsu
テツドウショウ,铁道省,tiě dào shěng,tetsudoushou
ホウカンショウ,宝冠章,bǎo guān zhāng,houkanshou
キョウトホウソウ,京都放送,jīng dōu fàng sòng,kyoutohousou
トキガワマチ,都几川町,dōu jǐ chuān tǐng,tokigawamachi
エノシマデンテツ,江之岛电铁,jiāng zhī dǎo diàn tiě,enoshimadentetsu
エイガリンリキコウ,映画伦理机构,yìng huà lún lǐ jī gòu,eigarinrikikou
ヒガシクミ,东组,dōng zǔ,higashikumi
ナカメグロ,中目黑,zhōng mù hēi,nakameguro
コウタイシヒ,皇太子妃,huáng tài zǐ fēi,koutaishihi
イクタハラマチ,生田原町,shēng tián yuán tǐng,ikutaharamachi
ショカンベツテウリヤギシリコクテイコウエン,暑寒别天卖烧尻国定公园,shǔ hán bié tiān mài shāo kāo guó dìng gōng yuán,shokanbetsuteuriyagishirikokuteikouen
オキナワカイガンコクテイコウエン,冲绳海岸国定公园,chōng shéng hǎi àn guó dìng gōng yuán,okinawakaigankokuteikouen
ウタノボリマチ,歌登町,gē dēng tǐng,utanoborimachi
コクセイチョウサ,国势调查,guó shì diào chá,kokuseichousa
ルベシベマチ,留边蘂町,liú biān ruǐ tǐng,rubeshibemachi
タンノマチ,端野町,duān yě tǐng,tannomachi
マルセップマチ,丸濑布町,wán lài bù tǐng,maruseppumachi
コウザンジ,高山寺,gāo shān sì,kouzanji
サクラジマセン,樱岛线,yīng dǎo xiàn,sakurajimasen
ズイホウショウ,瑞宝章,ruì bǎo zhāng,zuihoushou
エサシセン,江差线,jiāng chà xiàn,esashisen
コウベシエイチカテツニシシン・ヤマテセン,西神·山手线,xī shén · shān shǒu xiàn,koubeshieichikatetsunishishin・yamatesen
キタカツシカグン,北葛饰郡,běi gě shì jùn,kitakatsushikagun
コモロハン,小诸藩,xiǎo zhū fān,komorohan
テンポウレキ,天保历,tiān bǎo lì,tenpoureki
ミスタードーナツ,美仕唐纳滋,měi shì táng nà zī,misutādōnatsu
トウエイ,东映,dōng yìng,touei
サイタマコウソクテツドウセン,埼玉高速铁道线,qí yù gāo sù tiě dào xiàn,saitamakousokutetsudousen
トッキョチョウ,特许厅,tè xǔ tīng,tokkyochou
タケダヤクヒンコウギョウ,武田药品工业,wǔ tián yào pǐn gōng yè,takedayakuhinkougyou
スントウグン,骏东郡,jùn dōng jùn,suntougun
ナイカクカンボウ,内阁官房,nèi gé guān fáng,naikakukanbou
サイコウサイバンショ,最高裁判所,zuì gāo cái pàn suǒ,saikousaibansho
オオサカカンジョウセン,大阪环状线,dà bǎn huán zhuàng xiàn,oosakakanjousen
タマトシモノレールセン,多摩都市单轨电车线,duō mó dū shì dān guǐ diàn chē xiàn,tamatoshimonorērusen
マイハマリゾートラインディズニーリゾートライン,迪士尼度假区线,dí shì ní dù jià qū xiàn,maihamarizōtoraindizunīrizōtorain
カンサイテレビホウソウ,关西电视台,guān xī diàn shì tái,kansaiterebihousou
ウチボウセン,内房线,nèi fáng xiàn,uchibousen
エイロク,永禄,yǒng lù,eiroku
センダイメディアテーク,仙台媒体中心,xiān tái méi tǐ zhōng xīn,sendaimediatēku
ユウトクイナリジンジャ,祐德稻荷神社,yòu dé dào hé shén shè,yuutokuinarijinja
ヤマガタシンカンセン,山形新干线,shān xíng xīn gàn xiàn,yamagatashinkansen
カノハ,狩野派,shòu yě pài,kanoha
カンレキ,康历,kāng lì,kanreki
トクシマセン,德岛线,dé dǎo xiàn,tokushimasen
オノダセン,小野田线,xiǎo yě tián xiàn,onodasen
フクエンセン,福盐线,fú yán xiàn,fukuensen
シダグン,志太郡,zhì tài jùn,shidagun
ウエダハン,上田藩,shàng tián fān,uedahan
トクシュキュウシュウブタイ,特殊急袭部队,tè shū jí xí bù duì,tokushukyuushuubutai
ブンホ,文保,wén bǎo,bunho
コウエンハン,高远藩,gāo yuǎn fān,kouenhan
イハラグン,庵原郡,ān yuán jùn,iharagun
ユイマチ,由比町,yóu bǐ tǐng,yuimachi
セッケ,摄家,shè jiā,sekke
メイテツトヨカワセン,丰川线,fēng chuān xiàn,meitetsutoyokawasen
オオサカヒガシセン,大阪东线,dà bǎn dōng xiàn,oosakahigashisen
ハコネヤマ,箱根山,xiāng gēn shān,hakoneyama
ヨコヅナ,横纲,héng gāng,yokodzuna
イスミグン,夷隅郡,yí yú jùn,isumigun
トオルトク,享德,xiǎng dé,toorutoku
イトウセイブンガクショウ,伊藤整文学奖,yī téng zhěng wén xué jiǎng,itouseibungakushou
クナイチョウ,宫内厅,gōng nèi tīng,kunaichou
タカライサオ,宝德,bǎo dé,takaraisao
ハーレクィンエア,丑角航空,chǒu jué háng kōng,hārekwinea
ウチコセン,内子线,nèi zǐ xiàn,uchikosen
インビセン,因美线,yīn měi xiàn,inbisen
