douglas adams,ダグラス・アダムズ,dagurasu・adamuzu
rob van dam,ロブ・ヴァン・ダム,robu・van・damu
billy crystal,ビリー・クリスタル,birī・kurisutaru
riccardo giacconi,リカルド・ジャコーニ,rikarudo・jakōni
eduard steuermann,エドゥアルト・シュトイアーマン,eduaruto・shutoiāman
lauryn hill,ローリン・ヒル,rōrin・hiru
helena rubinstein,ヘレナ・ルビンスタイン,herena・rubinsutain
bret easton ellis,ブレット・イーストン・エリス,buretto・īsuton・erisu
robert burns woodward,ロバート・バーンズ・ウッドワード,robāto・bānzu・uddowādo
bridget moynahan,ブリジット・モイナハン,burijitto・moinahan
karen black,カレン・ブラック,karen・burakku
edie sedgwick,イーディ・セジウィック,īdi・sejiwikku
michael biehn,マイケル・ビーン,maikeru・bīn
cat power,キャット・パワー,kyatto・pawā
keiko agena,ケイコ・アジェナ,keiko・ajena
tipper gore,ティッパー・ゴア,tippā・goa
sean parnell,ショーン・パーネル,shōn・pāneru
montel vontavious porter,アルヴィン・バーク・ジュニア,aruvin・bāku・junia
alfred kinsey,アルフレッド・キンゼイ,arufureddo・kinzei
marilyn horne,マリリン・ホーン,maririn・hōn
benjamin thompson,ベンジャミン・トンプソン,benjamin・tonpuson
wendy carlos,ウェンディ・カルロス,wendi・karurosu
willis lamb,ウィリス・ラム,wirisu・ramu
gerry neugebauer,ゲリー・ノイゲバウアー,gerī・noigebauā
jan meyerowitz,ヤン・マイエロヴィツ,yan・maierovitsu
gerhard weinberg,ガーハード・ワインバーグ,gāhādo・wainbāgu
francis wolff,フランシス・ウルフ,furanshisu・urufu
rudolf kolisch,ルドルフ・コーリッシュ,rudorufu・kōrisshu
tanya roberts,タニア・ロバーツ,tania・robātsu
anna may wong,アンナ・メイ・ウォン,anna・mei・won
esther williams,エスター・ウィリアムズ,esutā・wiriamuzu
jeannette rankin,ジャネット・ランキン,janetto・rankin
shannyn sossamon,シャニン・ソサモン,shanin・sosamon
wendy makkena,ウェンディ・マッケナ,wendi・makkena
june foray,ジューン・フォーレイ,jūn・fōrei
rachel smith,レイチェル・スミス,reicheru・sumisu
nancy spungen,ナンシー・スパンゲン,nanshī・supangen
noah webster,ノア・ウェブスター,noa・webusutā
angie stone,アンジー・ストーン,anjī・sutōn
martika,マルティカ,marutika
wes borland,ウェス・ボーランド,wesu・bōrando
joe zawinul,ジョー・ザヴィヌル,jō・zavinuru
fred durst,フレッド・ダースト,fureddo・dāsuto
howlin' wolf,ハウリン・ウルフ,haurin・urufu
albert king,アルバート・キング,arubāto・kingu
chavo guerrero jr,チャボ・ゲレロ・ジュニア,chabo・gerero・junia
wild bill hickok,ワイルド・ビル・ヒコック,wairudo・biru・hikokku
billy gilbert,ビリー・ギルバート,birī・girubāto
matt leblanc,マット・ルブランク,matto・ruburanku
eric berne,エリック・バーン,erikku・bān
henry gunther,ヘンリー・ガンサー,henrī・gansā
hillel slovak,ヒレル・スロヴァク,hireru・surovaku
philip roth,フィリップ・ロス,firippu・rosu
john layfield,ジョン・レイフィールド,jon・reifīrudo
lincoln chafee,リンカーン・チェイフィー,rinkān・cheifī
frederik prausnitz,フレデリク・プラウスニッツ,furederiku・purausunittsu
nick carter,ニック・カーター,nikku・kātā
rebecca gayheart,レベッカ・ゲイハート,rebekka・geihāto
lake bell,レイク・ベル,reiku・beru
ann miller,アン・ミラー,an・mirā
juliet landau,ジュリエット・ランドー,jurietto・randō
robert noyce,ロバート・ノイス,robāto・noisu
robert peary,ロバート・ピアリー,robāto・piarī
tania raymonde,タニア・レイモンド,tania・reimondo
andy williams,アンディ・ウィリアムス,andi・wiriamusu
ani difranco,アーニー・ディフランコ,ānī・difuranko
otto kirchheimer,オットー・キルヒハイマー,ottō・kiruhihaimā
seth green,セス・グリーン,sesu・gurīn
nicole richie,ニコール・リッチー,nikōru・ritchī
michelle akers,ミシェル・エイカーズ,misheru・eikāzu
sam rivers,サム・リヴァース,samu・rivāsu
jackie jackson,ジャッキー・ジャクソン,jakkī・jakuson
john legend,ジョン・レジェンド,jon・rejendo
sally field,サリー・フィールド,sarī・fīrudo
lindsay lohan,リンジー・ローハン,rinjī・rōhan
hardcore holly,ボブ・ホーリー,bobu・hōrī
kathryn joosten,キャスリン・ジューステン,kyasurin・jūsuten
amy brenneman,エイミー・ブレネマン,eimī・bureneman
beatrice straight,ベアトリス・ストレイト,beatorisu・sutoreito
ayaan hirsi ali,アヤーン・ヒルシ・アリ,ayān・hirushi・ari
julia child,ジュリア・チャイルド,juria・chairudo
joan benoit,ジョーン・ベノイト,jōn・benoito
patty duke,パティ・デューク,pati・dyūku
barbara bel geddes,バーバラ・ベル・ゲデス,bābara・beru・gedesu
jill craybas,ジル・クレイバス,jiru・kureibasu
lisa bonet,リサ・ボネット,risa・bonetto
bailee madison,ベイリー・マディソン,beirī・madison
andré kertész,ケルテース・アンドル,kerutēsu・andoru
ed lee,エドウィン・リー,edowin・rī
laurel clark,ローレル・クラーク,rōreru・kurāku
paul auster,ポール・オースター,pōru・ōsutā
david carradine,デビッド・キャラダイン,debiddo・kyaradain
nora ephron,ノーラ・エフロン,nōra・efuron
ruth gordon,ルース・ゴードン,rūsu・gōdon
estelle parsons,エステル・パーソンズ,esuteru・pāsonzu
miyoshi umeki,ミヨシ・ウメキ,miyoshi・umeki
jill scott,ジル・スコット,jiru・sukotto
sanaa lathan,サナ・レイサン,sana・reisan
aisha tyler,アイシャ・タイラー,aisha・tairā
melissa belote,メリッサ・ベローテ,merissa・berōte
ethelda bleibtrey,エセルダ・ブレーブトリー,eseruda・burēbutorī
jordan ladd,ジョーダン・ラッド,jōdan・raddo
brian benben,ブライアン・ベンベン,buraian・benben
zac efron,ザック・エフロン,zakku・efuron
bijou phillips,ビジュー・フィリップス,bijū・firippusu
nathaniel peffer,ナサニエル・ペッファー,nasanieru・peffā
blind lemon jefferson,ブラインド・レモン・ジェファーソン,buraindo・remon・jefāson
robert lowie,ロバート・ローウィ,robāto・rōwi
doc holliday,ドク・ホリデイ,doku・horidei
charles sanders peirce,チャールズ・サンダース・パース,chāruzu・sandāsu・pāsu
zelda rubinstein,ゼルダ・ルビンスタイン,zeruda・rubinsutain
robert zemeckis,ロバート・ゼメキス,robāto・zemekisu
dean acheson,ディーン・アチソン,dīn・achison
david archuleta,デヴィッド・アーチュレッタ,deviddo・āchuretta
richard portman,リチャード・ポートマン,richādo・pōtoman
zelda fitzgerald,ゼルダ・セイヤー,zeruda・seiyā
koko taylor,ココ・テイラー,koko・teirā
temple grandin,テンプル・グランディン,tenpuru・gurandin
helen slater,ヘレン・スレイター,heren・sureitā
william sidney mount,ウィリアム・シドニー・マウント,wiriamu・shidonī・maunto
christina mchale,クリスティナ・マクヘール,kurisutina・makuhēru
john lewis,ジョン・ルイス,jon・ruisu
eli whiteside,イーライ・ホワイトサイド,īrai・howaitosaido
brann dailor,ブラン・デイラー,buran・deirā
john herrington,ジョン・ヘリントン,jon・herinton
john r neill,ジョン・リー・ニール,jon・rī・nīru
dave mustaine,デイヴ・ムステイン,deivu・musutein
paul lockhart,ポール・ロックハート,pōru・rokkuhāto
trevor murdoch,ウィリアム・ミューラー,wiriamu・myūrā
thomas eakins,トマス・エイキンズ,tomasu・eikinzu
jenna dewan,ジェナ・ディーワン,jena・dīwan
zelda williams,ゼルダ・ウィリアムズ,zeruda・wiriamuzu
haley bennett,ヘイリー・ベネット,heirī・benetto
debbie harry,デボラ・ハリー,debora・harī
maurice abravanel,モーリス・アブラヴァネル,mōrisu・aburavaneru
estelle getty,エステル・ゲティ,esuteru・geti
victoria principal,ヴィクトリア・プリンシパル,vikutoria・purinshiparu
june allyson,ジューン・アリソン,jūn・arison
katharine ross,キャサリン・ロス,kyasarin・rosu
jennifer jason leigh,ジェニファー・ジェイソン・リー,jenifā・jeison・rī
linda hunt,リンダ・ハント,rinda・hanto
majel barrett,メイジェル・バレット,meijeru・baretto
lacey chabert,レイシー・シャベール,reishī・shabēru
jennifer grey,ジェニファー・グレイ,jenifā・gurei
dennis ritchie,デニス・リッチー,denisu・ritchī
wayne odesnik,ウェイン・オデスニク,wein・odesuniku
thomas nast,トーマス・ナスト,tōmasu・nasuto
george engelmann,ジョージ・エンゲルマン,jōji・engeruman
willard van orman quine,ウィラード・ヴァン・オーマン・クワイン,wirādo・van・ōman・kuwain
jascha horenstein,ヤッシャ・ホーレンシュタイン,yassha・hōrenshutain
harry belafonte,ハリー・ベラフォンテ,harī・berafonte
lisa marie,リサ・マリー,risa・marī
claudia christian,クローディア・クリスチャン,kurōdia・kurisuchan
katie featherston,ケイティー・フェザーストン,keitī・fezāsuton
jake silbermann,ジェイク・シルバーマン,jeiku・shirubāman
jamie chung,ジェイミー・チャン,jeimī・chan
calvin klein,カルバン・クライン,karuban・kurain
ruth handler,ルース・ハンドラー,rūsu・handorā
julianne hough,ジュリアン・ハフ,jurian・hafu
kerri walsh jennings,ケリー・ウォルシュ・ジェニングス,kerī・worushu・jeningusu
minka kelly,ミンカ・ケリー,minka・kerī
jessica hardy,ジェシカ・ハーディ,jeshika・hādi
helena mattsson,ヘレナ・マットソン,herena・mattoson
mckayla maroney,マッケイラ・マロニー,makkeira・maronī
hillary scott,ヒラリー・スコット,hirarī・sukotto
alexis dziena,アレクシス・ジーナ,arekushisu・jīna
effa manley,エファ・マンリー,efa・manrī
henry miller,ヘンリー・ミラー,henrī・mirā
nicholas kazan,ニコラス・カザン,nikorasu・kazan
aron gurwitsch,アロン・ギュルヴィッチ,aron・gyuruvitchi
rick perry,リック・ペリー,rikku・perī
john goodman,ジョン・グッドマン,jon・guddoman
mary todd lincoln,メアリー・トッド・リンカーン,mearī・toddo・rinkān
mercedes ruehl,マーセデス・ルール,māsedesu・rūru
christine lahti,クリスティーン・ラーティ,kurisutīn・rāti
roger myerson,ロジャー・マイヤーソン,rojā・maiyāson
shelley long,シェリー・ロング,sherī・rongu
dianne reeves,ダイアン・リーヴス,daian・rīvusu
anna louise strong,アンナ・ルイーズ・ストロング,anna・ruīzu・sutorongu
lana parrilla,ラナ・パリラ,rana・parira
helen stephens,ヘレン・スティーヴンス,heren・sutīvunsu
roger guillemin,ロジェ・ギルマン,roje・giruman
jerome isaac friedman,ジェローム・アイザック・フリードマン,jerōmu・aizakku・furīdoman
mandy moore,マンディ・ムーア,mandi・mūa
tracy chapman,トレイシー・チャップマン,toreishī・chappuman
kathryn morris,キャスリン・モリス,kyasurin・morisu
drea de matteo,ドレア・ド・マッテオ,dorea・do・matteo
bebe neuwirth,ビビ・ニューワース,bibi・nyūwāsu
cole porter,コール・ポーター,kōru・pōtā
doris roberts,ドリス・ロバーツ,dorisu・robātsu
emily greene balch,エミリー・グリーン・ボルチ,emirī・gurīn・boruchi
deborah ann woll,デボラ・アン・ウォール,debora・an・wōru
bill russell,ビル・ラッセル,biru・rasseru
bree turner,ブリー・ターナー,burī・tānā
ronda rousey,ロンダ・ラウジー,ronda・raujī
logan tom,ローガン・トム,rōgan・tomu
chris paul,クリス・ポール,kurisu・pōru
victoria jackson,ヴィクトリア・ジャクソン,vikutoria・jakuson
kathy hochul,キャシー・ホウクル,kyashī・houkuru
chief jay strongbow,チーフ・ジェイ・ストロンボー,chīfu・jei・sutoronbō
lamar hunt,ラマー・ハント,ramā・hanto
john breathitt,ジョン・ブレシット,jon・bureshitto
czesław miłosz,チェスワフ・ミウォシュ,chesuwafu・miwoshu
daniel dennett,ダニエル・デネット,danieru・denetto
richard rorty,リチャード・ローティ,richādo・rōti
tara lipinski,タラ・リピンスキー,tara・ripinsukī
anne mccaffrey,アン・マキャフリイ,an・makyafurii
jaime king,ジェイミー・キング,jeimī・kingu
nancy travis,ナンシー・トラヴィス,nanshī・toravisu
sunrise adams,サンライズ・アダムス,sanraizu・adamusu
joanna newsom,ジョアンナ・ニューサム,joanna・nyūsamu
mimi rogers,ミミ・ロジャース,mimi・rojāsu
eric maskin,エリック・マスキン,erikku・masukin
sarah hyland,サラ・ハイランド,sara・hairando
vanessa carlton,ヴァネッサ・カールトン,vanessa・kāruton
christine taylor,クリスティン・テイラー,kurisutin・teirā
gina carano,ジーナ・カラーノ,jīna・karāno
maura tierney,モーラ・ティアニー,mōra・tianī
margaret weis,マーガレット・ワイス,māgaretto・waisu
man ray,マン・レイ,man・rei
seth wescott,セス・ウェスコット,sesu・wesukotto
nick nolte,ニック・ノルティ,nikku・noruti
clara barton,クララ・バートン,kurara・bāton
pitbull,ピットブル,pittoburu
mathew brady,マシュー・ブレイディ,mashū・bureidi
jojo,ジョジョ,jojo
michael stipe,マイケル・スタイプ,maikeru・sutaipu
