angela merkel,アンゲラ・メルケル,angera・merukeru
krebeck,クレーベック,kurēbekku
vossloh,フォスロ,fosuro
wandervogel,ワンダーフォーゲル,wandāfōgeru
der angriff,デア・アングリフ,dea・angurifu
kempinski,ケンピンスキー,kenpinsukī
uvex,ウベックス,ubekkusu
massacre records,マサカー・レコード,masakā・rekōdo
friedland,フリートラント,furītoranto
dortmundemskanal,ドルトムントエムスウンガ,dorutomuntoemusuunga
stadion an der alten försterei,シュタディオン・アン・デア・アルテン・フェルステライ,shutadion・an・dea・aruten・ferusuterai
haßbergen,ハスベルゲン,hasuberugen
lustgarten,ルストガルテン,rusutogaruten
hohenschwangau,ホーエンシュヴァンガウ,hōenshuvangau
mödlareuth,メドラロイト,medoraroito
norisring,ノリスリンク,norisurinku
autostadt,アウトシュタット,autoshutatto
wella,ウエラ,uera
schleich,シュライヒ,shuraihi
fränkische schweiz,フレンキシェ・シュヴァイツ,furenkishe・shuvaitsu
rosenaustadion,ローゼナウシュタディオン,rōzenaushutadion
gumpert apollo,グンペルト・アポロ,gunperuto・aporo
noise records,ノイズ・レコード,noizu・rekōdo
wilkinson sword,ウィルキンソン・ソード,wirukinson・sōdo
jusos,ユーゾー,yūzō
gottfried wilhelm leibnizpreis,ゴットフリート・ヴィルヘルム・ライプニッツショウ,gottofurīto・viruherumu・raipunittsushou
echo,エコーショウ,ekōshou
staedtler,ステッドラー,suteddorā
augsburger allgemeine,アウクスブルガー・アルゲマイネ,aukusuburugā・arugemaine
wölpinghausen,ヴェルピングハウゼン,vuェrupinguhauzen
guntersblum,グンタースブルム,guntāsuburumu
udonen,ウドーネンカ,udōnenka
osthofen,オストホーフェン,osutohōfen
hauptschule,キカンガッコウ,kikangakkou
heereswaffenamt,リクグンヘイキキョク,rikugunheikikyoku
arnold,アーノルト,ānoruto
ostereierschieben,タマゴコロガシ,tamagokorogashi
velothon berlin,プロレース・ベルリン,purorēsu・berurin
eumetsat,オウシュウキショウエイセイカイハツキコウ,oushuukishoueiseikaihatsukikou
experian,エクスペリアン,ekusuperian
gemballa,ゲンバラ,genbara
viktoria aschaffenburg,ビクトリア・アシャッフェンブルク,bikutoria・ashaffenburuku
walkenried,ヴァルケンリート,varukenrīto
fresenius,フレゼニウス,furezeniusu
meyer werft,マイヤー・ヴェルフト,maiyā・vuェrufuto
europrop international,ユーロプロップ・インターナショナル,yūropuroppu・intānashonaru
heuchlingen,ホイヒリンゲン,hoihiringen
königsfeld,ケーニヒスフェルト,kēnihisuferuto
blaupunkt,ブラウプンクト,buraupunkuto
grafenrheinfeld,グラーフェンラインフェルト,gurāfenrainferuto
murr,ムル,muru
aurachtal,アウラハタール,aurahatāru
kabinett schwerin von krosigk,ルートヴィヒ・シュヴェリン・フォン・クロージクナイカク,rūtovihi・shuvuェrin・fon・kurōjikunaikaku
pollhagen,ポルハーゲン,poruhāgen
ritterhude,リッターフーデ,rittāfūde
trio,トリオ,torio
odeon,オデオンレコード,odeonrekōdo
bomag,ボーマク,bōmaku
wiesmann,ヴィーズマン,vīzuman
oberbaumbrücke,オーバーバウムキョウ,ōbābaumukyou
bionade,ビオナーデ,bionāde
miele,ミーレ,mīre
babelsberg,バーベルスベルク,bāberusuberuku
bacharchiv leipzig,ライプツィヒ・バッハシリョウザイダン,raiputsihi・bahhashiryouzaidan
balda,バルダ,baruda
elisabethkirche,キヨシエリザベートキョウカイ,kiyoshierizabētokyoukai
warwick,ワーウィック,wāwikku
avantis,アヴァンティス,avantisu
bellaphon records,ベラフォン・レコード,berafon・rekōdo
beethovendenkmal,ベートーヴェンキネンヒ,bētōvuェnkinenhi
brenntag,ブレンターク,burentāku
berufsbildungswerk,ショクギョウクンレンガッコウ,shokugyoukunrengakkou
karsbach,カルスバッハ,karusubahha
oberleitungsbus potsdam,ポツダム・トロリーバス,potsudamu・tororībasu
uniwheels,ユニホイールズ,yunihoīruzu
budenheim,ブーデンハイム,būdenhaimu
lorinser,ロリンザー,rorinzā
kell am see,ケル・アム・ゼー,keru・amu・zē
berlin rebels,ベルリン・レーベルズ,berurin・rēberuzu
goldhofer,ゴールドホッファー,gōrudohoffā
fuggerei,フッガーライ,fuggārai
berlitz sprachschulen,ベルリッツ・コーポレーション,berurittsu・kōporēshon
covestro,コベストロ,kobesutoro
gleiss lutz,グライス・ルッツホウリツジムショ,guraisu・ruttsuhouritsujimusho
motorsport arena oschersleben,モートルシュポルト・アリーナ・オッシャースレーベン,mōtorushuporuto・arīna・osshāsurēben
vilmorin,ヴィルモラン,virumoran
mannheim business school,マンハイム・ビジネス・スクール,manhaimu・bijinesu・sukūru
händelfestspiele halle,ハレ・ヘンデルオンガクサイ,hare・henderuongakusai
oberleitungsbus esslingen am neckar,エスリンゲン・アム・ネッカー・トロリーバス,esuringen・amu・nekkā・tororībasu
westside xtreme wrestling,ウエストサイド・エクストリーム・レスリング,uesutosaido・ekusutorīmu・resuringu
sachtler,ザハトラー,zahatorā
bitterfeld,ビターフェルト,bitāferuto
get physical music,ゲット・フィジカル・ミュージック,getto・fijikaru・myūjikku
reichsparteitagsgelände,ナチトウトウタイカイカイジョウ,nachitoutoutaikaikaijou
xetra,クセトラ,kusetora
wormatia worms,ヴォルマティア・ヴォルムス,vuォrumatia・vuォrumusu
hapaglloyd,ハパックロイド,hapakkuroido
rotring,ロットリング,rottoringu
marienbrücke,マリエンキョウ,marienkyou
dywidag,ディビダーク,dibidāku
bergstraße,ベルクシュトラーセ,berukushutorāse
altana,アルタナ,arutana
alpidischer gebirgsgürtel,アルプス・ヒマラヤツクリヤマタイ,arupusu・himarayatsukuriyamatai
hanseyachts,ハンゼヨット,hanzeyotto
nobiskrug,ノビスクルーク,nobisukurūku
catch wrestling association,キャッチ・レスリング・アソシエーション,kyatchi・resuringu・asoshiēshon
solingen alligators,ゾーリンゲン・アリゲーターズ,zōringen・arigētāzu
kreidler,クライドラー,kuraidorā
putzmeister,プツマイスター,putsumaisutā
tetra,テトラ,tetora
mozartfest würzburg,ヴュルツブルク・モーツァルトオンガクサイ,vuュrutsuburuku・mōtsarutoongakusai
magdeburger telemannfesttage,マグデブルク・テレマンオンガクサイ,magudeburuku・teremanongakusai
sick,ジック,jikku
westbahn,セイブセン,seibusen
intermot,インターモト,intāmoto
hardtbahn,ハルトセン,harutosen
yorck von wartenburg,ヨルク・フォン・ヴァルテンブルクカ,yoruku・fon・varutenburukuka
rheinbundakte,ラインドウメイキヤク,raindoumeikiyaku
hamburg dungeon,ハンブルク・ダンジョン,hanburuku・danjon
christiauferstehungskathedrale,ハリストスフッカツダイセイドウ,harisutosufukkatsudaiseidou
sto,シュトー,shutō
moselstrecke,モーゼルセン,mōzerusen
taunuseisenbahn,タウヌスセン,taunususen
untouchables paderborn,パーダーボルン・アンタッチャブルス,pādāborun・antatchaburusu
humboldtforschungspreis,フンボルトショウ,funborutoshou
hinterkaifeck,ヒンターカイフェックジケン,hintākaifekkujiken
feddersen wierde,フェダーゼン・ヴィールデ,fedāzen・vīrude
karl schuke berliner orgelbauwerkstatt,カール・シュッケ・ベルリン・オルガンセイサクショ,kāru・shukke・berurin・oruganseisakusho
magura,マグラ,magura
stadtbahn karlsruhe,カールスルーエ・シュタットバーン,kārusurūe・shutattobān
bonn capitals,ボン・キャピタルズ,bon・kyapitaruzu
maxplanckinstitut für geistiges eigentum,マックス・プランクチテキザイサンホウ・キョウソウホウ・ソゼイホウケンキュウジョ,makkusu・purankuchitekizaisanhou・kyousouhou・sozeihoukenkyuujo
hamburg ballett,ハンブルク・バレエダン,hanburuku・bareedan
nomos glashütte,ノモス・グラスヒュッテ,nomosu・gurasuhyutte
landschaftsverband,チイキレンゴウ,chiikirengou
wergo,ヴェルゴ,vuェrugo
silberstraße,ギンカイドウ,ginkaidou
eiderkanal,アイダーウンガ,aidāunga
hazet,ハゼット,hazetto
friedrich deckel,フリードリヒ・デッケル,furīdorihi・dekkeru
personenaufzug bad schandau,バート・シャンダウ・エレベーター,bāto・shandau・erebētā
tempodrom,テンポドローム,tenpodorōmu
willem van heythuysen,ケンヲモッテポーズヲトルウィレム・ファン・ヘイトゥイセン,kenwomottepōzuwotoruwiremu・fan・heituisen
krämerbrücke,クレーマーキョウ,kurēmākyou
mainz athletics,マインツ・アスレチックス,maintsu・asurechikkusu
liebenzeller mission,リーベンゼラ・ミッション,rībenzera・misshon
borussia düsseldorf,ボルシア・デュッセルドルフ,borushia・dyusserudorufu
setra,ゼトラ,zetora
ernemann,エルネマン,eruneman
intercity,インターシティ,intāshiti
heise gruppe,ハインツ・ハイス,haintsu・haisu
laeiszhalle,ライスハレ,raisuhare
harting,ハーティング,hātingu
hachez,ハシェ,hashe
heeresamt,リクグンキョク,rikugunkyoku
heeresführungskommando,リクグンシキシレイブ,rikugunshikishireibu
franziskaner,チイサキキョウダイカイ,chiisakikyoudaikai
universelles leben,ユニバーサル・ライフ,yunibāsaru・raifu
opel senator,オペル・セネター,operu・senetā
buckenhof,ブッケンホーフ,bukkenhōfu
schiedmayer,シードマイヤー,shīdomaiyā
eduard meier,エドワード・メイヤー,edowādo・meiyā
bundeswehrkrankenhaus,レンポウグンビョウイン,renpougunbyouin
chemnitzer modell,ケムニッツ・モデル,kemunittsu・moderu
sennebogen,ゼンネボーゲン,zennebōgen
deutsche orientbank,ドイツ・オリエントバンク,doitsu・orientobanku
burhave,ブラーヴェ,burāvuェ
dinnorm,ドイツコウギョウキカク,doitsukougyoukikaku
cologne cardinals,ケルン・カージナルス,kerun・kājinarusu
carlfriedrichgaußpreis,ガウスショウ,gausushou
dallmayr,ダルマイヤー,darumaiyā
daimler truck,ダイムラー・トラック,daimurā・torakku
wirtschaftsspionage,サンギョウスパイ,sangyousupai
call a bike,コール・ア・バイク,kōru・a・baiku
ägypter,エジプトミンゾク,ejiputominzoku
deutsche wohnen,ドイチェ・ヴォーネン,doiche・vuォーnen
deutsche alpenstraße,ドイツ・アルペンカイドウ,doitsu・arupenkaidou
vonovia,ヴォノヴィア,vuォnovia
sumte,ズムテ,zumute
domtreppenfegen,ドームトレッペンフェーゲン,dōmutoreppenfēgen
dieffenbachstraße,ディーフェンバッハドオリ,dīfenbahhadoori
novoflex,ノボフレックス,nobofurekkusu
rimowa,リモワ,rimowa
nachtmann,ナハトマン,nahatoman
duewaggelenkwagen,デュワグカー,dyuwagukā
ehrenhof,メイヨホウテイ,meiyohoutei
viking,バイキングタイヤ,baikingutaiya
elac,エラック,erakku
eierschale,アイアーシャーレ,aiāshāre
john cranko schule,ジョン・クランコ・スクール,jon・kuranko・sukūru
ernst plank,エルンスト・プランク,erunsuto・puranku
linklaters,リンクレーターズ,rinkurētāzu
plan international,プラン・インターナショナル,puran・intānashonaru
stahlwille,スタビレー,sutabirē
erima,エリマ,erima
fachhochschule,ファッハホーホシューレ,fahhahōhoshūre
fachschule,ファッハシューレ,fahhashūre
faulhaber,ファウルハーベル,fauruhāberu
hiroshimasteg,ヒロシマキョウ,hiroshimakyou
hiroshimastraße,ヒロシマドオリ,hiroshimadoori
frankfurt universe,フランクフルト・ユニバース,furankufuruto・yunibāsu
kantstraße,カントドオリ,kantodoori
hirata,ヒラタキコウ,hiratakikou
scuba schools international,スクーバ・スクールズ・インターナショナル,sukūba・sukūruzu・intānashonaru
flottenkommando,カンタイシレイブ,kantaishireibu
kunsthalle,クンストハレ,kunsutohare
garnisonskirche,エイジュキョウカイ,eijukyoukai
schokakola,ショカコーラ,shokakōra
geestland,ゲーストラント,gēsutoranto
vida,ヴィーダ,vīda
luftwaffenführungskommando,クウグンシキシレイブ,kuugunshikishireibu
füchse berlin,フュクセ・ベルリン,fyukuse・berurin
generalfeldmarschallrommelkaserne,ロンメルゲンスイヘイエイ,ronmerugensuiheiei
meistersinger,マイスタージンガー,maisutājingā
sportforum leipzig,シュポルトフォールム・ライプツィヒ,shuporutofōrumu・raiputsihi
ohr,オール,ōru
gorxheimertal,ゴルクスハイマータール,gorukusuhaimātāru
hegaugymnasium singen,ヘガウ・ギムナジウム,hegau・gimunajiumu
grenzschutzabteilung,コッキョウケイビブタイ,kokkyoukeibibutai
grenzschutzgruppe,コッキョウケイビグン,kokkyoukeibigun
german stampede wrestling,ジャーマン・スタンピード・レスリング,jāman・sutanpīdo・resuringu
winzerla,ヴィンツァーラ,vintsāra
lutherstadt,ルターシュタット,rutāshutatto
pixomondo,ピクソモンド,pikusomondo
wehrbereichskommando,ボウエイカンクシレイブ,boueikankushireibu
stuttgarter philharmoniker,シュトゥットガルト・フィルハーモニーカンゲンガクダン,shututtogaruto・firuhāmonīkangengakudan
heerestruppenbrigade,リクグンブタイリョダン,rikugunbutairyodan
the westin leipzig,ホテル・ウェスティン・ライプツィヒ,hoteru・wesutin・raiputsihi
heßdorf,ヘスドルフ,hesudorufu
hindemithpreis,ヒンデミットショウ,hindemittoshou
heringhausen,ヘーリングハウゼン,hēringuhauzen
hellermanntyton,ヘラマンタイトン,heramantaiton
hemhofen,ヘムホーフェン,hemuhōfen
lukaskirche,ルーカスキョウカイ,rūkasukyoukai
historische wurstkuchl,ヒストーリッシェ・ヴルストキュッヘ,hisutōrisshe・vurusutokyuhhe
herzogenaurach,ヘルツォーゲンアウラハ,herutsōgenauraha
kabinett goebbels,ヨーゼフ・ゲッベルスナイカク,yōzefu・gebberusunaikaku
neue zeitschrift für verwaltungsrecht,ノイエ・ツァイトシュリフト・フュア・フェアヴァルトゥングスレヒト,noie・tsaitoshurifuto・fyua・feavarutungusurehito
west pharmaceutical services,ウエスト・ファーマシューティカル・サービス,uesuto・fāmashūtikaru・sābisu
taubertalbahn,タウバータニセン,taubātanisen
streitkräfteunterstützungskommando,センリョクシエンシレイブ,senryokushienshireibu
oldendorff carriers,オルデンドルフ・キャリアーズ,orudendorufu・kyariāzu
perlon,ペルロン,peruron
oberzent,オーバーツェント,ōbātsento
streitkräfteamt,ゼングンキョク,zengunkyoku
luftwaffenamt,クウグンキョク,kuugunkyoku
kampfverlag,トウソウシュッパンシャ,tousoushuppansha
velotaxi,ベロタクシー,berotakushī
rheingold,ラインゴルト,raingoruto
krauser,クラウザー,kurauzā
kombiverkehr,コンビファケア,konbifakea
kühbach,キューバッハ,kyūbahha
köthen,ケーテン,kēten
lambsdorff,ラムスドルフ,ramusudorufu
lindenfels,リンデンフェルス,rindenferusu
leunawerke,ロイナコウジョウ,roinakoujou
lonnerstadt,ロンナーシュタット,ronnāshutatto
marinefliegerkommando,カイグンコウクウタイ,kaigunkoukuutai
lufttransportkommando,コウクウユソウシュウダン,koukuuyusoushuudan
luftwaffenausbildungskommando,クウグンクンレンシュウダン,kuugunkunrenshuudan
