françois hollande,フランソワ・オランド,furansowa・orando
patrouille de france,パトルイユ・ド・フランス,patoruiyu・do・furansu
montagne saintevictoire,サント・ヴィクトワールサン,santo・vikutowārusan
publicis groupe,ピュブリシス・グループ,pyuburishisu・gurūpu
glénat,グレナ,gurena
simca aronde,シムカ・アロンド,shimuka・arondo
lancôme,ランコム,rankomu
grand prix la marseillaise,グランプリ・シクリスト・ラ・マルセイエーズ,guranpuri・shikurisuto・ra・maruseiēzu
cholet agglo tour,ショレ・アグロ・ツール,shore・aguro・tsūru
tour de vendée,ツール・ド・ヴァンデ,tsūru・do・vande
caisse d'épargne,ケス・デパーニュグループ,kesu・depānyugurūpu
tribunat,マモルミンイン,mamoruminin
prix stanislasjulien,スタニスラス・ジュリアンショウ,sutanisurasu・jurianshou
tour de france femmes,ツール・ド・フランス・ファム,tsūru・do・furansu・famu
paris volley,パリ・バレー,pari・barē
season of mist,シーズン・オブ・ミスト,shīzun・obu・misuto
joest racing,ヨースト・レーシング,yōsuto・rēshingu
tursan,テュルサン,tyurusan
vaour,ヴァウール,vaūru
senouillac,スヌイヤック,sunuiyakku
guerlain,ゲラン,geran
le reculet,ル・ルキュレ,ru・rukyure
prix julesjanssen,ジュール・ジャンサンショウ,jūru・jansanshou
seve trophy,セベ・トロフィー,sebe・torofī
appellation d'origine contrôlée,アペラシオン・ドリジーヌ・コントロレ,aperashion・dorijīnu・kontorore
eymouthiers,エムティエ,emutie
lagrave,ラグラーヴ,ragurāvu
pontneuf,ポンヌフ,ponnufu
route d'occitanie,ルート・ドクシタニー,rūto・dokushitanī
rochas,ロシャス,roshasu
oreca,オレカ,oreka
burlats,ビュルラ,byurura
rabastens,ラバスタン,rabasutan
open de france,オープン・ド・フランス,ōpun・do・furansu
palais des congrès de paris,パレ・デ・コングレ・ド・パリ,pare・de・kongure・do・pari
plongeur,プロンジュール,puronjūru
viking,バイキングエンジン,baikinguenjin
chirac,シラク,shiraku
soual,スアル,suaru
penne,ペンヌ,pennu
damiatte,ダミアット,damiatto
brassac,ブラサック,burasakku
pirae,ピレー,pirē
montrachet,モンラッシェ,monrasshe
la ruche,ラ・リューシュ,ra・ryūshu
le point,ル・ポワン,ru・powan
météofrance,フランスキショウキョク,furansukishoukyoku
lido,リド,rido
courage compétition,クラージュ・コンペティション,kurāju・konpetishon
hotchkiss,オチキス,ochikisu
naussac,ノサック,nosakku
voxan,ヴォクサン,vuォkusan
prix mondial cinodelduca,チーノ・デル・ドゥーカセカイショウ,chīno・deru・dūkasekaishou
lioré et olivier,リオレ・エ・オリビエ,riore・e・oribie
superphénix,スーパーフェニックス,sūpāfenikkusu
pissaladière,ピサラディエール,pisaradiēru
stade de roudourou,スタッド・ドゥ・ルドゥル,sutaddo・du・ruduru
les légions noires,レ・レジオーン・ノワール,re・rejiōn・nowāru
martiel,マルティエル,marutieru
tour de l'ain,ツール・ド・ラン,tsūru・do・ran
manihi,マニヒカンショウ,manihikanshou
beaujolais nouveau,ボジョレー・ヌヴォー,bojorē・nuvuォー
minervois,ミネルヴォワ,mineruvuォwa
hôtel de bourgogne,オテル・ド・ブルゴーニュザ,oteru・do・burugōnyuza
sauveterre,ソヴテール,sovutēru
madame royale,マダム・ロワイヤル,madamu・rowaiyaru
taputapuatea,タプタプアテア,taputapuatea
hachette filipacchi médias,アシェット・フィリパッキ・メディア,ashetto・firipakki・media
disney sequoia lodge,ディズニー・セコイア・ロッジ,dizunī・sekoia・rojji
malepère,マルペール,marupēru
safran,サフラングループ,safurangurūpu
salle pleyel,サル・プレイエル,saru・pureieru
ilog,アイログ,airogu
promenade des anglais,プロムナード・デ・ザングレ,puromunādo・de・zangure
rossignol,ロシニョール,roshinyōru
henri selmer paris,ヘンリー・セルマー・パリ,henrī・serumā・pari
polynormande,ポリノルマンド,porinorumando
possibilisme,ポッシビリズム,posshibirizumu
voguéo,ヴォゲオ,vuォgeo
listenable records,リスナブル・レコード,risunaburu・rekōdo
bastille,バスティーユロウゴク,basutīyurougoku
union bordeaux bègles,ユニオン・ボルドー・ベグル,yunion・borudō・beguru
martell,マーテル,māteru
vin de pays,ヴァン・ド・ペイ,van・do・pei
salmson,サルムソン,sarumuson
longchamp,ロンシャン,ronshan
domaine de la romanéeconti,ドメーヌ・ド・ラ・ロマネコンティ,domēnu・do・ra・romanekonti
jacobinisme,ジャコビニズム,jakobinizumu
ipsos,イプソス,ipusosu
la salle,ラ・サル,ra・saru
parc andrécitroën,アンドレ・シトロエンコウエン,andore・shitoroenkouen
queer palm,クィア・パルム,kwia・parumu
offensive meuseargonne,ムーズ・アルゴンヌコウセイ,mūzu・arugonnukousei
prix jeanvigo,ジャン・ヴィゴショウ,jan・vigoshou
parc disneyland,ディズニーランド・パーク,dizunīrando・pāku
monarchomaque,モナルコマキ,monarukomaki
tee montcenis,モン・スニ,mon・suni
free mobile,フリー・モバイル,furī・mobairu
peugeot sport,プジョー・スポール,pujō・supōru
classiques flandriennes,フランドル・クラシック,furandoru・kurashikku
musea,ムゼア,muzea
muscadet,ミュスカデ,myusukade
café liégeois,カフェ・リエジョワ,kafe・riejowa
pommes noisette,ポメ・ヌワゼット,pome・nuwazetto
kana,カナ,kana
mâconnais,マコネー,makonē
berthillon,ベルティヨン,berutiyon
intercités,アンテルシテ,anterushite
audencia,オデンシアビジネススクール,odenshiabijinesusukūru
bandrele,バンドレレ,bandorere
disney village,ディズニー・ヴィレッジ,dizunī・virejji
getlink,ゲットリンク,gettorinku
argentoratum,アルゲントラトゥム,arugentoratumu
l'arbalète,アルバレート,arubarēto
poma,ポマ,poma
palmier,パルミエ,parumie
sidebike,サイドバイク,saidobaiku
la géode,ラ・ジェオード,ra・jeōdo
traité francomonégasque,フランス・モナコジョウヤク,furansu・monakojouyaku
stade de l'aube,スタッド・ドゥ・ローブ,sutaddo・du・rōbu
radio france,ラジオ・フランス,rajio・furansu
uturoa,ウツロア,utsuroa
stade du hainaut,スタッド・ドゥ・エノー,sutaddo・du・enō
circuit du val de vienne,デュ・ヴァル・ド・ヴィエンヌ・サーキット,dyu・varu・do・viennu・sākitto
stade des alpes,スタッド・デ・アルプ,sutaddo・de・arupu
space mountain,スペース・マウンテン,supēsu・maunten
salomon,サロモン,saromon
le trianon,ル・トリアノン,ru・torianon
disques barclay,バークレー・レコード,bākurē・rekōdo
télécom paris,テレコム・パリ,terekomu・pari
disney newport bay club,ディズニー・ニューポート・ベイ・クラブ,dizunī・nyūpōto・bei・kurabu
disneyland hotel,ディズニーランド・ホテル,dizunīrando・hoteru
ménilmontant,メニルモンタン,menirumontan
teleperformance,テレパフォーマンス,terepafōmansu
laffly,ラフリー,rafurī
pescarolo sport,ペスカロロ・スポール,pesukaroro・supōru
flèche d'émeraude,フレッシュ・デメロード,furesshu・demerōdo
scorpa,スコルパ,sukorupa
disney hotel cheyenne,ディズニー・ホテル・シャイアン,dizunī・hoteru・shaian
studiocanal,スタジオカナル,sutajiokanaru
derby du nord,デュルビ・デュ・ノール,dyurubi・dyu・nōru
meilland,メイアン,meian
casa de velázquez,カサ・デ・ヴェラスケス,kasa・de・vuェrasukesu
télécom bretagne,テレコム・ブルターニュ,terekomu・burutānyu
sephora,セフォラ,sefora
salon des cent,サロン・デ・サン,saron・de・san
araymond,レイモン,reimon
orchestre lamoureux,コンセール・ラムルー,konsēru・ramurū
les talens lyriques,レ・タラン・リリク,re・taran・ririku
la rhune,ラ・リューヌ,ra・ryūnu
atmea,アトメア,atomea
because music,ビコーズ・ミュージック,bikōzu・myūjikku
champion,チャンピオン,chanpion
ministère de l'écologie,エコロジー・ジゾクカノウカイハツ・エネルギーショウ,ekorojī・jizokukanoukaihatsu・enerugīshou
aldebaran,アルデバランロボティクス,arudebaranrobotikusu
valois,ヴァロワ,varowa
prix suzannebianchetti,シュザンヌ・ビアンケッティショウ,shuzannu・biankettishou
albigeois,アルビジョワ,arubijowa
argonaute,アルゴノート,arugonōto
elf,エルフ,erufu
gitzo,ジッツオ,jittsuo
norev,ノレブ,norebu
paris la défense arena,パリ・ラ・デファンス・アレナ,pari・ra・defansu・arena
amundi,アムンディ,amundi
worldline,ワールドライン,wārudorain
amorino,アモリーノ,amorīno
bago,バゴ,bago
ballet du capitole,トゥールーズ・キャピトル・バレエ,tūrūzu・kyapitoru・baree
carrousel du louvre,カルーゼル・デュ・ルーヴル,karūzeru・dyu・rūvuru
cercle proudhon,セルクル・プルードン,serukuru・purūdon
biomérieux,ビオメリュー,biomeryū
brocéliande,ブロセリアンド,buroseriando
blagny,ブラニィ,buraniィ
orchestre colonne,コンセール・コロンヌ,konsēru・koronnu
cabasse,カバッセ,kabasse
frenchelon,フレンシュロン,furenshuron
castillet,カスティエモン,kasutiemon
chronopost,クロノポスト,kuronoposuto
clarins,クラランス,kuraransu
cinéma du réel,シネマ・ドゥ・リール,shinema・du・rīru
cinémagique,シネマジック,shinemajikku
cocotte,ココット,kokotto
mont faron,モン・ファロン,mon・faron
collège stanislas,コレージュ・スタニスラス,korēju・sutanisurasu
la méridionale,ラ・メリディオナル,ra・meridionaru
crédit agricole corporate and investment bank,クレディ・アグリコル・コーポレート・アンド・インベストメント・バンク,kuredi・agurikoru・kōporēto・ando・inbesutomento・banku
daum,ドームキョウダイ,dōmukyoudai
côtesdetoul,ロレーヌワイン,rorēnuwain
contrex,コントレックス,kontorekkusu
dalloyau,ダロワイヨ,darowaiyo
critérium international,クリテリウム・アンテルナシオナル,kuriteriumu・anterunashionaru
discoveryland,ディスカバリーランド,disukabarīrando
disney hotel santa fe,ディズニー・ホテル・サンタ・フェ,dizunī・hoteru・santa・fe
erato,エラート,erāto
edenred,エデンレッド,edenreddo
foca,フォカ,foka
fondation d'entreprise louisvuitton,フォンダシオン・ルイ・ヴィトン,fondashion・rui・viton
france japon eco,フランス・ジャポン・エコー,furansu・japon・ekō
le télégramme,ル・テレグラム,ru・tereguramu
hôtel mezzara,オテル・メザラ,oteru・mezara
helissio,エリシオ,erishio
heiva i tahiti,ヘイバ・イ・タヒチ,heiba・i・tahichi
église saintmichel d'aiguilhe,サン・ミシェル・デギュイユレイハイドウ,san・misheru・degyuiyureihaidou
hippodrome henrimilliard,アンリ・ミラールケイバジョウ,anri・mirārukeibajou
hôtel du haubergier,オテル・デュ・オーベルジェ,oteru・dyu・ōberuje
passage des panoramas,パサージュ・デ・パノラマ,pasāju・de・panorama
nouvelles frontières,ヌーベル・フロンティエール,nūberu・furontiēru
godier genoud,ゴディエ・ジュヌー,godie・junū
prix vautrinlud,ヴォートラン・ルッドコクサイチリガクショウ,vuォーtoran・ruddokokusaichirigakushou
goyard,ゴヤール,goyāru
klépierre,クレピエール,kurepiēru
l'assiette au beurre,ラシエット・オ・ブール,rashietto・o・būru
l'écran français,レクラン・フランセ,rekuran・furanse
leduc,ルデュック,rudyukku
les armateurs,レ・ザルマトゥール,re・zarumatūru
les films du carrosse,レ・フィルム・デュ・キャロッス,re・firumu・dyu・kyarossu
la fronde,ラ・フロンド,ra・furondo
la cigale,ラ・シガール,ra・shigāru
larbre compétition,ラルブル・コンペティション,raruburu・konpetishon
la désirade,ラ・デジラード,ra・dejirādo
le divan du monde,ル・ディヴァン・デュ・モンド,ru・divan・dyu・mondo
tonkam,トンカム,tonkamu
maranges,マランジュ,maranju
matelote,マトロット,matorotto
lycée lalande,リセ・ラランド,rise・rarando
mauboussin,モーブッサン,mōbussan
munhoa,ムンオアサン,munoasan
millet,ミレー,mirē
mikros image,ミクロス・イマージュ,mikurosu・imāju
maître d'art,メートル・ダール,mētoru・dāru
lycée de la défense,リセ・ド・ラ・デファンス,rise・do・ra・defansu
mac guff,マック・ガフ,makku・gafu
métropole nice côte d'azur,メトロポール・ニース・コート・ダジュール,metoropōru・nīsu・kōto・dajūru
montjeu,モンジュー,monjū
nantes métropole,ナント・メトロポール,nanto・metoropōru
notable,メイシ,meishi
oak racing,オーク・レーシング,ōku・rēshingu
palme dog,パルム・ドッグショウ,parumu・doggushou
philharmonie de paris,フィラルモニ・ド・パリ,firarumoni・do・pari
pavillon de breteuil,パヴィヨン・ド・ブルトゥイユ,paviyon・do・burutuiyu
pequignet,ペキニエ,pekinie
paul,ポール,pōru
poule d'essai des pouliches,プール・デッセ・デ・プーリッシュ,pūru・desse・de・pūrisshu
poule d'essai des poulains,プール・デッセ・デ・プーラン,pūru・desse・de・pūran
prix jeanluc lagardère,ジャン・リュック・ラガルデールショウ,jan・ryukku・ragarudērushou
puy du fou,ピュイ・デュ・フー,pyui・dyu・fū
revue encyclopédique,ルビュー・アンシクロペディーク,rubyū・anshikuropedīku
rhodia,ロディア,rodia
prix renéclair,ルネ・クレールショウ,rune・kurērushou
seuil de naurouze,スイユ・ド・ノールーズ,suiyu・do・nōrūzu
robotcoupe,ロボクープ,robokūpu
rue nicolasappert,ニコラ・アペールドオリ,nikora・apērudoori
sia partners,シア・パートナーズ,shia・pātonāzu
saravah,サラヴァ,sarava
sagace,サガス,sagasu
salle gaveau,サル・ガヴォー,saru・gavuォー
france médias monde,フランス・メディア・モンド,furansu・media・mondo
sinndar,シンダー,shindā
sauce périgueux,ソース・ペリグー,sōsu・perigū
société européenne de propulsion,ソシエテ・ユーロピーネ・デ・プロパルジオン,soshiete・yūropīne・de・puroparujion
stade du hameau,スタッド・デュ・アモー,sutaddo・dyu・amō
rouen normandie rugby,ルーアン・ノルマンディー・ラグビー,rūan・norumandī・ragubī
star film,スター・フィルム,sutā・firumu
union des fabricants,ユニオン・デ・ファブリカン,yunion・de・faburikan
voici,ボワシ,bowashi
withings,ウィジングズ,wijinguzu
utopiales,ユートピアル,yūtopiaru
yeun elez,ユン・エレ,yun・ere
yema,イエマ,iema
vinci airports,ヴァンシ・エアポート,vanshi・eapōto
fouga,フーガ,fūga
transhumance,ウツリマキ,utsurimaki
pic paradis,ピク・パラディ,piku・paradi
ksar,クサール,kusāru
portrevel,ポートレベルソウセンクンレンセンター,pōtoreberusousenkunrensentā
léman express,レマン・エクスプレス,reman・ekusupuresu
dassault mystèrefalcon,ダッソー・ファルコン,dassō・farukon
hienghène sport,ヤンゲン・スポール,yangen・supōru
tantième,タンティエーム,tantiēmu
wikimédia france,ウィキメディア・フランス,wikimedia・furansu
