inna,茵娜,yīn nà
adamclisi,阿达姆克利西乡,ā dá mǔ kè lì xī xiāng
vișinești,维希内什蒂乡,wéi xī nèi shén dì xiāng
clujmănăștur,梅讷施图尔,méi nè shī tú ěr
partium,帕蒂乌姆,pà dì wū mǔ
colceag,科尔恰格乡,kē ěr qià gé xiāng
moțăieni,莫策耶尼乡,mò cè yē ní xiāng
călușarii,卡鲁斯仪式舞蹈,kǎ lǔ sī yí shì wǔ dǎo
păunești,珀乌内什蒂乡,pò wū nèi shén dì xiāng
chiajna,基亚伊纳乡,jī yà yī nà xiāng
dumbrăvești,敦布勒韦什蒂乡,dūn bù lè wéi shén dì xiāng
puiești,普耶什蒂乡,pǔ yē shén dì xiāng
ziduri,济杜里乡,jì dù lǐ xiāng
cerbăl,切尔伯尔乡,qiè ěr bǎi ěr xiāng
bănița,伯尼察乡,bǎi ní chá xiāng
cernat,切尔纳特乡,qiè ěr nà tè xiāng
gornet,戈尔内特乡,gē ěr nèi tè xiāng
talea,塔莱亚乡,tǎ lái yà xiāng
bara,巴拉乡,bā lā xiāng
comună,罗马尼亚的乡,luó mǎ ní yà de xiāng
coșereni,科谢雷尼乡,kē xiè léi ní xiāng
reci,雷奇乡,léi qí xiāng
bogda,博格达乡,bó gé dá xiāng
bârsănești,伯尔格瑟内什蒂乡,bǎi ěr gé sè nèi shén dì xiāng
bârgăuani,伯尔格瓦尼乡,bǎi ěr gé wǎ ní xiāng
bicazchei,比卡兹凯乡,bǐ kǎ zī kǎi xiāng
balcani,巴尔卡尼乡,bā ěr kǎ ní xiāng
bârna,伯尔纳乡,bǎi ěr nà xiāng
vârfuri,沃尔富里乡,wò ěr fù lǐ xiāng
bertea,贝尔泰亚乡,bèi ěr tài yà xiāng
beriu,贝里乌乡,bèi lǐ wū xiāng
belinț,贝林茨乡,bèi lín cí xiāng
cărbunești,克尔布内什蒂乡,kè ěr bù nèi shén dì xiāng
drăguș,德勒古什乡,dé lè gǔ shén xiāng
călugăreni,克卢格雷尼乡,kè lú gé léi ní xiāng
șibot,希博特乡,xī bó tè xiāng
birda,比尔达乡,bǐ ěr dá xiāng
bethausen,贝特哈乌森乡,bèi tè hā wū sēn xiāng
jucu,约库,yuē kù
dobra,多布拉乡,duō bù lā xiāng
adevărul,阿德瓦鲁尔,ā dé wǎ lǔ ěr
balinț,巴林茨乡,bā lín cí xiāng
dofteana,多夫泰亚纳乡,duō fū tài yà nà xiāng
bistra,比斯特拉乡,bǐ sī tè lā xiāng
blăjeni,布勒热尼乡,bù lè rè ní xiāng
densuș,登苏什乡,dēng sū shén xiāng
bărcănești,伯尔克内什蒂乡,bǎi ěr kè nèi shén dì xiāng
banloc,班洛克乡,bān luò kè xiāng
dalnic,达尔尼克乡,dá ěr ní kè xiāng
drajna,德拉伊纳乡,dé lā yī nà xiāng
saturn,萨图恩,sà tú ēn
tătărani,特特拉尼乡,tè tè lā ní xiāng
dolhești,多尔海什蒂乡,duō ěr hǎi shén dì xiāng
drăgănești,德勒格内什蒂乡,dé lè gé nèi shén dì xiāng
săhăteni,瑟赫泰尼乡,sè hè tài ní xiāng
vidra,维德拉,wéi dé lā
balaciu,巴拉丘乡,bā lā qiū xiāng
brazi,布拉济乡,bù lā jì xiāng
ciorogârla,乔罗格尔拉乡,qiáo luó gé ěr lā xiāng
adâncata,阿登卡塔乡,ā dēng kǎ tǎ xiāng
bordești,博尔代什蒂乡,bó ěr dài shén dì xiāng
chiojdeanca,基奥伊代安卡乡,jī ào yī dài ān kǎ xiāng
strei,斯特雷,sī tè léi
vârteșcoiu,沃尔泰什科尤乡,wò ěr tài shén kē yóu xiāng
ploscuțeni,普洛斯库采尼乡,pǔ luò sī kù cǎi ní xiāng
vizantealivezi,维赞泰亚利韦济乡,wéi zàn tài yà lì wéi jì xiāng
holbav,霍尔巴夫乡,huò ěr bā fū xiāng
bucov,布科夫乡,bù kē fū xiāng
bățani,伯察尼乡,bǎi chá ní xiāng
biled,比莱德乡,bǐ lái dé xiāng
checea,凯恰乡,kǎi qià xiāng
câlnic,克尔尼克乡,kè ěr ní kè xiāng
banca,班卡乡,bān kǎ xiāng
poșaga,波沙加乡,bō shā jiā xiāng
augustin,奥古斯廷乡,ào gǔ sī tíng xiāng
cotuș,科图什,kē tú shén
bran,布兰,bù lán
brestovăț,布雷斯托沃茨乡,bù léi sī tuō wò cí xiāng
ghimeșfăget,吉梅什弗杰特乡,jí méi shén fú jié tè xiāng
agapia,阿加皮亚乡,ā jiā pí yà xiāng
salcia,萨尔恰乡,sà ěr qià xiāng
ciolănești,乔勒内什蒂乡,qiáo lè nèi shén dì xiāng
măneciu,默内丘乡,mò nèi qiū xiāng
cenad,切纳德乡,qiè nà dé xiāng
cornu,科尔努乡,kē ěr nǔ xiāng
agigea,阿吉贾乡,ā jí jiǎ xiāng
ludești,卢代什蒂乡,lú dài shén dì xiāng
trotuș,特罗图什河谷,tè luó tú shén hé gǔ
târnava mică,塔纳瓦·米卡,tǎ nà wǎ · mǐ kǎ
bucovăț,布科沃茨乡,bù kē wò cí xiāng
liești,列什蒂,liè shén dì
sărulești,瑟鲁莱什蒂乡,sè lǔ lái shén dì xiāng
pipera,丕巴赫,pī bā hè
cergău,切尔格乌乡,qiè ěr gé wū xiāng
hobița,霍比察,huò bǐ chá
boldeștigradiștea,博尔代什蒂格勒迪什泰亚乡,bó ěr dài shén dì gé lè dí shén tài yà xiāng
boldur,博尔杜尔乡,bó ěr dù ěr xiāng
sărățel,萨拉特尔,sà lā tè ěr
rădoiești,勒多耶什蒂乡,lè duō yē shén dì xiāng
șotrile,绍特里莱乡,shào tè lǐ lái xiāng
solocma,索罗科马,suǒ luó kē mǎ
potlogi,波特洛吉乡,bō tè luò jí xiāng
merei,梅雷伊乡,méi léi yī xiāng
mera,梅拉乡,méi lā xiāng
năruja,讷鲁亚乡,nè lǔ yà xiāng
horgești,霍尔杰什蒂乡,huò ěr jié shén dì xiāng
măeriște,默埃里什泰乡,mò āi lǐ shén tài xiāng
comăna,科默纳乡,kē mò nà xiāng
milcovul,米尔科武尔乡,mǐ ěr kē wǔ ěr xiāng
brănișca,布勒尼什卡乡,bù lè ní shén kǎ xiāng
găiceana,格伊恰纳乡,gé yī qià nà xiāng
borș,博尔什乡,bó ěr shén xiāng
gorgota,戈尔戈塔乡,gē ěr gē tǎ xiāng
agăș,阿格什乡,ā gé shén xiāng
garoafa,加罗阿法乡,jiā luó ā fǎ xiāng
boșorod,博绍罗德乡,bó shào luó dé xiāng
minimax,匈牙利极小电视台,xiōng yá lì jí xiǎo diàn shì tái
camăr,卡默尔乡,kǎ mò ěr xiāng
robănești,罗伯内什蒂乡,luó bǎi nèi shén dì xiāng
borod,博罗德乡,bó luó dé xiāng
gârleni,格尔莱尼乡,gé ěr lái ní xiāng
baia,巴亚乡,bā yà xiāng
tanacu,塔纳库乡,tǎ nà kù xiāng
răchitoasa,勒基托阿萨乡,lè jī tuō ā sà xiāng
florești,弗洛雷什蒂乡,fú luò léi shén dì xiāng
ardeoani,阿尔代瓦尼乡,ā ěr dài wǎ ní xiāng
parincea,帕林恰乡,pà lín qià xiāng
dragalina,德拉加利纳乡,dé lā jiā lì nà xiāng
teliu,泰利乌乡,tài lì wū xiāng
nereju,内雷茹乡,nèi léi rú xiāng
brănești,布纳内什蒂,bù nà nèi shén dì
săvârșin,瑟沃尔欣乡,sè wò ěr xīn xiāng
almăj,阿尔默日乡,ā ěr mò rì xiāng
stângăceaua,斯滕格恰瓦乡,sī téng gé qià wǎ xiāng
roșiești,罗谢什蒂乡,luó xiè shén dì xiāng
bârsești,伯尔塞什蒂乡,bǎi ěr sāi shén dì xiāng
pucheni,普凯尼乡,pǔ kǎi ní xiāng
ciucurova,丘库罗瓦乡,qiū kù luó wǎ xiāng
brusturi,布鲁斯图里乡,bù lǔ sī tú lǐ xiāng
abram,阿布拉姆乡,ā bù lā mǔ xiāng
cărpiniș,克尔皮尼什乡,kè ěr pí ní shén xiāng
dudaepureni,杜达埃普雷尼乡,dù dá āi pǔ léi ní xiāng
gornești,格尼耶塞格,gé ní yē sāi gé
albeștipaleologu,阿尔贝什蒂帕莱奥洛古乡,ā ěr bèi shén dì pà lái ào luò gǔ xiāng
viișoara,维什瓦拉乡,wéi shén wǎ lā xiāng
vețel,韦采尔乡,wéi cǎi ěr xiāng
băleni,伯莱尼乡,bǎi lái ní xiāng
cenade,切纳德乡,qiè nà dé xiāng
prejmer,普雷日梅尔,pǔ léi rì méi ěr
bârsău,伯尔瑟乌德乡,bǎi ěr sè wū dé xiāng
tâmboești,滕博埃什蒂乡,téng bó āi shén dì xiāng
tătăranu,鞑靼拉努乡,dá dá lā nǔ xiāng
pârgărești,珀尔格雷什蒂乡,pò ěr gé léi shén dì xiāng
albac,阿尔巴克,ā ěr bā kè
crângurile,克伦古里莱乡,kè lún gǔ lǐ lái xiāng
buciumeni,布丘梅尼乡,bù qiū méi ní xiāng
oituz,欧伊图兹,ōu yī tú zī
hoghiz,霍吉兹乡,huò jí zī xiāng
racoș,拉科什乡,lā kē shén xiāng
cața,卡察乡,kǎ chá xiāng
vulcanabăi,武尔卡纳伯伊乡,wǔ ěr kǎ nà bǎi yī xiāng
lădești,勒代什蒂乡,lè dài shén dì xiāng
cârjiți,克尔日齐乡,kè ěr rì qí xiāng
modelu,莫代卢乡,mò dài lú xiāng
ruginești,鲁吉内什蒂乡,lǔ jí nèi shén dì xiāng
solonț,索隆茨乡,suǒ lóng cí xiāng
vânjuleț,文茹莱茨乡,wén rú lái cí xiāng
mândra,门德拉乡,mén dé lā xiāng
talpa,塔尔帕乡,tǎ ěr pà xiāng
negrilești,内格里莱什蒂乡,nèi gé lǐ lái shén dì xiāng
sânpetru,圣彼得鲁乡,shèng bǐ dé lǔ xiāng
părău,珀勒乌乡,pò lè wū xiāng
bunești,布内什蒂乡,bù nèi shén dì xiāng
crizbav,克里兹巴夫乡,kè lǐ zī bā fū xiāng
apața,阿帕察乡,ā pà chá xiāng
gurasada,古拉萨达乡,gǔ lā sà dá xiāng
sârbiimăgura,瑟尔比默古拉乡,sè ěr bǐ mò gǔ lā xiāng
curcani,库尔卡尼乡,kù ěr kǎ ní xiāng
balotești,巴洛泰什蒂乡,bā luò tài shén dì xiāng
blandiana,布兰迪亚纳乡,bù lán dí yà nà xiāng
homoroade,霍莫罗阿代乡,huò mò luó ā dài xiāng
plenița,普莱尼察乡,pǔ lái ní chá xiāng
sarmizegetusa,萨尔米泽杰图萨乡,sà ěr mǐ zé jié tú sà xiāng
ghelari,盖拉里乡,gài lā lǐ xiāng
gornetcricov,戈尔内特克里科夫乡,gē ěr nèi tè kè lǐ kē fū xiāng
tărlungeni,特尔伦杰尼乡,tè ěr lún jié ní xiāng
tătaru,特塔鲁乡,tè tǎ lǔ xiāng
uliești,乌列什蒂乡,wū liè shén dì xiāng
golești,戈莱什蒂乡,gē lái shén dì xiāng
dornaarini,多尔纳阿里尼乡,duō ěr nà ā lǐ ní xiāng
sântămăriaorlea,圣特默里亚奥尔莱亚乡,shèng tè mò lǐ yà ào ěr lái yà xiāng
pui,普伊乡,pǔ yī xiāng
olari,奥拉里乡,ào lā lǐ xiāng
perișani,佩里沙尼乡,pèi lǐ shā ní xiāng
ștefești,什泰费什蒂乡,shén tài fèi shén dì xiāng
drăgăneștivlașca,德勒格内什蒂弗拉什卡乡,dé lè gé nèi shén dì fú lā shén kǎ xiāng
crucea,克鲁恰乡,kè lǔ qià xiāng
sângeru,圣杰鲁乡,shèng jié lǔ xiāng
râfov,勒福夫乡,lè fú fū xiāng
hărău,赫勒乌乡,hè lè wū xiāng
aștileu,阿什蒂莱乌乡,ā shén dì lái wū xiāng
dumbrava,敦布拉瓦乡,dūn bù lā wǎ xiāng
păulești,珀乌莱什蒂乡,pò wū lái shén dì xiāng
teișani,泰伊沙尼乡,tài yī shā ní xiāng
iordăcheanu,伊奥尔德凯亚努乡,yī ào ěr dé kǎi yà nǔ xiāng
bahna,巴赫纳乡,bā hè nà xiāng
sălciile,瑟尔西莱乡,sè ěr xī lái xiāng
secăria,塞克里亚乡,sāi kè lǐ yà xiāng
predealsărari,普雷代亚尔瑟拉里乡,pǔ léi dài yà ěr sè lā lǐ xiāng
nănești,讷内什蒂乡,nè nèi shén dì xiāng
culciu,库尔丘乡,kù ěr qiū xiāng
ruginoasa,鲁吉诺阿萨乡,lǔ jí nuò ā sà xiāng
lipănești,利珀内什蒂乡,lì pò nèi shén dì xiāng
hârseni,赫尔塞尼乡,hè ěr sāi ní xiāng
șoimari,绍伊米里乡,shào yī mǐ lǐ xiāng
măgureni,默古雷尼乡,mò gǔ léi ní xiāng
moftin,莫夫廷乡,mò fū tíng xiāng
bodești,博代什蒂乡,bó dài shén dì xiāng
ulmi,乌尔米乡,wū ěr mǐ xiāng
telega,泰莱加乡,tài lái jiā xiāng
plopu,普洛普乡,pǔ luò pǔ xiāng
bălțătești,伯尔策泰什蒂乡,bǎi ěr cè tài shén dì xiāng
pădina,大珀迪纳乡,dà pò dí nà xiāng
tomșani,塔姆沙尼乡,tǎ mǔ shā ní xiāng
vărbilău,沃尔比勒乌乡,wò ěr bǐ lè wū xiāng
balta,巴尔塔乡,bā ěr tǎ xiāng
orlești,奥尔莱什蒂乡,ào ěr lái shén dì xiāng
bezdead,贝兹代亚德乡,bèi zī dài yà dé xiāng
dumbrăvița,敦布勒维察乡,dūn bù lè wéi chá xiāng
dănicei,德尼切伊乡,dé ní qiè yī xiāng
țifești,齐费什蒂乡,qí fèi shén dì xiāng
cacica,卡奇卡乡,kǎ qí kǎ xiāng
stroești,斯特罗埃什蒂乡,sī tè luó āi shén dì xiāng
luica,卢伊卡乡,lú yī kǎ xiāng
șinca,欣卡乡,xīn kǎ xiāng
ciomăgești,乔默杰什蒂乡,qiáo mò jié shén dì xiāng
pietrari,彼得拉里乡,bǐ dé lā lǐ xiāng
drăgești,德勒杰什蒂乡,dé lè jié shén dì xiāng
mătăsaru,默特萨鲁乡,mò tè sà lǔ xiāng
vulturești,武尔图雷什蒂乡,wǔ ěr tú léi shén dì xiāng
lisa,利萨乡,lì sà xiāng
răzvad,勒兹瓦德乡,lè zī wǎ dé xiāng
cașin,卡欣乡,kǎ xīn xiāng
traian,特拉扬乡,tè lā yáng xiāng
tamași,塔马希乡,tǎ mǎ xī xiāng
raciu,拉丘乡,lā qiū xiāng
dragomireștivale,德拉戈米雷什蒂瓦莱乡,dé lā gē mǐ léi shén dì wǎ lái xiāng
priponești,普里波内什蒂乡,pǔ lǐ bō nèi shén dì xiāng
homorod,霍莫罗德乡,huò mò luó dé xiāng
tomești,托梅什蒂乡,tuō méi shén dì xiāng
moroeni,莫罗埃尼乡,mò luó āi ní xiāng
râmeț,勒梅茨乡,lè méi cí xiāng
cernătești,切尔讷泰什蒂乡,qiè ěr nè tài shén dì xiāng
măgura,默古拉乡,mò gǔ lā xiāng
vișani,维沙尼乡,wéi shā ní xiāng
parava,帕拉瓦乡,pà lā wǎ xiāng
palanca,帕兰卡乡,pà lán kǎ xiāng
răchitova,勒基托瓦乡,lè jī tuō wǎ xiāng
pârjol,珀尔若尔乡,pò ěr ruò ěr xiāng
sascut,萨斯库特乡,sà sī kù tè xiāng
mărgineni,默尔吉内尼乡,mò ěr jí nèi ní xiāng
sărata,瑟拉塔乡,sè lā tǎ xiāng
ucea,乌恰乡,wū qià xiāng
coșoveni,科绍韦尼乡,kē shào wéi ní xiāng
bistreț,比斯特雷茨乡,bǐ sī tè léi cí xiāng
sălcioara,瑟尔乔阿拉乡,sè ěr qiáo ā lā xiāng
cosâmbești,科圣贝什蒂乡,kē shèng bèi shén dì xiāng
săbăreni,瑟伯雷尼乡,sè bǎi léi ní xiāng
tulucești,图卢切什蒂乡,tú lú qiè shén dì xiāng
mărăcineni,默勒奇内尼乡,mò lè qí nèi ní xiāng
bilciurești,比尔丘雷什蒂乡,bǐ ěr qiū léi shén dì xiāng
turdaș,图尔达什乡,tú ěr dá shén xiāng
platonești,普拉托内什蒂乡,pǔ lā tuō nèi shén dì xiāng
scânteiești,斯肯泰耶什蒂乡,sī kěn tài yē shén dì xiāng
sinești,锡内什蒂乡,xī nèi shén dì xiāng
bărăști,伯勒什蒂乡,bǎi lè shén dì xiāng
păușeștimăglași,珀乌谢什蒂默格拉希乡,pò wū xiè shén dì mò gé lā xī xiāng
optașimăgura,奥普塔希默古拉乡,ào pǔ tǎ xī mò gǔ lā xiāng
sâmburești,森布雷什蒂乡,sēn bù léi shén dì xiāng
milcov,米尔科夫乡,mǐ ěr kē fū xiāng
scânteia,斯肯泰亚乡,sī kěn tài yà xiāng
șirna,锡尔纳乡,xī ěr nà xiāng
negri,内格里乡,nèi gé lǐ xiāng
filipeni,菲利佩尼乡,fēi lì pèi ní xiāng
sărățeni,瑟勒采尼乡,sè lè cǎi ní xiāng
sohatu,索哈图乡,suǒ hā tú xiāng
lunca,伦卡乡,lún kǎ xiāng
gârnic,格尔尼克乡,gé ěr ní kè xiāng
strejești,斯特雷热什蒂乡,sī tè léi rè shén dì xiāng
scorțeni,斯科尔采尼乡,sī kē ěr cǎi ní xiāng
padeș,帕代什乡,pà dài shén xiāng
bolotești,博洛泰什蒂乡,bó luò tài shén dì xiāng
vrâncioaia,弗伦乔阿亚乡,fú lún qiáo ā yà xiāng
cornățelu,科尔讷泰卢乡,kē ěr nè tài lú xiāng
pietroasele,皮耶特罗阿塞莱乡,pí yē tè luó ā sāi lái xiāng
câineni,克伊内尼乡,kè yī nèi ní xiāng
bratca,布拉特卡乡,bù lā tè kǎ xiāng
sânmartin,圣马丁乡,shèng mǎ dīng xiāng
bogdănești,博格德内什蒂乡,bó gé dé nèi shén dì xiāng
buduslău,布杜斯勒乌乡,bù dù sī lè wū xiāng
tărtășești,特尔特谢什蒂乡,tè ěr tè xiè shén dì xiāng
lungulețu,伦古莱图乡,lún gǔ lái tú xiāng
itești,伊特什蒂乡,yī tè shén dì xiāng
țițești,茨采什蒂乡,cí cǎi shén dì xiāng
drăgotești,德勒戈泰什蒂乡,dé lè gē tài shén dì xiāng
dobrești,多布雷什蒂乡,duō bù léi shén dì xiāng
șuletea,舒莱泰亚乡,shū lái tài yà xiāng
amaru,阿马鲁乡,ā mǎ lǔ xiāng
voicești,沃伊切什蒂乡,wò yī qiè shén dì xiāng
boțești,博采什蒂乡,bó cǎi shén dì xiāng
cepari,切帕里乡,qiè pà lǐ xiāng
apostolache,阿波斯托拉凯乡,ā bō sī tuō lā kǎi xiāng
stoicănești,斯托伊克内什蒂乡,sī tuō yī kè nèi shén dì xiāng
vișina,维希纳乡,wéi xī nà xiāng
petreu,阿布勒穆茨乡,ā bù lè mù cí xiāng
mihăești,米赫埃什蒂乡,mǐ hè āi shén dì xiāng
dămienești,德米耶内什蒂乡,dé mǐ yē nèi shén dì xiāng
vedea,韦代亚乡,wéi dài yà xiāng
căiuți,克尤齐乡,kè yóu qí xiāng
cleja,克莱扎乡,kè lái zhā xiāng
huruiești,胡鲁耶什蒂乡,hú lǔ yē shén dì xiāng
bereștibistrița,贝雷什蒂比斯特里察乡,bèi léi shén dì bǐ sī tè lǐ chá xiāng
pietroșani,彼得罗沙尼乡,bǐ dé luó shā ní xiāng
șelimbăr,谢林伯尔乡,xiè lín bǎi ěr xiāng
mărtinești,默尔蒂内什蒂乡,mò ěr dì nèi shén dì xiāng
doicești,多伊切什蒂乡,duō yī qiè shén dì xiāng
finta,芬塔乡,fēn tǎ xiāng
glodeni,格洛代尼乡,gé luò dài ní xiāng
cocu,科库乡,kē kù xiāng
covăsânț,科沃圣茨乡,kē wò shèng cí xiāng
uda,乌达乡,wū dá xiāng
belciugatele,贝尔丘加泰莱乡,bèi ěr qiū jiā tài lái xiāng
adunați,阿杜纳蒂乡,ā dù nà dì xiāng
luizicălugăra,卢济克卢格拉乡,lú jì kè lú gé lā xiāng
lehliu,莱赫柳乡,lái hè liǔ xiāng
bucșani,布克沙尼乡,bù kè shā ní xiāng
vlădești,弗勒代什蒂乡,fú lè dài shén dì xiāng
vorța,沃尔察乡,wò ěr chá xiāng
boghești,博盖什蒂乡,bó gài shén dì xiāng
ticușu,蒂库舒乡,dì kù shū xiāng
buneștiaverești,布内什蒂阿韦雷什蒂乡,bù nèi shén dì ā wéi léi shén dì xiāng
galbenu,加尔贝努乡,jiā ěr bèi nǔ xiāng
popești,波佩什蒂乡,bō pèi shén dì xiāng
ulpia traiana sarmizegetusa,乌尔比亚·图拉亚那·萨尔米泽杰图萨,wū ěr bǐ yà · tú lā yà nà · sà ěr mǐ zé jié tú sà
prislav,别列雅斯拉维茨,bié liè yǎ sī lā wéi cí
crăiești,克勒耶什蒂乡,kè lè yē shén dì xiāng
dorobanțu,多罗班楚乡,duō luó bān chǔ xiāng
batăr,巴特尔乡,bā tè ěr xiāng
vernești,韦尔内什蒂乡,wéi ěr nèi shén dì xiāng
mărașu,默拉舒乡,mò lā shū xiāng
robeasca,罗贝亚斯卡乡,luó bèi yà sī kǎ xiāng
surdilagăiseanca,苏尔迪拉格伊塞安卡乡,sū ěr dí lā gé yī sāi ān kǎ xiāng
calvini,卡尔维尼乡,kǎ ěr wéi ní xiāng
pâncești,彭切什蒂乡,péng qiè shén dì xiāng
rușețu,鲁谢楚乡,lǔ xiè chǔ xiāng
romanu,罗马努乡,luó mǎ nǔ xiāng
giulvăz,久尔沃兹乡,jiǔ ěr wò zī xiāng
produlești,普罗杜莱什蒂乡,pǔ luó dù lái shén dì xiāng
husnicioara,胡斯尼乔阿拉乡,hú sī ní qiáo ā lā xiāng
tursib,图锡布,tú xī bù
poiana,波亚纳乡,bō yà nà xiāng
jirlău,日尔勒乌乡,rì ěr lè wū xiāng
recea,雷恰乡,léi qià xiāng
vârtop,沃尔托普,wò ěr tuō pǔ
berghin,贝尔金乡,bèi ěr jīn xiāng
godeni,戈代尼乡,gē dài ní xiāng
cănești,克内什蒂乡,kè nèi shén dì xiāng
chiscani,基斯卡尼乡,jī sī kǎ ní xiāng
râmnicelu,勒姆尼切卢乡,lè mǔ ní qiè lú xiāng
nucșoara,努克什瓦拉乡,nǔ kè shén wǎ lā xiāng
giulești,久莱什蒂乡,jiǔ lái shén dì xiāng
mioarele,米瓦雷莱乡,mǐ wǎ léi lái xiāng
budeasa,布迪亚萨乡,bù dí yà sà xiāng
coțofănești,科措弗内什蒂乡,kē cuò fú nèi shén dì xiāng
bereștitazlău,贝雷什蒂塔兹勒乌乡,bèi léi shén dì tǎ zī lè wū xiāng
trifești,特里费什蒂乡,tè lǐ fèi shén dì xiāng
padina,帕迪纳乡,pà dí nà xiāng
berca,贝尔卡乡,bèi ěr kǎ xiāng
brădeanu,布勒迪亚努乡,bù lè dí yà nǔ xiāng
cornești,科尔内什蒂乡,kē ěr nèi shén dì xiāng
măxineni,默克西内尼乡,mò kè xī nèi ní xiāng
zăvoaia,泽瓦亚乡,zé wǎ yà xiāng
gemenele,杰梅内莱乡,jié méi nèi lái xiāng
șoimuș,绍伊穆什乡,shào yī mù shén xiāng
totești,托泰什蒂乡,tuō tài shén dì xiāng
zăbrani,泽布拉尼乡,zé bù lā ní xiāng
șoldanu,绍尔达努乡,shào ěr dá nǔ xiāng
siriu,锡里乌乡,xī lǐ wū xiāng
cincu,钦库乡,qīn kù xiāng
hălchiu,赫尔基乌乡,hè ěr jī wū xiāng
vâlcelele,沃尔切莱莱乡,wò ěr qiè lái lái xiāng
mogoșani,莫戈沙尼乡,mò gē shā ní xiāng
malaia,马拉亚乡,mǎ lā yà xiāng
feldioara,费尔迪瓦拉乡,fèi ěr dí wǎ lā xiāng
bod,博德乡,bó dé xiāng
biharia,比哈里,bǐ hā lǐ
