françois hollande,프랑수아 올랑드,peurangsua olrangdeu
victor schœlcher,빅토르 쇨셰르,bigtoreu soelsyereu
andré lacrampe,앙드레 라크랑프,angdeure rakeurangpeu
alain lambert,알랭 랑베르,alraeng rangbereu
roger tréville,로제 트레빌,roje teurebil
andrélouis debierne,앙드레루이 드비에른,angdeurerui deubiereun
anne lauvergeon,안 로베르종,an robereujong
françois cheng,프랑수아 쳉,peurangsua ceng
sarah abitbol,사라 아비트볼,sara abiteubol
andré lavagne,앙드레 라바뉴,angdeure rabanyu
ferdinand andré fouqué,페르디낭 앙드레 푸케,pereudinang angdeure puke
hectormartin lefuel,엑토르 르퓌엘,egtoreu reupwiel
charles bilot,샤를 빌로,syareul bilro
andré lajoinie,앙드레 라주아니,angdeure rajuani
pierrette fleutiaux,피에레트 플뢰티오,piereteu peulroetio
tal,탈,tal
anne d'alençon,안 달랑송,an dalrangsong
véronique sanson,베로니크 상송,beronikeu sangsong
patrick chamoiseau,파트리크 샤무아조,pateurikeu syamuajo
nicolas escudé,니콜라 에스퀴데,nikolra eseukwide
amanda de cadenet,아만다 드 카데네트,amanda deu kadeneteu
hervé morin,에르베 모랭,ereube moraeng
richard cocciante,리카르도 코찬테,rikareudo kocante
claude zidi,클로드 지디,keulrodeu jidi
rené bihel,르네 비엘,reune biel
catherine malabou,카트린 말라부,kateurin malrabu
pascale trinquethachin,파스칼 트링케,paseukal teuringke
claude cheysson,클로드 셰송,keulrodeu syesong
sophie moniotte,소피 모니오트,sopi monioteu
honoré d'estienne d'orves,오노레 데스티엔 도르브,onore deseutien doreubeu
hippolyte flandrin,이폴리트 플랑드랭,ipolriteu peulrangdeuraeng
andré navarra,앙드레 나바라,angdeure nabara
catherine leterrier,카트린 르테리에,kateurin reuterie
hélène de beauvoir,엘렌 드 보부아르,elren deu bobuareu
marieaude murail,마리오드 뮈렐,mariodeu mwirel
marcel couraud,마르셀 쿠로,mareusel kuro
amara diané,아마라 디아네,amara diane
philippe claudel,필리프 클로델,pilripeu keulrodel
hélène boschi,엘렌 보스키,elren boseuki
edmonde charlesroux,에드몽드 샤를루,edeumongdeu syareulru
karima delli,카리마 델리,karima delri
danijel ljuboja,다니옐 류보야,daniyel ryuboya
charles spaak,샤를 스파크,syareul seupakeu
jacques barrot,자크 바로,jakeu baro
reynaldo hahn,레날도 안,renaldo an
andré marie constant duméril,앙드레 마리 콩스탕 뒤메릴,angdeure mari kongseutang dwimeril
henri queuille,앙리 쾨유,angri koeyu
jeannemarie darré,잔마리 다레,janmari dare
pierre petit,피에르 프티,piereu peuti
patrick hernandez,패트릭 헤르난데스,paeteurig hereunandeseu
charles monselet,샤를 몽슬레,syareul mongseulre
pierre aubenque,피에르 오방크,piereu obangkeu
gustave choquet,귀스타브 쇼케,gwiseutabeu syoke
alain jessua,알랭 제수아,alraeng jesua
edmond malinvaud,에드먼드 말린보,edeumeondeu malrinbo
philippe jaccottet,필리프 자코테,pilripeu jakote
yann samuell,얀 사뮤엘,yan samyuel
joseph vinoy,조제프 비누아,jojepeu binua
henrijoseph rigel,앙리조제프 리겔,angrijojepeu rigel
karl bodmer,카를 보트머,kareul boteumeo
augustin savard,오귀스탱 사바르,ogwiseutaeng sabareu
louis simonneaux,루이 시모노,rui simono
henri dor,앙리 도르,angri doreu
andré strappe,앙드레 스트라프,angdeure seuteurapeu
alexandre rouleau,알렉상드르 룰로,alregsangdeureu rulro
geneviève gambillon,준비에브 강비용,junbiebeu gangbiyong
bernard teissier,베르나르 테시에,bereunareu tesie
melanie skotnik,멜라니 멜포르,melrani melporeu
pierre soulé,피에르 술레,piereu sulre
françoise autrand,프랑수아즈 오트랑,peurangsuajeu oteurang
sylvie germain,실비 제르맹,silbi jereumaeng
ibrahima sonko,이브라히마 송코,ibeurahima songko
christiane rochefort,크리스티안 로슈포르,keuriseutian rosyuporeu
raymond poulidor,레몽 풀리도르,remong pulridoreu
jonathan hivert,조나탕 이베르,jonatang ibereu
amédée gastoué,아메데 가스투에,amede gaseutue
roger pingeon,로제 팽종,roje paengjong
françoishenri houbart,프랑수아앙리 우바르,peurangsuaangri ubareu
rené capitant,르네 카피탕,reune kapitang
suzanne manet,쉬잔 마네,swijan mane
robert défossé,로베르 데포세,robereu depose
nicolas fauvergue,니콜라 포베르그,nikolra pobereugeu
jeanfrançoisthérèse chalgrin,장 샬그랭,jang syalgeuraeng
jeanne matthey,잔느 메티,janneu meti
catherine martin,캐서린 마틴,kaeseorin matin
roselyne bachelot,로즐린 바슐로,rojeulrin basyulro
maud mannoni,모드 마노니,modeu manoni
laurence bily,로랑스 빌리,rorangseu bilri
véronique claudel,베로니크 클로델,beronikeu keulrodel
philippe gaumont,필리프 고몽,pilripeu gomong
justine bruno,쥐스틴 브뤼노,jwiseutin beurwino
jeanne barret,잔 바레,jan bare
cécile dewittmorette,세실 디윗모레트,sesil diwismoreteu
barthélémy catherine joubert,바르텔레미 카트린 주베르,bareutelremi kateurin jubereu
marie anne mancini,마리 안 망시니,mari an mangsini
régis clère,레지스 클레르,rejiseu keulrereu
simone plécaussade,시몬 플레코사드,simon peulrekosadeu
gabrielle dorziat,가브리엘 도르지아,gabeuriel doreujia
pierre mazeaud,피에르 마조,piereu majo
désiré letort,데지레 르토르,dejire reutoreu
romain sassot,로맹 사소,romaeng saso
charles d'angoulême,샤를 도를레앙,syareul doreulreang
pierre plateau,피에르 플라토,piereu peulrato
louis lachenal,루이 라슈날,rui rasyunal
gilles berolatti,질 베롤라티,jil berolrati
patricia girard,파트리시아 지라르,pateurisia jirareu
danièle sallenave,다니엘 살나브,daniel salnabeu
florence delay,플로랑스 들레,peulrorangseu deulre
louis roederer,루이 로드레르,rui rodeurereu
suzanne spaak,쉬잔 스파크,swijan seupakeu
julie vlasto,쥘리 블라스토,jwilri beulraseuto
lucie aubrac,뤼시 오브라크,rwisi obeurakeu
marc simenon,마크시 메논,makeusi menon
juliette welfling,쥘리에트 웰플링,jwilrieteu welpeulring
fadela amara,파델라 아마라,padelra amara
victor baltard,빅토르 발타르,bigtoreu baltareu
auguste lacaussade,오귀스트 라코사드,ogwiseuteu rakosadeu
catherine trautmann,카트린 트로트만,kateurin teuroteuman
charles alexandre de calonne,샤를 알렉상드르 드 칼론,syareul alregsangdeureu deu kalron
michele carafa,미켈레 카라파,mikelre karapa
stéphanie bouvier,스테파니 부비에,seutepani bubie
marie bigot,마리 비고,mari bigo
michel barnier,미셸 바르니에,misyel bareunie
serge moscovici,세르주 모스코비치,sereuju moseukobici
thibaut pinot,티보 피노,tibo pino
richard virenque,리샤르 비랑크,risyareu birangkeu
pierre bullet,피에르 뷜레,piereu bwilre
albert sarraut,알베르 사로,albereu saro
claude guéant,클로드 게앙,keulrodeu geang
harry baur,아리 보르,ari boreu
lucas dupont,뤼카 뒤퐁,rwika dwipong
armande béjart,아르망드 베자르,areumangdeu bejareu
yvonne choquetbruhat,이본 쇼케브뤼아,ibon syokebeurwia
rené duguaytrouin,르네 뒤게트루앵,reune dwigeteuruaeng
patricia djatétaillard,파트리시아 자테타야르,pateurisia jatetayareu
eugène belgrand,외젠 벨그랑,oejen belgeurang
élisabeth hubert,엘리자베트 위베르,elrijabeteu wibereu
brice hortefeux,브리스 오르트푀,beuriseu oreuteupoe
sébastien bourdon,세바스티앙 부르돈,sebaseutiang bureudon
emmanuel corrèze,에마뉘엘 코레즈,emanwiel korejeu
camille barrère,카미유 바레르,kamiyu barereu
frédéric déhu,프레데리크 데위,peurederikeu dewi
jérémy clément,제레미 클레망,jeremi keulremang
jacques babinet,작크 바비네,jagkeu babine
pierre jurieu,피에르 쥐리외,piereu jwirioe
louis pergaud,루이 페르고,rui pereugo
bernadette vergnaud,베르나데트 베르뇨,bereunadeteu bereunyo
tokia saïfi,토키아 사이피,tokia saipi
marienoëlle lienemann,마리노엘 린만,marinoel rinman
pierrefrançois martinlaval,피에르프랑수아 마르탱라발,piereupeurangsua mareutaengrabal
annemarie idrac,안마리 이드라크,anmari ideurakeu
max decugis,막스 드퀴지스,magseu deukwijiseu
catherine destivelle,카트린 데스티벨,kateurin deseutibel
fabre d'églantine,파브르 데글랑틴,pabeureu degeulrangtin
jean de dunois,장 드 뒤누아,jang deu dwinua
geneviève claisse,준비에브 클레스,junbiebeu keulreseu
véronique mathieu,베로니크 마티외,beronikeu matioe
maurice de gandillac,모리스 드 강디야크,moriseu deu gangdiyakeu
odilon barrot,오딜롱 바로,odilrong baro
gérard férey,제라르 페레,jerareu pere
sabine quindou,사빈 캥두,sabin kaengdu
jacques foix,자크 푸아,jakeu pua
jeanmarie villot,장마리 비요,jangmari biyo
patrick rambaud,파트리크 랭보,pateurikeu raengbo
jean baudoin,장 보두앵,jang boduaeng
félicien marceau,펠리시앵 마르소,pelrisiaeng mareuso
ludwik mierosławski,루드비크 미에로스와프스키,rudeubikeu mieroseuwapeuseuki
roger vailland,로제 바양,roje bayang
théodore gudin,테오도르 귀댕,teodoreu gwidaeng
pierreaugustin hulin,피에르오귀스탱 윌랭,piereuogwiseutaeng wilraeng
raymond roussel,레몽 루셀,remong rusel
medhi benatia,메흐디 베나티아,meheudi benatia
hélène mandroux,엘렌 망드루,elren mangdeuru
norbert turini,노르베르 튀리니,noreubereu twirini
charles delestraint,샤를 들레스트랭,syareul deulreseuteuraeng
rené vignal,르네 비냘,reune binyal
jeanpierre escalettes,장피에르 에스칼레트,jangpiereu eseukalreteu
jean nicolas,장 니콜라,jang nikolra
bruno gollnisch,브뤼노 골니슈,beurwino golnisyu
paul hermelin,폴 에르믈랭,pol ereumeulraeng
mathieu montcourt,마티외 몽쿠르,matioe mongkureu
filippa duci,필리파 두치,pilripa duci
jeanluc brunin,장뤼크 브뤼냉,jangrwikeu beurwinaeng
jacques castelot,자크 카스텔로,jakeu kaseutelro
ursula kübler,우르줄라 퀴블러,ureujulra kwibeulreo
jeanbaptiste charcot,장바티스트 샤르코,jangbatiseuteu syareuko
jeanbaptiste donatien de vimeur de rochambeau,로샹보 백작 장바티스트 도나티앵 드 비뫼르,rosyangbo baegjag jangbatiseuteu donatiaeng deu bimoereu
noël roquevert,노엘 로케베르,noel rokebereu
gaston defferre,가스통 드페르,gaseutong deupereu
pierre lepautre,피에르 르포트르,piereu reupoteureu
andré lhote,앙드레 로트,angdeure roteu
jeanbernard lévy,장베르나르 레비,jangbereunareu rebi
françois hugues,프랑수아 위그,peurangsua wigeu
marc fumaroli,마르크 푸마롤리,mareukeu pumarolri
jules sandeau,쥘 상도,jwil sangdo
zahra amir ebrahimi,자흐라 아미르 에브라히미,jaheura amireu ebeurahimi
michel vauzelle,미셸 보젤,misyel bojel
julie pomagalski,쥘리 포마갈스키,jwilri pomagalseuki
sandrine piau,상드린 피오,sangdeurin pio
hortense fiquet,마리오르탕스 피케,marioreutangseu pike
eva gonzalès,에바 곤잘레스,eba gonjalreseu
olivier de kersauson,올리비에 드 케르소송,olribie deu kereusosong
camille vallin,카미유 발랭,kamiyu balraeng
fernand ledoux,페르낭 르두,pereunang reudu
henri désiré landru,앙리 데지레 랑드뤼,angri dejire rangdeurwi
julia vignali,쥘리아 비냘리,jwilria binyalri
louis nicolas le tonnelier de breteuil,루이 니콜라 르 토넬리에 드 브르퇴유,rui nikolra reu tonelrie deu beureutoeyu
st germain,생 제르맹,saeng jereumaeng
jeanbaptisterené robinet,장바티스트 로비네,jangbatiseuteu robine
chloé stefani,클로에 스테파니,keulroe seutepani
karim zéribi,카림 제리비,karim jeribi
serge lama,세르주 라마,sereuju rama
raphaël liogier,라파엘 리오제,rapael rioje
jean hamburger,장 앙뷔르제,jang angbwireuje
ferdinand coly,페르디낭 콜리,pereudinang kolri
pierre ducrocq,피에르 뒤크로크,piereu dwikeurokeu
bruno bollini,브뤼노 볼리니,beurwino bolrini
yvette étiévant,이베트 에티에방,ibeteu etiebang
hubert védrine,위베르 베드린,wibereu bedeurin
pierre brossolette,피에르 브로솔레트,piereu beurosolreteu
paul rosenberg,폴 로젠베르그,pol rojenbereugeu
camille catala,카미유 카탈라,kamiyu katalra
matthieu galey,마티외 갈레,matioe galre
jeanguy talamoni,장기 탈라모니,janggi talramoni
jacques de lacretelle,자크 드 라크르텔,jakeu deu rakeureutel
frédéric dard,프레데리크 다르,peurederikeu dareu
jacques loussier,자크 루시에,jakeu rusie
gilles delion,질 델리옹,jil delriong
jeanclaude guillebaud,장클로드 기유보,jangkeulrodeu giyubo
antoni clavé,안토니 클라베,antoni keulrabe
rémy belleau,레미 벨로,remi belro
henri ledroit,앙리 르드루아,angri reudeurua
pierre boiteau,피에르 부아토,piereu buato
yvan beck,이반 베크,iban bekeu
marc madiot,마르크 마디오,mareukeu madio
thomas pesquet,토마 페스케,toma peseuke
rolande falcinelli,롤랑드 팔시넬리,rolrangdeu palsinelri
nicolas dorigny,니콜라 도리니,nikolra dorini
jeanne samary,잔 사마리,jan samari
jules noël,쥘 노엘,jwil noel
sébastien bordeleau,세바스티앵 보르들로,sebaseutiaeng boreudeulro
marcel gromaire,마르셀 그로메르,mareusel geuromereu
gérard lenorman,제라르 르노르망,jerareu reunoreumang
philippe bergeroo,필리프 베르제로,pilripeu bereujero
théo tobiasse,테오 토비아스,teo tobiaseu
rodrigue beaubois,로드리그 보부아,rodeurigeu bobua
arnaud lagardère,아르노 라가르데르,areuno ragareudereu
michel durafour,미셸 뒤라푸르,misyel dwirapureu
stéphane diagana,스테판 디아가나,seutepan diagana
raphaël rouquier,라파엘 루키에,rapael rukie
serge adda,세르주 아다,sereuju ada
françois félix,프랑수아 펠릭스,peurangsua pelrigseu
dominique ouattara,도미니크 폴로루우아타라,dominikeu polroruuatara
pierrejean remy,피에르장 레미,piereujang remi
albert châtelet,알베르 샤틀레,albereu syateulre
léon soulier,레옹레몽 술리에,reongremong sulrie
françois seydoux,프랑수아 세두,peurangsua sedu
franck sauzée,프랑스 소제,peurangseu soje
gaston paris,가스통 파리,gaseutong pari
henriette de france,프랑스 공주 앙리에트,peurangseu gongju angrieteu
alphée dubois,알페 뒤부아,alpe dwibua
claude dagens,클로드 다장,keulrodeu dajang
laurent thévenot,로랑 테브노,rorang tebeuno
bernard blanchet,베르나르 블랑셰,bereunareu beulrangsye
georges lecomte,조르주 르콩트,joreuju reukongteu
michel crauste,미셸 크로스트,misyel keuroseuteu
annick mercier,아니크 메르시에,anikeu mereusie
justine lévy,쥐스틴 레비,jwiseutin rebi
deimantė daulytė,데이만테 다울리테,deimante daulrite
andrélouis cholesky,앙드레루이 숄레스키,angdeurerui syolreseuki
auguste czartoryski,아우구스트 차르토리스키,auguseuteu careutoriseuki
guillaume dubois,기욤 뒤부아,giyom dwibua
rené monory,르네 모노리,reune monori
joseph daul,조제프 돌,jojepeu dol
régis ovion,레지스 오비옹,rejiseu obiong
laurent brochard,로랑 브로샤르,rorang beurosyareu
thierry desmarest,티에리 데마레스트,tieri demareseuteu
alphonse bertillon,알퐁스 베르티용,alpongseu bereutiyong
pénélope bagieu,페넬로프 바지외,penelropeu bajioe
jeannette batti,자네트 바티,janeteu bati
raymond aubrac,레몽 오브라크,remong obeurakeu
françois bazin,프랑수아 바쟁,peurangsua bajaeng
albert decourtray,알베르 드쿠르트레,albereu deukureuteure
vincent valery,뱅상 발레리,baengsang balreri
hélène flautre,엘렌 플로트르,elren peulroteureu
jean sorel,장 소렐,jang sorel
anicée alvina,아니세 알비나,anise albina
yves jégo,이브 제고,ibeu jego
marie de bourbon,마리 드 부르봉,mari deu bureubong
andré bord,앙드레 보르,angdeure boreu
louis napoléon,나폴레옹 루이,napolreong rui
jean chevrier,장 슈브리에,jang syubeurie
arnoul de france,아르눌프 드 랭스,areunulpeu deu raengseu
andré boucourechliev,앙드레 부쿠레슐리에브,angdeure bukuresyulriebeu
joseph darnand,조제프 다르낭,jojepeu dareunang
stéphane dalmat,스테판 달마,seutepan dalma
radu mihaileanu,라두 미허일레아누,radu miheoilreanu
étienne thobois,에티엔 토부아,etien tobua
xavier darasse,그자비에 다라스,geujabie daraseu
